outcome,term,estimate,std_error,p_value,n,events,status,threshold,window_low,window_high,expansion_only,cross_events
exit_to_uninsured_it,cross_spec,0.006023272493139767,0.0014807723736542176,4.748843513291412e-05,121527,125.0,estimated,1.38,1.0,1.75,True,4052
persistent_uninsured_2m,cross_spec,0.005830328218864658,0.0014602514423627325,6.532853751073375e-05,121527,119.0,estimated,1.38,1.0,1.75,True,4052
medicaid_exit_it,cross_spec,0.007399316921984873,0.0016601078370471754,8.30641229221385e-06,166523,344.0,estimated,1.38,1.0,2.0,True,5751
exit_to_uninsured_it,cross_spec,0.005140105961897647,0.0011490212223838805,7.696224208375568e-06,166523,156.0,estimated,1.38,1.0,2.0,True,5751
persistent_uninsured_2m,cross_spec,0.005003177552321146,0.0011359472036818166,1.0607202383106085e-05,166523,149.0,estimated,1.38,1.0,2.0,True,5751
medicaid_exit_it,cross_spec,0.008217857530727828,0.002130026160619317,0.00011427110583417388,84929,198.0,estimated,1.38,1.25,1.75,True,4052
exit_to_uninsured_it,cross_spec,0.006038683897946492,0.0014649465950913906,3.7540350521503285e-05,84929,92.0,estimated,1.38,1.25,1.75,True,4052
persistent_uninsured_2m,cross_spec,0.005843376478459946,0.001444944146450509,5.2543450430597716e-05,84929,87.0,estimated,1.38,1.25,1.75,True,4052
medicaid_exit_it,cross_spec,0.0055129856302205535,0.0016225149633283867,0.0006792940577198259,199870,414.0,estimated,1.5,0.75,2.0,True,5250
exit_to_uninsured_it,cross_spec,0.003862849716045703,0.0011032733925436856,0.00046305955990910697,199870,198.0,estimated,1.5,0.75,2.0,True,5250
persistent_uninsured_2m,cross_spec,0.003917357443307223,0.0011030842589283463,0.0003833671253208326,199870,187.0,estimated,1.5,0.75,2.0,True,5250
medicaid_exit_it,cross_spec,0.006473557135809731,0.0023512038098652986,0.0058998749639074255,121527,272.0,estimated,1.5,1.0,1.75,True,3146
exit_to_uninsured_it,cross_spec,0.004792175451969833,0.0015913770234267585,0.0026009842366090385,121527,125.0,estimated,1.5,1.0,1.75,True,3146
persistent_uninsured_2m,cross_spec,0.0048684705202591055,0.0015911435010901745,0.0022153613902282654,121527,119.0,estimated,1.5,1.0,1.75,True,3146
medicaid_exit_it,cross_spec,0.005417473159998298,0.0016186878012803701,0.0008174127375359941,166523,344.0,estimated,1.5,1.0,2.0,True,5250
exit_to_uninsured_it,cross_spec,0.003853606913980545,0.0011000403999254509,0.00045978985495209734,166523,156.0,estimated,1.5,1.0,2.0,True,5250
persistent_uninsured_2m,cross_spec,0.003903351273111106,0.0010999192730075022,0.0003870473347360459,166523,149.0,estimated,1.5,1.0,2.0,True,5250
medicaid_exit_it,cross_spec,0.006317310637203363,0.0023369235311876827,0.006866312585956047,84929,198.0,estimated,1.5,1.25,1.75,True,3146
exit_to_uninsured_it,cross_spec,0.004822715894959454,0.0015712427217112587,0.0021451502690459368,84929,92.0,estimated,1.5,1.25,1.75,True,3146
persistent_uninsured_2m,cross_spec,0.004895678930859762,0.0015709867297075957,0.001831307256511705,84929,87.0,estimated,1.5,1.25,1.75,True,3146
medicaid_exit_it,cross_spec,-3.826745777896212e-15,3.207739337551456e-16,0.0,199870,414.0,estimated,2.5,0.75,2.0,True,0
exit_to_uninsured_it,cross_spec,-1.7597414411069101e-15,2.7881134303888187e-16,2.7619240228204944e-10,199870,198.0,estimated,2.5,0.75,2.0,True,0
persistent_uninsured_2m,cross_spec,-1.3489372379521525e-15,2.769656444369686e-16,1.1136489701524255e-06,199870,187.0,estimated,2.5,0.75,2.0,True,0
medicaid_exit_it,cross_spec,-3.3282296189873772e-15,1.1382891735260372e-15,0.003456895287549555,121527,272.0,estimated,2.5,1.0,1.75,True,0
exit_to_uninsured_it,cross_spec,-1.1524255941891548e-15,1.0012407128818163e-15,0.24973324893429627,121527,125.0,estimated,2.5,1.0,1.75,True,0
persistent_uninsured_2m,cross_spec,-1.1358915110587509e-15,9.999750401326872e-16,0.25599010427734115,121527,119.0,estimated,2.5,1.0,1.75,True,0
medicaid_exit_it,cross_spec,-1.2950252849253108e-15,8.218407977674292e-16,0.11508072300505812,166523,344.0,estimated,2.5,1.0,2.0,True,0
exit_to_uninsured_it,cross_spec,-5.170831211126492e-16,7.55092772059037e-16,0.4934738206293572,166523,156.0,estimated,2.5,1.0,2.0,True,0
persistent_uninsured_2m,cross_spec,-4.857767833821303e-16,7.540577253012121e-16,0.5194347477459993,166523,149.0,estimated,2.5,1.0,2.0,True,0
medicaid_exit_it,cross_spec,2.054779957294528e-15,4.825250227845184e-16,2.0590406569986897e-05,84929,198.0,estimated,2.5,1.25,1.75,True,0
exit_to_uninsured_it,cross_spec,9.552363240683537e-16,6.230642242292368e-16,0.12524466943358936,84929,92.0,estimated,2.5,1.25,1.75,True,0
persistent_uninsured_2m,cross_spec,9.432016799537646e-16,6.223966140393576e-16,0.1296622521871309,84929,87.0,estimated,2.5,1.25,1.75,True,0
medicaid_exit_it,cross_spec,0.005867466812964731,0.001225330569447007,1.6805211771053763e-06,337330,643.0,estimated,1.0,0.75,2.0,False,10373
exit_to_uninsured_it,cross_spec,0.0033499848190216485,0.0007938495786379726,2.4438478621435777e-05,337330,345.0,estimated,1.0,0.75,2.0,False,10373
persistent_uninsured_2m,cross_spec,0.003305003195807503,0.0007869359816615986,2.6710668573848295e-05,337330,327.0,estimated,1.0,0.75,2.0,False,10373
medicaid_exit_it,cross_spec,0.00627213704911282,0.0013713394896392786,4.79116377194444e-06,204250,411.0,estimated,1.0,1.0,1.75,False,8793
exit_to_uninsured_it,cross_spec,0.003584288344201107,0.0008822137061391506,4.84803883873397e-05,204250,214.0,estimated,1.0,1.0,1.75,False,8793
persistent_uninsured_2m,cross_spec,0.003497627341314568,0.0008739957715481029,6.284082217589138e-05,204250,203.0,estimated,1.0,1.0,1.75,False,8793
medicaid_exit_it,cross_spec,0.0059713569017851445,0.0012224571205479106,1.0357758950529927e-06,280497,529.0,estimated,1.0,1.0,2.0,False,10373
exit_to_uninsured_it,cross_spec,0.00353415414026221,0.000789434744678511,7.576447348389692e-06,280497,274.0,estimated,1.0,1.0,2.0,False,10373
persistent_uninsured_2m,cross_spec,0.003458955877038111,0.0007829032401764328,9.956583885806225e-06,280497,261.0,estimated,1.0,1.0,2.0,False,10373
medicaid_exit_it,cross_spec,0.008552075856307087,0.0022265777615880686,0.0001225810573972641,141266,292.0,estimated,1.0,1.25,1.75,False,4705
exit_to_uninsured_it,cross_spec,0.004466025879332855,0.001314653212280614,0.00068100770413837,141266,151.0,estimated,1.0,1.25,1.75,False,4705
persistent_uninsured_2m,cross_spec,0.004346812922955352,0.001298284227820779,0.0008136142671910651,141266,142.0,estimated,1.0,1.25,1.75,False,4705
medicaid_exit_it,cross_spec,0.006687724999506074,0.001216165825816699,3.818992744264449e-08,337330,643.0,estimated,1.33,0.75,2.0,False,9629
exit_to_uninsured_it,cross_spec,0.004825624011627846,0.0008907446981591124,6.043260758481495e-08,337330,345.0,estimated,1.33,0.75,2.0,False,9629
persistent_uninsured_2m,cross_spec,0.004598781219201942,0.0008736481051171803,1.4104439460815854e-07,337330,327.0,estimated,1.33,0.75,2.0,False,9629
medicaid_exit_it,cross_spec,0.007182507292628449,0.0014747408770818186,1.1139957276640189e-06,204250,411.0,estimated,1.33,1.0,1.75,False,7069
exit_to_uninsured_it,cross_spec,0.005426480966494946,0.0010987106476353576,7.854287562558682e-07,204250,214.0,estimated,1.33,1.0,1.75,False,7069
persistent_uninsured_2m,cross_spec,0.005103582276412182,0.001073651743050343,1.9994471756046295e-06,204250,203.0,estimated,1.33,1.0,1.75,False,7069
medicaid_exit_it,cross_spec,0.006683112467598598,0.0012113008216050067,3.44243549221801e-08,280497,529.0,estimated,1.33,1.0,2.0,False,9629
exit_to_uninsured_it,cross_spec,0.004892950022918534,0.0008862373914237701,3.3700351398380235e-08,280497,274.0,estimated,1.33,1.0,2.0,False,9629
persistent_uninsured_2m,cross_spec,0.004657110854088959,0.0008692908171155743,8.444299215426554e-08,280497,261.0,estimated,1.33,1.0,2.0,False,9629
medicaid_exit_it,cross_spec,0.006974169460594139,0.0014665433602737048,1.9794081911328476e-06,141266,292.0,estimated,1.33,1.25,1.75,False,7069
exit_to_uninsured_it,cross_spec,0.0054133065094402,0.0010870468361142082,6.364073616982324e-07,141266,151.0,estimated,1.33,1.25,1.75,False,7069
persistent_uninsured_2m,cross_spec,0.005093827345116885,0.00106247232044594,1.632313405552921e-06,141266,142.0,estimated,1.33,1.25,1.75,False,7069
medicaid_exit_it,cross_spec,0.006396085528015962,0.0012133804102886587,1.3546487664939377e-07,337330,643.0,estimated,1.38,0.75,2.0,False,9430
exit_to_uninsured_it,cross_spec,0.0042484169897108615,0.000859484145257592,7.69355193552812e-07,337330,345.0,estimated,1.38,0.75,2.0,False,9430
persistent_uninsured_2m,cross_spec,0.004059135856579498,0.0008421202248054464,1.4345881322874732e-06,337330,327.0,estimated,1.38,0.75,2.0,False,9430
medicaid_exit_it,cross_spec,0.0068221768760175425,0.001515412976714694,6.736138830731875e-06,204250,411.0,estimated,1.38,1.0,1.75,False,6633
exit_to_uninsured_it,cross_spec,0.004694959590293271,0.0010902788346553428,1.660823078197815e-05,204250,214.0,estimated,1.38,1.0,1.75,False,6633
persistent_uninsured_2m,cross_spec,0.004413798620328676,0.001063127715250893,3.299993746019858e-05,204250,203.0,estimated,1.38,1.0,1.75,False,6633
medicaid_exit_it,cross_spec,0.006379457770571857,0.0012091249163440434,1.3196578740881648e-07,280497,529.0,estimated,1.38,1.0,2.0,False,9430
exit_to_uninsured_it,cross_spec,0.0042948590781792745,0.0008559580937693789,5.231977762143458e-07,280497,274.0,estimated,1.38,1.0,2.0,False,9430
persistent_uninsured_2m,cross_spec,0.004100288357207314,0.0008387056103144261,1.0143753008673428e-06,280497,261.0,estimated,1.38,1.0,2.0,False,9430
medicaid_exit_it,cross_spec,0.006635825366106838,0.001505741878050358,1.0480547132152296e-05,141266,292.0,estimated,1.38,1.25,1.75,False,6633
exit_to_uninsured_it,cross_spec,0.00467529141493308,0.0010792107253546773,1.4766732431947815e-05,141266,151.0,estimated,1.38,1.25,1.75,False,6633
persistent_uninsured_2m,cross_spec,0.00439776461211082,0.0010525725385002681,2.9394055771847505e-05,141266,142.0,estimated,1.38,1.25,1.75,False,6633
medicaid_exit_it,cross_spec,0.005123025428716903,0.0012230622962123526,2.8057276913129314e-05,337330,643.0,estimated,1.5,0.75,2.0,False,8583
exit_to_uninsured_it,cross_spec,0.003151304246147626,0.0008151472211869181,0.0001106654828375575,337330,345.0,estimated,1.5,0.75,2.0,False,8583
persistent_uninsured_2m,cross_spec,0.0030566705186825943,0.0008014802156042308,0.0001368564078279011,337330,327.0,estimated,1.5,0.75,2.0,False,8583
medicaid_exit_it,cross_spec,0.005613537744309758,0.0017232062348255972,0.0011235381151859514,204250,411.0,estimated,1.5,1.0,1.75,False,5139
exit_to_uninsured_it,cross_spec,0.003430213960448023,0.0011454550882958872,0.0027477810093756716,204250,214.0,estimated,1.5,1.0,1.75,False,5139
persistent_uninsured_2m,cross_spec,0.0032592514953285064,0.0011188582596709875,0.003579567894709257,204250,203.0,estimated,1.5,1.0,1.75,False,5139
medicaid_exit_it,cross_spec,0.005100157389409506,0.001219283865947424,2.8779852824234453e-05,280497,529.0,estimated,1.5,1.0,2.0,False,8583
exit_to_uninsured_it,cross_spec,0.0031771733353984167,0.0008130082485584627,9.309310438299079e-05,280497,274.0,estimated,1.5,1.0,2.0,False,8583
persistent_uninsured_2m,cross_spec,0.0030838953876202975,0.0007994225114165768,0.00011448058542229411,280497,261.0,estimated,1.5,1.0,2.0,False,8583
medicaid_exit_it,cross_spec,0.0055149630023219876,0.0017096799674070292,0.0012565259133636708,141266,292.0,estimated,1.5,1.25,1.75,False,5139
exit_to_uninsured_it,cross_spec,0.0034522049549196646,0.001132859482818158,0.0023087847708596065,141266,151.0,estimated,1.5,1.25,1.75,False,5139
persistent_uninsured_2m,cross_spec,0.003285090493410527,0.0011068022382406217,0.002996549570382534,141266,142.0,estimated,1.5,1.25,1.75,False,5139
medicaid_exit_it,cross_spec,3.737244888557534e-16,4.3315191491280863e-16,0.3882461484583781,337330,643.0,estimated,2.5,0.75,2.0,False,0
exit_to_uninsured_it,cross_spec,2.0095687267018825e-16,3.0425354148434594e-16,0.5089384826165406,337330,345.0,estimated,2.5,0.75,2.0,False,0
persistent_uninsured_2m,cross_spec,1.7997756063259374e-16,3.0293176218790474e-16,0.5524324243658334,337330,327.0,estimated,2.5,0.75,2.0,False,0
medicaid_exit_it,cross_spec,2.0735366548785272e-16,0.0,,204250,411.0,estimated,2.5,1.0,1.75,False,0
exit_to_uninsured_it,cross_spec,1.109138822452671e-16,0.0,,204250,214.0,estimated,2.5,1.0,1.75,False,0
persistent_uninsured_2m,cross_spec,1.0465261469916332e-16,0.0,,204250,203.0,estimated,2.5,1.0,1.75,False,0
medicaid_exit_it,cross_spec,-2.7208595619609977e-15,4.50890279705206e-16,1.5953849352712268e-09,280497,529.0,estimated,2.5,1.0,2.0,False,0
exit_to_uninsured_it,cross_spec,-5.344032508181051e-16,3.130222420117187e-16,0.08777795264030952,280497,274.0,estimated,2.5,1.0,2.0,False,0
persistent_uninsured_2m,cross_spec,-6.385137644310257e-16,3.128950957381809e-16,0.04128423383607771,280497,261.0,estimated,2.5,1.0,2.0,False,0
medicaid_exit_it,cross_spec,8.526165884426007e-16,0.0,,141266,292.0,estimated,2.5,1.25,1.75,False,0
exit_to_uninsured_it,cross_spec,4.606232929804666e-16,0.0,,141266,151.0,estimated,2.5,1.25,1.75,False,0
persistent_uninsured_2m,cross_spec,4.553649124439119e-16,0.0,,141266,142.0,estimated,2.5,1.25,1.75,False,0
