bundle_rank,country,survey_name,wave,idno,mechanism_pathway,required_concept_rows,recommended_concept_rows,raw_verified_required_rows,blocked_required_rows,metadata_missing_required_rows,harmonization_status,climate_linkage_status,outcome_status,modeling_status,readiness_status,next_action
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,uhc_double_failure_composite,7,4,0,7,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_illness,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,income_consumption_decline,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,oop_share_conditional_on_seeking,5,5,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
