bundle_rank,country,survey_name,wave,idno,required_variable_rows,recommended_variable_rows,optional_variable_rows,recipe_ready_required_rows,recipe_ready_recommended_rows,blocked_required_rows,blocked_recommended_rows,required_variables_missing,readiness_status,next_action
19,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
20,Sierra Leone,Integrated Household Survey 2011,2011,SLE_2011_SLIHS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
21,Timor-Leste,Survey of Living Standards 2007 and Extension 2008,2007-2008,TLS_2007_TLSLS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
22,Tanzania,National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data,2019-2020,TZA_2019_NPS-SDD_v06_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
23,Tanzania,National Panel Survey 2014-2015,2013-2016,TZA_2014_NPS-R4_v03_M_v03_A_EXT,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
24,Bulgaria,Integrated Household Survey 1995,1995,BGR_1995_IHS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
25,Bulgaria,Integrated Household Survey 1997,1997,BGR_1997_IHS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
26,Viet Nam,Household Living Standards Survey 2002,2002,VNM_2002_VHLSS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
27,Ethiopia,"Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020",2016-2020,ETH_2016-2020_FJW_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
28,Nigeria,Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016,2011-2016,NGA_2011-2016_YouWiNIE_v02_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
