download_rank,country,wave,idno,requirement,core_file_rows,core_matched_file_rows,core_missing_file_rows,unique_expected_core_files,top_variable_names,requirement_acceptance_status,post_download_requirement_action,data_write_gate_status,modeling_gate_status
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,8,0,8,sect1_hh_w4.dta;sect11b1_hh_w4.dta;sect10d1_hh_w4.dta;sect1_ph_w4.dta;sect1_pp_w4.dta;sect10b_hh_w4.dta;sect2_pp_w4.dta;sect3_pp_w4.dta,individual_id;household_id;household_id,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,2,0,2,sect8_3_ls_w4.dta;sect3_hh_w4.dta,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;s3q17;s3q18,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,7,0,7,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect12b1_hh_w4.dta;ETH_HouseholdGeovariables_Y4.dta;sect_cover_hh_w4.dta;sect15b_hh_w4.dta,InterviewDate;saq19__Timestamp;s12bq08a;s12bq08b;wetQ_avgstart;h2018_wetQstart;InterviewStart;s15q06b,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,8,0,8,sect_cover_hh_w4.dta;sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect6b2_hh_w4.dta;sect7a_hh_w4.dta;sect9_hh_w4.dta;sect1_hh_w4.dta;sect10d1_hh_w4.dta,ea_id,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,5,0,5,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2,ea;lga;state;zone;LAT_DD_MOD;LON_DD_MOD;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,4,0,4,cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2,totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;s8q10;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,3,0,3,sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2,s4aq15;s4aq16;s4aq17;s4aq1;s4aq3;s4aq20;s4aq6a;s4aq6b;s4aq6c;cost_cd;cost_desc;s4bq3,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,8,0,8,sect1_plantingw2;sect1_harvestw2;secta10_harvestw2;sect11a_plantingw2;sect11a1_plantingw2;sect12_plantingw2;HHTrack;secta_harvestw2,hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,1,0,1,sect4a_harvestw2,s4aq20;s4aq20b;s4aq13;s4aq35a;s4aq35b;s4aq35c,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,1,0,1,secta_harvestw2,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;saq22bm,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_design,4,0,4,HHTrack;cons_agg_wave2_visit1;cons_agg_wave2_visit2;secta_harvestw2,wt_combined;wt_w1v1;wt_w1v2;wt_w2v1;wt_w2v2;wt_wave1;wt_wave2;ea;hhweight;wt_combined,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,6,0,6,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2,s1q31a;s1q31b;s1q31c;s1q31d;LAT_DD_MOD;LON_DD_MOD;ea;lga;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,3,0,3,cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3,totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;ea;hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,2,0,2,sect4a_harvestw3;sect3_plantingw3,s4aq15;s4aq16;s4aq17;s4aq1;s4aq6a;s4aq6a_os;s4aq6b;s4aq6b_os;s4aq3;s4aq3b;s4aq3b_os;s3q9b,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,8,0,8,sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3;sect12_plantingw3;sect1_harvestw3;secta10_harvestw3;sect7a_plantingw3;sect7b_plantingw3,hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,1,0,1,sect4a_harvestw3,s4aq20;s4aq20b;s4aq13;s4aq35a;s4aq35b;s4aq35c,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,1,0,1,secta_harvestw3,saq14ah;saq14am;saq14bh;saq14bm;saq17ah;saq17am;saq17bh;saq17bm;saq20ah;saq20am;saq20bh;saq20bm,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,5,0,5,HHTrack;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sectc1_harvestw3;sectc2_harvestw3,wt_combined;wt_w1_w2_w3;wt_w1_w3;wt_w1v1;wt_w1v2;wt_w2_w3;ea;hhweight;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,3,0,3,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2,lat_dd_mod;lon_dd_mod;ea;eviarea_avg;grn_avg;h2010_eviarea;h2010_grn;h2010_sen;lga;sen_avg;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income,2,0,2,cons_agg_wave1_visit1;cons_agg_wave1_visit2,totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;fdalcpr;fdbeanpr;totcons;nfdfoth;fdfishpr;fdothpr;fdrestby,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,health_need_and_access,3,0,3,sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1,s4aq15;s4aq16;s4aq17;s4aq1;s4aq3;s4aq6a;s4aq6b;s4aq6c;s4aq20;s4aq20b;s4bq3;s3aq17,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_keys,8,0,8,secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1,hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,1,0,1,sect4a_harvestw1,s4aq20;s4aq20b;s4aq19;s4aq13;s4aq17,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,2,0,2,secta_harvestw1;sectc_plantingw1,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;interview_date,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_design,8,0,8,cons_agg_wave1_visit1;cons_agg_wave1_visit2;NGA_HouseholdGeovariables_Y1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1,ea;hhweight;ea;eviarea_avg;h2010_eviarea;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,8,0,8,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI,ea_id;lat_modified;lon_modified;clusterid;ea;ea;ea_id,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income,3,0,3,TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels,hhexpenses;hhexpensesR;expm;expmR;hhid;slcode;slq1;slq2;hhid;smcode;smq1;smq2,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,health_need_and_access,2,0,2,SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_I_English_Labels,sdq22;sdq4;sdq43_1;sdq43_2;sdq43_3;sdq55_1;sdq55_2;sdq55_3;sdq6;sdq8;sdq9;siq8b,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,household_person_keys,8,0,8,Agriculture SEC_1_ALL_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels;SEC_2A_Swahili_Labels;SEC_2B_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_2A_English_Labels;SEC_2B_English_Labels;SEC_A_T_Swahili_Labels,hhid;rosterid;hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,2,0,2,SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels,scq14_fee;scq14_food;sdq6;sdq7;scq14_bks;scq14_contr;scq14_tot;scq14_trans;scq14_tui;scq14_unif;sdq5;scq14_fee,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,5,0,5,SEC_A_T_Swahili_Labels;SEC_A_T_English_Labels;SECTA1A2_English_Labels;SEC_R_Swahili_Labels;TZY1.HH.Consumption,endmin;sa2q17endhr;sa2q17starthr;sa2q17startmins;endmin;sa2q17endhr;sa2q17starthr;ca07m;ca07y;srq5month;srq5year;intmonth,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_design,7,0,7,SEC_A_T_English_Labels;nps_weights_oct2010;TZY1.HH.Consumption;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG,hh_weight;hh_weight_trimmed;ea;strataid;hh_weight;hh_weight_trimmed;strataid;hhweight;ea,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,6,0,6,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2,clusterid;district;ea;hh_a18_year;region;ward;clusterid;rum;ea_id;urban,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income,3,0,3,TZY1.HH.Consumption;TZY2.HH.Consumption;HH_SEC_L,hhexpenses;hhexpensesR;expm;expmR;hh_l01_2;hh_l02;itemcode;y2_hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,health_need_and_access,6,0,6,HH_SEC_D;FS_H2;TZY1.HH.Consumption;FS_N2;HH_SEC_G;TZY2.HH.Consumption,hh_d12_1;hh_d12_2;hh_d02;hh_d13;hh_d38;costid;costitem;health;healthR;costid;hh_g03_5;health,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_keys,8,0,8,HH_SEC_B;AG_SEC10B;AG_SEC7A;AG_SEC7B;TZY2.HH.Consumption;FS_J1;FS_J3;FS_C1,hhid_2008;y2_hhid;y2_hhid;hhid_2008,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,1,0,1,HH_SEC_D,hh_d05_1;hh_d05_2;hh_d07;hh_d08;hh_d09;hh_d13;hh_d15;hh_d29_1,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,6,0,6,HH_SEC_C;HH_SEC_E1;HH_SEC_A;HH_SEC_D;TZY1.HH.Consumption;TZY2.HH.Consumption,hh_c08;hh_c10;hh_c30;hh_e44;hh_e67;hh_e68;hh_a18_month;hh_a18_year;hh_d05_1;hh_d05_2;intmonth,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_design,8,0,8,HH_SEC_A;TZY1.HH.Consumption;TZY2.HH.Consumption;Plot.Geovariables_Y2;HH.Geovariables_Y2;COMSEC_CA;COMSEC_CB;COMSEC_CD,strataid;y2_weight;hhweight;ea_id;id_04,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,5,0,5,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat,cm_lon_g;cm_lon_m;cm_lon_s;y3_cluster;ag2a_06_3;ag2a_06_4;ag_a04_1;ag_a04_2;hh_a04_1;hh_a04_2;lf_a04_1;lf_a04_2,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,2,0,2,HH_SEC_K.NSDstat;HH_SEC_L.NSDstat,hh_k01;hh_k02;hh_k03;itemcode;occ;y3_hhid;hh_l01;hh_l02;hh_l03;itemcode;occ;y3_hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,6,0,6,HH_SEC_D.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;HH_SEC_G.NSDstat;AG_SEC_11.NSDstat;COM_SEC_CB.NSDstat,hh_d12_1;hh_d12_2;hh_d02;hh_d13;hh_d23;health;healthR;costcode;costname;hh_g03_5;ag11_05;cm_b02,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,8,0,8,HH_SEC_B.NSDstat;AG_SEC_01.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_2B.NSDstat;LF_NETWORK.NSDstat;LF_SEC_01.NSDstat;AG_SEC_08.NSDstat;AG_SEC_11.NSDstat,y2_hhid;y3_hhid;y3_hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,1,0,1,HH_SEC_D.NSDstat,hh_d05_1;hh_d05_2;hh_d07;hh_d08;hh_d09;hh_d13;hh_d15;hh_d20;hh_d01;hh_d02;hh_d03_1;hh_d03_2,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,5,0,5,HH_SEC_A.NSDstat;COM_SEC_A1A2.NSDstat;AG_SEC_A.NSDstat;LF_SEC_A.NSDstat;AG_SEC_12A.NSDstat,hh_a18;hh_a18_1;hh_a18_2;hh_a18_3;cm_a07;cm_a07_1;cm_a07_2;cm_a07_3;ag_a13;ag_a12_1;lf_a13;ag12a_07,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,6,0,6,HH_SEC_A.NSDstat;AG_SEC_A.NSDstat;LF_SEC_A.NSDstat;COM_SEC_CG.NSDstat;Y3_weights.NSDstat;COM_SEC_CD.NSDstat,y3_weight;strataid;hh_a04_1;hh_a04_2;ag_a04_1;ag_a04_2;lf_a04_1;lf_a04_2;cm_g_weight;cm_g_weight2;y3_panelweight;id_04,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,climate_geography,8,0,8,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat,regurb;urban;district;urban;Final_EA_code,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,consumption_or_income,2,0,2,GSEC15B.NSDstat;pov2019_20.NSDstat,CEB03;CEB04;CEB07;CEB10;CEB11;CEB14a;CEB15;CEB16;coicop_2;cpexp30;nrrexp30;hpline,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,health_need_and_access,4,0,4,CSEC2B.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC6_1.NSDstat,s2bq13__1;s2bq09;s2bq10;s2bq13__2;s2bq13__3;s2bq13__4;s4bq23;s4bq26;s4bq27;s4bq28;Health_Water_id;s6q15b,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,household_person_keys,8,0,8,GSEC2.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat;GSEC19.NSDstat;GSEC1.NSDstat;GSEC7_1.NSDstat;GSEC7_2.NSDstat,hhid,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,oop_health_expenditure,3,0,3,GSEC5.NSDstat;GSEC6_1.NSDstat;GSEC6_3.NSDstat,h5q12a;h5q12b;h5q12f;h5q12f_1;h5q12g;h5q12c;h5q12d;h5q12e;h6q12h;s6q07_1;s6q07_3i;t31,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,survey_timing,6,0,6,GSEC12_2.NSDstat;GSEC1.NSDstat;AGSEC5A.NSDstat;GSEC2.NSDstat;GSEC9.NSDstat;AGSEC9A.NSDstat,h12q04;h12q12;h12q13;month;year;s5aq06f_1;s5aq06f_11;s5aq06f_1_1;h2q9b;h2q9c;dwellingVisit;h9q07a,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,weights_and_design,8,0,8,CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;CSEC3_0.NSDstat;CSEC3A.NSDstat,Final_EA_code,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,climate_geography,5,0,5,S00;FINAL_PREF;S04;S01;S21,v00_zone;v00_headn;v00_team;v00_ward;district;district_name;Eastern;HEAD___;v04_03b;v04_11b;v01_05b;v21_ward,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
