exposure_family,exposure_name,primary_source,fallback_or_robustness_source,window,raw_source_variable_or_product,unit_or_scale,construction_rule,minimum_inputs_required,current_status
temperature,temperature_mean,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,3m,daily mean temperature,Celsius after unit conversion if raw product is Kelvin,average daily mean temperature over the pre-interview window,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,temperature_mean,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,6m,daily mean temperature,Celsius after unit conversion if raw product is Kelvin,average daily mean temperature over the pre-interview window,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,temperature_mean,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,12m,daily mean temperature,Celsius after unit conversion if raw product is Kelvin,average daily mean temperature over the pre-interview window,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,heat_days_95p,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,1m,daily maximum temperature,days,count days above local 95th percentile after historical baseline is constructed,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,heat_days_95p,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,3m,daily maximum temperature,days,count days above local 95th percentile after historical baseline is constructed,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,heat_days_95p,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,6m,daily maximum temperature,days,count days above local 95th percentile after historical baseline is constructed,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,heat_days_95p,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,12m,daily maximum temperature,days,count days above local 95th percentile after historical baseline is constructed,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
water_balance,spei_or_water_deficit,TerraClimate monthly water balance,SPEI drought index,1m,"SPEI, water deficit, PET or related balance variable",source-specific; must record scale and units,extract monthly value matching the pre-interview window only as robustness after source units/scales are verified,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
water_balance,spei_or_water_deficit,TerraClimate monthly water balance,SPEI drought index,3m,"SPEI, water deficit, PET or related balance variable",source-specific; must record scale and units,extract monthly value matching the pre-interview window only as robustness after source units/scales are verified,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
water_balance,spei_or_water_deficit,TerraClimate monthly water balance,SPEI drought index,6m,"SPEI, water deficit, PET or related balance variable",source-specific; must record scale and units,extract monthly value matching the pre-interview window only as robustness after source units/scales are verified,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
water_balance,spei_or_water_deficit,TerraClimate monthly water balance,SPEI drought index,12m,"SPEI, water deficit, PET or related balance variable",source-specific; must record scale and units,extract monthly value matching the pre-interview window only as robustness after source units/scales are verified,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
