country,wave,idno,raw_dist_code,raw_dist_label,normalized_adm2_name,household_rows,interview_month_count,interview_month_min,interview_month_max,boundary_match_status,boundary_source,route_role
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,209,Ntcheu,Ntcheu,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,301,Mangochi,Mangochi,720,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,302,Machinga,Machinga,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,303,Zomba/Zomba City,Zomba,720,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,304,Chiradzulu,Chiradzulu,240,12,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,305,Blantyre/Blantyre City,Blantyre,720,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,306,Mwanza,Mwanza,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,307,Thyolo,Thyolo,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,308,Mulanje,Mulanje,480,12,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,309,Phalombe,Phalombe,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,310,Chikwawa,Chikwawa,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,311,Nsanje,Nsanje,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,312,Balaka,Balaka,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,,,Likoma,0,0,,,boundary_present_no_raw_sample,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",unsampled_boundary_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,,,Neno,0,0,,,boundary_present_no_raw_sample,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",unsampled_boundary_district
