download_priority_order,queue_role,country,wave,idno,requirement,variable_decision_rows,mechanical_pass_rows,documentation_code_match_rows,documentation_label_match_rows,variables_with_value_labels,variables_with_nonmissing_values,possible_missing_code_variables,possible_skip_pattern_variables,detected_recall_periods,detected_units_or_scales,top_candidate_variables,mechanical_raw_check_decision,final_verification_decision,remaining_blocker,next_action
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,health_need_and_access,9,9,0,9,7,9,costid; hh_d12_1; hh_d12_2; hh_g03_5,costid; hh_d12_1; hh_d12_2; hh_d02; hh_d13; hh_d38; hh_g03_5,,local_currency_amount_needs_unit_confirmation,costid; costitem; hh_d12_1; hh_d12_2; hh_d02; hh_d13; hh_d38; hh_g03_5,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,10,10,0,8,3,10,hh_c08,hh_c08; hh_c10; hh_c30; hh_d05_1; hh_d05_2; hh_e44; hh_e67; hh_e68,past_12_months,month; year; local_currency_amount_needs_unit_confirmation; local_currency_amount_needs_unit_confirmation; month,hh_a18_month; hh_a18_year; hh_c08; hh_c10; hh_c30; hh_d05_1; hh_d05_2; hh_e44; hh_e67; hh_e68,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,11,11,7,1,3,11,ea,,,unit_variable; year,clusterid; district; ea; hh_a18_year; region; ward,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,12,12,0,0,0,12,,,,,y3_hhid; y2_hhid,mechanical_raw_profile_available_documentation_crosscheck_missing,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,12,12,0,12,0,12,ag_a04_1; id_04; cm_g_weight2; hh_a04_1; lf_a04_1,ag_a04_1; cm_g_weight; cm_g_weight2; hh_a04_1; lf_a04_1,,survey_weight,ag_a04_1; ag_a04_2; id_04; cm_g_weight; cm_g_weight2; y3_weight; strataid; hh_a04_1; hh_a04_2; lf_a04_1; lf_a04_2; y3_panelweight,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,12,11,4,6,4,11,itemcode,hh_k01; hh_k02; hh_k03; hh_l01; hh_l02; hh_l03,past_12_months,month; local_currency_amount_needs_unit_confirmation,hh_k01; hh_k02; hh_k03; itemcode; occ; y3_hhid; hh_l01; hh_l02; hh_l03,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,12,12,0,12,5,12,hh_d20; hh_d03_1; hh_d03_2,hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d20; hh_d01; hh_d02,past_4_weeks,local_currency_amount_needs_unit_confirmation; year,hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d20; hh_d01; hh_d02; hh_d03_1; hh_d03_2,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,12,12,2,10,8,12,ag11_05; hh_d12_1; hh_d12_2; hh_g03_5; costcode,ag11_05; cm_b02; hh_d12_1; hh_d12_2; hh_d02; hh_d13; hh_d23; hh_g03_5; costcode,,local_currency_amount_needs_unit_confirmation,ag11_05; cm_b02; health; healthR; hh_d12_1; hh_d12_2; hh_d02; hh_d13; hh_d23; hh_g03_5; costcode; costname,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,12,12,0,12,2,12,,ag12a_07; ag_a13; ag_a12_1; lf_a13,past_12_months,month,ag12a_07; ag_a13; ag_a12_1; cm_a07; cm_a07_1; cm_a07_2; cm_a07_3; hh_a18; hh_a18_1; hh_a18_2; hh_a18_3; lf_a13,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,14,14,2,12,2,14,ag_a04_1; hh_a04_1; lf_a04_1,ag_a04_1; hh_a04_1; lf_a04_1,,,ag2a_06_3; ag2a_06_4; ag_a04_1; ag_a04_2; cm_lon_g; cm_lon_m; cm_lon_s; y3_cluster; hh_a04_1; hh_a04_2; lf_a04_1; lf_a04_2,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
