country,wave,idno,source,chirps_month,chirps_file,url,required_for_lag_windows,local_target_path,download_status,notes
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-01,chirps-v2.0.2004.01.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.01.tif.gz,interview=2004-03;lag=12m;interview=2004-03;lag=3m;interview=2004-03;lag=6m;interview=2004-04;lag=12m;interview=2004-04;lag=3m;interview=2004-04;lag=6m;interview=2004-05;lag=12m;interview=2004-05;lag=6m;interview=2004-06;lag=12m;interview=2004-06;lag=6m;interview=2004-07;lag=12m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-09;lag=12m;interview=2004-10;lag=12m;interview=2004-11;lag=12m;interview=2004-12;lag=12m;interview=2005-01;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.01.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-02,chirps-v2.0.2004.02.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.02.tif.gz,interview=2004-03;lag=12m;interview=2004-03;lag=1m;interview=2004-03;lag=3m;interview=2004-03;lag=6m;interview=2004-04;lag=12m;interview=2004-04;lag=3m;interview=2004-04;lag=6m;interview=2004-05;lag=12m;interview=2004-05;lag=3m;interview=2004-05;lag=6m;interview=2004-06;lag=12m;interview=2004-06;lag=6m;interview=2004-07;lag=12m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-10;lag=12m;interview=2004-11;lag=12m;interview=2004-12;lag=12m;interview=2005-01;lag=12m;interview=2005-02;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.02.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-03,chirps-v2.0.2004.03.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.03.tif.gz,interview=2004-04;lag=12m;interview=2004-04;lag=1m;interview=2004-04;lag=3m;interview=2004-04;lag=6m;interview=2004-05;lag=12m;interview=2004-05;lag=3m;interview=2004-05;lag=6m;interview=2004-06;lag=12m;interview=2004-06;lag=3m;interview=2004-06;lag=6m;interview=2004-07;lag=12m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-11;lag=12m;interview=2004-12;lag=12m;interview=2005-01;lag=12m;interview=2005-02;lag=12m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.03.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-04,chirps-v2.0.2004.04.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.04.tif.gz,interview=2004-05;lag=12m;interview=2004-05;lag=1m;interview=2004-05;lag=3m;interview=2004-05;lag=6m;interview=2004-06;lag=12m;interview=2004-06;lag=3m;interview=2004-06;lag=6m;interview=2004-07;lag=12m;interview=2004-07;lag=3m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-12;lag=12m;interview=2005-01;lag=12m;interview=2005-02;lag=12m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.04.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-05,chirps-v2.0.2004.05.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.05.tif.gz,interview=2004-06;lag=12m;interview=2004-06;lag=1m;interview=2004-06;lag=3m;interview=2004-06;lag=6m;interview=2004-07;lag=12m;interview=2004-07;lag=3m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-08;lag=3m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2005-01;lag=12m;interview=2005-02;lag=12m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.05.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-06,chirps-v2.0.2004.06.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.06.tif.gz,interview=2004-07;lag=12m;interview=2004-07;lag=1m;interview=2004-07;lag=3m;interview=2004-07;lag=6m;interview=2004-08;lag=12m;interview=2004-08;lag=3m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-09;lag=3m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-02;lag=12m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.06.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-07,chirps-v2.0.2004.07.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.07.tif.gz,interview=2004-08;lag=12m;interview=2004-08;lag=1m;interview=2004-08;lag=3m;interview=2004-08;lag=6m;interview=2004-09;lag=12m;interview=2004-09;lag=3m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-10;lag=3m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.07.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-08,chirps-v2.0.2004.08.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.08.tif.gz,interview=2004-09;lag=12m;interview=2004-09;lag=1m;interview=2004-09;lag=3m;interview=2004-09;lag=6m;interview=2004-10;lag=12m;interview=2004-10;lag=3m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-11;lag=3m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-02;lag=6m;interview=2005-03;lag=12m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.08.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-09,chirps-v2.0.2004.09.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.09.tif.gz,interview=2004-10;lag=12m;interview=2004-10;lag=1m;interview=2004-10;lag=3m;interview=2004-10;lag=6m;interview=2004-11;lag=12m;interview=2004-11;lag=3m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2004-12;lag=3m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-02;lag=6m;interview=2005-03;lag=12m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.09.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-10,chirps-v2.0.2004.10.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.10.tif.gz,interview=2004-11;lag=12m;interview=2004-11;lag=1m;interview=2004-11;lag=3m;interview=2004-11;lag=6m;interview=2004-12;lag=12m;interview=2004-12;lag=3m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-01;lag=3m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-02;lag=6m;interview=2005-03;lag=12m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.10.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-11,chirps-v2.0.2004.11.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.11.tif.gz,interview=2004-12;lag=12m;interview=2004-12;lag=1m;interview=2004-12;lag=3m;interview=2004-12;lag=6m;interview=2005-01;lag=12m;interview=2005-01;lag=3m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-02;lag=3m;interview=2005-02;lag=6m;interview=2005-03;lag=12m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.11.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2004-12,chirps-v2.0.2004.12.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2004.12.tif.gz,interview=2005-01;lag=12m;interview=2005-01;lag=1m;interview=2005-01;lag=3m;interview=2005-01;lag=6m;interview=2005-02;lag=12m;interview=2005-02;lag=3m;interview=2005-02;lag=6m;interview=2005-03;lag=12m;interview=2005-03;lag=3m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.12.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2005-01,chirps-v2.0.2005.01.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2005.01.tif.gz,interview=2005-02;lag=12m;interview=2005-02;lag=1m;interview=2005-02;lag=3m;interview=2005-02;lag=6m;interview=2005-03;lag=12m;interview=2005-03;lag=3m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2005.01.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,CHIRPS v2.0 Africa monthly GeoTIFF,2005-02,chirps-v2.0.2005.02.tif.gz,https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2005.02.tif.gz,interview=2005-03;lag=12m;interview=2005-03;lag=1m;interview=2005-03;lag=3m;interview=2005-03;lag=6m,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2005.02.tif.gz,not_downloaded_source_url_verified,"Needed for 1, 3, 6, and 12 complete-month rainfall windows before Malawi 2004 interview month."
