acquisition_batch_rank,batch_role,country,wave,idno,file_rank,file_name,module_priority_role,candidate_categories,candidate_harmonized_variables,candidate_variable_count,candidate_raw_variables_examples,download_priority_reason
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,11,sect11_com_w5.dta,core_main_sample_module_candidate,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;education;psu_or_cluster_id;rural,26,saq01;saq14;ea_id;saq07;cs11q16_1;cs11q16_2;cs11q01;cs11q02a;cs11q02e;cs11q03;cs11q04a;cs11q04e,climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,12,eth_householdgeovariables_y5.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,25,dist_admhq;dist_border;dist_market;dist_popcenter;dist_road;cropshare;dist_admhq;landcov;lat_dd_mod;lon_dd_mod;pct_urban_center;pct_urban_center,need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,sect8_3_ls_w4.dta,core_main_sample_module_candidate,geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,69,ls_s8_3q04;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;ls_s8_3q12_2;ls_s8_3q14;ls_s8_3q22;ls_s8_3q24;ls_s8_3q23;ls_s8_3q24,OOP spending; need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,2,sect10c_hh_w4.dta,core_main_sample_module_candidate,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,64,saq01;saq14;ea_id;individual_id;pw_w4;saq07;saq08;s10bq04;s10c_q02d;s10c_q02e;s10c_q05b;s10c_q05c,climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3,sect11_ph_w4.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,56,s11q16;s11q17;saq01;saq14;ea_id;pw_w4;saq07;saq08;harvestedcrop_id;s11q01;s11q02a1;s11q02a2,need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,4,sect04_com_w4.dta,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,42,cs4q04__0;cs4q04__1;cs4q04__10;cs4q04__11;cs4q04__12;cs4q04__13;cs4q04__2;cs4q04__3;cs4q04__4;cs4q04__5;cs4q04__6;cs4q04__7,need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,5,sect06_com_w4.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,42,cs6q09;saq01;saq14;ea_id;saq07;cs6q01;cs6q02;cs6q03_1;cs6q03_2;cs6q03_3;cs6q04_1;cs6q04_2,need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,6,sect3_pp_w4.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;rural,42,s3q08;s3q09__Accuracy;s3q09__Altitude;s3q09__Latitude;s3q09__Longitude;s3q09__Timestamp;s3q37;saq01;saq14;ea_id;pw_w4;saq07,climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,7,sect5b2_hh_w4.dta,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,39,saq01;saq14;ea_id;individual_id;pw_w4;saq07;saq08;asset_id;asset_type;s5bq03a;s5bq04a;s5bq04b,climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,8,sect4_pp_w4.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,37,saq01;saq14;ea_id;pw_w4;saq07;saq08;crop_id;s4q01a;s4q01b;s4q02;s4q03;s4q04,climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,9,sect3_hh_w4.dta,core_main_sample_module_candidate,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,32,s3q18;s3q19;s3q05;s3q06_1;s3q06_2;s3q06_os;s3q07;s3q09a;s3q09b;s3q10a;s3q10a;s3q10b,OOP spending; need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,10,sect8_2_ls_w4.dta,core_main_sample_module_candidate,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,32,ls_s8_2q14;ls_s8_2q18;ls_s8_2q19;ls_s8_2q20;saq01;saq14;ea_id;pw_w4;saq07;saq08;ls_code;ls_s8_2q01,financial denominator; need/access; climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,11,sect9_ph_w4.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,26,saq01;saq14;ea_id;pw_w4;saq07;saq08;crop_id;s9q00b;s9q02;s9q03;s9q04;s9q05a,climate geography; weights/design/keys
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,12,sect8_4_ls_w4.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,25,saq01;saq14;ea_id;pw_w4;saq07;saq08;ls_code;ls_s8_4_q02;ls_s8_4aq20;ls_s8_4aq21_1;ls_s8_4aq21_2;ls_s8_4aq22,climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,1,hh2_cmty,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_sought;coping_borrowed;education;health_facility_distance;reason_not_sought_distance;rural;sex;shock_module_variable,86,ccq02_n;ccq02_u;ccq07_n;ccq07_u;ccq10_n;ccq10_u;ccq11;ccq13_n;ccq13_u;ccq14;ccq16_n;ccq16_u,need/access; climate geography
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,2,pi_s5a,core_main_sample_module_candidate,demographics;health_need_access;survey_design,care_not_sought_reason;education;hhid;pid;reason_not_sought_cost;reason_not_sought_distance;sex,44,s5q17b_1;s5q17b_2;s5q17b_3;s5q17c_1;s5q17c_2;s5q17c_3;s5q17d_1;s5q17d_2;s5q17d_3;s5q17g_1;s5q17g_2;s5q17g_3,need/access; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,3,p2_s14a,core_main_sample_module_candidate,demographics;health_need_access;survey_design,age;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;sex,34,s14q19d_1;s14q19d_2;s14q19d_3;s14q19g_1;s14q19g_2;s14q19g_3;ea;hhid;hhid;pid;s14q11_1;s14q11_2,need/access; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,4,p2_s13,core_main_sample_module_candidate,demographics;geography;health_need_access;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;sex,31,s13q25j;s13q41e;ea;hhid;hhid;pid;s13q05;s13q06;s13q08;s13q19;s13q20;s13q25f,need/access; climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,5,p2_s10,core_main_sample_module_candidate,demographics;health_expenditure;health_need_access;shocks;survey_design,age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;education;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance,28,s10q35b;s10q23;s10q23_s;s10q39b;ea;hhid;hhid;pid;s10q12a;s10q12b;s10q13;s10q15,OOP spending; need/access; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,6,p2_s11,core_main_sample_module_candidate,demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;sex;shock_module_variable,25,s11q13;s11q16;s11q17;s11q18a_1;s11q18a_2;s11q18b_1;s11q18b_2;s11q19_1;s11q19_2;s11q19_s_1;s11q19_s_2;ea,OOP spending; need/access; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,7,hh2p3_s17,core_main_sample_module_candidate,demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;shock_module_variable,23,s17q13;s17q16;s17q17;s17q18a_1;s17q18a_2;s17q18b_1;s17q18b_2;s17q19_1;s17q19_2;s17q19_s_1;s17q19_s_2;hhid,OOP spending; need/access; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,8,hh3p3_s15,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;coping_borrowed;education;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,23,s15q30;s15q18;s15q19;s15q22;hhid;hhid;pid;s15q07a;s15q07b;s15q14a;s15q14b;s15q15,need/access; climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,9,p2_s9,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,23,s9q18;s9q19;ea;hhid;hhid;pid;s9q07a;s9q07b;s9q14a;s9q14b;s9q17a_1;s9q17a_2,climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,10,hh2p2_s10,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;hhid;illness_or_injury_need;pid;psu_or_cluster_id;sex,22,s10q13b;s10q09;hhid;hhid;pid;s10q02a;s10q02b;s10q06a_1;s10q06a_2;s10q06a_3;s10q06a_4;s10q06a_5,need/access; climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,11,hh2p2_s12,core_main_sample_module_candidate,demographics;geography;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;sex,22,s12q25e;hhid;hhid;pid;s12q11;s12q19;s12q20;s12q25b;s12q25d;s12q25l;s12q50;s12q51,climate geography; weights/design/keys
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,12,hh2p3_s15,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,21,s15q18;s15q19;hhid;hhid;pid;s15q14a;s15q14b;s15q15;s15q17a_1;s15q17a_2;s15q17a_3;s15q17a_4,climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,secta1_harvestw2,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id,69,lga;sa1q9c;state;ea;hhid;plotid;sa1q10c;sa1q11;sa1q11b;sa1q12;sa1q13;sa1q14,climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,2,sect11b1_plantingw2,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;pid;psu_or_cluster_id,58,lga;state;ea;hhid;s11b1q23b;s11b1q23c;s11b1q23d;plotid;s11b1q11;s11b1q12a;s11b1q12b;s11b1q12c,climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,3,sect11h_plantingw2,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,50,s11hq15;s11hq16;s11hq16b;s11hq8;s11hq9;s11hq9b;lga;state;ea;hhid;s11hq7a;s11hq7b,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,4,sect4a_harvestw2,core_main_sample_module_candidate,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_sought;education;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;sex,40,s4aq20;s4aq20b;s4aq10;s4aq11a;s4aq11a;s4aq11b;s4aq11b;s4aq12a;s4aq12b;s4aq15;s4aq16;s4aq17,OOP spending; need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,5,secta3_harvestw2,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;hhid;psu_or_cluster_id,33,sa3q4;sa3q4b;lga;state;ea;hhid;cropcode;cropid;cropname;plotid;sa3q10;sa3q12b1,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,6,sect11d_plantingw2,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,31,s11dq10;s11dq11;s11dq11b;s11dq17;s11dq18;s11dq18b;s11dq30;s11dq30b;s11dq31;lga;state;ea,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,7,sect9_harvestw2,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;sex;shock_module_variable,29,s9q28c;s9q3;lga;state;ea;hhid;s9q14a;s9q14b;s9q16;s9q17;s9q18;s9q19a,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,8,sect11e_plantingw2,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance,28,s11eq12;s11eq13;s11eq13b;s11eq19;s11eq20;s11eq20b;s11eq31;s11eq32;s11eq32b;lga;state;ea,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,9,secta2_harvestw2,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,28,lga;state;ea;hhid;plotid;sa2q10;sa2q11a;sa2q11b;sa2q11c;sa2q11d;sa2q12a;sa2q12b,climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,10,sect6_plantingw2,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;sex;shock_module_variable,26,s6q3;s6q31c;lga;state;ea;hhid;s6q15a;s6q15b;s6q17;s6q18;s6q19;s6q20a,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,11,NGA_HouseholdGeovars_Y2,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,25,distY1Y2;dist_admctr;dist_border2;dist_market;dist_popcenter2;dist_road2;LAT_DD_MOD;LON_DD_MOD;dist_admctr;h2012_grn;h2012_sen;lga,need/access; climate geography; weights/design/keys
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,12,sect8_harvestw2,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;psu_or_cluster_id,25,lga;state;ea;hhid;s8q1;s8q14a;s8q14b;s8q17;s8q19;s8q2;s8q20;s8q24,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,sect11b1_plantingw3,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,66,lga;state;ea;hhid;plotid;s11b1q1;s11b1q11;s11b1q12a;s11b1q12b;s11b1q12c;s11b1q12d;s11b1q13,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2,secta3ii_harvestw3,core_main_sample_module_candidate,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;psu_or_cluster_id,55,lga;state;ea;hhid;sa3iiq26;sa3iiq27;crop_number;cropcode;cropname;sa3iiq11a;sa3iiq11b;sa3iiq11b_os,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,3,secta1_harvestw3,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id,49,lga;sa1q10a;sa1q1a;sa1q9c;state;ea;hhid;plotid;sa1q10a;sa1q10b;sa1q10bb;sa1q10c,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,4,secta11d_harvestw3,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance,47,s11dq10;s11dq11;s11dq17;s11dq18;s11dq18_os;s11dq30;s11dq30_os;s11dq31;s11dq41;lga;state;ea,need/access; climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,5,sect4a_harvestw3,core_main_sample_module_candidate,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;care_sought;education;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance,37,s4aq20;s4aq20b;s4aq10;s4aq11a;s4aq11a;s4aq11b;s4aq11b;s4aq12a;s4aq12b;s4aq15;s4aq16;s4aq17,OOP spending; need/access; climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,6,secta2_harvestw3,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,37,lga;state;ea;hhid;plotid;sa2q11a;sa2q11b;sa2q11c;sa2q12a;sa2q12b;sa2q12c;sa2q13a,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,7,sect11f_plantingw3,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,36,lga;state;ea;hhid;cropcode;cropid;cropname;plotid;s11fc5;s11fq11a;s11fq11b;s11fq11b_os,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,8,secta3i_harvestw3,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;hhid;psu_or_cluster_id,28,sa3iq4;lga;state;ea;hhid;cropcode;cropid;cropname;plotid;sa3iq3;sa3iq4;sa3iq4a1,need/access; climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,9,sect11_plantingw3,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;psu_or_cluster_id,26,lga;state;ea;hhid;s11q1;s11q14a;s11q14b;s11q17b;s11q19b;s11q2;s11q20;s11q24,climate geography; weights/design/keys
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,10,NGA_HouseholdGeovars_Y3,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,24,distY1Y3;dist_admctr;dist_border2;dist_market;dist_popcenter2;dist_road2;LAT_DD_MOD;LON_DD_MOD;dist_admctr;h2015_grn;h2015_sen;lga,need/access; climate geography; weights/design/keys
