bundle_rank,country,survey_name,wave,idno,included_acquisition_sets,official_url,local_target_folder,metadata_quality_tier,sample_gate_status,eligible_for_final_sample,eligible_for_access_secondary_sample,raw_intake_status,file_count,raw_tabular_file_count,archive_file_count,expected_module_rows,expected_core_module_rows,expected_files_not_present,expected_exact_matches,expected_stem_matches,raw_file_inventory_rows,raw_variable_catalog_rows,high_confidence_rows,moderate_confidence_rows,likely_false_positive_rows,harmonization_status,harmonization_ready_required_rows,harmonization_blocked_required_rows,sdg382_status,sdg382_blocked_component_rows,climate_linkage_status,climate_blocked_requirement_rows,outcome_ready_rows,outcome_metadata_ready_rows,outcome_metadata_incomplete_rows,predictive_ready_rows,reduced_form_ready_rows,causal_ml_ready_rows,policy_learning_ready_rows,mechanism_ready_rows,mechanism_blocked_rows,current_stage,analysis_claim_status,next_blocking_action,blocking_gaps,post_download_commands
11,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,tier_1_quality_supported_financial_and_access_download,metadata_secondary_access_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,99,98,99,0,0,0,0,353,335,14,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
12,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,tier_1_quality_supported_financial_and_access_download,excluded_or_low_priority_until_raw_evidence,0,0,instructions_or_documentation_only,1,0,0,61,61,61,0,0,0,0,246,262,15,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
13,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,59,27,59,0,0,0,0,189,331,27,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
14,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,80,79,80,0,0,0,0,313,440,35,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
15,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,34,32,34,0,0,0,0,541,84,73,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
16,Uganda,"Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey",2012,UGA_2012_SAGE-BL_v01_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2652/get-microdata,temp/raw_downloads/UGA_2012_SAGE-BL_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,30,29,30,0,0,0,0,593,105,25,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
17,Uganda,"Social Assistance Grants for Empowerment Programme 2013, Evaluation Follow-Up Survey",2013,UGA_2013_SAGE-ML_v01_M,multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2653/get-microdata,temp/raw_downloads/UGA_2013_SAGE-ML_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,39,37,39,0,0,0,0,550,87,78,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
18,Bulgaria,Integrated Household Survey 1995,1995,BGR_1995_IHS_v01_M,secondary_access_only_probe,https://microdata.worldbank.org/catalog/2271/get-microdata,temp/raw_downloads/BGR_1995_IHS_v01_M/,tier_3_quality_supported_access_only_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,69,69,69,0,0,0,0,161,81,8,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,2,15,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
19,Bulgaria,Integrated Household Survey 1997,1997,BGR_1997_IHS_v01_M,secondary_access_only_probe,https://microdata.worldbank.org/catalog/2272/get-microdata,temp/raw_downloads/BGR_1997_IHS_v01_M/,tier_3_quality_supported_access_only_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,67,67,67,0,0,0,0,142,76,6,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,2,15,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
20,Ethiopia,"Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020",2016-2020,ETH_2016-2020_FJW_v01_M,secondary_access_only_probe,https://microdata.worldbank.org/catalog/6199/get-microdata,temp/raw_downloads/ETH_2016-2020_FJW_v01_M/,tier_3_quality_supported_access_only_download,metadata_secondary_access_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,3,3,3,0,0,0,0,107,11,5,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,0,17,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
21,Nigeria,Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016,2011-2016,NGA_2011-2016_YouWiNIE_v02_M,secondary_access_only_probe,https://microdata.worldbank.org/catalog/2329/get-microdata,temp/raw_downloads/NGA_2011-2016_YouWiNIE_v02_M/,tier_3_quality_supported_access_only_download,metadata_secondary_access_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,6,5,6,0,0,0,0,96,13,1,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,0,17,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
22,Tanzania,National Panel Survey 2014-2015,2013-2016,TZA_2014_NPS-R4_v03_M_v03_A_EXT,secondary_access_only_probe,https://microdata.worldbank.org/catalog/3455/get-microdata,temp/raw_downloads/TZA_2014_NPS-R4_v03_M_v03_A_EXT/,tier_3_quality_supported_access_only_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,72,70,72,0,0,0,0,291,427,19,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,6,11,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
23,Viet Nam,Household Living Standards Survey 2002,2002,VNM_2002_VHLSS_v01_M,secondary_access_only_probe,https://microdata.worldbank.org/catalog/2306/get-microdata,temp/raw_downloads/VNM_2002_VHLSS_v01_M/,tier_3_quality_supported_access_only_download,metadata_secondary_access_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,35,35,35,0,0,0,0,497,244,17,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,2,15,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
