section,item,status,value,evidence_artifacts,interpretation
priority_bundle,priority_raw_package_receipt_ledger,not_received_no_original_raw_package,datasets=13; original_files=0; archives=0; raw_tabular=0; documentation=0; targets=156; covered=0; missing=156; generated_ignored=208; complete_candidates=0,temp/priority_raw_package_receipt_ledger.csv;temp/priority_raw_package_file_manifest.csv;temp/priority_raw_package_missing_targets.csv;result/priority_raw_package_receipt_summary.csv;report/priority_raw_package_receipt_ledger.md,"Priority receipt ledger ignores generated handoffs/placeholders and records only unchanged original package/documentation files, hashes, and missing target modules before downstream schema/manual verification."
priority_bundle,priority_official_download_dossier,blocked_official_access_required_no_original_package,dossiers=13; full_file_rows=965; core_rows=156; links=100; pdf=11; ddi=13; json=13; no_original_package=13; receipt_candidates=0,temp/priority_official_download_dossier.csv;temp/priority_official_full_file_inventory.csv;temp/priority_official_documentation_links.csv;result/priority_official_download_dossier_summary.csv;report/priority_official_download_dossier.md,"Official download dossier expands from the 156 core targets to the full metadata-derived file inventory and records official access, documentation, DDI, JSON, and data-dictionary links for credentialed package acquisition."
priority_bundle,priority_public_documentation_receipt,core_public_documentation_saved_raw_gate_still_blocked,datasets=13; resources=78; saved=76; failed=0; core_complete=13; full_complete=11; optional_pdf_missing=2; access_gates=13; saved_bytes=92998600,temp/priority_public_documentation_receipt.csv;temp/priority_public_documentation_dataset_receipt.csv;result/priority_public_documentation_receipt_summary.csv;report/priority_public_documentation_receipt.md,"Public documentation receipt downloads or reuses official DDI/XML, JSON, data dictionary, related-material, get-microdata, and listed PDF resources for priority waves while preserving the raw-microdata access gate."
priority_bundle,priority_official_metadata_evidence_extract,official_metadata_evidence_present_raw_gate_still_blocked,datasets=13; candidate_variables=1214; categories=4512; variable_matches=1198; file_matches=1198; no_matches=16; variables_with_categories=717; dataset_complete=3; handoffs=13; modeling_gate=blocked,temp/priority_official_metadata_variable_evidence.csv;temp/priority_official_metadata_category_evidence.csv;temp/priority_official_metadata_dataset_evidence.csv;result/priority_official_metadata_evidence_summary.csv;report/priority_official_metadata_evidence_extract.md,"Official DDI/XML metadata evidence links candidate variables to official labels, categories, counts, and file mappings for pre-review only; promotion still requires original raw packages and raw value verification."
priority_bundle,priority_credentialed_raw_acquisition_ledger,ready_for_credentialed_manual_download,datasets=13; priority_rows=10; backup_rows=3; full_files=965; core_files=156; public_docs_ready=13; metadata_ready=13; original_receipts=0; targets_missing=156; handoffs=13; modeling_gate=blocked,temp/priority_credentialed_raw_acquisition_ledger.csv;temp/priority_credentialed_raw_full_file_manifest.csv;temp/priority_credentialed_raw_core_file_checklist.csv;result/priority_credentialed_raw_acquisition_summary.csv;report/priority_credentialed_raw_acquisition_ledger.md,"Credentialed raw acquisition ledger gives the exact official get-microdata workflow, complete-package scope, target folder, full official file manifest, core-file checklist, and post-download validation commands; it does not bypass account, terms, or raw value verification gates."
priority_bundle,priority_official_endpoint_matrix,public_metadata_only_raw_gate_confirmed,datasets=13; endpoints=104; public_metadata_endpoints=52; variable_api_datasets=12; get_microdata_gate_datasets=13; raw_candidates=0; credentialed_required=13; handoffs=13; modeling_gate=blocked,temp/priority_official_endpoint_matrix.csv;temp/priority_official_endpoint_dataset_matrix.csv;result/priority_official_endpoint_matrix_summary.csv;report/priority_official_endpoint_matrix.md,Endpoint matrix probes catalog/API/metadata/get-microdata routes and confirms public routes are metadata-only while official raw package acquisition remains credentialed.
priority_bundle,priority_core_file_endpoint_matrix,file_level_routes_confirmed_non_public_raw,datasets=13; core_files=156; matrix_rows=780; metadata_refs=156; probed_download_routes=624; http_errors=312; empty_downloads=312; request_failed=0; raw_candidates=0; credentialed_required=13; handoffs=13; modeling_gate=blocked,temp/priority_core_file_endpoint_matrix.csv;temp/priority_core_file_endpoint_dataset_matrix.csv;result/priority_core_file_endpoint_matrix_summary.csv;report/priority_core_file_endpoint_matrix.md,Core-file endpoint matrix probes common file-level World Bank/NADA download route patterns for the 156 priority modules and confirms they do not expose public raw payloads; official credentialed package receipt is still required.
priority_bundle,priority_threshold_acquisition_campaign,threshold_campaign_ready_raw_missing,datasets=13; phase1_10_wave_rows=10; phase2_backup_rows=3; countries=8; core_countries=5; backup_countries=3; minimum_downloads=11; recommended_downloads=13; raw_received=0; raw_missing=13; core_endpoint_ready=13; handoffs=13; modeling_gate=blocked,temp/priority_threshold_acquisition_campaign.csv;temp/priority_threshold_country_coverage.csv;result/priority_threshold_acquisition_campaign_summary.csv;report/priority_threshold_acquisition_campaign.md,"Threshold acquisition campaign maps the 13 priority/backup waves to the actual 10-wave and 6-country modeling guardrails, showing the first 10 waves cover only five countries and at least one backup country must verify for financial protection."
priority_bundle,priority_first_pass_variable_review_queue,first_pass_queue_ready_raw_missing,datasets=13; requirements=104; selected_variables=465; countries=8; priority_waves=10; backup_waves=3; missing_requirement_coverage=0; raw_received=0; ready_after_download=0; handoffs=13; modeling_gate=blocked,temp/priority_first_pass_variable_review_queue.csv;temp/priority_first_pass_requirement_coverage.csv;result/priority_first_pass_variable_review_summary.csv;report/priority_first_pass_variable_review_queue.md,"First-pass queue compresses the large metadata candidate workbook into a per-requirement list of variables to inspect after official raw packages are received; it is review guidance, not raw-value verification."
priority_bundle,priority_download_execution_packet,download_execution_ready_raw_missing,packets=13; priority_waves=10; backup_waves=3; countries=8; core_files=156; requirements=104; first_pass_variables=465; raw_received=0; handoffs=13; modeling_gate=blocked,temp/priority_download_execution_packet.csv;temp/priority_download_file_acceptance_matrix.csv;result/priority_download_execution_packet_summary.csv;report/priority_download_execution_packet.md,"Download execution packet is the credentialed manual-acquisition control sheet: official URL, target folder, 12-file acceptance matrix, first-pass verification load, and post-download command chain per wave."
priority_bundle,priority_lsms_isa_alignment_audit,core_wave_replacement_needed_before_download_execution,campaign_rows=13; core_waves=10; aligned_core=8; off_family_core=2; strong_replacements=15; decision=needs_core_wave_replacement_before_manual_download_execution; modeling_gate=blocked,temp/priority_lsms_isa_alignment_audit.csv;temp/priority_lsms_isa_replacement_candidates.csv;result/priority_lsms_isa_alignment_summary.csv;report/priority_lsms_isa_alignment_audit.md,"LSMS/ISA alignment audit separates the usable 13-wave download execution controls from family-suitability risk, flagging Malawi MTM and Uganda SAGE as off-family core waves that should be replaced or augmented with IHS/IHPS and UNPS candidates."
priority_bundle,priority_lsms_isa_refocused_acquisition_queue,refocused_manual_download_queue_ready_raw_missing,plan_rows=13; core_waves=10; core_required_countries=5; core_lsms_aligned=10; replaced_off_family=2; queue_rows=19; backup_rows=6; requirement_rows=152; raw_received=0; data_write=blocked_no_promoted_rows; modeling_gate=blocked,result/priority_lsms_isa_refocused_wave_plan.csv;temp/priority_lsms_isa_refocused_acquisition_queue.csv;temp/priority_lsms_isa_refocused_requirement_matrix.csv;result/priority_lsms_isa_refocused_acquisition_summary.csv;report/priority_lsms_isa_refocused_acquisition_queue.md,"Refocused acquisition queue makes the corrected manual-download path explicit: replace Malawi MTM and Uganda SAGE in the core campaign with LSMS/ISA-family Malawi IHS/IHPS and Uganda UNPS targets, while retaining backup waves for raw-review failure risk."
priority_bundle,priority_lsms_isa_public_documentation_receipt,public_documentation_complete_raw_still_blocked,datasets=19; resources=133; saved=133; failed=0; core_complete=19; catalog_digest=19; file_inventory=1597; access_gates=19; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_public_documentation_receipt.csv;temp/priority_lsms_isa_public_documentation_dataset_receipt.csv;temp/priority_lsms_isa_public_documentation_catalog_digest.csv;temp/priority_lsms_isa_public_documentation_file_inventory.csv;result/priority_lsms_isa_public_documentation_receipt_summary.csv;report/priority_lsms_isa_public_documentation_receipt.md,"Refocused 19-wave public documentation receipt saves official public metadata and documentation snapshots for LSMS/ISA acquisition, but raw package receipt and value verification remain required."
priority_bundle,priority_lsms_isa_variable_evidence_matrix,metadata_variable_candidates_ready_raw_review_required,datasets=19; requirements=152; candidate_variables=1531; file_shortlist=629; strong_requirements=128; docs_only=19; no_candidate=0; raw_verified=0; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_variable_evidence_matrix.csv;temp/priority_lsms_isa_requirement_variable_coverage.csv;temp/priority_lsms_isa_concept_file_shortlist.csv;result/priority_lsms_isa_variable_evidence_summary.csv;report/priority_lsms_isa_variable_evidence_matrix.md,"Official public metadata variable evidence maps each refocused wave to concept-level candidate variables and files for raw review, but no raw values are accepted or promoted."
priority_bundle,priority_lsms_isa_raw_package_intake_packet,raw_package_intake_ready_no_original_files,datasets=19; manifest_rows=237; generated_handoffs=237; original_files=0; archives=0; raw_tabular=0; documentation=0; missing_packages=19; acceptance_requirements=152; blocked_requirements=152; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_raw_package_intake_ledger.csv;temp/priority_lsms_isa_raw_package_file_manifest.csv;temp/priority_lsms_isa_raw_package_acceptance_matrix.csv;result/priority_lsms_isa_raw_package_intake_summary.csv;report/priority_lsms_isa_raw_package_intake_packet.md,"Raw package intake packet scans the exact refocused target folders, ignores generated markdown handoffs, and keeps every requirement blocked until a complete official raw package plus documentation is present."
priority_bundle,priority_lsms_isa_archive_member_preflight,archive_preflight_ready_no_original_files,datasets=19; direct_files=0; direct_archives=0; direct_raw=0; direct_docs=0; archive_members=0; archive_raw_members=0; archive_doc_members=0; ready_datasets=0; blocked_datasets=19; blocked_requirements=152; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_archive_member_preflight.csv;temp/priority_lsms_isa_archive_member_manifest.csv;temp/priority_lsms_isa_direct_file_preflight.csv;temp/priority_lsms_isa_archive_requirement_preflight.csv;result/priority_lsms_isa_archive_member_preflight_summary.csv;report/priority_lsms_isa_archive_member_preflight.md,"Archive/direct-file preflight reads zip/tar member names where possible, without extracting or converting data, and keeps every refocused target blocked until archive/direct raw and documentation evidence exists."
priority_bundle,priority_lsms_isa_raw_value_verification_workbook,workbook_ready_blocked_no_original_files,datasets=19; requirements=152; variables=1531; files=629; handoffs=19; ready_review=0; blocked_requirements=152; raw_verified=0; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_raw_value_requirement_workbook.csv;temp/priority_lsms_isa_raw_value_variable_workbook.csv;temp/priority_lsms_isa_raw_value_file_workbook.csv;result/priority_lsms_isa_raw_value_verification_workbook_summary.csv;report/priority_lsms_isa_raw_value_verification_workbook.md,"Raw value verification workbook turns official candidate variables and files into fillable requirement, variable, and file review rows; all rows remain unverified until original raw files are checked."
priority_bundle,priority_lsms_isa_raw_package_receipt_checklist,receipt_checklist_ready_no_original_files,datasets=19; requirements=152; package_received=0; complete_package_received=0; ready_review=0; blocked_no_original=19; blocked_requirements=152; handoffs=19; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_raw_package_receipt_checklist.csv;temp/priority_lsms_isa_raw_package_requirement_receipt_checklist.csv;result/priority_lsms_isa_raw_package_receipt_checklist_summary.csv;report/priority_lsms_isa_raw_package_receipt_checklist.md,"Receipt checklist converts each refocused wave into a package-level and requirement-level intake control sheet: official package scope, target folder, fill fields, and post-receipt commands before raw-value review."
priority_bundle,priority_lsms_isa_credentialed_raw_acquisition_workbench,ready_for_manual_credentialed_download,datasets=19; full_files=1597; core_files=629; access_gate=19; package_received=0; targets_missing=629; handoffs=19; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_credentialed_raw_acquisition_workbench.csv;temp/priority_lsms_isa_credentialed_raw_full_file_manifest.csv;temp/priority_lsms_isa_credentialed_raw_core_file_checklist.csv;result/priority_lsms_isa_credentialed_raw_acquisition_workbench_summary.csv;report/priority_lsms_isa_credentialed_raw_acquisition_workbench.md,"Credentialed raw acquisition workbench covers all 19 refocused waves with official get-microdata links, full DDI file manifests, core file confirmation rows, and post-download validation commands."
priority_bundle,priority_lsms_isa_official_file_receipt_validator,blocked_no_original_package,datasets=19; expected_files=1597; expected_matched=0; expected_missing=1597; core_files=629; core_matched=0; core_missing=629; handoffs=19; data_write=blocked_no_promoted_rows; modeling_gate=blocked,temp/priority_lsms_isa_official_file_receipt_validation.csv;temp/priority_lsms_isa_official_file_receipt_file_match.csv;temp/priority_lsms_isa_official_file_receipt_core_match.csv;result/priority_lsms_isa_official_file_receipt_validator_summary.csv;report/priority_lsms_isa_official_file_receipt_validator.md,"Official file receipt validator compares local direct files and readable archive members against official DDI file names before any schema, value, climate, or data-write gate can pass."
priority_bundle,priority_lsms_isa_threshold_download_sequence,ready_for_manual_threshold_downloads,datasets=19; countries=8; minimum_downloads=11; minimum_countries=6; recommended_downloads=13; expected_files=1597; expected_matched=0; core_files=629; core_matched=0; raw_received=0; promoted=0; modeling_gate=blocked,temp/priority_lsms_isa_threshold_download_sequence.csv;temp/priority_lsms_isa_threshold_minimum_batch.csv;temp/priority_lsms_isa_threshold_country_coverage.csv;result/priority_lsms_isa_threshold_download_sequence_summary.csv;report/priority_lsms_isa_threshold_download_sequence.md,"Threshold download sequence orders the 19-wave refocused queue into a minimum 11-download path, a recommended 13-download threshold batch, and six same-country backup waves while preserving no-data-write gates."
priority_bundle,priority_analysis_dataset_synthesis_blueprint,blocked_required_schema_columns_not_verified,schema_rows=572; required_rows=325; ready_required=0; blocked_required=325; join_rows=13; join_ready=0; candidate_variables=2703; manual_verified_variables=0,temp/priority_analysis_dataset_synthesis_blueprint.csv;temp/priority_analysis_dataset_join_plan.csv;result/priority_analysis_dataset_synthesis_blueprint_summary.csv;report/priority_analysis_dataset_synthesis_blueprint.md,"Synthesis blueprint defines the target promoted household-climate schema, source concepts, candidate variables, required joins, and fail-closed blockers before any data/ write."
priority_bundle,priority_country_wave_promotion_packets,blocked_fail_closed,packets=13; gates=182; passed_gates=52; failed_gates=130; public_docs_ready=13; metadata_ready=13; endpoint_matrix_ready=13; credentialed_acquisition_ready=13; raw_package_ready=0; financial_ready=0; access_ready=0; climate_ready=0; analysis_ready=0,temp/priority_country_wave_promotion_packet_index.csv;temp/priority_country_wave_promotion_packet_gate_matrix.csv;temp/priority_country_wave_promotion_packet_action_queue.csv;result/priority_country_wave_promotion_packet_summary.csv;report/priority_country_wave_promotion_packets.md,"Priority packets consolidate public documentation, raw receipt, manual verification, climate preflight, synthesis join, and registry write gates for each target wave."
priority_bundle,priority_lsms_isa_country_wave_promotion_packets,blocked_fail_closed,packets=19; gates=361; passed_gates=38; failed_gates=323; public_docs_ready=19; variable_evidence_ready=19; raw_package_ready=0; raw_value_verified=0; financial_ready=0; access_ready=0; climate_ready=0; analysis_ready=0,temp/priority_lsms_isa_country_wave_promotion_packet_index.csv;temp/priority_lsms_isa_country_wave_promotion_packet_gate_matrix.csv;temp/priority_lsms_isa_country_wave_promotion_packet_action_queue.csv;result/priority_lsms_isa_country_wave_promotion_packet_summary.csv;report/priority_lsms_isa_country_wave_promotion_packets.md,"Refocused 19-wave LSMS/ISA packets consolidate public documentation, variable evidence, raw intake, archive preflight, raw-value requirements, climate linkage, synthesis, and registry write gates for each target wave."
priority_bundle,promoted_data_gate,closed_no_promoted_rows,promoted_rows=0; data_before=0; data_after=0; quarantined=0,result/promoted_data_gate_summary.csv;temp/promoted_data_gate_manifest.csv;report/promoted_data_gate.md;data/README.md,Promoted data gate keeps data/ reserved for registry-approved datasets and moves pre-promotion diagnostic CSVs to temp/diagnostic_data_quarantine/current/.
raw_access_gate,public_external_raw_candidate_downloads,raw_archives_available_requires_value_verification,candidate_rows=4; downloaded_or_existing=4; datasets=4; bytes=19395105,temp/public_external_raw_candidate_downloads.csv;result/public_external_raw_candidate_download_summary.csv;report/public_external_raw_candidate_downloads.md,Direct public external raw archives downloaded from screened candidate links; archive/schema evidence still requires downstream raw value and harmonization audits.
raw_access_gate,first_batch_manual_download_handoff,manual_raw_download_required,handoff_rows=10; file_queue_rows=143; raw_file_rows=46; raw_variable_rows=1187,temp/first_batch_manual_download_handoff.csv;temp/first_batch_manual_download_file_queue.csv;result/first_batch_manual_download_handoff_summary.csv;report/first_batch_manual_download_handoff.md,"Per-dataset manual handoff tying official access-gate evidence to target folders, expected raw modules, and post-download verification commands."
raw_access_gate,first_batch_public_documentation_audit,metadata_only_requires_raw_verification,dataset_rows=10; resource_rows=60; saved_rows=58; complete_datasets=8; failed_rows=2,temp/first_batch_public_documentation_audit.csv;result/first_batch_public_documentation_summary.csv;report/first_batch_public_documentation_audit.md,"First-batch coverage audit for public catalog documentation, metadata exports, data dictionaries, PDFs, and related-material pages; still not raw microdata."
raw_access_gate,first_batch_file_source_traceability,metadata_only_requires_raw_verification,trace_rows=143; datasets=10; unsupported=0; examples_found=1431,temp/first_batch_file_source_traceability.csv;result/first_batch_file_source_traceability_summary.csv;report/first_batch_file_source_traceability.md,File-level trace from first-batch manual queue to public schema and variable metadata; confirms queue support but not raw-file availability.
raw_verification_gate,first_batch_merge_key_lineage_plan,metadata_only_requires_raw_verification,plan_rows=10; candidate_rows=5112; planned_rows=8; raw_ready_rows=1,temp/first_batch_merge_key_lineage_plan.csv;temp/first_batch_merge_key_candidate_variables.csv;result/first_batch_merge_key_lineage_summary.csv;report/first_batch_merge_key_lineage_plan.md,"Metadata-only plan for household/person keys, survey design variables, timing, geography, and file lineage; merge cardinality and raw values remain unverified."
raw_verification_gate,first_batch_raw_value_key_audit,raw_value_summary_available_manual_review_required,raw_ready=1; value_rows=535; read_ok=176; key_rows=56; promoted=0,temp/first_batch_raw_value_key_audit.csv;temp/first_batch_raw_merge_key_audit.csv;temp/first_batch_harmonization_value_audit_auto.csv;result/first_batch_raw_value_key_summary.csv;report/first_batch_raw_value_key_audit.md,"Observed raw values and file-level key cardinality were summarized for raw-ready first-batch datasets; every auto value-audit row remains ready_for_recipe=0 pending manual unit, recall-period, missing-code, skip-pattern, and merge-key review."
raw_verification_gate,alb2002_household_core_merge_audit,temp_candidate_timing_geography_observed_outcome_semantics_pending,candidate_rows=3599; consumption_rows=3599; weight_rows=3599; oop4w_positive=2541; district_rows=3599; survey_month_rows=3599; interview_date_rows=3599; recipe_ready=0,temp/alb2002_household_core_candidate.csv;temp/alb2002_household_core_merge_audit.csv;temp/alb2002_household_core_lineage.csv;result/alb2002_household_core_candidate_summary.csv;report/alb2002_household_core_merge_audit.md,"A temp-only ALB_2002 household core candidate exists for review with observed raw interview date/month and district fields, but it remains outside data/ because OOP aggregation/recall, units, access skip patterns, district climate crosswalk, and cross-wave comparability are unresolved."
raw_verification_gate,alb2002_weight_design_evidence_audit,blocked_alb2002_weight_design_semantics_not_promotion_ready,audit_rows=6; source_flags=9; raw_weight_rows=3599; positive_weights=3599; key_matches=3599; distinct_psu=450; distinct_strata=4; weighted_inference_ready=0; harmonized_ready=0,temp/alb2002_weight_design_evidence_audit.csv;result/alb2002_weight_design_evidence_summary.csv;report/alb2002_weight_design_evidence_audit.md;temp/source_snapshots/alb2002_worldbank_study_description_weight_design.html,"ALB_2002 weight/design audit verifies readable household weights and design fields, plus official study-page sampling context, but keeps weighted inference and harmonized data promotion at zero."
climate_outcome_gate,alb2002_che_candidate_outcomes,blocked_alb2002_che_candidate_not_promoted_due_recipe_sdg_climate_gates,household_rows=3599; denominator_rows=3599; che10_rows=824; che10_rate=0.228952; che25_rows=290; che25_rate=0.0805779; outcome_promotion_ready=0; climate_ready=0,temp/alb2002_che_candidate_household_outcomes.csv;temp/alb2002_che_candidate_outcome_lineage.csv;result/alb2002_che_candidate_outcome_audit.csv;result/alb2002_che_candidate_outcome_summary.csv;report/alb2002_che_candidate_outcome_audit.md,"ALB_2002 household-level CHE10/CHE25 candidate outcomes are constructed in temp for audit, but no outcome rows are promoted to data/ because recipe, SDG, benchmark, and climate-geography gates remain blocked."
climate_outcome_gate,alb2002_access_candidate_outcomes,blocked_alb2002_access_candidate_not_promoted_due_denominator_skip_climate_gates,household_rows=3599; q01_need_rows=3247; person_need_rows=2202; composite_any_rows=1861; composite_any_weighted=0.528953; composite_cost_rows=1661; outcome_promotion_ready=0; climate_ready=0,temp/alb2002_access_candidate_household_outcomes.csv;temp/alb2002_access_candidate_outcome_lineage.csv;result/alb2002_access_candidate_outcome_audit.csv;result/alb2002_access_candidate_outcome_summary.csv;report/alb2002_access_candidate_outcome_audit.md,"ALB_2002 household-level access, need, barrier, and composite candidates are constructed in temp for audit, but no access outcome rows are promoted to data/ because denominator, skip, recipe, financial-alignment, and climate-geography gates remain blocked."
climate_outcome_gate,alb2002_uhc_composite_candidate_outcomes,blocked_alb2002_uhc_composite_candidate_not_promoted_due_outcome_recipe_climate_gates,household_rows=3599; che10_or_access_rows=2004; che10_or_access_weighted=0.570531; che25_or_access_rows=1889; both_che10_access_rows=681; coping_rows=1476; outcome_promotion_ready=0; climate_ready=0,temp/alb2002_uhc_composite_candidate_outcomes.csv;temp/alb2002_uhc_composite_candidate_lineage.csv;result/alb2002_uhc_composite_candidate_audit.csv;result/alb2002_uhc_composite_candidate_summary.csv;report/alb2002_uhc_composite_candidate_audit.md,"ALB_2002 household-level UHC double-failure, financial-only, access-only, both-failure, and coping candidates are constructed in temp for audit, but no composite outcome rows are promoted to data/ because upstream financial, access, recipe, SDG, benchmark, and climate gates remain blocked."
climate_outcome_gate,alb2002_analysis_candidate_dataset,blocked_alb2002_analysis_candidate_not_promoted_due_recipe_outcome_climate_gates,candidate_rows=3599; columns=49; complete_candidate_gates=9; missing_gates=1; blocked_promotion_gates=2; harmonized_ready=0; outcome_ready=0; climate_ready=0; data_write_ready=0,temp/alb2002_analysis_candidate_dataset.csv;temp/alb2002_analysis_candidate_lineage.csv;result/alb2002_analysis_candidate_readiness_audit.csv;result/alb2002_analysis_candidate_readiness_summary.csv;report/alb2002_analysis_candidate_readiness_audit.md,"ALB_2002 household core, timing, admin geography, weights, access signals, and temp CHE candidate outcomes are joined for audit in temp, with harmonized/outcome/climate data promotion still blocked."
climate_outcome_gate,alb2002_climate_centroid_exposure_candidates,blocked_alb2002_climate_centroid_exposures_not_promoted_due_boundary_vintage_source_and_baseline_gates,input_rows=96; exposure_rows=384; districts=36; households=3599; api_rows=36; api_failed=0; precip_nonmissing=384; temp_nonmissing=384; boundary_year=2013; climate_ready=0; data_write_ready=0,temp/alb2002_climate_centroid_exposure_input.csv;temp/alb2002_climate_centroid_exposure_candidates.csv;temp/alb2002_climate_centroid_nasa_power_api_manifest.csv;result/alb2002_climate_centroid_exposure_audit.csv;result/alb2002_climate_centroid_exposure_summary.csv;report/alb2002_climate_centroid_exposure_audit.md,"ALB_2002 district-month climate summaries are computed at candidate ADM2 bounding-box centroids as a temp-only NASA POWER stress test, while primary CHIRPS/ERA5, historical baseline, and climate-linkage promotion gates remain blocked."
climate_outcome_gate,alb2002_climate_shock_candidate_diagnostics,blocked_alb2002_climate_shock_candidate_not_promoted_due_geography_baseline_primary_source_gates,shock_rows=384; source_centroid_rows=384; reference_groups=16; min_group=3; precip_z=384; temp_z=384; low_rain=37; extreme_wet=44; extreme_heat=29; combined=73; climate_ready=0; data_write_ready=0,temp/alb2002_climate_shock_candidate_exposures.csv;temp/alb2002_climate_shock_candidate_lineage.csv;result/alb2002_climate_shock_candidate_audit.csv;result/alb2002_climate_shock_candidate_summary.csv;report/alb2002_climate_shock_candidate_audit.md,"ALB_2002 within-candidate rainfall and temperature z-scores are documented as diagnostic flags only; they are not historical anomalies or accepted treatment variables because primary climate sources, baselines, and verified geography remain blocked."
