targeting_rule,budget_share,required_score_or_effect,validation_requirement,current_status,blocking_gap,sensitivity_required,guardrail
poverty_only_targeting,20%,pre-shock poverty or consumption/income rank,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
poverty_only_targeting,30%,pre-shock poverty or consumption/income rank,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
rural_only_targeting,5%,verified rural residence flag,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
rural_only_targeting,10%,verified rural residence flag,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
rural_only_targeting,20%,verified rural residence flag,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
rural_only_targeting,30%,verified rural residence flag,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
agricultural_livelihood_targeting,5%,verified agriculture/livelihood variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
agricultural_livelihood_targeting,10%,verified agriculture/livelihood variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
agricultural_livelihood_targeting,20%,verified agriculture/livelihood variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
agricultural_livelihood_targeting,30%,verified agriculture/livelihood variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
children_in_household_targeting,5%,verified child age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
children_in_household_targeting,10%,verified child age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
children_in_household_targeting,20%,verified child age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
children_in_household_targeting,30%,verified child age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
elderly_in_household_targeting,5%,verified elderly age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
elderly_in_household_targeting,10%,verified elderly age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
elderly_in_household_targeting,20%,verified elderly age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
elderly_in_household_targeting,30%,verified elderly age-structure indicator,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
high_climate_shock_area_blanket,5%,verified recent local climate-shock exposure,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
high_climate_shock_area_blanket,10%,verified recent local climate-shock exposure,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
high_climate_shock_area_blanket,20%,verified recent local climate-shock exposure,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
high_climate_shock_area_blanket,30%,verified recent local climate-shock exposure,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
recent_illness_need_targeting,5%,verified health need/illness variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
recent_illness_need_targeting,10%,verified health need/illness variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
recent_illness_need_targeting,20%,verified health need/illness variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
recent_illness_need_targeting,30%,verified health need/illness variable,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
random_targeting_baseline,5%,random assignment baseline for policy-value comparison,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
random_targeting_baseline,10%,random assignment baseline for policy-value comparison,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
random_targeting_baseline,20%,random assignment baseline for policy-value comparison,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
random_targeting_baseline,30%,random assignment baseline for policy-value comparison,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
