country,survey_name,wave,idno,feasibility_score,metadata_has_budget,metadata_has_oop,metadata_has_weight,metadata_has_timing,metadata_has_geography,metadata_has_financial_core,metadata_has_access_core,metadata_has_main_sample_core,raw_file_inspected,raw_variable_verified,harmonization_value_audit_ready,eligible_for_final_sample,eligible_for_access_secondary_sample,status,gap
Pakistan,Integrated Household Survey 1991,1991,PAK_1991_IHS_v01_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Kazakhstan,Living Standards Measurement Survey 1996,1996,KAZ_1996_LSMS_v01_M_v01_A_PUF,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Bosnia-Herzegovina,Living Standards Measurement Survey 2004 (Wave 4 Panel),2004-2005,BIH_2004_LSMS_v01_M,4,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
China,Living Standards Survey 1995 -1997,1995-1997,CHN_1995_LSS_v01_M,3,1,1,0,0,0,1,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tajikistan,Living Standards Survey 2003,2003,TJK_2003_LSMS_v01_M,2,1,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Bulgaria,Integrated Household Survey 2001,2001,BGR_2001_IHS_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,5,1,1,1,1,1,1,1,1,1,1,0,0,0,raw_schema_candidate_pending_value_harmonization_audit,value_audit_or_verified_harmonization_recipe_not_ready
Tajikistan,Living Standards Survey 2007,2007,TJK_2007_TLSS_v01_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Viet Nam,Living Standards Survey 1997-1998,1997-1998,VNM_1997_VLSS_v01_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Serbia,Living Standards Measurement Survey 2007,2007,SRB_2007_LSMS_v01_M,4,1,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,oop_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2004 (Wave 3 Panel),2004,ALB_2004_LSMS_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Kosovo,Living Standards Measurement Survey 2000,2000,KSV_2000_LSMS_v01_M,4,0,1,0,1,0,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;geography_missing_or_metadata_weak;raw_microdata_not_inspected
Viet Nam,Household Living Standards Survey 2002,2002,VNM_2002_VHLSS_v01_M,5,1,1,0,1,1,1,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,weight_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2008,2008,ALB_2008_LSMS_v01_M,4,0,1,0,1,1,0,1,0,1,1,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;value_audit_or_verified_harmonization_recipe_not_ready
Armenia,Household Budget Survey 1996,1996,ARM_1996_HBS_v01_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Bosnia-Herzegovina,Living Standards Measurement Survey 2003 (Wave 3 Panel),2003,BIH_2003_LSMS_v01_M,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nepal,"Living Standards Survey 1995-1996, First Round",1995-1996,NPL_1995_LSS-I_v01_M,4,1,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,oop_missing_or_metadata_weak;raw_microdata_not_inspected
Viet Nam,Household Living Standards Survey 2004,2004,VNM_2004_VHLSS_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ghana,Living Standards Survey III 1991,1991-1992,GHA_1991_GLSS_v02_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ghana,Living Standards Survey I 1987-1988,1987-1988,GHA_1987_GLSS_v02_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Tajikistan,Living Standards Survey 1999,1999,TJK_1999_LSMS_v01_M,3,1,0,0,0,0,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;raw_microdata_not_inspected
Viet Nam,Living Standards Survey 1992-1993,1992-1993,VNM_1992_VLSS_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ghana,Living Standards Survey IV 1998-1999,1998-1999,GHA_1998_GLSS_v02_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Bosnia-Herzegovina,Living Standards Measurement Survey 2002 (Wave 2 Panel),2002-2003,BIH_2002_LSMS_v01_M,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Brazil,Living Standards Measurement Study Survey 1996-1997,1996-1997,BRA_1996_LSMS_v01_M,2,0,1,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Timor-Leste,Survey of Living Standards 2007 and Extension 2008,2007-2008,TLS_2007_TLSLS_v01_M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2002 (Wave 1 Panel),2002,ALB_2002_LSMS_v01_M,3,0,0,1,1,1,0,1,0,1,1,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;value_audit_or_verified_harmonization_recipe_not_ready
Timor-Leste,Living Standards Survey 2001,2001,TLS_2001_TLSS_v01_M,2,1,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nepal,"Living Standards Survey 2003-2004, Second Round",2003-2004,NPL_2003_LSS-II_v01_M,4,1,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,oop_missing_or_metadata_weak;raw_microdata_not_inspected
Bulgaria,Integrated Household Survey 1995,1995,BGR_1995_IHS_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Bulgaria,Integrated Household Survey 1997,1997,BGR_1997_IHS_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Bosnia-Herzegovina,Living Standards Measurement Survey 2001 (Wave 1 Panel),2001,BIH_2001_LSMS_v01_M,2,1,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2012,2012,ALB_2012_LSMS_v01_M_v01_A_PUF,4,1,1,1,0,1,1,1,0,1,1,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;value_audit_or_verified_harmonization_recipe_not_ready
Guyana,Living Standards Measurements Survey 1992,1992,GUY_1992_LSMS_v01_M,2,0,1,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
South Africa,Integrated Household Survey 1993,1993,ZAF_1993_IHS_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Cambodia,Living Standards Measurement Study - Plus 2019-2020,2019-2020,KHM_2019_LSMS-PLUS_v02_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Viet Nam,Household Living Standards Survey 2006,2006,VNM_2006_VHLSS_v01_M,2,0,0,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tajikistan,Living Standards Survey 2009,2009,TJK_2009_TLSS_v01_M,3,0,0,1,1,0,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;geography_missing_or_metadata_weak;raw_microdata_not_inspected
Bosnia-Herzegovina,"Living Standards Measurement Study Panel Data 2001-2004, Entrepreneurship in Post-Conflict Transition: The Role of Informality and Access to Finance",2001-2004,BIH_2001-2004_LSMS_v01_M_v01_A_EPCT,1,0,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Kagera Health and Development Survey 1991-1994 (Wave 1 to 4 Panel),1991-1994,TZA_1991_KHDS_v01_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"General Household Survey, Panel 2023-2024",2023-2024,NGA_2023_GHSP-W5_v01_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Niger,National Survey on Household Living Conditions and Agriculture 2011,2011-2012,NER_2011_ECVMA_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"General Household Survey, Panel 2018-2019, Wave 4",2018-2019,NGA_2018_GHSP-W4_v03_M,4,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,"Socioeconomic Survey 2015-2016, Wave 3",2015-2016,ETH_2015_ESS_v03_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Socioeconomic Survey 2013-2014,2013-2014,ETH_2013_ESS_v03_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Nigeria,"General Household Survey - Panel 2010-2019, Uniform Panel Data",2010-2019,NGA_2010-2019_NUPD_v01_M,3,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,5,1,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Uganda,National Panel Survey 2005-2009,2005-2010,UGA_2005-2009_UNPS_v03_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Rural Socioeconomic Survey 2011-2012,2011-2012,ETH_2011_ERSS_v02_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data,2019-2020,TZA_2019_NPS-SDD_v06_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Niger,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data",2014-2015,NER_2014_ECVMA-II_v02_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,"Enquête Harmonisée sur le Conditions de Vie des Ménages, Panel Survey 2021-2022",2021-2022,BFA_2021_EHCVM-P_v04_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enquête Harmonisée sur le Conditions de Vie des Ménages 2021-2022,2021-2022,BFA_2021_EHCVM-2_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Uganda,National Panel Survey 2013-2014,2013-2014,UGA_2013_UNPS_v02_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Kagera Health and Development Survey 2004 (Wave 5 Panel),2004,TZA_2004_KHDS_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête Agricole de Conjoncture Intégrée 2014,2014-2015,MLI_2014_EACI_v03_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"National Panel Survey 2020-21, Wave 5",2020-2022,TZA_2020_NPS-R5_v02_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Tanzania,"National Panel Survey 2014-2015, Wave 4",2014-2015,TZA_2014_NPS-R4_v03_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Tanzania,National Panel Survey 2014-2015,2013-2016,TZA_2014_NPS-R4_v03_M_v03_A_EXT,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Uganda,National Panel Survey 2019-2020,2019-2020,UGA_2019_UNPS_v03_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Uganda National Panel Survey 2018-2019,2018-2019,UGA_2018_UNPS_v02_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,"Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022",2021-2022,MLI_2021_EHCVM-2_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Niger,"Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022",2021-2022,NER_2021_EHCVM-2_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Uganda,National Panel Survey 2015-2016,2015-2016,UGA_2015_UNPS_v02_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,National Panel Survey 2011-2012,2011-2012,UGA_2011_UNPS_v02_M,3,1,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Niger,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,2018-2019,NER_2018_EHCVM_v02_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,2018-2019,MLI_2018_EHCVM_v02_M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enquête Multisectorielle Continue 2014,2014,BFA_2014_EMC_v01_M,3,1,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,2018-2019,BFA_2018_EHCVM_v03_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,National Panel Survey 2010-2011,2010-2011,UGA_2010_UNPS_v03_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête Agricole de Conjoncture Intégrée aux Conditions de Vie des Ménages 2017,2017-2018,MLI_2017_EAC-I_v03_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"National Panel Survey 2008-2015, Uniform Panel Dataset",2008-2015,TZA_2008-2014_NPS-UPD_v01_M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Human Resource Development Survey 1993,1993-1994,TZA_1993_HRDS_v01_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"Kagera Health and Development Survey 2010, Wave 6",2010,TZA_2010_KHDS_v01_M,1,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Land and Soil Experimental Research 2013,2013-2014,ETH_2013_LASER_v02_M,2,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
