download_rank,country,wave,idno,catalog_id,expected_file_name,file_description,core_requirements,core_top_variable_names,package_receipt_status,post_download_acceptance_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect04_com_w5.dta,Community - Access to basic services and infrastructure,health_need_and_access,cs4q37;cs4q34;cs4q35;cs4q28,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect3_hh_w5.dta,Household Data - Health,health_need_and_access;oop_health_expenditure,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q17;s3q18,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect10a_com_w5.dta,Community - Market prices: market location,climate_geography,cs10q05__Latitude;cs10q05__Longitude,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_pp_w5.dta,Post-planting - Cover page,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_pp_w5.dta,Post-planting - Household roster,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect2_pp_w5.dta,Post-planting - Parcel roster,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect3_pp_w5.dta,Post-planting - Field roster,climate_geography;health_need_and_access;household_person_keys,s3q09__Latitude;s3q09__Longitude;s3q15_1;s3q15_2;household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect4_pp_w5.dta,Post-planting - Crop field roster,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_ph_w5.dta,Post-harvest - Cover page,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_ph_w5.dta,Post-harvest - Household roster,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_ls_w5.dta,Livestock - Cover page,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",oop_health_expenditure,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,eth_householdgeovariables_y5.dta,Household geo-variables,survey_timing,wetQ_avgstart,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,eth_plotgeovariables_y5.dta,Plot geo-variables,survey_timing,wetQ_avgstart,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,cons_agg_w5.dta,Household Data - Consumption aggregate,consumption_or_income,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",climate_geography;survey_timing;weights_and_design,ea_id;InterviewStart,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect6b2_hh_w4.dta,"Meals shared with non-household members, last 7 days - Meal sharing with non-household members (number of persons and meals shared).",weights_and_design,ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect7a_hh_w4.dta,Nonfood expenditure - Household monthly expenditures on nonfood items.,consumption_or_income;weights_and_design,ea_id;household_id;item_cd_30day;pw_w4;s7q01;s7q02;saq01;saq02;saq03;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect9_hh_w4.dta,"Shocks - Shocks during the last 12 months and their impact on income, assets, food production, shock and purchase. Strategies the household used to cope with the three worst shocks faced.",weights_and_design,ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",household_person_keys;weights_and_design,individual_id;household_id;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect10b_hh_w4.dta,Land parcel roster - Individual disaggregated land roster,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect10d1_hh_w4.dta,Livestock roster - Individual disaggregated livestock roster: Household ownership of different livestock by type and number.,household_person_keys;weights_and_design,household_id;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect11b1_hh_w4.dta,Mobile phones - Individual disaggregated mobile phone ownership roster,household_person_keys,individual_id;household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect12b1_hh_w4.dta,"Nonfarm enterprises - Characteristics of enterprises owned by the household: sector, employment, revenue, expenses and tax and fees related to the business.",survey_timing,s12bq08a;s12bq08b,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect15b_hh_w4.dta,"Credit (questions 2 to 10) - Loans or credit received by the household: source, repayment, collateral and challenges in accessing credit.",survey_timing,s15q06b,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect_cover_ls_w4.dta,Holder educational level and holding type,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate;saq19__Timestamp,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect8_3_ls_w4.dta,"Livestock Breeding, Health, Shelter, Water, and Feed - Livestock breeding methods and costs; livestock shelter type and feed type and sources; livestock treatments and treatment expenses.",oop_health_expenditure,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",climate_geography;survey_timing;weights_and_design,saq19__Latitude;saq19__Longitude;ea_id;InterviewDate;saq19__Timestamp;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",health_need_and_access;oop_health_expenditure,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q06_1;s3q06_2;s3q06_os;s3q09a;s3q09b;s3q17;s3q18,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect1_ph_w4.dta,"Household Roster - Age, and gender of each household member and holding type: farming, livestock, or both.",household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",climate_geography;survey_timing;weights_and_design,saq19__Latitude;saq19__Longitude;InterviewDate;saq19__Timestamp;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect1_pp_w4.dta,"Household Roster - Age, and gender of each household member, and holding type: farming, livestock, or both",household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect2_pp_w4.dta,Parcel Roster - Information on all parcels owned or managed by the holder.,household_person_keys,household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each field.",climate_geography;household_person_keys,s3q09__Latitude;s3q09__Longitude;household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect04_com_w4.dta,"Access to Basic Services - Transportation, markets, proximity to the nearest town and major urban centers, electrification, bank and microfinance institutions, piped water",health_need_and_access,cs4q37,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,cons_agg_w4.dta,,consumption_or_income,nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons_ann,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,ETH_HouseholdGeovariables_Y4.dta,Household geo-variables,survey_timing,wetQ_avgstart;h2018_wetQstart,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect10a_com_w4.dta,Market Prices - Market prices in the first closest market center.,climate_geography,cs10q05__Latitude;cs10q05__Longitude,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,secta7_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A7 (Animal Costs). The data also contains geographic area identification variables.",health_need_and_access,cost_cd;cost_desc,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,secta10_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A10 (Network Roster). The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,cons_agg_wave2_visit1,Consumption aggregate data (visit 1),climate_geography;consumption_or_income;weights_and_design,ea;totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;ea;hhweight,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,cons_agg_wave2_visit2,Consumption aggregate data (visit 2),climate_geography;consumption_or_income;weights_and_design,ea;totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;ea;hhweight,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,HHTrack,"This data contains household interview status for wave 1 and wave 2, wave 1 and wave 2 population weights, and combined wave 1 and wave 2 population weights.",climate_geography;household_person_keys;weights_and_design,ea;lga;state;zone;hhid;wt_combined;wt_w1v1;wt_w1v2;wt_w2v1;wt_w2v2;wt_wave1;wt_wave2,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,secta_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A (Household Identification). The data also contains geographic area identification variables.",climate_geography;household_person_keys;survey_timing;weights_and_design,ea;lga;state;zone;hhid;saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;saq22bm;wt_combined,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,NGA_HouseholdGeovars_Y2,,climate_geography,LAT_DD_MOD;LON_DD_MOD,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect1_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 1 (Household Roster). The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect8a_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 8A (Non-Food Expenditure - 7 days). The data also contains geographic area identification variables.",consumption_or_income,ea,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect8e_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 8e (Non-Food Expenditure - 12 months recall, non-food items that may not have been purchased). The data also contains geographic area identification variables.",consumption_or_income,s8q10,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect11a_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11A (Plot Roster). The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect11a1_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11A (Plot Roster) and questions 4 to 6. The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect12_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 12 (Network Roster). The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect1_harvestw2,"Data collected using Post Harvest Household Questionnaire, Section 1 (Household Roster). The data also contains geographic area identification variables.",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect4a_harvestw2,"Data collected using Post Harvest Household Questionnaire, Section 4A (Health). The data also contains geographic area identification variables.",health_need_and_access;oop_health_expenditure,s4aq15;s4aq16;s4aq17;s4aq1;s4aq3;s4aq20;s4aq6a;s4aq6b;s4aq6c;s4aq20;s4aq20b;s4aq13;s4aq35a;s4aq35b;s4aq35c,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,sect4b_harvestw2,"Data collected using Post Harvest Household Questionnaire, Section 4B (Child Immunization). The data also contains geographic area identification variables.",health_need_and_access,s4bq3,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect7a_plantingw3,"Data on meals prepared and consumed outside home (in the past 7 days) - collected through Post Planting Household Questionnaire, Section 7A (Meals Away from Home)",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sectc1_harvestw3,"Community data on respondent characteristics - collected through Post Harvest Community Questionnaire, Section C1 (Respondent Characteristics)",climate_geography;weights_and_design,ea;lga;ea,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect7b_plantingw3,"Data on food expenditure within the household (in the past 7 days) - collected through Post Planting Household Questionnaire, Section 7B (Food Expenditure)",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sectc2_harvestw3,"Data on community infrastructure and transportation - collected through Post Harvest Community Questionnaire, Section C2 (Community Infrastructure and Transportation)",climate_geography;weights_and_design,ea;lga;ea,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,HHTrack,Data on status of households across all six visits of the three waves. The data also contains the full set of survey weights.,weights_and_design,wt_combined;wt_w1_w2_w3;wt_w1_w3;wt_w1v1;wt_w1v2;wt_w2_w3,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,cons_agg_wave3_visit1,Consumption aggregate data (visit 1),climate_geography;consumption_or_income;weights_and_design,ea;totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;ea;hhweight,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,cons_agg_wave3_visit2,Consumption aggregate data (visit 2),climate_geography;consumption_or_income;weights_and_design,ea;totcons;nfdfoth;fdfishpr;fdothpr;fdrestby;ea;hhweight,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,secta_harvestw3,"Data on household identifier variables, enumerator, supervisor, and data entry clerk identifiers, date and time of interview and data entry, and observation notes by enumerator regarding the interview - collected through Post-Harvest Household Questionnaire, Section A-1 (Household Identification)",survey_timing,saq14ah;saq14am;saq14bh;saq14bm;saq17ah;saq17am;saq17bh;saq17bm;saq20ah;saq20am;saq20bh;saq20bm,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect8a_plantingw3,"Data on non-food expenditure within the household (in the past 7 days) - collected through Post Planting Household Questionnaire, Section 8 (Non-food Expenditure), questions 1 and 2",consumption_or_income,ea;hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect11a_plantingw3,"Plot level data on all plots owned and/or managed by the Household - collected through Post Planting Agriculture Questionnaire, Section 11A (Plot Roster), questions 1 and 2",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect1_plantingw3,"Individual level data on relationship to the household, gender, year of birth, age, marital status, spouse identification, parental status, and place of birth - collected through Post Planting Household Questionnaire, Section 1 (Household Roster)",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect11a1_plantingw3,"Plot level data on all plots owned and/or managed by the Household - collected through Post Planting Agriculture Questionnaire, Section 11A (Plot Roster), questions 4 to 6",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect3_plantingw3,"Individual level data on labor market participation during the last seven days, wage work, and domestic activities within the home (all individuals 5 years and above) - collected through Post Planting Household Questionnaire, Section 3 (Labor)",health_need_and_access,s3q9b,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect12_plantingw3,"Roster of places or businesses where the household sells and purchases agricultural produce and/or supplies - collected through Post Planting Agriculture Questionnaire, Section 12 (Network Roster)",household_person_keys,hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,sect1_harvestw3,"Individual level data on relationship to the household, gender, year of birth, age, marital status, polygamous marriages, spouse identification, parental status, place of birth, date joined household if new, migration - collected through Post-Harvest Household Questionnaire, Section 1 (Household Roster)",climate_geography;household_person_keys,s1q31a;s1q31b;s1q31c;s1q31d;hhid,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
