download_rank,country,wave,idno,file_id,expected_file_name,file_description,priority_core_target,core_requirements,core_top_variable_names,current_official_file_match_status,matched_local_locations,acceptance_gate_status,post_download_acceptance_action
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1,household_person_keys;survey_timing,household_id;s12bq08a;s12bq08b,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,1,health_need_and_access,cs4q37;cs4q34;cs4q35;cs4q28,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F42,sect10a_com_w5.dta,Community - Market prices: market location,1,climate_geography,cs10q05__Latitude;cs10q05__Longitude,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F47,sect1_pp_w5.dta,Post-planting - Household roster,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F49,sect3_pp_w5.dta,Post-planting - Field roster,1,climate_geography;health_need_and_access;household_person_keys,s3q09__Latitude;s3q09__Longitude;s3q15_1;s3q15_2;household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F55,sect1_ph_w5.dta,Post-harvest - Household roster,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F59,sect_cover_ls_w5.dta,Livestock - Cover page,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",1,oop_health_expenditure,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F64,eth_householdgeovariables_y5.dta,Household geo-variables,1,survey_timing,wetQ_avgstart,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F65,eth_plotgeovariables_y5.dta,Plot geo-variables,1,survey_timing,wetQ_avgstart,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,1,consumption_or_income,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
