bundle_rank,country,survey_name,wave,idno,climate_plan_status,requirement_rows,metadata_supported_requirement_rows,raw_verified_requirement_rows,source_ready_requirement_rows,blocked_requirement_rows,readiness_status,next_action
11,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
12,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
13,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
14,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
15,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
16,Uganda,"Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey",2012,UGA_2012_SAGE-BL_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
17,Uganda,"Social Assistance Grants for Empowerment Programme 2013, Evaluation Follow-Up Survey",2013,UGA_2013_SAGE-ML_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
18,Bulgaria,Integrated Household Survey 1995,1995,BGR_1995_IHS_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
19,Bulgaria,Integrated Household Survey 1997,1997,BGR_1997_IHS_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
20,Ethiopia,"Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020",2016-2020,ETH_2016-2020_FJW_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
21,Nigeria,Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016,2011-2016,NGA_2011-2016_YouWiNIE_v02_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
22,Tanzania,National Panel Survey 2014-2015,2013-2016,TZA_2014_NPS-R4_v03_M_v03_A_EXT,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
23,Viet Nam,Household Living Standards Survey 2002,2002,VNM_2002_VHLSS_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
