country,wave,idno,member,variable_name,variable_label,variable_role,raw_value,value_label,raw_count,construct_mapping,proposed_indicator_use,denominator_rule,skip_rule,acceptance_status,remaining_blocker
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,12,Other,43,care_seeking_action_problem_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,13,help from relatives/neighbours,11,care_seeking_action_problem_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,Sysmiss,Sysmiss,49718,care_seeking_action_problem_2_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,99,No other action taken,443,no_second_action_candidate,secondary_action_absence,do not treat as independent access failure without d07a context,applies mainly to second action field,mapping_ready_policy_pending,Need final d07b handling rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,9,Went to local grocery for medicine,385,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,5,Sought treatment at gvt health fac.,354,formal_care_sought_candidate,candidate_care_sought_signal,illness/injury respondents with formal facility care,should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final provider grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,1,"Did nothing, not serious",92,no_care_no_serious_need_or_other_no_action_candidate,not_financial_access_failure_by_default,illness/injury respondents; classify separately from no-money barrier,should be conditional on d04==Yes; avoid double-counting d07a and d07b,mapping_ready_policy_pending,Need final nonfinancial/no-need classification rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,7,Sought treatment atpvt health facility,73,formal_care_sought_candidate,candidate_care_sought_signal,illness/injury respondents with formal facility care,should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final provider grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,2,"Did nothing, no money",50,forgone_care_financial_barrier_candidate,candidate_access_failure_numerator,illness/injury respondents with no-money no-action response,should be conditional on d04==Yes; avoid double-counting d07a and d07b,mapping_ready_double_count_policy_pending,Need final double-count policy across problem 1 and problem 2 actions.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,6,Sought treatment at church/mission facility,45,care_seeking_action_problem_2_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,10,Sought treatment with trad. healer,41,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,4,Personally known remedies,38,care_seeking_action_problem_2_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,3,Used medicine had in stock,36,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,12,Other,7,care_seeking_action_problem_2_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,8,Went to local pharmacy,5,care_seeking_action_problem_2_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,11,Sought treatment with faith healer,4,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07b,What action did you take to find relief for illness:Problem2,care_seeking_action_problem_2,13,help from relatives/neighbours,1,care_seeking_action_problem_2_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d08,In past 2 weeks did you have to stop your normal activities?,activity_limitation_from_recent_need,Sysmiss,Sysmiss,37180,activity_limitation_from_recent_need_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d08,In past 2 weeks did you have to stop your normal activities?,activity_limitation_from_recent_need,1,Yes,7838,activity_limitation_from_recent_need_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d08,In past 2 weeks did you have to stop your normal activities?,activity_limitation_from_recent_need,2,No,6274,activity_limitation_from_recent_need_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d10,In past 2 wks did anyone else in HH have to stop activities?,other_household_member_activity_limitation,Sysmiss,Sysmiss,43506,other_household_member_activity_limitation_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d10,In past 2 wks did anyone else in HH have to stop activities?,other_household_member_activity_limitation,2,No,4406,other_household_member_activity_limitation_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d10,In past 2 wks did anyone else in HH have to stop activities?,other_household_member_activity_limitation,1,Yes,3380,other_household_member_activity_limitation_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d15,During last 12 mos. were you hospitalised/stayed overnight?,hospitalization_need_last_12_months,2,No,48835,hospitalization_need_last_12_months_no,candidate_negative_or_no_event_signal,exclude from positive numerator; may remain in denominator depending construct,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final denominator and skip/universe rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d15,During last 12 mos. were you hospitalised/stayed overnight?,hospitalization_need_last_12_months,1,Yes,2051,hospitalization_need_last_12_months_yes,candidate_denominator_or_event_signal,include when the relevant construct is used,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final construct inclusion rule and universe confirmation.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d15,During last 12 mos. were you hospitalised/stayed overnight?,hospitalization_need_last_12_months,Sysmiss,Sysmiss,406,hospitalization_need_last_12_months_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d17,Did you/other HH members have to borrow/sell assets to pay,hospitalization_financing_coping,Sysmiss,Sysmiss,49365,hospitalization_financing_coping_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d17,Did you/other HH members have to borrow/sell assets to pay,hospitalization_financing_coping,2,No,1469,borrow_sell_assets_for_health_cost_no,candidate_no_coping_signal,exclude from coping positive numerator,conditional on corresponding hospitalization/traditional-healer event,mapping_ready_policy_pending,Need final coping denominator rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d17,Did you/other HH members have to borrow/sell assets to pay,hospitalization_financing_coping,1,Yes,458,borrow_sell_assets_for_health_cost_yes,candidate_financial_coping_signal,"use as financial coping severity/context, not CHE numerator",conditional on corresponding hospitalization/traditional-healer event,mapping_ready_policy_pending,Need final coping-use rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d18,In last 12 months did you stay overnight at a trad'l healer?,traditional_healer_overnight_stay,2,No,50488,traditional_healer_overnight_stay_no,candidate_negative_or_no_event_signal,exclude from positive numerator; may remain in denominator depending construct,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final denominator and skip/universe rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d18,In last 12 months did you stay overnight at a trad'l healer?,traditional_healer_overnight_stay,1,Yes,421,traditional_healer_overnight_stay_yes,candidate_denominator_or_event_signal,include when the relevant construct is used,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final construct inclusion rule and universe confirmation.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d18,In last 12 months did you stay overnight at a trad'l healer?,traditional_healer_overnight_stay,Sysmiss,Sysmiss,383,traditional_healer_overnight_stay_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d20,Did you/other HH members have to borrow/sell assets to pay,traditional_healer_financing_coping,Sysmiss,Sysmiss,50877,traditional_healer_financing_coping_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d20,Did you/other HH members have to borrow/sell assets to pay,traditional_healer_financing_coping,2,No,230,borrow_sell_assets_for_health_cost_no,candidate_no_coping_signal,exclude from coping positive numerator,conditional on corresponding hospitalization/traditional-healer event,mapping_ready_policy_pending,Need final coping denominator rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d20,Did you/other HH members have to borrow/sell assets to pay,traditional_healer_financing_coping,1,Yes,185,borrow_sell_assets_for_health_cost_yes,candidate_financial_coping_signal,"use as financial coping severity/context, not CHE numerator",conditional on corresponding hospitalization/traditional-healer event,mapping_ready_policy_pending,Need final coping-use rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,3,about the same,17904,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,1,much better,17782,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,2,somewhat better,9469,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,4,somewhat worse,3659,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,6,child less than 1 year old,1533,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,Sysmiss,Sysmiss,583,self_rated_health_change_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d21,How is your health today compared the same time last year?,self_rated_health_change,5,much worse,362,self_rated_health_change_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d26,Do you suffer from a chronic illness,chronic_illness_need,2,No,45961,chronic_illness_need_no,candidate_negative_or_no_event_signal,exclude from positive numerator; may remain in denominator depending construct,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final denominator and skip/universe rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d26,Do you suffer from a chronic illness,chronic_illness_need,1,Yes,4918,chronic_illness_need_yes,candidate_denominator_or_event_signal,include when the relevant construct is used,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final construct inclusion rule and universe confirmation.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d26,Do you suffer from a chronic illness,chronic_illness_need,Sysmiss,Sysmiss,413,chronic_illness_need_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,Sysmiss,Sysmiss,46438,chronic_illness_type_1_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,7,Arthritis/rheumatism,986,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,5,Asthma,757,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,1,Chronic malaria/fever,657,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,9,Stomach disorder,495,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,13,Other,259,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,6,Bilharzia/Schost,245,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,22,Heart related problems/H.B.Pressure,233,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,12,Pneumonia,205,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,10,Sores that don't heal,164,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,17,Fainting/epilepsy,162,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,2,TB,157,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,8,nerve disorder,134,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,14,"Pain of limbs, joints or swellings",129,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,25,Eye sight problems,62,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,19,Dental problem,41,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,20,Problem with internal organs,38,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,4,Diabetes,33,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,21,Sexually transmitted infection (STI),25,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,16,Skin problem,24,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,3,HIV/AIDS,14,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,23,Mental illness,10,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,11,Cancer,7,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d27a,What illness do you suffer from: illness 1,chronic_illness_type_1,15,Disability,6,chronic_illness_type_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
