source name,official URL,access date,file/wave,unit,geography,row count,column count,checksum,status
"Ethiopia - Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6199/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M_metadata_export.json,catalog/schema/documentation,"The project targeted geographically the outskirts of Addis Ababa, Bole Lemi Industrial Parks. More details under Sampling.",,2537,4249ef9bf0e4a75c30f5be15e77210288b903b0d8d0eb9edeab10ff602351095,recovered from schema inventory; local snapshot present
"Ethiopia - Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/ETH_2016-2020_FJW_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M_variables.json,catalog/schema/documentation,"The project targeted geographically the outskirts of Addis Ababa, Bole Lemi Industrial Parks. More details under Sampling.",,2537,d76acfdcf4e35b84d2519aed87b8e743ead3111bc2ba929d02e03bc3eeb90fd6,recovered from schema inventory; local snapshot present
"Ethiopia - Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6199,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M\Ethiopia_2016-2020_ETH_2016-2020_FJW_v01_M_data_dictionary.html,catalog/schema/documentation,"The project targeted geographically the outskirts of Addis Ababa, Bole Lemi Industrial Parks. More details under Sampling.",,2537,ca9668d1eb8b73d8d99cfba4f04fe07814143de6c09c04db9d5774d33e3bf786,recovered from schema inventory; local snapshot present
Ethiopia - Socioeconomic Survey 2018-2019 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/3823/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2018-2019_ETH_2018_ESS_v04_M\Ethiopia_2018-2019_ETH_2018_ESS_v04_M_metadata_export.json,catalog/schema/documentation,National Regional Urban and Rural,,2550,f809820fffd812266cb69c0ce85a935f46cc513292b2f6ec020c76acfa1fdfd7,recovered from schema inventory; local snapshot present
Ethiopia - Socioeconomic Survey 2018-2019 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2018-2019_ETH_2018_ESS_v04_M\Ethiopia_2018-2019_ETH_2018_ESS_v04_M_variables.json,catalog/schema/documentation,National Regional Urban and Rural,,2550,21ed0bc2bcc2d88092cf6ee08bc974637e92862275dda62d6fc0e52c4dcda808,recovered from schema inventory; local snapshot present
Ethiopia - Socioeconomic Survey 2018-2019 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/3823,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2018-2019_ETH_2018_ESS_v04_M\Ethiopia_2018-2019_ETH_2018_ESS_v04_M_data_dictionary.html,catalog/schema/documentation,National Regional Urban and Rural,,2550,842168b8c1b28d7f05b92009c8dbc10622bfc3f37758a55e002bb9e0e55cc400,recovered from schema inventory; local snapshot present
Ethiopia - Socio-Economic Panel Survey 2021-2022 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/6161/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M_metadata_export.json,catalog/schema/documentation,National Regional Urban and Rural,,2587,3da43b2f41618a4f2c7a0289a2a002fc8ac3945532a56272d1fe7769c447f761,recovered from schema inventory; local snapshot present
Ethiopia - Socio-Economic Panel Survey 2021-2022 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M_variables.json,catalog/schema/documentation,National Regional Urban and Rural,,2587,7a039b327fe97502bb9609e567ea96a118bf1b26e6abb507c77df0003ffe4168,recovered from schema inventory; local snapshot present
Ethiopia - Socio-Economic Panel Survey 2021-2022 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/6161,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M\Ethiopia_2021-2022_ETH_2021_ESPS-W5_v02_M_data_dictionary.html,catalog/schema/documentation,National Regional Urban and Rural,,2587,762e9bfc8ff435df7f874030968f88596be643030e88ab53249dd0687add485a,recovered from schema inventory; local snapshot present
"Guinea-Bissau - Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares, 2021-2022 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6274/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M_metadata_export.json,catalog/schema/documentation,National Coverage,,2218,d5a10d2ddeb513c7184581968ac69211aa4112bbb088a5cd4d3fb9a2fb538f11,recovered from schema inventory; local snapshot present
"Guinea-Bissau - Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares, 2021-2022 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/GNB_2021_EHCVM-2_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M_variables.json,catalog/schema/documentation,National Coverage,,2218,f3f5cb9b6e57675e3a436acf1f2ab26874d09bada3a977ca0e4c5882aff57c96,recovered from schema inventory; local snapshot present
"Guinea-Bissau - Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares, 2021-2022 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6274,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M\Guinea-Bissau_2021-2022_GNB_2021_EHCVM-2_v01_M_data_dictionary.html,catalog/schema/documentation,National Coverage,,2218,9b861493c925da2a76a7209088465a7875a5a9ab617b3e7d5a4a5f24f210cebe,recovered from schema inventory; local snapshot present
Jamaica - Survey of Living Conditions 1997 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/2368/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Jamaica_1997_JAM_1997_SLC_v01_M\Jamaica_1997_JAM_1997_SLC_v01_M_metadata_export.json,catalog/schema/documentation,National,,881,a84e6986e30ecf7d081620d493097b3bccfbd9ad66e29d0a98bf186c9eb0edc3,recovered from schema inventory; local snapshot present
Jamaica - Survey of Living Conditions 1997 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/JAM_1997_SLC_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Jamaica_1997_JAM_1997_SLC_v01_M\Jamaica_1997_JAM_1997_SLC_v01_M_variables.json,catalog/schema/documentation,National,,881,c400c475562ff851ace7c6291309f7d4d16c6bad20caa46e6be9770eb29da215,recovered from schema inventory; local snapshot present
Jamaica - Survey of Living Conditions 1997 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/2368,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Jamaica_1997_JAM_1997_SLC_v01_M\Jamaica_1997_JAM_1997_SLC_v01_M_data_dictionary.html,catalog/schema/documentation,National,,881,2b70998be5bc2e91a9822c02fdb9fb5a699bcd78ea179c4dd385d6fbb459d85a,recovered from schema inventory; local snapshot present
Kyrgyz Republic - Multipurpose Poverty Survey 1993 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/280/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M_metadata_export.json,catalog/schema/documentation,National coverage,,4712,bff2ee364185ca53adbd0ef8586bea09b7057ea67eddab3205ea7a8f979a62fb,recovered from schema inventory; local snapshot present
Kyrgyz Republic - Multipurpose Poverty Survey 1993 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/KGZ_1993_KMPS_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M_variables.json,catalog/schema/documentation,National coverage,,4712,6cafb404afefad446dbe4aac9da30b9bb5a521c6c71efab3703ea796b6d2842d,recovered from schema inventory; local snapshot present
Kyrgyz Republic - Multipurpose Poverty Survey 1993 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/280,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M\Kyrgyz_Republic_1993_KGZ_1993_KMPS_v01_M_data_dictionary.html,catalog/schema/documentation,National coverage,,4712,4ed87db558208027e6d2f19e86da98132bb9564eef1fc66b5769d2724cc6a3ff,recovered from schema inventory; local snapshot present
Malawi - Second Integrated Household Survey 2004-2005 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/2307/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2004-2005_MWI_2004_IHS-II_v01_M\Malawi_2004-2005_MWI_2004_IHS-II_v01_M_metadata_export.json,catalog/schema/documentation,National,,1901,9699d0ad0bfd015f0584e5b3964a825ff1d7d63e1a89c9fae40664e8905d322a,recovered from schema inventory; local snapshot present
Malawi - Second Integrated Household Survey 2004-2005 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/MWI_2004_IHS-II_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2004-2005_MWI_2004_IHS-II_v01_M\Malawi_2004-2005_MWI_2004_IHS-II_v01_M_variables.json,catalog/schema/documentation,National,,1901,d4dd609b36205a7964f35e3efffe9cb518bcab569bfabb2a44f31f6cf6b60bb5,recovered from schema inventory; local snapshot present
Malawi - Second Integrated Household Survey 2004-2005 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/2307,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2004-2005_MWI_2004_IHS-II_v01_M\Malawi_2004-2005_MWI_2004_IHS-II_v01_M_data_dictionary.html,catalog/schema/documentation,National,,1901,eda73a2f05537cff7939d91b5fe725da9d01bc9b750fe1397caf3721a30e472b,recovered from schema inventory; local snapshot present
"Malawi - Marriage Transitions in Malawi 2007-2009, Panel Data - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/3462/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M_metadata_export.json,catalog/schema/documentation,"Salima Malawi and, after baseline, other parts of Malawi to which respondents migrated.",,6283,c75c5bd4684f26bb6e0f72d22bf4fab07f12ea398c3a708686bca9132b00a99a,recovered from schema inventory; local snapshot present
"Malawi - Marriage Transitions in Malawi 2007-2009, Panel Data - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/MWI_2007-2009_MTM_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M_variables.json,catalog/schema/documentation,"Salima Malawi and, after baseline, other parts of Malawi to which respondents migrated.",,6283,6aedb20419de75d9f28b627da8b55cfc710846fcf8330d5dcf76d3b0c719af41,recovered from schema inventory; local snapshot present
"Malawi - Marriage Transitions in Malawi 2007-2009, Panel Data - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/3462,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M\Malawi_2007-2009_MWI_2007-2009_MTM_v01_M_data_dictionary.html,catalog/schema/documentation,"Salima Malawi and, after baseline, other parts of Malawi to which respondents migrated.",,6283,473679163846c6f06955272c46c7a8472d2732341d0fcb0f39d441a3f09c0646,recovered from schema inventory; local snapshot present
"Mali - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6275/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M_metadata_export.json,catalog/schema/documentation,National coverage,,1917,683f67fd801d0c5d647764f1ff78796875559f20a92194c2bccdaf411b771115,recovered from schema inventory; local snapshot present
"Mali - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/MLI_2021_EHCVM-2_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M_variables.json,catalog/schema/documentation,National coverage,,1917,569d3a8e2b1acb9f56bcf3617418c07953e70255561643e8236b6ec5c9dc0950,recovered from schema inventory; local snapshot present
"Mali - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6275,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M\Mali_2021-2022_MLI_2021_EHCVM-2_v01_M_data_dictionary.html,catalog/schema/documentation,National coverage,,1917,e396c048ab87d1d1dbae2e921f312d5b2ca241fc3cfc8b8db6b474313cb2642e,recovered from schema inventory; local snapshot present
"Nepal - Living Standards Survey 2010-2011, Third Round - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/1000/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Nepal_2010-2011_NPL_2010_LSS-III_v01_M\Nepal_2010-2011_NPL_2010_LSS-III_v01_M_metadata_export.json,catalog/schema/documentation,National Urban-Rural areas Ecological Zones Development Regions,,1361,20f28db0c920f7f7dd4a6855d380750adebe8b113ab59feea360ea63cd15db41,recovered from schema inventory; local snapshot present
"Nepal - Living Standards Survey 2010-2011, Third Round - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/NPL_2010_LSS-III_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Nepal_2010-2011_NPL_2010_LSS-III_v01_M\Nepal_2010-2011_NPL_2010_LSS-III_v01_M_variables.json,catalog/schema/documentation,National Urban-Rural areas Ecological Zones Development Regions,,1361,623cd3c8db83a190f799b4dcbb2a1ba0282f34fce60932fedc59035654ce4769,recovered from schema inventory; local snapshot present
"Nepal - Living Standards Survey 2010-2011, Third Round - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/1000,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Nepal_2010-2011_NPL_2010_LSS-III_v01_M\Nepal_2010-2011_NPL_2010_LSS-III_v01_M_data_dictionary.html,catalog/schema/documentation,National Urban-Rural areas Ecological Zones Development Regions,,1361,6f627297aa59f8a2accdaf6a8d5fd78415d0e0a391c6aebd765e26ca1dd4e03f,recovered from schema inventory; local snapshot present
"Niger - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6276/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Niger_2021-2022_NER_2021_EHCVM-2_v01_M\Niger_2021-2022_NER_2021_EHCVM-2_v01_M_metadata_export.json,catalog/schema/documentation,National coverage,,1911,f6acdb200cfd6821fe23747c87c97c6160c5b4119a0c99839fc56909aa49139f,recovered from schema inventory; local snapshot present
"Niger - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/NER_2021_EHCVM-2_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Niger_2021-2022_NER_2021_EHCVM-2_v01_M\Niger_2021-2022_NER_2021_EHCVM-2_v01_M_variables.json,catalog/schema/documentation,National coverage,,1911,f37d9fcc1b4add6475961f1a3efd3b912354cab28ebe3f76cc02e73e8955ae4a,recovered from schema inventory; local snapshot present
"Niger - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6276,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Niger_2021-2022_NER_2021_EHCVM-2_v01_M\Niger_2021-2022_NER_2021_EHCVM-2_v01_M_data_dictionary.html,catalog/schema/documentation,National coverage,,1911,758155ba173dc69b5aa3cedef13c4a54ef3064f4ae924634b15270ac1a20d8e8,recovered from schema inventory; local snapshot present
