outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,design
post_zero_rn_day_share,155,10,0.0,1311,-0.012777490674059984,0.008021786078755231,0.1114359571746606,0.011696886373017695,0.010824284531059703,RD
post_zero_rn_day_share,155,10,1.0,1068,-0.007990428279613469,0.009317764122250173,0.39133531495782337,0.011696886373017695,0.012271828553779734,donut_RD
post_weekend_p10_total_hprd,155,10,0.0,1311,0.0059744616326105,0.05187791430296076,0.9083329214911193,2.5562925688600346,2.633558203477485,RD
post_weekend_p10_total_hprd,155,10,1.0,1068,0.08066651071213835,0.07552978929116848,0.2857586067651414,2.5562925688600346,2.6514028197177057,donut_RD
post_avg_daily_census,155,10,0.0,1311,13.573479491445282,5.844134889134801,0.02035458268584267,89.9425676468689,91.41458792125664,RD
post_avg_daily_census,155,10,1.0,1068,8.506932679155362,7.683093540972866,0.26844581627538555,89.9425676468689,90.399355642455,donut_RD
post_weekend_share_total_hours,155,10,0.0,1311,-0.0019806550346718505,0.0016725713820186405,0.23655015560364467,0.2495149866311738,0.2505906658756672,RD
post_weekend_share_total_hours,155,10,1.0,1068,-0.0027091273900755187,0.002243968400341642,0.22758762946707356,0.2495149866311738,0.250578232345554,donut_RD
post_contract_share_total_hours,155,10,0.0,1311,-0.017213865790240264,0.01584315880893699,0.2774505406550243,0.09585540841935292,0.09329459686403171,RD
post_contract_share_total_hours,155,10,1.0,1068,-0.01826002712573496,0.02132446609420714,0.3920275972622842,0.09585540841935292,0.09310812326836579,donut_RD
post_weekend_rn_lt8_day_share,155,15,0.0,1872,-0.016618825060419104,0.012665501914119085,0.1896364214580326,0.05893830695236815,0.057002262810267816,RD
post_weekend_rn_lt8_day_share,155,15,1.0,1629,-0.0012139027039148077,0.01563860901144738,0.938138165770162,0.05893830695236815,0.05912912825590022,donut_RD
post_zero_rn_day_share,155,15,0.0,1872,-0.006806084420634913,0.005525046528105641,0.2181563875603758,0.011451181159617884,0.010853444437240015,RD
post_zero_rn_day_share,155,15,1.0,1629,-0.0018312924235782434,0.006368668730915839,0.7737300839650114,0.011451181159617884,0.011792492608832616,donut_RD
post_weekend_p10_total_hprd,155,15,0.0,1872,0.0629506160320154,0.03990772843639093,0.11487188288629535,2.5684506900407897,2.646340459006043,RD
post_weekend_p10_total_hprd,155,15,1.0,1629,0.10619757745993869,0.0539053408892118,0.0489993194893632,2.5684506900407897,2.6615845538839493,donut_RD
post_avg_daily_census,155,15,0.0,1872,7.288697646975334,4.858064298418706,0.13369803745131925,89.28083755762563,91.55045710625234,RD
post_avg_daily_census,155,15,1.0,1629,2.553970872520652,5.861998922528103,0.6631249047101346,89.28083755762563,90.93801280062401,donut_RD
post_weekend_share_total_hours,155,15,0.0,1872,0.0011637402121218864,0.0012542981130375386,0.35363018428628035,0.24998985815393537,0.2505071606460413,RD
post_weekend_share_total_hours,155,15,1.0,1629,0.001131250492362506,0.0016182817792917562,0.48462444653969894,0.24998985815393537,0.25047451288391614,donut_RD
post_contract_share_total_hours,155,15,0.0,1872,-0.01023554511998377,0.012502888055378155,0.41308800515349864,0.09441867077218277,0.09400258579732408,RD
post_contract_share_total_hours,155,15,1.0,1629,-0.014562178403188247,0.01551309432452928,0.3480230767367045,0.09441867077218277,0.09409176778843316,donut_RD
post_weekend_rn_lt8_day_share,155,20,0.0,2426,-0.0066882212970879075,0.01069389205390889,0.5317514583569101,0.059710000452222675,0.055446779964221815,RD
post_weekend_rn_lt8_day_share,155,20,1.0,2183,0.005905612201368043,0.012655949960036399,0.6408131748544166,0.059710000452222675,0.05665810205616031,donut_RD
post_zero_rn_day_share,155,20,0.0,2426,-0.003836047433819176,0.004355368279467747,0.37853347323758624,0.011361775709912357,0.010312705474248066,RD
post_zero_rn_day_share,155,20,1.0,2183,0.0004825636382357086,0.004994872562166926,0.9230435683820577,0.011361775709912357,0.010878845877790581,donut_RD
post_weekend_p10_total_hprd,155,20,0.0,2426,0.04869879572742326,0.034271727757816124,0.15545676664037655,2.5689040641231333,2.663503674207135,RD
post_weekend_p10_total_hprd,155,20,1.0,2183,0.06934989855444063,0.043841346451054905,0.11383173321428042,2.5689040641231333,2.678257911963871,donut_RD
post_avg_daily_census,155,20,0.0,2426,9.477486503819883,4.31683584391226,0.028224406531143442,91.61154970507218,91.3734869632232,RD
post_avg_daily_census,155,20,1.0,2183,6.779166943730928,4.961774815068542,0.17199249865608457,91.61154970507218,90.89065782969435,donut_RD
post_weekend_share_total_hours,155,20,0.0,2426,0.0004857390533842878,0.0010463923465951186,0.6425436303069345,0.25004062657270454,0.250933240560852,RD
post_weekend_share_total_hours,155,20,1.0,2183,-5.801745131768728e-05,0.0012900529094767566,0.9641330115676503,0.25004062657270454,0.2510009089730938,donut_RD
post_contract_share_total_hours,155,20,0.0,2426,-0.002159625029787844,0.010464165243898154,0.8365091546057588,0.09710929117426584,0.09498434648299187,RD
post_contract_share_total_hours,155,20,1.0,2183,-0.005575738175283288,0.012364645255321993,0.6520762027432963,0.09710929117426584,0.09525969037116491,donut_RD
post_weekend_rn_lt8_day_share,155,30,0.0,3527,-5.615494054750684e-05,0.008406906053777431,0.9946708518951848,0.06217523182781399,0.05212722187705815,RD
post_weekend_rn_lt8_day_share,155,30,1.0,3284,0.008530180930055505,0.009590624799642644,0.37383772937345094,0.06217523182781399,0.052442768622727724,donut_RD
post_zero_rn_day_share,155,30,0.0,3527,-0.001287746855255246,0.0032107428366317772,0.68838964889735,0.011958370616187082,0.009903398156152918,RD
post_zero_rn_day_share,155,30,1.0,3284,0.001633632016292334,0.00362797924008651,0.6525332455132409,0.011958370616187082,0.01020567110591117,donut_RD
post_weekend_p10_total_hprd,155,30,0.0,3527,0.025509411173551013,0.028213916427898517,0.3659814730637647,2.5549575082296125,2.6845722372111056,RD
post_weekend_p10_total_hprd,155,30,1.0,3284,0.03949976635531616,0.033489901848100606,0.23830336886775738,2.5549575082296125,2.6967508273886556,donut_RD
post_avg_daily_census,155,30,0.0,3527,2.5196615888127623,3.2509706148930992,0.43836271062137433,89.89850665402287,90.51108596489934,RD
post_avg_daily_census,155,30,1.0,3284,1.2027975495347218,3.6325260941829893,0.7405759306660797,89.89850665402287,90.08910668387261,donut_RD
post_weekend_share_total_hours,155,30,0.0,3527,0.00039904178875516377,0.0008699192674870809,0.646469802453238,0.25020285129505226,0.25113340278453866,RD
post_weekend_share_total_hours,155,30,1.0,3284,7.117035575907675e-05,0.0010026393814042917,0.9434156092375567,0.25020285129505226,0.2512032899744025,donut_RD
post_contract_share_total_hours,155,30,0.0,3527,-0.0026028935883138727,0.008459856744939678,0.7583471875050831,0.09619813760642114,0.09482912078339611,RD
post_contract_share_total_hours,155,30,1.0,3284,-0.003348250672990328,0.009510985319766687,0.7248306120007024,0.09619813760642114,0.09498207381200642,donut_RD
post_weekend_rn_lt8_day_share,205,5,0.0,893,-0.059772759821121985,0.030252433428378286,0.04848628539565203,0.0477545138704559,0.0428830262297863,RD
post_weekend_rn_lt8_day_share,205,5,1.0,570,0.08149908423580207,0.13667938313882821,0.5512270621665545,0.049275044704253174,0.04680679345254991,donut_RD
post_zero_rn_day_share,205,5,0.0,893,-0.02856087411921328,0.016287343168791782,0.07985010156715067,0.011868509687170233,0.008702738731863838,RD
post_zero_rn_day_share,205,5,1.0,570,0.03448383527748171,0.0667679725690187,0.6057260225832857,0.01216177612207858,0.01056025160108266,donut_RD
post_weekend_p10_total_hprd,205,5,0.0,893,0.023794220090810593,0.10425983210944798,0.8195273886158376,2.776521567983688,2.7923607660053333,RD
post_weekend_p10_total_hprd,205,5,1.0,570,-0.03222890174844946,0.2406838903920397,0.8935248825269526,2.7749520854641823,2.7890371896267547,donut_RD
post_avg_daily_census,205,5,0.0,893,10.19561509706832,9.157003242302928,0.26582789319304667,90.72297186836379,88.85419020469675,RD
post_avg_daily_census,205,5,1.0,570,-44.73623488327435,17.58354818626735,0.011217122830744275,90.60840466774486,87.38942960962896,donut_RD
post_weekend_share_total_hours,205,5,0.0,893,-0.005102215171492822,0.003617059299566879,0.15871310676853856,0.25369874551922206,0.2517079086707283,RD
post_weekend_share_total_hours,205,5,1.0,570,-0.01667006154592604,0.011559565498661899,0.149826959794658,0.2537515533073966,0.251574093469556,donut_RD
post_contract_share_total_hours,205,5,0.0,893,0.011656795102144507,0.029930931793029168,0.6970317785372973,0.08654666026767274,0.08342794003056707,RD
post_contract_share_total_hours,205,5,1.0,570,0.03919288515054358,0.051619730837632494,0.4480121047950303,0.08533346722124367,0.07343151148705451,donut_RD
post_weekend_rn_lt8_day_share,205,10,0.0,1549,-0.011977139512897618,0.01394403554993355,0.3905048983523751,0.04890433623461146,0.04681618148731742,RD
post_weekend_rn_lt8_day_share,205,10,1.0,1226,0.013998609011662479,0.02516072062986789,0.5780614663485748,0.049666752452806336,0.0505864125707263,donut_RD
post_zero_rn_day_share,205,10,0.0,1549,-0.007903111394804586,0.007164286806967934,0.27014422210882816,0.010602852374225863,0.009245848017526424,RD
post_zero_rn_day_share,205,10,1.0,1226,0.003568954872157031,0.0116107514968541,0.7586037676570412,0.010695683667157518,0.0103657115019921,donut_RD
post_weekend_p10_total_hprd,205,10,0.0,1549,-0.02790053265854928,0.05432123131732156,0.607590340115046,2.7733073622460456,2.8212150085961483,RD
post_weekend_p10_total_hprd,205,10,1.0,1226,-0.11557574088966634,0.07352523330458961,0.11622810959484431,2.7724465032836076,2.834249602845979,donut_RD
post_avg_daily_census,205,10,0.0,1549,-2.0183826364909425,5.839574567967028,0.7296613548602926,88.18074424152057,85.77991873624444,RD
post_avg_daily_census,205,10,1.0,1226,-9.924831532776528,9.175425330517164,0.279610211428573,88.03379205704758,83.56272283406116,donut_RD
post_weekend_share_total_hours,205,10,0.0,1549,-0.0045231618853873775,0.0019348885368532837,0.019530623426508686,0.2524571763903452,0.2520509085247231,RD
post_weekend_share_total_hours,205,10,1.0,1226,-0.007314999456781754,0.0028286058574716125,0.009822288389974121,0.252436944122041,0.2521629018636824,donut_RD
post_contract_share_total_hours,205,10,0.0,1549,-0.0002481212236728059,0.013812990899290329,0.985670778169188,0.08459840921284936,0.08512520116813498,RD
post_contract_share_total_hours,205,10,1.0,1226,-0.02371230430984503,0.018363146442308808,0.19684438013686267,0.08395252253274917,0.0814279679008719,donut_RD
post_weekend_rn_lt8_day_share,205,15,0.0,2232,-0.0036739783411373554,0.010377520599559755,0.7233481154020431,0.0503690175239471,0.04701878853709764,RD
post_weekend_rn_lt8_day_share,205,15,1.0,1909,0.00851762071289337,0.015421337700425064,0.5807891499870013,0.050899164077330916,0.04947515272639651,donut_RD
post_zero_rn_day_share,205,15,0.0,2232,-0.003669860140015746,0.004819619779162392,0.4464737928462035,0.010486446220633956,0.009042473724288713,RD
post_zero_rn_day_share,205,15,1.0,1909,0.0015752727713122987,0.00678652529631941,0.8164715148177975,0.010544014917139891,0.009687789806682917,donut_RD
post_weekend_p10_total_hprd,205,15,0.0,2232,-0.02015697189798135,0.04143483016128264,0.6266789080831754,2.7610615342942095,2.840466840796014,RD
post_weekend_p10_total_hprd,205,15,1.0,1909,-0.04024717620359951,0.05069176936320424,0.4273183055319125,2.7602120429984423,2.854892355975767,donut_RD
post_avg_daily_census,205,15,0.0,2232,0.609248448164978,4.601647400555046,0.8946815316716077,88.9249802456508,84.36991655659045,RD
post_avg_daily_census,205,15,1.0,1909,-3.1034792117959302,6.117538198291513,0.6119970871639344,88.84711268611684,82.5125261347405,donut_RD
post_weekend_share_total_hours,205,15,0.0,2232,-0.00234041673674271,0.001418998293613298,0.09921809057831243,0.252434492302262,0.25251288807237293,RD
post_weekend_share_total_hours,205,15,1.0,1909,-0.003306440673889525,0.001803528753115601,0.06691133729150645,0.2524208071371478,0.2527316832759718,donut_RD
post_contract_share_total_hours,205,15,0.0,2232,0.0002541316041755373,0.010287439336529673,0.980293997578525,0.08350948219218325,0.08362492439323072,RD
post_contract_share_total_hours,205,15,1.0,1909,-0.009082887161373258,0.012421818702200601,0.4647443056480909,0.0830639622986523,0.08079983182767334,donut_RD
post_weekend_rn_lt8_day_share,205,20,0.0,2767,-0.006100574089409102,0.008580350368002882,0.4771482229888746,0.0469001027098549,0.043127143329649925,RD
post_weekend_rn_lt8_day_share,205,20,1.0,2444,0.007425934703222262,0.011550233740560257,0.5203331389939592,0.047254326865076045,0.044061827579097324,donut_RD
post_zero_rn_day_share,205,20,0.0,2767,-0.003952382974797883,0.0038348124336847157,0.3027910860423826,0.009281674234147039,0.008067683888708897,RD
post_zero_rn_day_share,205,20,1.0,2444,0.0005168949947656086,0.00497965353886616,0.9173354883982427,0.009304629811197578,0.008324977913883091,donut_RD
post_weekend_p10_total_hprd,205,20,0.0,2767,0.007683411842792412,0.035766255153229454,0.8299212259104523,2.7643993800852975,2.855982521746206,RD
post_weekend_p10_total_hprd,205,20,1.0,2444,0.0011037071838595168,0.042294374272331035,0.979183029852221,2.7637901898613597,2.8709379802360635,donut_RD
post_avg_daily_census,205,20,0.0,2767,-0.4558794971174544,4.005067338423562,0.9093842542218553,89.74049995826454,85.2882457455746,RD
post_avg_daily_census,205,20,1.0,2444,-5.8266721645830035,5.071669727405495,0.2507235828520997,89.69420317738721,84.08205046679169,donut_RD
post_weekend_share_total_hours,205,20,0.0,2767,-0.0011083251546922701,0.0011915343895403674,0.352366237826095,0.25256972755498736,0.2524849933597304,RD
post_weekend_share_total_hours,205,20,1.0,2444,-0.001091359381372031,0.0014490431277468597,0.4514272387373697,0.2525614393754163,0.25264688603011115,donut_RD
post_contract_share_total_hours,205,20,0.0,2767,0.010304675619034311,0.00893688188026999,0.24898942046418604,0.08743188876235962,0.08189616559661402,RD
post_contract_share_total_hours,205,20,1.0,2444,0.006267304482630107,0.0103772151640095,0.5459339661139748,0.08715307405103676,0.07929043824013554,donut_RD
post_weekend_rn_lt8_day_share,205,30,0.0,3981,-0.005725237345795799,0.006902297636769936,0.406889228552584,0.04709378949605178,0.044531184682020004,RD
post_weekend_rn_lt8_day_share,205,30,1.0,3658,-0.0014175118199671486,0.008528921891187886,0.8680082932268318,0.04732966821784141,0.04539903340237601,donut_RD
post_zero_rn_day_share,205,30,0.0,3981,-0.0019931412448616313,0.002862307668016546,0.4862562016198966,0.009509855066646528,0.008687310777224651,RD
post_zero_rn_day_share,205,30,1.0,3658,-0.00025242327288592067,0.003461959362778153,0.9418790110366282,0.009527803326316711,0.008965170165061168,donut_RD
post_weekend_p10_total_hprd,205,30,0.0,3981,-0.0016378546980375683,0.029227379312126368,0.9553140552614316,2.744544233591057,2.887372629161552,RD
post_weekend_p10_total_hprd,205,30,1.0,3658,-0.0021092564319411967,0.033118710641689385,0.9492223361904943,2.743897559428758,2.9027502724753513,donut_RD
post_avg_daily_census,205,30,0.0,3981,-2.0207354392988583,3.2394915722901985,0.5328067589239613,89.24133942146943,84.22502294558235,RD
post_avg_daily_census,205,30,1.0,3658,-5.095386722045239,3.7698954470151937,0.17658731086995472,89.20466033437141,83.23020383750564,donut_RD
post_weekend_share_total_hours,205,30,0.0,3981,-0.0012877717080856028,0.0009416970379064807,0.17154557646971447,0.2521138661154647,0.2526399103360854,RD
post_weekend_share_total_hours,205,30,1.0,3658,-0.00119492115848212,0.001083458280771263,0.2701532380548155,0.25210277502710066,0.25277547389045274,donut_RD
post_contract_share_total_hours,205,30,0.0,3981,0.005969395195756643,0.007140933335588133,0.4032386114462816,0.09018960632625038,0.0828311909834874,RD
post_contract_share_total_hours,205,30,1.0,3658,1.397831606669538e-05,0.008061443473541416,0.9986165859780853,0.09003987097384296,0.0812222456634786,donut_RD
post_weekend_rn_lt8_day_share,255,5,0.0,783,-0.15219360284320824,0.08451093002110016,0.07210927431996494,0.036861987846737304,0.04377766230456657,RD
post_weekend_rn_lt8_day_share,255,5,1.0,548,-0.046847433785050616,0.10131753152164404,0.6439920634968936,0.036861987846737304,0.04514508723599633,donut_RD
post_zero_rn_day_share,255,5,0.0,783,-0.0489110529677447,0.03291437460801964,0.13768135167965911,0.008183523151198628,0.010219337549799678,RD
post_zero_rn_day_share,255,5,1.0,548,-0.020939657737940657,0.036958051823329514,0.5712338883272654,0.008183523151198628,0.010254679992822285,donut_RD
post_weekend_p10_total_hprd,255,5,0.0,783,-0.4934684011777552,0.23842370843948651,0.038808449573548565,3.0383858310048835,3.061147920334823,RD
post_weekend_p10_total_hprd,255,5,1.0,548,-0.5319160281721167,0.29042141335934807,0.06756788666743385,3.0383858310048835,3.058784411244636,donut_RD
post_avg_daily_census,255,5,0.0,783,55.098514427575985,12.747883056541095,1.7452596871248005e-05,80.8248096560355,78.9038097464893,RD
post_avg_daily_census,255,5,1.0,548,48.4002615052744,19.195779700758727,0.011973415442991575,80.8248096560355,77.14883857340874,donut_RD
post_weekend_share_total_hours,255,5,0.0,783,-0.008700007133934437,0.00851163046499186,0.30703589157440536,0.2532282481100493,0.2526910322617818,RD
post_weekend_share_total_hours,255,5,1.0,548,0.0033330207793417495,0.010736257758856055,0.7563412511464769,0.2532282481100493,0.253506608280895,donut_RD
post_contract_share_total_hours,255,5,0.0,783,0.03725122501964611,0.03997509142076705,0.35169712081306237,0.08972121978922257,0.08050828762820185,RD
post_contract_share_total_hours,255,5,1.0,548,0.04140462619951667,0.0540479126969713,0.44396536339100967,0.08972121978922257,0.07419865328785541,donut_RD
post_weekend_rn_lt8_day_share,255,10,0.0,1271,-0.0072779708493035085,0.014413709793693628,0.6136930670180312,0.03813261592328505,0.04301753102073615,RD
post_weekend_rn_lt8_day_share,255,10,1.0,1036,0.004799281517135924,0.01953717757610089,0.8060030599139394,0.03813261592328505,0.043326427535352485,donut_RD
post_zero_rn_day_share,255,10,0.0,1271,-0.0017942164481894126,0.005609505344173692,0.7491325923679972,0.007856844751912413,0.009768386226371176,RD
post_zero_rn_day_share,255,10,1.0,1036,0.0026007516736480277,0.00670480914701068,0.6981748652598931,0.007856844751912413,0.009570778336322035,donut_RD
post_weekend_p10_total_hprd,255,10,0.0,1271,-0.03689038025743248,0.06996548121367659,0.5981015790325144,3.0327663812213923,3.097225405491509,RD
post_weekend_p10_total_hprd,255,10,1.0,1036,-0.07503464321362457,0.09084952968903581,0.40903911911207524,3.0327663812213923,3.1132624030817646,donut_RD
post_avg_daily_census,255,10,0.0,1271,7.4055021958682605,6.265243932461001,0.23742850996323006,81.39735076097735,78.18924975154357,RD
post_avg_daily_census,255,10,1.0,1036,5.345479619170746,7.4318468367357795,0.4721394737461879,81.39735076097735,76.98717140935744,donut_RD
post_weekend_share_total_hours,255,10,0.0,1271,-0.0005921486464273912,0.001866223754862745,0.7510699433651098,0.2537048436113018,0.25268165943576876,RD
post_weekend_share_total_hours,255,10,1.0,1036,0.002572764666008898,0.002470356897549053,0.2979085068082843,0.2537048436113018,0.2530775352623657,donut_RD
post_contract_share_total_hours,255,10,0.0,1271,-0.021224770371632708,0.014985541220522954,0.156918873432349,0.08107608092228563,0.08248243883291705,RD
post_contract_share_total_hours,255,10,1.0,1036,-0.04464972053666196,0.018683507699284528,0.017036501057161813,0.08107608092228563,0.08032624009608993,donut_RD
post_weekend_rn_lt8_day_share,255,15,0.0,1846,0.004737022521333578,0.010883012366971425,0.6634192041185458,0.041051742562956794,0.04227212706243872,RD
post_weekend_rn_lt8_day_share,255,15,1.0,1611,0.011802506432987327,0.013638247844063416,0.3869497891451694,0.041051742562956794,0.04224157439422237,donut_RD
post_zero_rn_day_share,255,15,0.0,1846,0.0020347902154336578,0.004462722250089112,0.6484777466589642,0.00862392086693509,0.00937590708291486,RD
post_zero_rn_day_share,255,15,1.0,1611,0.0035672603589323587,0.0051729324134055414,0.49054458121837663,0.00862392086693509,0.009122698420022387,donut_RD
post_weekend_p10_total_hprd,255,15,0.0,1846,-0.009436816104182087,0.05448181413279217,0.8625050903078542,3.029412528050541,3.1008463085334586,RD
post_weekend_p10_total_hprd,255,15,1.0,1611,-0.003369444984828232,0.06671471146967281,0.9597260208400273,3.029412528050541,3.112538100291608,donut_RD
post_avg_daily_census,255,15,0.0,1846,2.206815990174817,4.676761456932744,0.6370766075771996,80.58840709928309,78.00213259648672,RD
post_avg_daily_census,255,15,1.0,1611,-1.0505107402506124,5.265376929054345,0.8418867768329399,80.58840709928309,77.15220315171221,donut_RD
post_weekend_share_total_hours,255,15,0.0,1846,-0.0017788471704052512,0.0013951159385869993,0.20245117839934723,0.2535164396610398,0.2528533928908533,RD
post_weekend_share_total_hours,255,15,1.0,1611,-0.0005686908269897038,0.0017508492596651475,0.7453682425657107,0.2535164396610398,0.25316784435207784,donut_RD
post_contract_share_total_hours,255,15,0.0,1846,0.006396762632363516,0.011889988357576181,0.5906450111146992,0.088670831067984,0.08308873992703016,RD
post_contract_share_total_hours,255,15,1.0,1611,-0.002988845749746734,0.013855734442601686,0.829239758786835,0.088670831067984,0.08185973429266542,donut_RD
post_weekend_rn_lt8_day_share,255,20,0.0,2421,0.003296066159085379,0.008652063326057004,0.7032684589924949,0.04059815341500638,0.04267036644487625,RD
post_weekend_rn_lt8_day_share,255,20,1.0,2186,0.005681680088781481,0.010546003066096642,0.590112955994387,0.04059815341500638,0.04273947915883399,donut_RD
post_zero_rn_day_share,255,20,0.0,2421,0.000375608175894611,0.0034606760450453062,0.9135794792725938,0.008286054855085472,0.009900079986397123,RD
post_zero_rn_day_share,255,20,1.0,2186,-6.634581271105187e-06,0.004132176331403041,0.9987190717947545,0.008286054855085472,0.009835101827855451,donut_RD
post_weekend_p10_total_hprd,255,20,0.0,2421,-0.025579932702941423,0.044754329265811764,0.5676710015195026,3.0206361772347434,3.127808660767809,RD
post_weekend_p10_total_hprd,255,20,1.0,2186,-0.040845233587465626,0.05393299395157257,0.4489321857670294,3.0206361772347434,3.142562624406055,donut_RD
post_avg_daily_census,255,20,0.0,2421,-0.1916242407789987,3.913313972586995,0.9609494376525145,80.99515455402629,78.5639046105702,RD
post_avg_daily_census,255,20,1.0,2186,-3.8247971327312986,4.369261369422793,0.38145940436522796,80.99515455402629,78.07066831455214,donut_RD
post_weekend_share_total_hours,255,20,0.0,2421,-0.0015391724936308234,0.0011987572249048113,0.19927429905360605,0.2536273523476004,0.25331041948904087,RD
post_weekend_share_total_hours,255,20,1.0,2186,-0.0011436806525117697,0.001596522729941235,0.47384743732286294,0.2536273523476004,0.2536456349289541,donut_RD
post_contract_share_total_hours,255,20,0.0,2421,0.002279479985831153,0.009496364038392874,0.8103218261771286,0.08939831081515864,0.0820547970835997,RD
post_contract_share_total_hours,255,20,1.0,2186,-0.0018649700879222113,0.010902607584240926,0.8641946090618284,0.08939831081515864,0.08091745418199134,donut_RD
post_weekend_rn_lt8_day_share,255,30,0.0,3480,0.0041027168496619686,0.006784859491648238,0.5454264050993467,0.04121637647833591,0.04012679374071779,RD
post_weekend_rn_lt8_day_share,255,30,1.0,3245,0.007250563241980274,0.007685640734920739,0.34555133234912727,0.04121637647833591,0.03977613686839679,donut_RD
post_zero_rn_day_share,255,30,0.0,3480,0.002296030509628188,0.0027957738556043947,0.411559951332797,0.008681698777603036,0.008962686450303401,RD
post_zero_rn_day_share,255,30,1.0,3245,0.0028956082646229646,0.0028508279972020265,0.30984436401823445,0.008681698777603036,0.008771894609205494,donut_RD
post_weekend_p10_total_hprd,255,30,0.0,3480,-0.013581323517036205,0.03656520900036784,0.7103417967359915,2.9971022173796262,3.1541828680491926,RD
post_weekend_p10_total_hprd,255,30,1.0,3245,-0.01068056804096284,0.0419887012818994,0.7992276636296429,2.9971022173796262,3.1683486987298655,donut_RD
post_avg_daily_census,255,30,0.0,3480,-0.20244321192830633,3.1802351444901937,0.9492472590491046,81.45660752277564,78.19900564052531,RD
post_avg_daily_census,255,30,1.0,3245,-1.7972484087554463,3.401407067430551,0.597269153148996,81.45660752277564,77.80623651957586,donut_RD
post_weekend_share_total_hours,255,30,0.0,3480,-0.0011886703609104874,0.0009080376019947701,0.19060255001411863,0.25325151195614004,0.2530346358054178,RD
post_weekend_share_total_hours,255,30,1.0,3245,-0.0002801195267282297,0.0010242012689950443,0.7844859595595857,0.25325151195614004,0.25321967654352817,donut_RD
post_contract_share_total_hours,255,30,0.0,3480,-0.011128448808145362,0.00762781404940785,0.14467465488377562,0.08558056525595176,0.08362664517869935,RD
post_contract_share_total_hours,255,30,1.0,3245,-0.015223938822572468,0.008597634604118835,0.07670250566671521,0.08558056525595176,0.08309829023126293,donut_RD
post_weekend_rn_lt8_day_share,320,5,0.0,459,-0.025236569897948754,0.021917877301019247,0.2501662770097455,0.03159388340294489,0.025608571782484827,RD
post_weekend_rn_lt8_day_share,320,5,1.0,285,-0.30964126407670356,0.47037190352367225,0.5108905723505814,0.02932199253517083,0.019582003378463556,donut_RD
post_zero_rn_day_share,320,5,0.0,459,-0.00746004254821655,0.010864185323031754,0.49264441939199655,0.00823051912910503,0.008366566745583759,RD
post_zero_rn_day_share,320,5,1.0,285,-0.19959338394268555,0.2412971393819557,0.4088434510941923,0.007327089899764319,0.004042288031322276,donut_RD
post_weekend_p10_total_hprd,320,5,0.0,459,0.14384615757867852,0.130257286111067,0.27003656889842653,3.473428320669927,3.5187343979119934,RD
post_weekend_p10_total_hprd,320,5,1.0,285,-1.4632490687991708,1.115787015374337,0.19079137007956581,3.497516423012548,3.5561611869292116,donut_RD
post_avg_daily_census,320,5,0.0,459,-4.292730728799171,11.17875500631659,0.7011519466650991,64.85849869034863,66.65982830496537,RD
post_avg_daily_census,320,5,1.0,285,44.65101218366286,17.66025690211926,0.012008420302746181,63.521399098621686,65.44172108672396,donut_RD
post_weekend_share_total_hours,320,5,0.0,459,0.0019493454699433706,0.003797097385277426,0.6079362614950248,0.2529091731644524,0.2524150939237938,RD
