source_name,official_public_source,access_date,download_path,period_covered,unit,row_count,column_count,checksum,status,notes
cms_faq_102723_child_ce_premium_nonpayment,https://www.medicaid.gov/federal-policy-guidance/downloads/faq102723.pdf,2026-07-08,temp\raw_downloads\cms_faq_102723_child_ce_premium_nonpayment.pdf,,policy document,,,28abbda8f794ea283221b52de666e74be8a84ddca6b0d59937476c9d70b56d8a,exists,
kff_table5_child_ce_jan2023,https://files.kff.org/attachment/Table-5-Medicaid-and-CHIP-Eligibility-Enrollment-and-Renewal-Policies-as-States-Prepare-for-the-Unwinding-of-the-Pandemic-Era-Continuous-Enrollment-Provision.pdf,2026-07-08,temp\raw_downloads\kff_table5_child_ce_jan2023.pdf,,policy document,,,633d70f1c4aa3f1f6babc25bf97b6afe4856e7d9928d7fd2f82bb4ad3fe2c36d,exists,
cms_continuous_eligibility_page,https://www.medicaid.gov/medicaid/enrollment-strategies/continuous-eligibility-medicaid-and-chip-coverage,2026-07-08,temp\source_snapshots\cms_continuous_eligibility_page.html,,web page snapshot,,,c1d43ee31e95fbc0d7daf0009c32318961d48030fef1f496850b2abe79cde835,exists,
cms_enrollment_data_page,https://www.medicaid.gov/medicaid/national-medicaid-chip-program-information/medicaid-chip-enrollment-data,2026-07-08,temp\source_snapshots\cms_enrollment_data_page.html,,web page snapshot,,,0374caa96b2b7e35483c98742f1de2b3968712da13629e58518220f3ddae0496,exists,
cms_snapshot_page,https://www.medicaid.gov/medicaid-and-chip-eligibility-operations-and-enrollment-snapshot,2026-07-08,temp\source_snapshots\cms_snapshot_page.html,,web page snapshot,,,74f6461e3f953f5a3f59ce2debb22ccd014405d374e747c419a735d68800b31c,exists,
census_acs_hi_page,https://www.census.gov/data/tables/time-series/demo/health-insurance/acs-hi.html,2026-07-08,temp\source_snapshots\census_acs_hi_page.html,,web page snapshot,,,ae9de795de46f41f0836ebbcc7d3862d6217b19dd23b408fa534d8cf6eeadf6a,exists,
census_hi05_acs_2018,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2019/acs-hi/hi05_acs.xls,2026-07-08,temp\raw_downloads\census_hi05_acs_2018.xls,2018,state-age-year table,,,ada5523a31fff600dc60213324b93ad559b57be534f7515c6de5f4b774f28397,downloaded,ACS HI-05 table; no 2020 ACS 1-year release. Legacy XLS source is recorded but not parsed by the lightweight XLSX parser.
census_hi05_acs_2019,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2020/acs-hi/hi05_acs.xlsx,2026-07-08,temp\raw_downloads\census_hi05_acs_2019.xlsx,2019,state-age-year table,,,7e8dacb9c71fb143997be7d085ab8cc4bf8d7f83fed2bb9699af9a48f7274b48,exists,ACS HI-05 table; no 2020 ACS 1-year release.
census_hi05_acs_2021,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2022/acs-hi/hi05_acs.xlsx,2026-07-08,temp\raw_downloads\census_hi05_acs_2021.xlsx,2021,state-age-year table,,,f028441fc942f108571c5ca68920c6a5e268cd758aec0a5e54c5410e99f5f30c,exists,ACS HI-05 table; no 2020 ACS 1-year release.
census_hi05_acs_2022,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2023/acs-hi/hi05_acs.xlsx,2026-07-08,temp\raw_downloads\census_hi05_acs_2022.xlsx,2022,state-age-year table,,,b8c270b0703baf7513e003df870219f25647df7f3fecba09ca50e855f80fcc0b,exists,ACS HI-05 table; no 2020 ACS 1-year release.
census_hi05_acs_2023,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2024/acs-hi/hi05_acs.xlsx,2026-07-08,temp\raw_downloads\census_hi05_acs_2023.xlsx,2023,state-age-year table,,,f27b93fc7c5649cb4bddbe4ae15e93a264fb60654e60c8cf8636cfb399cf869b,exists,ACS HI-05 table; no 2020 ACS 1-year release.
census_hi05_acs_2024,https://www2.census.gov/programs-surveys/demo/tables/health-insurance/2025/acs-hi/hi05_acs.xlsx,2026-07-08,temp\raw_downloads\census_hi05_acs_2024.xlsx,2024,state-age-year table,,,22e3eb82c84c29f6356d4de9973b1766aa4d094b627e82924eb340af52670413,exists,ACS HI-05 table; no 2020 ACS 1-year release.
census_acs_api_probe_2024,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B27001_001E&for=state:*",2026-07-08,temp\source_snapshots\census_api_probe_2024_acs1.html,2024,API probe,,,fd9724d68c84232840e9b48a1d334abb056090f5564aa30be2a8dc648a57f9f4,blocked_or_key_required,API returned Missing Key in this environment; ACS validation uses public XLSX tables instead.
constructed_policy_seed_child_ce_jan2023,KFF/Georgetown Table 5 extracted from PDF,2026-07-08,temp\policy_seed_child_ce_jan2023.csv,January 2023,state,51,26,9060954260991cd3bd58242a5ad9253a187d318f30b9e23eba479fb1c82152ce,ok,Manual transcription from extracted PDF layout; extraction text preserved in temp.
constructed_enrollment_state_group_month,CMS PI enrollment CSV,2026-07-08,data\enrollment_state_group_month.parquet,2018-01-01 to 2026-03-01,state-group-month,10098,21,b31a0b1e5b194dc808d34f711075c5fed29d7f4ff658f04f2857e741e9064e59,ok,"Best report version selected by Updated over Preliminary. Adult comparison group is a consistent non-child proxy: total Medicaid/CHIP enrollment minus child enrollment, because the reported adult field is unavailable for earlier months."
constructed_renewal_state_month,CMS State Medicaid and CHIP Eligibility Processing Data,2026-07-08,data\renewal_state_month.parquet,2023-03-01 to 2026-03-01,state-month,1887,24,470ee2c18ef4556b669a426b54e2f6dbf8e517fe40782afa607573ee36c4201c,ok,Not child-specific; used as state-level mechanism and moderator.
constructed_acs_state_age_year,Census ACS HI-05 public XLSX tables,2026-07-08,data\acs_state_age_year.parquet,"2019 to 2024, ACS 2020 omitted by Census 1-year release limitations",state-age-year,510,19,b5e80aa5c66d3bb12766c892d3c2fb4c8fdb02db17db180a273f9ed49614ef18,ok,"Validation panel from ACS published health insurance XLSX tables, not person-level PUMS. Legacy 2018 XLS is recorded but not parsed without an XLS reader."
constructed_main_ddd_panel,CMS enrollment merged to constructed policy panel,2026-07-08,data\main_ddd_panel.parquet,2018-01-01 to 2026-03-01,state-group-month,10098,55,7ea52ee1028b900fbc498ddc1f80b09491501ddc676bc668993415d326ac5360,ok,Core DDD panel.
constructed_mechanism_panel,CMS renewal merged to constructed policy panel,2026-07-08,data\mechanism_panel.parquet,2023-03-01 to 2026-03-01,state-month,1887,29,1dc794513c4b30630407cc6065b1d57de5de37db9987fcb13cadfacbbd4e8387,ok,State-level mechanism panel; not child-specific.
