year_month,month,label,url
2023-11,2023-11-01,November 2023,https://988lifeline.org/wp-content/uploads/2023/12/988-In-State-KPI-Report_2023-11-01_to_2023-11-30.pdf
2023-12,2023-12-01,December 2023,https://988lifeline.org/wp-content/uploads/2024/01/988-In-State-KPI-Report_2023-12-01_to_2023-12-31.pdf
2024-01,2024-01-01,January 2024,https://988lifeline.org/wp-content/uploads/2024/02/988-In-State-KPI-Report_2024-01-01_to_2024-01-31.pdf
2024-02,2024-02-01,February 2024,https://988lifeline.org/wp-content/uploads/2024/03/988-In-State-KPI-Report_2024-02-01_to_2024-02-29.pdf
2024-03,2024-03-01,March 2024,https://988lifeline.org/wp-content/uploads/2024/04/988-In-State-KPI-Report_2024-03-01_to_2024-03-31.pdf
2024-04,2024-04-01,April 2024,https://988lifeline.org/wp-content/uploads/2024/05/988-In-State-KPI-Report_2024-04-01_to_2024-04-30.pdf
2024-05,2024-05-01,May 2024,https://988lifeline.org/wp-content/uploads/2024/06/988-In-State-KPI-Report_2024-05-01_to_2024-05-31.pdf
2024-06,2024-06-01,June 2024,https://988lifeline.org/wp-content/uploads/2024/09/988-In-State-KPI-Report_2024-06-01_to_2024-06-30.pdf
2024-07,2024-07-01,July 2024,https://988lifeline.org/wp-content/uploads/2024/09/988-In-State-KPI-Report_2024-07-01_to_2024-07-31.pdf
2024-08,2024-08-01,August 2024,https://988lifeline.org/wp-content/uploads/2024/09/988-In-State-KPI-Report_2024-08-01_to_2024-08-31.pdf
2024-09,2024-09-01,September 2024,https://988lifeline.org/wp-content/uploads/2025/10/2024-09-988-In-State-Monthly-Report.pdf
2024-10,2024-10-01,October 2024,https://988lifeline.org/wp-content/uploads/2025/10/2024-10-988-In-State-Monthly-Report.pdf
2024-11,2024-11-01,November 2024,https://988lifeline.org/wp-content/uploads/2025/10/2024-11-988-In-State-Monthly-Report.pdf
2024-12,2024-12-01,December 2024,https://988lifeline.org/wp-content/uploads/2025/10/2024-12-988-In-State-Monthly-Report.pdf
2025-01,2025-01-01,January 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-01-988-In-State-Monthly-Report.pdf
2025-03,2025-03-01,March 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-03-988-In-State-Monthly-Report.pdf
2025-04,2025-04-01,April 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-04-988-In-State-Monthly-Report.pdf
2025-05,2025-05-01,May 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-05-988-In-State-Monthly-Report.pdf
2025-06,2025-06-01,June 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-06-988-In-State-Monthly-Report.pdf
2025-07,2025-07-01,July 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-07-988-In-State-Monthly-Report.pdf
2025-08,2025-08-01,August 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-08-988-In-State-Monthly-Report.pdf
2025-09,2025-09-01,September 2025,https://988lifeline.org/wp-content/uploads/2025/10/2025-09-988-In-State-Monthly-Report.pdf
2025-10,2025-10-01,October 2025,https://988lifeline.org/wp-content/uploads/2025/11/2025-10-988-In-State-Monthly-Report.pdf
2025-11,2025-11-01,November 2025,https://988lifeline.org/wp-content/uploads/2025/12/988-In-State-Monthly-Report.pdf
2025-12,2025-12-01,December 2025,https://988lifeline.org/wp-content/uploads/2026/01/988-In-State-Monthly-Report-2.pdf
2026-01,2026-01-01,January 2026,https://988lifeline.org/wp-content/uploads/2026/02/988-In-State-Monthly-Report-January-2026.pdf
2026-02,2026-02-01,February 2026,https://988lifeline.org/wp-content/uploads/2026/03/988-In-State-Monthly-Report.pdf
2026-03,2026-03-01,March 2026,https://988lifeline.org/wp-content/uploads/2026/04/988-In-State-Monthly-Report.pdf
2026-04,2026-04-01,April 2026,https://988lifeline.org/wp-content/uploads/2026/05/988-In-State-Monthly-Report-3.pdf
2026-05,2026-05-01,May 2026,https://988lifeline.org/wp-content/uploads/2026/06/May-26-988-In-State-Monthly-Report.pdf
