model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,design_family,treatment_definition,sample_note
fee capacity moderation,average_speed_to_answer_seconds,post_launch_x_mismatch,1.7546093989074198,0.9756098877251741,1.7984743912329917,0.078139840736698,2936,51,0.6181571676830293,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,average_speed_to_answer_seconds,post_launch_x_fee_capacity,0.36724527682548863,3.081179289804815,0.11918984333065302,0.9056025552396727,2936,51,0.6181571676830293,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,average_speed_to_answer_seconds,post_launch_x_mismatch_x_fee_capacity,1.6512764565305567,2.0237992428807274,0.8159289822542317,0.4184109426901046,2936,51,0.6181571676830293,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
voice georouting launch x ACS mismatch proxy,log_routed_per_100k,post_launch_x_mismatch,-0.011233991096520318,0.03285135144606825,-0.341964351602492,0.7338109313874748,2936,51,0.8695960476671782,georouting_mismatch,voice georouting launch x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
voice georouting nationwide compliance x ACS mismatch proxy,log_routed_per_100k,post_compliance_x_mismatch,-0.02313248437509116,0.035060798349926627,-0.6597820204838425,0.5124215550766218,2936,51,0.8699171125321092,georouting_mismatch,voice georouting nationwide compliance x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
fee capacity moderation,log_routed_per_100k,post_launch_x_mismatch,-0.013082605007444001,0.03613058910587403,-0.36209221413766157,0.7188090427280349,2936,51,0.8704947551401098,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,log_routed_per_100k,post_launch_x_fee_capacity,0.07836543363780721,0.0985701151298147,0.79502223908942,0.43035841578036904,2936,51,0.8704947551401098,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,log_routed_per_100k,post_launch_x_mismatch_x_fee_capacity,-0.006753329339415276,0.09279549196688733,-0.07277648079957483,0.942274340521871,2936,51,0.8704947551401098,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
georouting placebo date,in_state_answer_rate_rescue,post_placebo_2023_10_x_mismatch,-0.02639143646594428,0.01363597343110034,-1.9354273898592256,0.0586032973937598,2936,51,0.5352260539484885,georouting_placebo_timing,placebo post 2023-10 x mismatch,
georouting placebo date,routed_per_100k,post_placebo_2023_10_x_mismatch,3.9701706692963965,4.86800941769522,0.8155634734117032,0.4186180759977023,2936,51,0.696421949911098,georouting_placebo_timing,placebo post 2023-10 x mismatch,
georouting placebo date,flowout_to_national_backup_rate,post_placebo_2023_10_x_mismatch,0.016778039264863317,0.010276452414134956,1.632668414032222,0.10882144954166884,2936,51,0.385732141266804,georouting_placebo_timing,placebo post 2023-10 x mismatch,
georouting placebo date,in_state_answer_rate_rescue,post_placebo_2024_04_x_mismatch,-0.020849827703792352,0.013108983552540265,-1.5904991886081101,0.11802599780895862,2936,51,0.5305494804444153,georouting_placebo_timing,placebo post 2024-04 x mismatch,
georouting placebo date,routed_per_100k,post_placebo_2024_04_x_mismatch,4.130416311656582,5.2941768649048475,0.7801810209698798,0.43896217382401725,2936,51,0.696509036992145,georouting_placebo_timing,placebo post 2024-04 x mismatch,
georouting placebo date,flowout_to_national_backup_rate,post_placebo_2024_04_x_mismatch,0.012423196453852564,0.009786988917523729,1.2693583857654802,0.21019004653295448,2936,51,0.3808572315224692,georouting_placebo_timing,placebo post 2024-04 x mismatch,
exclude_early_fee_states_va_wa,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01969436196837708,0.01564323157200883,-1.2589701736319705,0.2141295633911613,2820,49,0.5337392774410598,georouting_sensitivity,exclude_early_fee_states_va_wa,
never_fee_states_only,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.03176382326425746,0.01554374765778548,-2.043511253757889,0.04746329474630806,2414,42,0.5441699666705396,georouting_sensitivity,never_fee_states_only,
