model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,left_out_state
leave_out_MI,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.019936798629561235,0.016127945640126786,-1.2361647958409478,0.22229038220292674,2878,50,0.5274621029021169,MI
leave_out_MN,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01958791701024061,0.01571762782568053,-1.246238759912392,0.21860211861093148,2878,50,0.5308809669280381,MN
leave_out_MO,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020369179396440482,0.015485027770698009,-1.3154112280628034,0.19449385933038554,2878,50,0.5229142938598611,MO
leave_out_MS,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020690545025953078,0.015487321545893223,-1.3359666463075144,0.187732038801399,2878,50,0.5171285544781148,MS
leave_out_MT,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01990153700263821,0.015857589513880378,-1.2550165323183644,0.21542552914792412,2878,50,0.5210271275411852,MT
leave_out_NC,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020054406348220512,0.015553494296485643,-1.2893826921421678,0.20331839418264308,2878,50,0.5364681455566973,NC
leave_out_ND,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01960213549858846,0.015658802515343195,-1.2518285149443202,0.21657525441740821,2878,50,0.5323266036045373,ND
leave_out_NE,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020716045040330627,0.015454481782454958,-1.3404554958192758,0.18627948060434685,2878,50,0.5293170398282009,NE
leave_out_NH,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02164381109673837,0.01594734025471134,-1.3572050731371406,0.1809349643667042,2878,50,0.5299649196679483,NH
leave_out_NJ,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.021023992384078885,0.01569000609332626,-1.3399607532989701,0.18643915455583215,2878,50,0.5311280302491637,NJ
leave_out_NM,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02028856076103844,0.015484024475187777,-1.310289892240202,0.19620688284354815,2889,50,0.5292208158169343,NM
leave_out_NV,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.023542270585501682,0.015559534311099578,-1.5130446782528397,0.13669202579994288,2878,50,0.5297824503649856,NV
leave_out_NY,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01909521209374552,0.016338749181683127,-1.1687070951032517,0.24817617008135295,2878,50,0.525918544229212,NY
leave_out_OH,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.019587716139042796,0.01590572594199786,-1.2314883464276798,0.22401804522465252,2878,50,0.5271370200420478,OH
leave_out_OK,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02033162786963474,0.015467506464987549,-1.314473532993678,0.19480665794115293,2878,50,0.5267729644463097,OK
leave_out_OR,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02055439296465604,0.015573470515020744,-1.3198338125616351,0.19302368243391532,2878,50,0.5298377523417199,OR
leave_out_PA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.0207944185532946,0.015715265886228492,-1.3231986467067693,0.19191077718985117,2878,50,0.5304121097776548,PA
leave_out_RI,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02022974797801047,0.015509828309145227,-1.304317983074138,0.19821877460968262,2878,50,0.5153686715132912,RI
leave_out_SC,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.022089162170868027,0.015405980173714959,-1.433804400745344,0.157978950508042,2878,50,0.5334175639719528,SC
leave_out_SD,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02041555977679479,0.015488037479953636,-1.3181502048415696,0.19358236028765008,2878,50,0.5335038272129391,SD
leave_out_TN,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020284501451242987,0.0154982084078981,-1.308828796037207,0.19669768465085768,2878,50,0.5287206931880404,TN
leave_out_TX,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01914755495352159,0.015768898939342375,-1.2142607437066952,0.23046795981265333,2878,50,0.5212142331998593,TX
leave_out_UT,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020398096116973272,0.015465147261660456,-1.3189719937256632,0.19330951027236853,2878,50,0.528090549016228,UT
leave_out_VA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01954335641202069,0.01564228010703405,-1.2493930730234397,0.21745663368128376,2878,50,0.5363917874271458,VA
leave_out_VT,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.018540559942127256,0.016245462322483993,-1.1412762268062269,0.25930203390808426,2878,50,0.5355646550017803,VT
leave_out_WA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020484153833037023,0.01546204070017002,-1.3248027366020179,0.19138194613620407,2878,50,0.5268278570517191,WA
leave_out_WI,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.022198538050721334,0.015324878057391396,-1.4485295065701798,0.15383835656407463,2878,50,0.5408792094962607,WI
leave_out_WV,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020544439794392525,0.01546016584857423,-1.3288628334014398,0.19004836658960866,2878,50,0.5298021357931358,WV
leave_out_WY,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.025738309986944638,0.01510794326921045,-1.70362765654532,0.09478580134381076,2878,50,0.5342269669653771,WY
