model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,design_family,treatment_definition
collection plus 6 months,average_speed_to_answer_seconds,operational_lag_6m_active,-3.945214196602273,2.6985537497140233,-1.461973546763841,0.1500055866675014,2936,51,0.614844355022476,fee_timing_sensitivity,collection plus 6 months
collection plus 12 months,in_state_answer_rate_rescue,operational_lag_12m_active,0.02105265416609279,0.022594406775906135,0.9317639703885735,0.35593599860654734,2936,51,0.524241180898674,fee_timing_sensitivity,collection plus 12 months
collection plus 12 months,flowout_to_national_backup_rate,operational_lag_12m_active,-0.006259575602301287,0.01588186693029864,-0.3941334875662242,0.6951584872089636,2936,51,0.37538111969848786,fee_timing_sensitivity,collection plus 12 months
collection plus 12 months,abandoned_in_state_rate,operational_lag_12m_active,-0.013210992734898931,0.011608724963756084,-1.1380227179251237,0.26053483330856686,2936,51,0.6471568527160304,fee_timing_sensitivity,collection plus 12 months
collection plus 12 months,average_speed_to_answer_seconds,operational_lag_12m_active,-2.4980931177727417,2.53341363511298,-0.9860581324538963,0.328852354891771,2936,51,0.6121731987892882,fee_timing_sensitivity,collection plus 12 months
first positive annual revenue,in_state_answer_rate_rescue,revenue_positive_active,-0.0023447772276215806,0.02317369235667416,-0.10118272010917892,0.9198100784463028,2936,51,0.5231571092632876,fee_timing_sensitivity,first positive annual revenue
first positive annual revenue,flowout_to_national_backup_rate,revenue_positive_active,0.008549714762061143,0.019417518408165343,0.4403093424371812,0.6616107669084712,2936,51,0.3755199183019089,fee_timing_sensitivity,first positive annual revenue
first positive annual revenue,abandoned_in_state_rate,revenue_positive_active,-0.00469660866095464,0.00970738075055869,-0.48381832150596704,0.6306271198942994,2936,51,0.6456345993340504,fee_timing_sensitivity,first positive annual revenue
first positive annual revenue,average_speed_to_answer_seconds,revenue_positive_active,-4.044787630967975,2.7796256434144255,-1.455155531663413,0.1518761649982332,2936,51,0.6144225696767227,fee_timing_sensitivity,first positive annual revenue
fee amount per line,in_state_answer_rate_rescue,fee_amount_per_line_dollars,0.009512131009765314,0.05652230860371003,0.16828985306415728,0.8670341649741045,2936,51,0.5231707287173988,fee_timing_sensitivity,fee amount per line
fee amount per line,flowout_to_national_backup_rate,fee_amount_per_line_dollars,-0.003382412651138556,0.06302802069807081,-0.05366522086012589,0.9574157431352794,2936,51,0.3751785589066403,fee_timing_sensitivity,fee amount per line
fee amount per line,abandoned_in_state_rate,fee_amount_per_line_dollars,-0.0019011508109030642,0.02201916565079883,-0.08634072884746624,0.9315403987555468,2936,51,0.6454455136637622,fee_timing_sensitivity,fee amount per line
fee amount per line,average_speed_to_answer_seconds,fee_amount_per_line_dollars,-0.7632816861425051,8.467488513184044,-0.09014263024438246,0.9285340123530319,2936,51,0.6105074396450594,fee_timing_sensitivity,fee amount per line
annual fee revenue per capita,in_state_answer_rate_rescue,fee_revenue_per_capita,-0.005613200849841131,0.005941310684974627,-0.9447748396724522,0.3493171458578712,2936,51,0.5245000141308707,fee_timing_sensitivity,annual fee revenue per capita
annual fee revenue per capita,flowout_to_national_backup_rate,fee_revenue_per_capita,0.005572904622443574,0.005084774437502876,1.0959983950006675,0.27833050635670586,2936,51,0.3780603107420033,fee_timing_sensitivity,annual fee revenue per capita
annual fee revenue per capita,abandoned_in_state_rate,fee_revenue_per_capita,-6.0570425397225445e-05,0.0011030268090027147,-0.054912922245280056,0.9564266741519449,2936,51,0.6454420552891911,fee_timing_sensitivity,annual fee revenue per capita
annual fee revenue per capita,average_speed_to_answer_seconds,fee_revenue_per_capita,-0.8784603898075012,0.3538310539535181,-2.4827113957128883,0.016439440548959183,2936,51,0.614109964372172,fee_timing_sensitivity,annual fee revenue per capita
annual fee revenue per routed contact,in_state_answer_rate_rescue,fee_revenue_per_routed_contact,-1.3378505678312822e-05,3.9208091270261756e-05,-0.3412179793730496,0.734369285641804,2936,51,0.5232798876193105,fee_timing_sensitivity,annual fee revenue per routed contact
annual fee revenue per routed contact,flowout_to_national_backup_rate,fee_revenue_per_routed_contact,1.328854960887598e-05,3.094504360788833e-05,0.4294241681239234,0.6694594280718302,2936,51,0.37545936716035444,fee_timing_sensitivity,annual fee revenue per routed contact
annual fee revenue per routed contact,abandoned_in_state_rate,fee_revenue_per_routed_contact,-2.2991602060793524e-07,8.848905744075774e-06,-0.025982423958110415,0.9793747814320244,2936,51,0.6454415866011302,fee_timing_sensitivity,annual fee revenue per routed contact
annual fee revenue per routed contact,average_speed_to_answer_seconds,fee_revenue_per_routed_contact,-0.005496076726054948,0.0029520393394656423,-1.8617897981839935,0.0685154161382664,2936,51,0.6129730369457673,fee_timing_sensitivity,annual fee revenue per routed contact
restricted 988-only funding active,in_state_answer_rate_rescue,restricted_988_only_active,-0.05237778073256856,0.015746091402032876,-3.3263988754572074,0.0016546327071966793,2936,51,0.5247881663107363,fee_timing_sensitivity,restricted 988-only funding active
restricted 988-only funding active,flowout_to_national_backup_rate,restricted_988_only_active,0.048235827514155956,0.00853820389862909,5.649411525754355,7.634220255958724e-07,2936,51,0.3781856129500659,fee_timing_sensitivity,restricted 988-only funding active
restricted 988-only funding active,abandoned_in_state_rate,restricted_988_only_active,0.006203186215720706,0.014759681844791046,0.4202791280294379,0.6760822999087064,2936,51,0.645533018327987,fee_timing_sensitivity,restricted 988-only funding active
restricted 988-only funding active,average_speed_to_answer_seconds,restricted_988_only_active,-0.5249953280832511,3.5921207068086467,-0.14615191719146697,0.8843891212055026,2936,51,0.6105073715015229,fee_timing_sensitivity,restricted 988-only funding active
broader crisis-system funding active,in_state_answer_rate_rescue,broader_crisis_system_active,0.004493180942399592,0.025261024652758035,0.17787009846843327,0.8595436684795026,2936,51,0.5231832935761962,fee_timing_sensitivity,broader crisis-system funding active
broader crisis-system funding active,flowout_to_national_backup_rate,broader_crisis_system_active,0.00022942045940514515,0.020081567734042776,0.011424429727975164,0.9909302852491997,2936,51,0.37517173683438276,fee_timing_sensitivity,broader crisis-system funding active
broader crisis-system funding active,abandoned_in_state_rate,broader_crisis_system_active,-0.003419472378305374,0.010961874621860053,-0.31194229967621584,0.7563815100092466,2936,51,0.6455295815447559,fee_timing_sensitivity,broader crisis-system funding active
broader crisis-system funding active,average_speed_to_answer_seconds,broader_crisis_system_active,-3.8303359814154865,3.212056904601233,-1.192486962459655,0.23869903136792447,2936,51,0.6135258814265041,fee_timing_sensitivity,broader crisis-system funding active
