horizon_years,weight_variable,SSUID,PNUM,SPANEL,file_year,reference_year,observed_month_count,observed_months,missing_month_count,missing_months,handling
2,FINYR2,33241833436924,105,2024,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,33241838283123,201,2023,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,33286002175724,103,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,33286004919724,103,2024,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,33286080948923,104,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,33286081493222,301,2022,2024,2023,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
2,FINYR2,33286084950223,203,2023,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,33286086019722,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,33286093258822,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,33286099552123,203,2023,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,33299540009724,103,2024,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,33299541821024,104,2024,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,39828550153823,201,2023,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,39886020940124,103,2024,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,39886030253922,301,2022,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,39886030284923,201,2023,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,39886041578122,301,2022,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,39886047262622,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,39886081642623,201,2023,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,46928525658523,201,2023,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,46928586085223,104,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,46928598240122,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,46941899506723,201,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,46981681009922,302,2022,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,46986013514224,106,2024,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,46986053325924,105,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,46986055215524,103,2024,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,66708650166023,103,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,66718508649424,108,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,66718508649424,109,2024,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,66728582819724,106,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,66734281629124,103,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,66741820468924,104,2024,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,66741875573722,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,66741884961922,301,2022,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,66768909883124,103,2024,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,66786004912322,301,2022,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,66786005756524,103,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,66786038224023,104,2023,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,66786080989922,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,66786081695424,103,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,66786092528524,104,2024,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,66796741855323,201,2023,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,68509234250523,201,2023,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,68509260938322,201,2022,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,68522860976223,201,2023,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,68535917268824,103,2024,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,68581617251024,105,2024,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,68586010124624,109,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,68586050176222,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,68586060651023,201,2023,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,71728508675924,103,2024,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,71728509282923,103,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,71728517234622,301,2022,2024,2023,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
2,FINYR2,71728518594423,105,2023,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,71728598865522,301,2022,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,71741802155424,104,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,71741802155424,104,2024,2025,2024,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,71741804323524,104,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,71741850804024,102,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,71786018559324,104,2024,2024,2023,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
2,FINYR2,71786040651824,102,2024,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,71786084975323,201,2023,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,71799555596424,105,2024,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,87641896709222,301,2022,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,87686006831623,104,2023,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,87686006831623,105,2023,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,87686021542623,104,2023,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,87686041895623,201,2023,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,87686068953822,301,2022,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,87686068953822,302,2022,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,87686080948224,106,2024,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,87686081653722,301,2022,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,87686082804322,301,2022,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,88128503751024,104,2024,2024,2023,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
2,FINYR2,88128561038323,201,2023,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,88128572334822,301,2022,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,88128598210822,302,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,88140647277322,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,88141884950924,105,2024,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,88168860676222,301,2022,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,88168860676222,301,2022,2025,2024,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,88181612609222,301,2022,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,88181619941422,201,2022,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,88181638200322,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,88181655210822,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
2,FINYR2,88186013512724,111,2024,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,88186035999922,301,2022,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,88186035999924,103,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,88186043828522,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,88186052738822,301,2022,2024,2023,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
2,FINYR2,88186059777322,302,2022,2024,2023,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
2,FINYR2,88186060473823,201,2023,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,88186090847022,301,2022,2024,2023,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
3,FINYR3,00086055248923,104,2023,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,00099568929123,102,2023,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,03841803762122,201,2022,2023,2022,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
3,FINYR3,03841835907123,103,2023,2023,2022,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
3,FINYR3,03862541572422,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,03886060617422,201,2022,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,03886060983123,104,2023,2023,2022,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,29228560654722,201,2022,2023,2022,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
3,FINYR3,29228593248623,104,2023,2023,2022,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,29286010184423,105,2023,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,29286020978822,201,2022,2023,2022,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
3,FINYR3,29286050181122,104,2022,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,29286060922922,104,2022,2023,2022,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
3,FINYR3,29286098884822,103,2022,2023,2022,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
3,FINYR3,33228550123323,103,2023,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,33228550123323,103,2023,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,33235905753722,103,2022,2023,2022,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
3,FINYR3,33241882877323,103,2023,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,39841828533423,103,2023,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,39881605784922,201,2022,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,39886003733422,201,2022,2023,2022,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
3,FINYR3,46228510186222,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,46913640374022,202,2022,2023,2022,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
3,FINYR3,46928503773022,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,46941806886222,105,2022,2023,2022,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
3,FINYR3,46986009232423,103,2023,2023,2022,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,66703409261322,201,2022,2023,2022,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
3,FINYR3,66703413651622,201,2022,2023,2022,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,66718521523322,201,2022,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,66720486061323,105,2023,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,66734227403523,106,2023,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,66734228563022,201,2022,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,66734258814923,103,2023,2023,2022,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
3,FINYR3,66741805720722,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,66786018556722,201,2022,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,66786027678422,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,66786041523222,104,2022,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,66786091114222,201,2022,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,66786098889922,201,2022,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,68555260951022,104,2022,2023,2022,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
3,FINYR3,68586009850522,104,2022,2023,2022,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
3,FINYR3,71786017216223,110,2023,2023,2022,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
3,FINYR3,71786032363222,103,2022,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,71786032363222,104,2022,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,71786060454522,201,2022,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,87641896709222,201,2022,2023,2022,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
3,FINYR3,87686006831623,104,2023,2023,2022,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
3,FINYR3,87686006831623,104,2023,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,87686006831623,105,2023,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,87686006831623,105,2023,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,87686019937323,103,2023,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,87686050025922,201,2022,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,87686084793322,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,88113694575122,201,2022,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,88128506893523,106,2023,2023,2022,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
3,FINYR3,88128550005322,201,2022,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,88128575612522,108,2022,2023,2022,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
3,FINYR3,88141855289822,201,2022,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,88181604992522,201,2022,2023,2022,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
3,FINYR3,88181635966823,106,2023,2023,2022,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
3,FINYR3,88181642136323,105,2023,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,88181675525122,201,2022,2023,2022,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
3,FINYR3,88186009224023,104,2023,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,88186009240122,201,2022,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
3,FINYR3,88186012145123,105,2023,2023,2022,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
3,FINYR3,88186034455223,104,2023,2023,2022,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
3,FINYR3,88186077119822,201,2022,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
3,FINYR3,88186084718323,106,2023,2023,2022,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
3,FINYR3,88199581648623,105,2023,2023,2022,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
4,FINYR4,00041840620722,102,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,00041840620722,103,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,00086050883122,105,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,29228504631822,104,2022,2022,2021,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
4,FINYR4,29228511477822,104,2022,2022,2021,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
4,FINYR4,29286020487922,104,2022,2022,2021,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
4,FINYR4,29286050181122,104,2022,2022,2021,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
4,FINYR4,29286050181122,104,2022,2023,2022,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
4,FINYR4,29286060922922,104,2022,2022,2021,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
4,FINYR4,29286060922922,104,2022,2023,2022,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
4,FINYR4,33281659793222,103,2022,2022,2021,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
4,FINYR4,33286004966022,105,2022,2022,2021,11,2|3|4|5|6|7|8|9|10|11|12,1,1,preserved_official_rows_no_imputation
4,FINYR4,33286081651622,103,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,33286086019722,103,2022,2022,2021,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
4,FINYR4,33299538230122,103,2022,2022,2021,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
4,FINYR4,39881605784922,104,2022,2022,2021,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
4,FINYR4,39886053362622,105,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,39899511485522,107,2022,2022,2021,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
4,FINYR4,46928527686222,102,2022,2022,2021,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
4,FINYR4,46928598240122,103,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,46941840652122,103,2022,2022,2021,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
4,FINYR4,46981625609922,105,2022,2022,2021,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
