sample,outcome,coef_early_x_post,se_hc1,t_stat,rows,persons,early_persons,control_persons,min_cell_persons,pre_early_mean_w,post_early_mean_w,pre_control_mean_w,post_control_mean_w
at_risk_uc,oop_any,0.0016957992849984116,0.03988659066415468,0.04251552355720375,3701,624,183,446,178,0.5682889629979899,0.5755798728815001,0.5106505236816931,0.5183741990840258
at_risk_uc,doctor_any,-0.016170194997666032,0.03734699879666827,-0.4329717385245043,3701,624,183,446,178,0.6672093065781125,0.660036254389033,0.6725133170459652,0.6854657106118296
at_risk_uc,sick_days_any,-0.010045485249334352,0.04002226778208574,-0.2509974023468701,3701,624,183,446,178,0.4915679153748697,0.4948420198587424,0.4526937534282927,0.4595898692533219
at_risk_layofflooking,uc_any,0.005887484641436014,0.02585507493574264,0.2277109873426444,4052,678,273,416,267,0.17041806918561958,0.08953097817126908,0.2473788968997444,0.1574195642358231
at_risk_layofflooking,employed_any_week,0.01424006143676404,0.03434641099500237,0.4146011482491158,4052,678,273,416,267,0.17919817631902624,0.36573152336071735,0.1797729803879136,0.34847711993637104
at_risk_layofflooking,no_job_all_month,-0.014240061436765927,0.03434641099500245,-0.4146011482491698,4052,678,273,416,267,0.8208018236809738,0.6342684766392827,0.8202270196120864,0.6515228800636289
at_risk_layofflooking,earnings_positive,0.009138046901469132,0.03406839176718941,0.26822654159653647,4052,678,273,416,267,0.17796173991740874,0.3496097119011499,0.1732897751752479,0.33199622917813015
at_risk_layofflooking,snap,-0.0013685676042083372,0.028529283285139703,-0.04797062690043794,4052,678,273,416,267,0.2229372365676912,0.2069496590505107,0.20152016947069912,0.18962824427647987
at_risk_layofflooking,tanf,-0.00040200729287837196,0.0035199885587118007,-0.11420698850950053,4052,678,273,416,267,0.0,0.0,0.007590922207727908,0.007869036777132427
at_risk_layofflooking,ssi,0.008760081629032593,0.012135659853621798,0.7218463383693315,4052,678,273,416,267,0.03966521693988204,0.04461955352129688,0.025349016113409735,0.024069838978081223
at_risk_layofflooking,medicaid,0.008334828384091053,0.031500491605167644,0.2645935970955999,4052,678,273,416,267,0.22202855763053742,0.24383142268683336,0.4062130737400306,0.416960325886843
at_risk_layofflooking,uninsured,0.0010653936706473965,0.03323893126435344,0.03205258502971065,4052,678,273,416,267,0.3518917210890215,0.3338875278005328,0.23163780852615937,0.21539254043916495
at_risk_layofflooking,private,-0.005989834566907604,0.03736436410271296,-0.16030875168761918,4052,678,273,416,267,0.38639232852455996,0.3954993789022923,0.3817360279584829,0.38798757052793265
at_risk_layofflooking,direct_purchase,-0.019487799964885588,0.023239678839320464,-0.8385571977833501,4052,678,273,416,267,0.1337100487190837,0.11251560357611916,0.0893040782139171,0.0866901737993742
at_risk_layofflooking,oop_any,0.00854201119977338,0.03735925656329336,0.22864510660970097,4052,678,273,416,267,0.4510081367241077,0.4628859113152894,0.43242359632095606,0.4309566101782065
at_risk_layofflooking,doctor_any,-0.0008843203203192651,0.03543775072739329,-0.02495418874414306,4052,678,273,416,267,0.6022875479062897,0.6029602580138713,0.6532647063844692,0.6586057870049405
at_risk_layofflooking,sick_days_any,-0.009834718437178758,0.0359197143551586,-0.273797234018548,4052,678,273,416,267,0.4288848496653924,0.43070630449844133,0.46248534195258656,0.4685505184132135
at_risk_nonemployment,uc_any,0.005658719444580185,0.007523737913941759,0.7521154390684412,21012,3510,1633,1920,1613,0.0465781724670786,0.026252935390419473,0.09264619282864142,0.06674030857218004
at_risk_nonemployment,employed_any_week,-0.005132980083481897,0.011876141607273892,-0.4322094037964361,21012,3510,1633,1920,1613,0.09794278155361516,0.16120531843499028,0.10376557116931538,0.1716871150166661
at_risk_nonemployment,no_job_all_month,0.00513298008348384,0.011876141607273917,0.4322094037965988,21012,3510,1633,1920,1613,0.9020572184463849,0.8387946815650097,0.8962344288306846,0.8283128849833339
at_risk_nonemployment,earnings_positive,-0.0005280584795622212,0.01169252930050781,-0.04516204030716326,21012,3510,1633,1920,1613,0.09849469574978746,0.15626559939454235,0.10011501340873762,0.15784803788936594
at_risk_nonemployment,snap,-0.0013743234819802996,0.01412519139462857,-0.09729591929656387,21012,3510,1633,1920,1613,0.22668387186982056,0.2202997174333029,0.2021795396934041,0.19735732984092147
at_risk_nonemployment,tanf,0.0014228964978718027,0.0026385981520526194,0.5392622960661526,21012,3510,1633,1920,1613,0.0039847890832718095,0.0052881689906236215,0.008179314628483538,0.008188958195818564
at_risk_nonemployment,ssi,0.00024588711799899965,0.010490458608306783,0.023439119983209883,21012,3510,1633,1920,1613,0.09733613811941869,0.09719401457295791,0.07437759234379139,0.07446175495580486
at_risk_nonemployment,medicaid,0.006955856394636362,0.016434684606151325,0.4232424632008368,21012,3510,1633,1920,1613,0.30941332444980674,0.3204973967339031,0.41458183500458057,0.4181947809367744
at_risk_nonemployment,uninsured,-0.0044823551796849825,0.01346551918643316,-0.33287652095888476,21012,3510,1633,1920,1613,0.2531853817804678,0.2479067480706717,0.16344861221285079,0.16289052486068026
at_risk_nonemployment,private,0.003618763236115319,0.01678050568626289,0.21565281188622135,21012,3510,1633,1920,1613,0.41192322383601737,0.4113044551990804,0.4313364937767328,0.42650788563349407
at_risk_nonemployment,direct_purchase,-0.0009798035355444434,0.009087692050945385,-0.1078165424237186,21012,3510,1633,1920,1613,0.08409586170858442,0.08073259488932316,0.0799160594884915,0.07773882067268661
at_risk_nonemployment,oop_any,0.001480575093223857,0.016657478472359287,0.08888350632904377,21012,3510,1633,1920,1613,0.4145740347712466,0.4167231521829423,0.4030137768879421,0.404180819706296
at_risk_nonemployment,doctor_any,-0.003111439089322321,0.015398203051542934,-0.20206507726306075,21012,3510,1633,1920,1613,0.7019247191322702,0.7025117012567359,0.7092634347895928,0.7125944097135808
at_risk_nonemployment,sick_days_any,-0.005847181589531791,0.01694335372026028,-0.3451017836297623,21012,3510,1633,1920,1613,0.49626571515097795,0.4955063698390994,0.42907522259873143,0.4336332246936876
at_risk_broad,uc_any,0.01916274477968971,0.00895939746138272,2.138843026251041,22777,3810,1715,2138,1691,0.07526777928420669,0.043271107722495726,0.15610166966004957,0.10485092777370116
at_risk_broad,employed_any_week,0.00015580582923890862,0.012924152139845137,0.012055400428052804,22777,3810,1715,2138,1691,0.1386121184063853,0.197507475216267,0.1909603504167261,0.2489505832581904
at_risk_broad,no_job_all_month,-0.00015580582924146213,0.01292415213984513,-0.012055400428250387,22777,3810,1715,2138,1691,0.8613878815936147,0.802492524783733,0.8090396495832739,0.7510494167418096
at_risk_broad,earnings_positive,0.0035735885245428145,0.012626875520915987,0.28301447326563783,22777,3810,1715,2138,1691,0.1316841789844976,0.18712044992118018,0.17433088317920312,0.2254235192414429
at_risk_broad,snap,-0.002996613892787825,0.01349259681692046,-0.222093191803516,22777,3810,1715,2138,1691,0.22476048994074777,0.21692853683242544,0.194730591127847,0.18999585100334435
at_risk_broad,tanf,0.0016477666467524348,0.002457925850903219,0.6703890787213644,22777,3810,1715,2138,1691,0.0038051344824318136,0.005056295925394829,0.007668880641309987,0.007402053138613921
at_risk_broad,ssi,0.00031008948278354875,0.009891078935598574,0.03135042039423207,22777,3810,1715,2138,1691,0.09397039998956039,0.09394342672307124,0.06714138545779594,0.06730646973613244
at_risk_broad,medicaid,0.005307159332342826,0.01575162415627057,0.33692775295365945,22777,3810,1715,2138,1691,0.30577019740345107,0.3162535043030528,0.4064919256920113,0.4113877890022496
at_risk_broad,uninsured,-0.005838206646120114,0.012981913003567028,-0.44971851563910153,22777,3810,1715,2138,1691,0.2546655380364365,0.24920674528289324,0.1590357458231164,0.15953337228063413
at_risk_broad,private,0.005572936221698299,0.01624295685933785,0.34309862852923206,22777,3810,1715,2138,1691,0.41748011105121297,0.41751897881284133,0.447806216604577,0.4417342701320057
at_risk_broad,direct_purchase,-0.00156648845396129,0.008849760022251423,-0.17700914488331715,22777,3810,1715,2138,1691,0.08664092214411095,0.08336531497365039,0.08036814403608461,0.07875523416553702
at_risk_broad,oop_any,0.0011991526727026525,0.016116482872171843,0.07440535768341965,22777,3810,1715,2138,1691,0.41870348248717426,0.42157550353486833,0.41642669655936027,0.41850762340962006
at_risk_broad,doctor_any,-0.002813123024464348,0.01488447205382212,-0.1889971652533002,22777,3810,1715,2138,1691,0.699328515221081,0.7009678195816672,0.7042407432543395,0.7088258769153717
at_risk_broad,sick_days_any,-0.005466274355491629,0.016317028594962396,-0.3350042762797663,22777,3810,1715,2138,1691,0.4933948570514926,0.4934915348978748,0.4289407952894775,0.43406275675017497
