model,outcome,term,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_state_clusters,bandwidth
nonexp_local150_bw0.25,direct_purchase,below_post,-0.019671283280437546,0.020461563882849934,-0.9613773117765074,0.044433277903211006,-0.44271510473045667,0.04549453330158129,-0.4323878464702003,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,direct_purchase,below_post,-0.007004222716684461,0.01246111448534088,-0.5620863787845103,0.03136278070923285,-0.22332913594688036,0.02798794040278255,-0.250258597663303,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,marketplace_flag,low_post_nonexp,-0.0045994668475313,0.008227759000095775,-0.5590181782764615,0.024524176083733175,-0.18754827203276017,0.034069993678595034,-0.13500051954576622,224594,22353,51,
nonexp_local150_bw0.50,marketplace_flag,below_post,0.019091486087682075,0.013560478721337041,1.407876999035598,0.03402553607803512,0.5610928816491568,0.03963177995012497,0.48172164136225915,90195,9027,19,0.5
nonexp_local150_bw0.25,marketplace_flag,below_post,0.009575732880684917,0.018870426586078317,0.5074465506651252,0.04017718192339042,0.23833759418328196,0.06363015083210503,0.15049049476484055,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,marketplace_flag,below_post,-0.01229050911916055,0.011942727674390589,-1.029120771590206,0.030388093838818617,-0.40445146656287806,0.02168369028840733,-0.5668089220833125,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,source_employer_related,low_post_nonexp,0.014832826688761534,0.009480865765484164,1.5645012866611407,0.028254682763607222,0.5249687923541866,0.034137060974811805,0.43450801753865126,224594,22353,51,
nonexp_local150_bw0.50,source_employer_related,below_post,-0.07517338144319208,0.01611261278199615,-4.6654991626925355,0.0412348132697487,-1.8230561868056743,0.039629544944034596,-1.8969024637894023,90195,9027,19,0.5
nonexp_local150_bw0.25,source_employer_related,below_post,-0.10716957476742106,0.02208515492371609,-4.852561602469779,0.04870011842567915,-2.200601933462886,0.03373733804908124,-3.1765865644619105,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,source_employer_related,below_post,-0.016074238298854054,0.012764076221211064,-1.2593342456026888,0.03192676684985317,-0.5034721609754224,0.03208836619088222,-0.500936638632025,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,private,low_post_nonexp,0.03954250344799513,0.010465064609931525,3.7785245406386325,0.03142397694932494,1.2583545205548718,0.0434758861008855,0.9095272573913046,224594,22353,51,
nonexp_local150_bw0.50,private,below_post,-0.06983597812093034,0.018027706798625132,-3.8738137302219893,0.04784567386408629,-1.4596090405019946,0.04341433836341085,-1.6085924778203549,90195,9027,19,0.5
nonexp_local150_bw0.25,private,below_post,-0.07693947634311682,0.02493217113269827,-3.085951718108157,0.056881149470610154,-1.3526357511968103,0.05610498408597916,-1.3713483319986233,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,private,below_post,-0.026764569241543596,0.013961758252309737,-1.916991309967414,0.03492236079913606,-0.7664020595711193,0.045945898171104664,-0.582523583321216,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,public,low_post_nonexp,-0.0069220809404249295,0.009274664979238135,-0.7463429628908862,0.02771094802341149,-0.2497958905836363,0.03460862892685755,-0.2000102620376603,224594,22353,51,
nonexp_local150_bw0.50,public,below_post,0.045042225510161016,0.0140728753258648,3.2006412667763118,0.03637723866876767,1.238198036972851,0.05746760401308241,0.7837846432558285,90195,9027,19,0.5
nonexp_local150_bw0.25,public,below_post,0.05636601593346091,0.019572182423335673,2.879904484553363,0.04463099715389479,1.262934272767913,0.05145423357002434,1.0954592464534934,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,public,below_post,0.0037111804391522993,0.014003628856419032,0.26501562396458084,0.03598597981711896,0.10312850888075158,0.04337624163352831,0.08555790680314929,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,medicaid,low_post_nonexp,-0.01023965746944313,0.009139355007891302,-1.1203916972917431,0.027326072487834623,-0.37472115592175764,0.033977032355343724,-0.3013699772938731,224594,22353,51,
nonexp_local150_bw0.50,medicaid,below_post,0.03311612447662737,0.01348759699524073,2.455302044412568,0.03501506476049098,0.9457679059898165,0.04865935718938697,0.6805705292763359,90195,9027,19,0.5
nonexp_local150_bw0.25,medicaid,below_post,0.04091266435040142,0.018599203863990898,2.1996997640103633,0.04240061199948097,0.9649074015936902,0.04453276533312444,0.9187092704519224,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,medicaid,below_post,-0.0031239603463359394,0.01397408444274201,-0.22355384777701778,0.036026192823635984,-0.0867135853524433,0.043867378946294965,-0.07121374518775048,134129,13764,41,0.5
