model,post,above,person_months,persons,uninsured,any_coverage,direct_purchase,marketplace_flag,market_or_subsidy,private,public,medicaid,oop_any,doctor_any
monthly_fpl_age26_64_postapr2021_bw050,1,0,35766,5918,0.10996004294131359,0.8900399570586864,0.12166231948184425,0.10002901937118228,0.12293800434390056,0.8098381341352996,0.11479174014262541,0.08650912402054917,0.6346171114957037,0.7398645279135107
monthly_fpl_age26_64_postapr2021_bw050,1,1,30658,5273,0.08406940450798162,0.9159305954920184,0.10525080594301875,0.08144144982022296,0.10553247770353827,0.8501794803841849,0.09154377382950704,0.07154661872234327,0.656670105975345,0.7464403649611371
annual_fpl_age26_64_postyear_bw050,0,0,77285,5693,0.11374465447705072,0.8862553455229493,0.0973638317171816,0.06795677773836076,0.09846041299521299,0.8325296430349539,0.07865302813786744,0.0529728949698014,0.6585481678662853,0.7429494094687136
annual_fpl_age26_64_postyear_bw050,0,1,71308,5310,0.09651541732388866,0.9034845826761113,0.097041706621753,0.06513200304716271,0.09746457862599663,0.8614873635347065,0.06673601681140102,0.04597413228411063,0.6657744086126659,0.7511568957167584
annual_fpl_age26_64_postyear_bw050,1,0,39385,3033,0.12036229667164845,0.8796377033283516,0.12888921318621077,0.10821897275887256,0.1303973554808412,0.7957614742259411,0.11453238436650905,0.09049926583798153,0.6263426197598261,0.7343652843158699
annual_fpl_age26_64_postyear_bw050,1,1,34699,2665,0.0890940616519889,0.9109059383480111,0.09956407047958186,0.07700417494392656,0.09956407047958186,0.8478740387715764,0.08891919682434306,0.06421157967262757,0.6719614530850657,0.7471704223135776
monthly_fpl_age26_64_postyear_bw025,0,0,38038,6707,0.10167005940301642,0.8983299405969836,0.09290435912148279,0.0652225997637143,0.09370382085791604,0.8464151110778397,0.07772496308256284,0.05313560971792117,0.6523578403742112,0.7439446607566951
monthly_fpl_age26_64_postyear_bw025,0,1,36021,6365,0.09647876356163111,0.9035212364383689,0.08907146796197055,0.06329130538021809,0.0898696580597926,0.8576343793547059,0.06975734166760837,0.048356804456030654,0.6596678350220532,0.756183978913681
monthly_fpl_age26_64_postyear_bw025,1,0,18883,3980,0.11243894145028033,0.8875610585497197,0.114012518305636,0.09356249305330643,0.11563741172764114,0.8119602839984612,0.1070099845112823,0.08090350526271366,0.6269812087121635,0.7397270259765886
monthly_fpl_age26_64_postyear_bw025,1,1,17462,3775,0.09402736391985485,0.9059726360801451,0.11636106950852694,0.09109426315240295,0.11657952471473447,0.8349530819769969,0.09862867936257519,0.08065402376902796,0.6381039221349433,0.7414217010092594
monthly_fpl_age26_64_postyear_bw075,0,0,115756,14061,0.11992710275838218,0.8800728972416179,0.10510205658907455,0.07613034926094567,0.10624753412823358,0.8137899531189632,0.09284211633741937,0.06511801603470171,0.640966854740499,0.7317435266640923
monthly_fpl_age26_64_postyear_bw075,0,1,100474,12504,0.09274479033458796,0.9072552096654121,0.09178368172579118,0.06333618549686514,0.09264755568228705,0.8658378906785031,0.0688485664538549,0.04472014244455497,0.6623325395380367,0.7543854879002829
monthly_fpl_age26_64_postyear_bw075,1,0,58862,7916,0.11792595365764262,0.8820740463423574,0.12708899931263992,0.10674232160889029,0.1283567471417798,0.7961976380890307,0.12136473768387525,0.09581216144982549,0.6365343194540274,0.7309406929520433
monthly_fpl_age26_64_postyear_bw075,1,1,50059,7084,0.0824640578348187,0.9175359421651813,0.10204678893879816,0.07958661243353181,0.10225744846096957,0.8542448818260531,0.08930162867400113,0.06833092047258565,0.6586351477311632,0.7464853842065826
placebo_cutoff_3.0_monthly_fpl_age26_64,0,0,84587,11493,0.16263185758650822,,0.13113101352186712,,0.13398248086507783,,,,,
placebo_cutoff_3.0_monthly_fpl_age26_64,0,1,81288,11171,0.13694382942391414,,0.12219442194949891,,0.12395166992540817,,,,,
placebo_cutoff_3.0_monthly_fpl_age26_64,1,0,42564,6216,0.15429669386256412,,0.1683844103276622,,0.1719611453056091,,,,,
placebo_cutoff_3.0_monthly_fpl_age26_64,1,1,40765,6373,0.13656606856737705,,0.14115010101078498,,0.14228701586234896,,,,,
placebo_cutoff_3.5_monthly_fpl_age26_64,0,0,81583,11187,0.13723359423746612,,0.12221344693102958,,0.12397630730223021,,,,,
placebo_cutoff_3.5_monthly_fpl_age26_64,0,1,75758,10615,0.1127266324876504,,0.09832427892657547,,0.09916178538556478,,,,,
placebo_cutoff_3.5_monthly_fpl_age26_64,1,0,40870,6383,0.13646720407495583,,0.14116596363246386,,0.14229979639790932,,,,,
placebo_cutoff_3.5_monthly_fpl_age26_64,1,1,38739,6155,0.11033250582280094,,0.12152264638729032,,0.1227294297404652,,,,,
placebo_cutoff_4.5_monthly_fpl_age26_64,0,0,69399,9905,0.09569911644934849,,0.09005788738307122,,0.09077924794493063,,,,,
placebo_cutoff_4.5_monthly_fpl_age26_64,0,1,60297,8966,0.08191639416129179,,0.08988955877464407,,0.09068193624920982,,,,,
placebo_cutoff_4.5_monthly_fpl_age26_64,1,0,33759,5579,0.08609589901974762,,0.10569936832650548,,0.10601147131076488,,,,,
placebo_cutoff_4.5_monthly_fpl_age26_64,1,1,31508,5353,0.079670966280732,,0.09092090152485245,,0.09122779879357028,,,,,
placebo_cutoff_5.0_monthly_fpl_age26_64,0,0,60476,8985,0.08196203195400129,,0.08983031983325072,,0.0906202058016761,,,,,
placebo_cutoff_5.0_monthly_fpl_age26_64,0,1,53921,8182,0.07005676407662208,,0.07457021427389557,,0.07567120287735221,,,,,
placebo_cutoff_5.0_monthly_fpl_age26_64,1,0,31584,5359,0.07959437712844664,,0.0909259098950874,,0.0912321022623173,,,,,
placebo_cutoff_5.0_monthly_fpl_age26_64,1,1,27936,4887,0.07175393542561417,,0.08738103122316547,,0.08785313214643208,,,,,
