model,outcome,fpl_col,post_col,age_min,cutoff,bandwidth,coef_above_x_post,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n_person_months,n_persons,n_person_clusters,n_states,min_cell_persons,min_cell_events,weighted_mean
annual_fpl_age26_64_postyear_bw050,direct_purchase,annual_fpl,post_year2021,26,4.0,0.5,-0.024270170156872634,0.006697523528555608,-3.6237528772230765,0.02296999086431714,-1.05660338744737,222233,15012,14990,52,2665,3754,0.10488932508187222
annual_fpl_age26_64_postyear_bw050,marketplace_flag,annual_fpl,post_year2021,26,4.0,0.5,-0.01916700253333636,0.006068280068890506,-3.1585560184668204,0.02083223329065439,-0.920064702901293,222233,15012,14990,52,2665,2922,0.07817377665576516
annual_fpl_age26_64_postyear_bw050,market_or_subsidy,annual_fpl,post_year2021,26,4.0,0.5,-0.024021864074132347,0.006700749938902813,-3.584951579026647,0.02298422478406604,-1.0451457162386288,222233,15012,14990,52,2665,3754,0.10567256544208062
monthly_fpl_age26_64_postyear_bw025,uninsured,monthly_fpl,post_year2021,26,4.0,0.25,-0.024367394929310605,0.010111888530428475,-2.4097768538473074,0.01701281955843279,-1.4322960897585226,109894,15833,15804,52,3775,1678,0.1010172440258551
monthly_fpl_age26_64_postyear_bw025,direct_purchase,monthly_fpl,post_year2021,26,4.0,0.25,0.014040463133011272,0.009254043185235655,1.5172247256650047,0.014373188943133847,0.9768509402166093,109894,15833,15804,52,3775,2085,0.1012525255733195
monthly_fpl_age26_64_postyear_bw025,market_or_subsidy,monthly_fpl,post_year2021,26,4.0,0.25,0.015671509419433016,0.009293352860740232,1.6863138260505857,0.014418058503792361,1.08693617905011,109894,15833,15804,52,3775,2089,0.10211494654138566
monthly_fpl_age26_64_postyear_bw075,uninsured,monthly_fpl,post_year2021,26,4.0,0.75,-0.018933843573139594,0.005827143205809859,-3.2492497445852906,0.012890328053877412,-1.4688410949668802,324603,30062,30018,52,7084,4330,0.10480208496869418
monthly_fpl_age26_64_postyear_bw075,direct_purchase,monthly_fpl,post_year2021,26,4.0,0.75,0.014718677514103233,0.005637573600616027,2.6108178015618098,0.012696171242422942,1.1593004877661304,324603,30062,30018,52,7084,5250,0.10603255726394455
monthly_fpl_age26_64_postyear_bw075,market_or_subsidy,monthly_fpl,post_year2021,26,4.0,0.75,0.01364847380813035,0.005652343383238794,2.41465758230523,0.012730263136262097,1.0721281769308235,324603,30062,30018,52,7084,5260,0.10694584544644924
placebo_cutoff_3.0_monthly_fpl_age26_64,uninsured,monthly_fpl,post_year2021,26,3.0,0.5,0.00788494787297154,0.007243224594286707,1.0885963524023554,0.01530004680252862,0.5153544936652353,248640,25871,25843,52,6216,5979,0.14808465985282476
placebo_cutoff_3.0_monthly_fpl_age26_64,direct_purchase,monthly_fpl,post_year2021,26,3.0,0.5,-0.05066294659349769,0.0076165708589917445,-6.6516740317182945,0.016112958841487966,-3.144236083012248,248640,25871,25843,52,6216,5870,0.13886199288457085
placebo_cutoff_3.0_monthly_fpl_age26_64,market_or_subsidy,monthly_fpl,post_year2021,26,3.0,0.5,-0.049984297160949105,0.007636666474017455,-6.545303154329542,0.016173416807103554,-3.0905217961732996,248640,25871,25843,52,6216,5929,0.14120498409529356
placebo_cutoff_3.5_monthly_fpl_age26_64,uninsured,monthly_fpl,post_year2021,26,3.5,0.5,-0.028360534610660335,0.0072019511314415025,-3.937896008048009,0.014949613542830652,-1.8970747658063123,236246,25274,25241,52,6155,4485,0.12463453900272681
placebo_cutoff_3.5_monthly_fpl_age26_64,direct_purchase,monthly_fpl,post_year2021,26,3.5,0.5,0.013909652027347895,0.00697983410466115,1.9928341875717355,0.014164454411889876,0.9820111402012,236246,25274,25241,52,6155,4923,0.11962232791868863
placebo_cutoff_3.5_monthly_fpl_age26_64,market_or_subsidy,monthly_fpl,post_year2021,26,3.5,0.5,0.013083271985424192,0.006999686162279775,1.8691226552310187,0.014213402996743113,0.9204883579549612,236246,25274,25241,52,6155,4991,0.1208763907614749
placebo_cutoff_4.5_monthly_fpl_age26_64,uninsured,monthly_fpl,post_year2021,26,4.5,0.5,0.002006815505318979,0.00676843918860985,0.29649605313675764,0.013208588832034652,0.15193261981566647,194435,22052,22015,52,5353,2585,0.08655217294450887
placebo_cutoff_4.5_monthly_fpl_age26_64,direct_purchase,monthly_fpl,post_year2021,26,4.5,0.5,-0.001567774695434336,0.007076751171007212,-0.22153876228648006,0.014158423821000849,-0.11073087762134183,194435,22052,22015,52,5353,2951,0.09366456825622473
placebo_cutoff_4.5_monthly_fpl_age26_64,market_or_subsidy,monthly_fpl,post_year2021,26,4.5,0.5,-0.0030774651598522926,0.007086976889529567,-0.4342423021583431,0.014158940353560443,-0.21735137538583002,194435,22052,22015,52,5353,2975,0.09422766952844318
placebo_cutoff_5.0_monthly_fpl_age26_64,uninsured,monthly_fpl,post_year2021,26,5.0,0.5,0.004754898187508357,0.006548176567552049,0.7261408024747131,0.01230696883491133,0.38635818870525446,173482,20301,20275,52,4887,2068,0.07611782694092703
placebo_cutoff_5.0_monthly_fpl_age26_64,direct_purchase,monthly_fpl,post_year2021,26,5.0,0.5,0.005806504441748385,0.006650622561773287,0.8730768266903677,0.013137633293839683,0.44197492134835964,173482,20301,20275,52,4887,2445,0.08548681708892993
placebo_cutoff_5.0_monthly_fpl_age26_64,market_or_subsidy,monthly_fpl,post_year2021,26,5.0,0.5,0.005883017891257704,0.006670425878285728,0.881955365160225,0.013143229472687227,0.4476082460161809,173482,20301,20275,52,4887,2466,0.08618303890691485
