model,exposure,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,clusters_person,treated_post_months,treated_post_persons,n_states
annual_pair_change_ddd,student_debt_base,d_log_medical_debt_amount,-0.2637697964082796,0.12567966516166548,-2.0987468105439704,0.1295063866349223,-2.0367319578751353,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_credit_card_debt,0.0016126974888685396,0.021510839141600967,0.07497138899382393,0.021775010869410874,0.0740618454126251,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_log_credit_card_debt_amount,-0.05299845352706428,0.18047325706933615,-0.2936637504508647,0.1821924992129983,-0.2908926204755809,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_log_bank_assets,-0.1123057708423033,0.1284058643778244,-0.8746155900781306,0.12962572148534404,-0.8663849238825722,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_uninsured,-0.005580521464267403,0.012579011847653691,-0.4436375076082239,0.012737562172745366,-0.43811534645209244,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_any_coverage,0.00558052146426741,0.012579011847653697,0.44363750760822424,0.012737562172745373,0.4381153464520927,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_direct_market,0.0033031347082649464,0.014801760131651742,0.2231582378639956,0.01505085081896112,0.21946498227885192,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_exchange_subsidy,0.00515638618521374,0.01420595984654838,0.3629734450126991,0.014251090126982073,0.36182398253527137,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_oop_any,0.0005530034533756179,0.02344485627611521,0.023587410682444587,0.02359913373087315,0.023433209866180846,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_doctor_any,0.035981387440543494,0.020156197897825297,1.7851277122271962,0.020343314914559193,1.7687081771905586,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_hospital_any,-0.003721280016592508,0.014277088429736037,-0.26064698239466666,0.014622202751224288,-0.2544951728480808,44232,28406,,940,51
annual_pair_change_ddd,student_debt_10k_base,d_food_insecure,0.009947827420429465,0.02424762781858132,0.4102598198412752,0.02512517029389497,0.39593074610310736,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_food_severe,0.022126285272197656,0.017984363254811373,1.2303068481603423,0.018502972302725955,1.195823293154792,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_rent_mortgage_hardship,-0.016319799923008367,0.014962227034622121,-1.0907333437224864,0.015457663456097963,-1.0557740482162132,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_medical_debt,0.04352561900223317,0.018603706240024106,2.339620849774113,0.01897667457992234,2.2936378457100193,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_log_medical_debt_amount,-0.0960008112804435,0.14842603629583903,-0.6467922587995081,0.15440014418042056,-0.6217663318258567,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_credit_card_debt,-0.0067572196191769355,0.02637870483930798,-0.2561619177416068,0.027014079007152848,-0.2501369607080717,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_log_credit_card_debt_amount,-0.14185723803339034,0.21432478235476649,-0.6618797717875555,0.2167722901223995,-0.654406695400465,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_log_bank_assets,0.014530662356330652,0.15441530606443205,0.09410117900014084,0.1569104825264409,0.09260479046632272,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_uninsured,-0.00677011391186668,0.013811343391484878,-0.4901850399317901,0.01407212511964244,-0.4811010316001726,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_any_coverage,0.006770113911866687,0.013811343391484878,0.4901850399317906,0.01407212511964244,0.4811010316001731,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_direct_market,-0.000525643735743549,0.01865443489103329,-0.028177950112882405,0.018750249547662596,-0.02803395946317289,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_exchange_subsidy,-0.004153523170587644,0.018231529330037143,-0.2278208863007754,0.01830224982947248,-0.22694057885163071,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_oop_any,-0.006102062676683563,0.028559661207180866,-0.21366019128928943,0.02886305082449596,-0.21141433432618167,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_doctor_any,0.021762761857219984,0.022558040404478327,0.9647452290625183,0.022798151071195528,0.9545845094743796,44232,28406,,610,51
annual_pair_change_ddd,student_debt_10k_base,d_hospital_any,-0.00709002300472946,0.016575098692815378,-0.4277514804664598,0.01693892495193521,-0.41856393040571627,44232,28406,,610,51
annual_pair_change_ddd,student_debt_25k_base,d_food_insecure,-0.016444344704170437,0.03010664911809361,-0.5462030875527643,0.031033967280551095,-0.5298821306187322,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_food_severe,0.01588683085714701,0.02412435348772064,0.6585391341257477,0.024975216888270035,0.636103819567168,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_rent_mortgage_hardship,-0.02437466022304784,0.018486350350927435,-1.3185220316797142,0.019054284473444268,-1.2792220173378075,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_medical_debt,0.036108528144652596,0.022514928060004137,1.6037594278969223,0.023324249518590745,1.5481110385083154,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_log_medical_debt_amount,-0.27796056214393683,0.2001345730449297,-1.3888682895460316,0.2103616991667756,-1.3213458687817907,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_credit_card_debt,-0.01298930278258367,0.03455402998587282,-0.37591281792295306,0.03529322765692794,-0.3680395261336749,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_log_credit_card_debt_amount,-0.3225371985324394,0.2827153054646018,-1.140855101574342,0.2881270221288248,-1.119427105966581,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_log_bank_assets,0.049542217528829376,0.15708369985953757,0.3153873862987022,0.15971293916476673,0.3101953904794119,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_uninsured,-0.0006414130228282503,0.016561704550240888,-0.03872868404834097,0.016734050403799564,-0.03832981300705379,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_any_coverage,0.0006414130228282503,0.016561704550240888,0.03872868404834097,0.016734050403799564,0.03832981300705379,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_direct_market,0.0099630478237791,0.018550566121586558,0.5370751360620469,0.018666679825834063,0.5337343285864138,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_exchange_subsidy,-0.00714348192077142,0.018424021569938522,-0.3877265283073188,0.01852720750666099,-0.3855671135654502,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_oop_any,-0.022203024786093435,0.03139579610302303,-0.7071973812428841,0.031697435882886184,-0.7004675352330663,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_doctor_any,-0.010616388765430298,0.029617821691541382,-0.35844596797144795,0.029915736227124463,-0.35487639965900175,44232,28406,,398,51
annual_pair_change_ddd,student_debt_25k_base,d_hospital_any,0.0009826861025101533,0.019149196256052305,0.051317355014290224,0.019700521016989807,0.049881224037815086,44232,28406,,398,51
