state,state_fips,year,minimum_wage,mw_lag,mw_change,mw_increase
Indiana,18,2021,7.25,7.25,0.0,0.0
Indiana,18,2022,7.25,7.25,0.0,0.0
Indiana,18,2023,7.25,7.25,0.0,0.0
Indiana,18,2024,7.25,7.25,0.0,0.0
Iowa,19,2017,7.25,,,0.0
Iowa,19,2018,7.25,7.25,0.0,0.0
Iowa,19,2019,7.25,7.25,0.0,0.0
Iowa,19,2020,7.25,7.25,0.0,0.0
Iowa,19,2021,7.25,7.25,0.0,0.0
Iowa,19,2022,7.25,7.25,0.0,0.0
Iowa,19,2023,7.25,7.25,0.0,0.0
Iowa,19,2024,7.25,7.25,0.0,0.0
Kansas,20,2017,7.25,,,0.0
Kansas,20,2018,7.25,7.25,0.0,0.0
Kansas,20,2019,7.25,7.25,0.0,0.0
Kansas,20,2020,7.25,7.25,0.0,0.0
Kansas,20,2021,7.25,7.25,0.0,0.0
Kansas,20,2022,7.25,7.25,0.0,0.0
Kansas,20,2023,7.25,7.25,0.0,0.0
Kansas,20,2024,7.25,7.25,0.0,0.0
Kentucky,21,2017,7.25,,,0.0
Kentucky,21,2018,7.25,7.25,0.0,0.0
Kentucky,21,2019,7.25,7.25,0.0,0.0
Kentucky,21,2020,7.25,7.25,0.0,0.0
Kentucky,21,2021,7.25,7.25,0.0,0.0
Kentucky,21,2022,7.25,7.25,0.0,0.0
Kentucky,21,2023,7.25,7.25,0.0,0.0
Kentucky,21,2024,7.25,7.25,0.0,0.0
Louisiana,22,2017,7.25,,,0.0
Louisiana,22,2018,7.25,7.25,0.0,0.0
Louisiana,22,2019,7.25,7.25,0.0,0.0
Louisiana,22,2020,7.25,7.25,0.0,0.0
Louisiana,22,2021,7.25,7.25,0.0,0.0
Louisiana,22,2022,7.25,7.25,0.0,0.0
Louisiana,22,2023,7.25,7.25,0.0,0.0
Louisiana,22,2024,7.25,7.25,0.0,0.0
Maine,23,2017,9.0,,,0.0
Maine,23,2018,10.0,9.0,1.0,1.0
Maine,23,2019,12.0,10.0,2.0,2.0
Maine,23,2020,12.0,12.0,0.0,0.0
Maine,23,2021,12.15,12.0,0.15000000000000036,0.15000000000000036
Maine,23,2022,12.75,12.15,0.5999999999999996,0.5999999999999996
Maine,23,2023,13.8,12.75,1.0500000000000007,1.0500000000000007
Maine,23,2024,14.15,13.8,0.34999999999999964,0.34999999999999964
Maryland,24,2017,8.75,,,0.0
Maryland,24,2018,10.1,8.75,1.3499999999999996,1.3499999999999996
Maryland,24,2019,11.0,10.1,0.9000000000000004,0.9000000000000004
Maryland,24,2020,11.0,11.0,0.0,0.0
Maryland,24,2021,11.75,11.0,0.75,0.75
Maryland,24,2022,12.5,11.75,0.75,0.75
Maryland,24,2023,13.25,12.5,0.75,0.75
Maryland,24,2024,15.0,13.25,1.75,1.75
Massachusetts,25,2017,11.0,,,0.0
Massachusetts,25,2018,11.0,11.0,0.0,0.0
Massachusetts,25,2019,12.0,11.0,1.0,1.0
Massachusetts,25,2020,12.75,12.0,0.75,0.75
Massachusetts,25,2021,13.5,12.75,0.75,0.75
Massachusetts,25,2022,14.25,13.5,0.75,0.75
Massachusetts,25,2023,15.0,14.25,0.75,0.75
Massachusetts,25,2024,15.0,15.0,0.0,0.0
Michigan,26,2017,8.9,,,0.0
Michigan,26,2018,9.25,8.9,0.34999999999999964,0.34999999999999964
Michigan,26,2019,9.65,9.25,0.40000000000000036,0.40000000000000036
Michigan,26,2020,9.65,9.65,0.0,0.0
Michigan,26,2021,9.65,9.65,0.0,0.0
Michigan,26,2022,9.87,9.65,0.21999999999999886,0.21999999999999886
Michigan,26,2023,10.1,9.87,0.23000000000000043,0.23000000000000043
Michigan,26,2024,10.33,10.1,0.23000000000000043,0.23000000000000043
Minnesota,27,2017,9.5,,,0.0
Minnesota,27,2018,9.86,9.5,0.35999999999999943,0.35999999999999943
Minnesota,27,2019,10.0,9.86,0.14000000000000057,0.14000000000000057
Minnesota,27,2020,10.0,10.0,0.0,0.0
Minnesota,27,2021,10.08,10.0,0.08000000000000007,0.08000000000000007
Minnesota,27,2022,10.33,10.08,0.25,0.25
Minnesota,27,2023,10.59,10.33,0.2599999999999998,0.2599999999999998
Minnesota,27,2024,10.85,10.59,0.2599999999999998,0.2599999999999998
Mississippi,28,2017,7.25,,,0.0
Mississippi,28,2018,7.25,7.25,0.0,0.0
Mississippi,28,2019,7.25,7.25,0.0,0.0
Mississippi,28,2020,7.25,7.25,0.0,0.0
Mississippi,28,2021,7.25,7.25,0.0,0.0
Mississippi,28,2022,7.25,7.25,0.0,0.0
Mississippi,28,2023,7.25,7.25,0.0,0.0
Mississippi,28,2024,7.25,7.25,0.0,0.0
Missouri,29,2017,7.7,,,0.0
Missouri,29,2018,7.85,7.7,0.14999999999999947,0.14999999999999947
Missouri,29,2019,9.45,7.85,1.5999999999999996,1.5999999999999996
Missouri,29,2020,9.45,9.45,0.0,0.0
Missouri,29,2021,10.3,9.45,0.8500000000000014,0.8500000000000014
Missouri,29,2022,11.15,10.3,0.8499999999999996,0.8499999999999996
Missouri,29,2023,12.0,11.15,0.8499999999999996,0.8499999999999996
Missouri,29,2024,12.3,12.0,0.3000000000000007,0.3000000000000007
Montana,30,2017,8.15,,,0.0
Montana,30,2018,8.3,8.15,0.15000000000000036,0.15000000000000036
Montana,30,2019,8.65,8.3,0.34999999999999964,0.34999999999999964
Montana,30,2020,8.65,8.65,0.0,0.0
Montana,30,2021,8.75,8.65,0.09999999999999964,0.09999999999999964
Montana,30,2022,9.2,8.75,0.4499999999999993,0.4499999999999993
Montana,30,2023,9.95,9.2,0.75,0.75
Montana,30,2024,10.3,9.95,0.3500000000000014,0.3500000000000014
Nebraska,31,2017,9.0,,,0.0
Nebraska,31,2018,9.0,9.0,0.0,0.0
Nebraska,31,2019,9.0,9.0,0.0,0.0
Nebraska,31,2020,9.0,9.0,0.0,0.0
Nebraska,31,2021,9.0,9.0,0.0,0.0
Nebraska,31,2022,9.0,9.0,0.0,0.0
Nebraska,31,2023,10.5,9.0,1.5,1.5
Nebraska,31,2024,12.0,10.5,1.5,1.5
Nevada,32,2017,8.25,,,0.0
Nevada,32,2018,8.25,8.25,0.0,0.0
Nevada,32,2019,8.25,8.25,0.0,0.0
Nevada,32,2020,9.0,8.25,0.75,0.75
Nevada,32,2021,9.75,9.0,0.75,0.75
Nevada,32,2022,10.5,9.75,0.75,0.75
Nevada,32,2023,11.25,10.5,0.75,0.75
Nevada,32,2024,12.0,11.25,0.75,0.75
New Hampshire,33,2017,7.25,,,0.0
New Hampshire,33,2018,7.25,7.25,0.0,0.0
New Hampshire,33,2019,7.25,7.25,0.0,0.0
New Hampshire,33,2020,7.25,7.25,0.0,0.0
New Hampshire,33,2021,7.25,7.25,0.0,0.0
New Hampshire,33,2022,7.25,7.25,0.0,0.0
New Hampshire,33,2023,7.25,7.25,0.0,0.0
New Hampshire,33,2024,7.25,7.25,0.0,0.0
New Jersey,34,2017,8.44,,,0.0
New Jersey,34,2018,8.6,8.44,0.16000000000000014,0.16000000000000014
New Jersey,34,2019,11.0,8.6,2.4000000000000004,2.4000000000000004
New Jersey,34,2020,11.0,11.0,0.0,0.0
New Jersey,34,2021,12.0,11.0,1.0,1.0
New Jersey,34,2022,13.0,12.0,1.0,1.0
New Jersey,34,2023,14.13,13.0,1.1300000000000008,1.1300000000000008
New Jersey,34,2024,15.13,14.13,1.0,1.0
New Mexico,35,2017,7.5,,,0.0
New Mexico,35,2018,7.5,7.5,0.0,0.0
New Mexico,35,2019,9.0,7.5,1.5,1.5
New Mexico,35,2020,9.0,9.0,0.0,0.0
New Mexico,35,2021,10.5,9.0,1.5,1.5
New Mexico,35,2022,11.5,10.5,1.0,1.0
New Mexico,35,2023,12.0,11.5,0.5,0.5
New Mexico,35,2024,12.0,12.0,0.0,0.0
New York,36,2017,9.7,,,0.0
New York,36,2018,10.4,9.7,0.7000000000000011,0.7000000000000011
New York,36,2019,11.8,10.4,1.4000000000000004,1.4000000000000004
New York,36,2020,11.8,11.8,0.0,0.0
New York,36,2021,12.5,11.8,0.6999999999999993,0.6999999999999993
New York,36,2022,13.2,12.5,0.6999999999999993,0.6999999999999993
New York,36,2023,14.2,13.2,1.0,1.0
New York,36,2024,15.0,14.2,0.8000000000000007,0.8000000000000007
North Carolina,37,2017,7.25,,,0.0
North Carolina,37,2018,7.25,7.25,0.0,0.0
North Carolina,37,2019,7.25,7.25,0.0,0.0
North Carolina,37,2020,7.25,7.25,0.0,0.0
North Carolina,37,2021,7.25,7.25,0.0,0.0
North Carolina,37,2022,7.25,7.25,0.0,0.0
North Carolina,37,2023,7.25,7.25,0.0,0.0
North Carolina,37,2024,7.25,7.25,0.0,0.0
North Dakota,38,2017,7.25,,,0.0
North Dakota,38,2018,7.25,7.25,0.0,0.0
North Dakota,38,2019,7.25,7.25,0.0,0.0
North Dakota,38,2020,7.25,7.25,0.0,0.0
North Dakota,38,2021,7.25,7.25,0.0,0.0
North Dakota,38,2022,7.25,7.25,0.0,0.0
North Dakota,38,2023,7.25,7.25,0.0,0.0
North Dakota,38,2024,7.25,7.25,0.0,0.0
Ohio,39,2017,8.15,,,0.0
Ohio,39,2018,8.3,8.15,0.15000000000000036,0.15000000000000036
Ohio,39,2019,8.7,8.3,0.3999999999999986,0.3999999999999986
Ohio,39,2020,8.7,8.7,0.0,0.0
Ohio,39,2021,8.8,8.7,0.10000000000000142,0.10000000000000142
Ohio,39,2022,9.3,8.8,0.5,0.5
Ohio,39,2023,10.1,9.3,0.7999999999999989,0.7999999999999989
Ohio,39,2024,10.45,10.1,0.34999999999999964,0.34999999999999964
Oklahoma,40,2017,7.25,,,0.0
Oklahoma,40,2018,7.25,7.25,0.0,0.0
Oklahoma,40,2019,7.25,7.25,0.0,0.0
Oklahoma,40,2020,7.25,7.25,0.0,0.0
Oklahoma,40,2021,7.25,7.25,0.0,0.0
Oklahoma,40,2022,7.25,7.25,0.0,0.0
Oklahoma,40,2023,7.25,7.25,0.0,0.0
Oklahoma,40,2024,7.25,7.25,0.0,0.0
Oregon,41,2017,9.75,,,0.0
Oregon,41,2018,10.75,9.75,1.0,1.0
Oregon,41,2019,11.25,10.75,0.5,0.5
Oregon,41,2020,12.0,11.25,0.75,0.75
Oregon,41,2021,12.75,12.0,0.75,0.75
Oregon,41,2022,13.5,12.75,0.75,0.75
Oregon,41,2023,14.2,13.5,0.6999999999999993,0.6999999999999993
Oregon,41,2024,14.7,14.2,0.5,0.5
Pennsylvania,42,2017,7.25,,,0.0
Pennsylvania,42,2018,7.25,7.25,0.0,0.0
Pennsylvania,42,2019,7.25,7.25,0.0,0.0
Pennsylvania,42,2020,7.25,7.25,0.0,0.0
Pennsylvania,42,2021,7.25,7.25,0.0,0.0
Pennsylvania,42,2022,7.25,7.25,0.0,0.0
Pennsylvania,42,2023,7.25,7.25,0.0,0.0
Pennsylvania,42,2024,7.25,7.25,0.0,0.0
Rhode Island,44,2017,9.6,,,0.0
Rhode Island,44,2018,10.1,9.6,0.5,0.5
Rhode Island,44,2019,10.5,10.1,0.40000000000000036,0.40000000000000036
Rhode Island,44,2020,11.5,10.5,1.0,1.0
Rhode Island,44,2021,11.5,11.5,0.0,0.0
Rhode Island,44,2022,12.25,11.5,0.75,0.75
Rhode Island,44,2023,13.0,12.25,0.75,0.75
Rhode Island,44,2024,14.0,13.0,1.0,1.0
South Carolina,45,2017,7.25,,,0.0
South Carolina,45,2018,7.25,7.25,0.0,0.0
South Carolina,45,2019,7.25,7.25,0.0,0.0
South Carolina,45,2020,7.25,7.25,0.0,0.0
South Carolina,45,2021,7.25,7.25,0.0,0.0
South Carolina,45,2022,7.25,7.25,0.0,0.0
South Carolina,45,2023,7.25,7.25,0.0,0.0
South Carolina,45,2024,7.25,7.25,0.0,0.0
South Dakota,46,2017,8.65,,,0.0
South Dakota,46,2018,8.85,8.65,0.1999999999999993,0.1999999999999993
South Dakota,46,2019,9.3,8.85,0.45000000000000107,0.45000000000000107
South Dakota,46,2020,9.3,9.3,0.0,0.0
South Dakota,46,2021,9.45,9.3,0.14999999999999858,0.14999999999999858
South Dakota,46,2022,9.95,9.45,0.5,0.5
South Dakota,46,2023,10.8,9.95,0.8500000000000014,0.8500000000000014
South Dakota,46,2024,11.2,10.8,0.3999999999999986,0.3999999999999986
Tennessee,47,2017,7.25,,,0.0
Tennessee,47,2018,7.25,7.25,0.0,0.0
Tennessee,47,2019,7.25,7.25,0.0,0.0
Tennessee,47,2020,7.25,7.25,0.0,0.0
Tennessee,47,2021,7.25,7.25,0.0,0.0
Tennessee,47,2022,7.25,7.25,0.0,0.0
Tennessee,47,2023,7.25,7.25,0.0,0.0
Tennessee,47,2024,7.25,7.25,0.0,0.0
Texas,48,2017,7.25,,,0.0
Texas,48,2018,7.25,7.25,0.0,0.0
Texas,48,2019,7.25,7.25,0.0,0.0
Texas,48,2020,7.25,7.25,0.0,0.0
Texas,48,2021,7.25,7.25,0.0,0.0
Texas,48,2022,7.25,7.25,0.0,0.0
Texas,48,2023,7.25,7.25,0.0,0.0
Texas,48,2024,7.25,7.25,0.0,0.0
Utah,49,2017,7.25,,,0.0
Utah,49,2018,7.25,7.25,0.0,0.0
Utah,49,2019,7.25,7.25,0.0,0.0
Utah,49,2020,7.25,7.25,0.0,0.0
Utah,49,2021,7.25,7.25,0.0,0.0
Utah,49,2022,7.25,7.25,0.0,0.0
Utah,49,2023,7.25,7.25,0.0,0.0
Utah,49,2024,7.25,7.25,0.0,0.0
Vermont,50,2017,10.0,,,0.0
Vermont,50,2018,10.5,10.0,0.5,0.5
Vermont,50,2019,10.96,10.5,0.46000000000000085,0.46000000000000085
Vermont,50,2020,10.96,10.96,0.0,0.0
Vermont,50,2021,11.75,10.96,0.7899999999999991,0.7899999999999991
Vermont,50,2022,12.55,11.75,0.8000000000000007,0.8000000000000007
Vermont,50,2023,13.18,12.55,0.629999999999999,0.629999999999999
Vermont,50,2024,13.67,13.18,0.4900000000000002,0.4900000000000002
Virginia,51,2017,7.25,,,0.0
Virginia,51,2018,7.25,7.25,0.0,0.0
Virginia,51,2019,7.25,7.25,0.0,0.0
Virginia,51,2020,7.25,7.25,0.0,0.0
Virginia,51,2021,9.5,7.25,2.25,2.25
Virginia,51,2022,11.0,9.5,1.5,1.5
Virginia,51,2023,12.0,11.0,1.0,1.0
Virginia,51,2024,12.0,12.0,0.0,0.0
Washington,53,2017,11.0,,,0.0
Washington,53,2018,11.5,11.0,0.5,0.5
Washington,53,2019,13.5,11.5,2.0,2.0
Washington,53,2020,13.5,13.5,0.0,0.0
Washington,53,2021,13.69,13.5,0.1899999999999995,0.1899999999999995
Washington,53,2022,14.49,13.69,0.8000000000000007,0.8000000000000007
Washington,53,2023,15.74,14.49,1.25,1.25
Washington,53,2024,16.28,15.74,0.5400000000000009,0.5400000000000009
West Virginia,54,2017,8.75,,,0.0
West Virginia,54,2018,8.75,8.75,0.0,0.0
West Virginia,54,2019,8.75,8.75,0.0,0.0
West Virginia,54,2020,8.75,8.75,0.0,0.0
West Virginia,54,2021,8.75,8.75,0.0,0.0
West Virginia,54,2022,8.75,8.75,0.0,0.0
West Virginia,54,2023,8.75,8.75,0.0,0.0
West Virginia,54,2024,8.75,8.75,0.0,0.0
Wisconsin,55,2017,7.25,,,0.0
Wisconsin,55,2018,7.25,7.25,0.0,0.0
Wisconsin,55,2019,7.25,7.25,0.0,0.0
Wisconsin,55,2020,7.25,7.25,0.0,0.0
Wisconsin,55,2021,7.25,7.25,0.0,0.0
Wisconsin,55,2022,7.25,7.25,0.0,0.0
Wisconsin,55,2023,7.25,7.25,0.0,0.0
Wisconsin,55,2024,7.25,7.25,0.0,0.0
Wyoming,56,2017,7.25,,,0.0
Wyoming,56,2018,7.25,7.25,0.0,0.0
Wyoming,56,2019,7.25,7.25,0.0,0.0
Wyoming,56,2020,7.25,7.25,0.0,0.0
Wyoming,56,2021,7.25,7.25,0.0,0.0
Wyoming,56,2022,7.25,7.25,0.0,0.0
Wyoming,56,2023,7.25,7.25,0.0,0.0
Wyoming,56,2024,7.25,7.25,0.0,0.0
