sample,post,above400,person_months,persons,uninsured,any_coverage,private,rpritype1_employer,source_employer_related,source_current_employer,source_former_employer,source_union,source_bought_direct,direct_purchase,marketplace_flag,subsidized_private,market_or_subsidy,public,medicaid
younger_age26_49,1,0,24567,3995,0.12120021689065141,0.8787997831093486,0.7962346423085975,0.6513510226002759,0.6391603181694792,0.626721581887922,0.006938632508337781,0.005936634373450855,0.057347083270882705,0.10485175947174609,0.09010574984559026,0.043062877550886405,0.10578691220803943,0.11256742788794191,0.09355582423200548
younger_age26_49,1,1,19962,3483,0.09557281475106383,0.9044271852489362,0.8302015749775791,0.700798896858549,0.6862376824735792,0.6653306280647746,0.015215844684196511,0.006428340899273508,0.046961708854428144,0.0990675365691278,0.07933570733292024,0.025655274656925617,0.09940730636135485,0.1005088685134078,0.09323888511505482
pre_nonemployer_baseline,0,0,23670,2949,0.30508517927696477,0.6949148207230352,0.5248683170462036,0.04934749235021945,0.0,0.0,0.0,0.0,0.1557292992817472,0.25337248054586764,0.17994304858960744,0.0878617372406685,0.2556177276613288,0.18777907232734878,0.15760698386976038
pre_nonemployer_baseline,0,1,19482,2603,0.27556235413796404,0.724437645862036,0.5933335349713487,0.04629498232587483,0.0,0.0,0.0,0.0,0.16476414356111133,0.24478106680335493,0.17176430352231162,0.07257462558198616,0.2470617593056286,0.15186263627454483,0.12805259625620155
pre_nonemployer_baseline,1,0,1291,180,0.18715155627258254,0.8128484437274175,0.7094789479529195,0.18478839015197115,0.16466876833193358,0.16260971794447293,0.002059050387460652,0.0,0.0972902833267976,0.13108935289364504,0.12274809812640647,0.06431216467984503,0.13108935289364504,0.1365157277338367,0.08415967610764422
pre_nonemployer_baseline,1,1,1062,172,0.20953251065254883,0.7904674893474511,0.5968307822047444,0.14652712768306353,0.13001353601716392,0.12373962218235043,0.0013547206478791774,0.004919193186934313,0.06454407267232835,0.1532329894317161,0.11994039254590824,0.0392579744989685,0.1532329894317161,0.20475051308708583,0.1793617395249505
pre_nongroup_uninsured_baseline,0,0,13669,1739,0.5163969190235747,0.48360308097642535,0.3408473027429908,0.007259809052182649,0.0,0.0,0.0,0.0,0.2635923860391416,0.4288663534208123,0.3045773515173789,0.1487175828031638,0.43266673040280307,0.16040871874747908,0.15716971226226126
pre_nongroup_uninsured_baseline,0,1,10654,1494,0.5007622211872554,0.4992377788127446,0.3675829143244296,0.008400900795553907,0.0,0.0,0.0,0.0,0.2994155669767916,0.44482531404004505,0.31213651959676275,0.13188532527223715,0.44896987379624415,0.15002384254621615,0.1465253977721284
pre_nongroup_uninsured_baseline,1,0,578,85,0.37388604958078986,0.6261139504192101,0.6027026502645726,0.3550781014221958,0.3416121878381094,0.3371694496631927,0.004442738174916781,0.0,0.20991970785012815,0.2701923408088077,0.2521947186006307,0.13876401999421312,0.2701923408088077,0.08018843691627296,0.08018843691627296
pre_nongroup_uninsured_baseline,1,1,460,77,0.4328110981934286,0.5671889018065713,0.46188850935137266,0.3078265302392201,0.30436417571723584,0.28963311638860983,0.003180864570833887,0.0115501947577921,0.1351979800922853,0.20523663794680239,0.14494076980167014,0.07210980315676056,0.20523663794680239,0.13139544875403164,0.13139544875403164
pre_current_employer_baseline,0,0,46819,5432,0.019301626288403366,0.9806983737115966,0.9751139837333976,0.9600367900995669,0.9590294186183698,0.9472350250090972,0.009166233856845615,0.005256670437464664,0.015789360070511335,0.025899715667208747,0.01709477331087125,0.007981633786458012,0.025998304559231883,0.03250399898182615,0.022763077728309926
pre_current_employer_baseline,0,1,44840,5398,0.02202161910460582,0.9779783808953941,0.9715164677975043,0.9537417301219614,0.9523264577561578,0.9392734573741522,0.010232288554562726,0.003821930323601018,0.019869914144212582,0.027936495529555443,0.020235366882610704,0.013202247705720403,0.028152897978064757,0.03584084768176654,0.025588655007727265
pre_current_employer_baseline,1,0,2668,374,0.021494400607889895,0.9785055993921101,0.9684556979473201,0.9478428537744327,0.9412973078397888,0.9151533748984902,0.022638626449906298,0.004167944785521655,0.02515679226084603,0.038004691948559446,0.03041719076451332,0.024864344806627886,0.038004691948559446,0.034812856867380795,0.02601853682492215
pre_current_employer_baseline,1,1,2576,365,0.008363768479196856,0.9916362315208032,0.9834584480197154,0.9632037790132184,0.9583124649749082,0.9148616743564729,0.04311036612504468,0.00034042449339051256,0.022514023981370767,0.0321586260678857,0.016854142129811806,0.004576411909734346,0.0321586260678857,0.020078562927893596,0.020078562927893596
lag_nonemployer_months,0,0,25733,4295,0.3138806372203765,0.6861193627796235,0.5184276666765677,0.06271284817244029,0.01603500762185007,0.014826572874570013,0.0008750452533193552,0.0003333894939607005,0.1658684233401401,0.26290192650809496,0.18376069049261223,0.09258915371046807,0.26518611144265825,0.1867094156536293,0.1567480868244363
lag_nonemployer_months,0,1,21487,3670,0.28810039883974736,0.7118996011602526,0.577924780209714,0.0580735504813316,0.014640037101389019,0.014028437634377994,0.0004914924336067839,0.00012010703340423971,0.18244007230294576,0.26267916285393267,0.18465182259621352,0.089489317996413,0.2645403576387438,0.15710018993761762,0.13355150528151802
lag_nonemployer_months,1,0,14168,2669,0.287232307527513,0.7127676924724871,0.49632766739201606,0.052962888107461234,0.017681988062399387,0.017040074421851285,0.0003013504559817425,0.0003405631845663574,0.1884123710029257,0.30500553431805066,0.2524153115427724,0.13774718726379898,0.30730460614319005,0.2427261113949888,0.20842621650625887
lag_nonemployer_months,1,1,10406,2101,0.26188166858301903,0.738118331416981,0.5237254859498289,0.0681946451311315,0.021733843581264577,0.02070695240452158,0.0008916638921618588,0.00013522728458113649,0.16557618010703723,0.2946510882216141,0.22928202867902087,0.09934394028441061,0.295698164241524,0.23833389046040446,0.2178150759935208
lag_nongroup_uninsured_months,0,0,14915,2798,0.5273307041901651,0.4726692958098349,0.3546929851922967,0.029111093995942267,0.023739727068783707,0.02193359504247086,0.0012436481487622137,0.0005624838775506332,0.2795190980600232,0.4416490533678794,0.3084337914062275,0.15578155442914407,0.44521802689916273,0.13615265016724212,0.13497277418193876
lag_nongroup_uninsured_months,0,1,11988,2333,0.5074953310959123,0.4925046689040878,0.38380876936589525,0.027613022663475803,0.022752768707772153,0.021805727144036387,0.0008074385401049455,0.000139603023630818,0.3223769560534577,0.4629656651058619,0.32529717061286767,0.15781583605537106,0.4662368846693303,0.13126691196580945,0.13039839036893205
lag_nongroup_uninsured_months,1,0,8748,1786,0.4687037621263782,0.5312962378736218,0.393994489799913,0.030001197457679436,0.027331486098219778,0.026278564671479883,0.0004943006847308753,0.0005586207420090214,0.3082275103242829,0.49810470022812026,0.4119356980619677,0.22505032633345118,0.5018758336538507,0.16846292516166603,0.1674220073511686
lag_nongroup_uninsured_months,1,1,5987,1330,0.45299644701371683,0.5470035529862831,0.35923257981140627,0.038632933346594636,0.034333298107368175,0.03275242619362146,0.0013454479875490589,0.00023542392619765225,0.2882598325208543,0.5104006030507824,0.39677806177713854,0.17214309621931623,0.51222350993232,0.21924585531118895,0.21901124904736058
lag_current_employer_months,0,0,43499,6271,0.002970634913605927,0.9970293650863941,0.9963063099309628,0.9944667068336529,0.9944221004710138,0.992896409919901,0.0024994974506779267,0.0016948360040672287,0.004421471645843018,0.011304287201755402,0.008910250218712813,0.002382055267690425,0.011337681485543092,0.028233862503233283,0.019145378078058835
lag_current_employer_months,0,1,41303,6170,0.0027876134929723287,0.9972123865070277,0.9965301266562983,0.9950161055669052,0.9948400551787847,0.9933192134419823,0.0022490899195171596,0.000551986825129807,0.004482335417944427,0.009911066210978411,0.007119480316478803,0.0026151428880474433,0.010134251168341166,0.029038497485719513,0.0196600816816964
lag_current_employer_months,1,0,21671,3504,0.0036025312172550837,0.9963974687827449,0.9952777226721874,0.9935959128503263,0.9931177875561777,0.9911144554757918,0.00262637102354593,0.0006430642670947215,0.004651340265033515,0.016195658564699466,0.013166520248525835,0.002849117666039704,0.01677984469176627,0.041367029163147384,0.030391147507351352
lag_current_employer_months,1,1,20392,3434,0.001893519731829637,0.9981064802681704,0.9974457630260035,0.9942015475855417,0.9941530317255652,0.9927173540227595,0.003240634120513473,0.0002624346978939519,0.009214829114732738,0.02224267785874307,0.01573669637524268,0.0032512341147309205,0.02224267785874307,0.026153703392868183,0.022418626167467294
