outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,diagnostic,sample_definition
qm_rating,205,20,0,2727,-0.07655986984930695,0.09562032767768815,0.4233953382236102,3.6901639344262294,3.7538155275381553,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
rating_cycle_1_total_health_deficiencies,205,20,0,2741,0.47080279739874753,0.6557701483650764,0.472856330408151,8.41564792176039,8.70541611624835,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_rn_lt8_day_share,205,20,0,2740,-0.01677192329439579,0.00945702613905803,0.07625907865563497,0.04814756671899529,0.044067868325294066,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_zero_rn_day_share,205,20,0,2740,-0.0021068024728280576,0.0028394704071763206,0.458169068246576,0.007856657851333982,0.00734346296550343,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_p10_total_hprd,205,20,0,2740,0.04521270607310042,0.04201642572356875,0.2819898612792202,2.8072534031475027,2.945263062266572,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_avg_daily_census,205,20,0,2740,-3.5164314281953617,4.102801550802346,0.39147543126165774,84.0808672116933,76.50035348122591,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
ownership_for_profit,255,20,0,2375,0.023044147868699016,0.03933693007670791,0.5580558688554229,0.7103139013452915,0.6642857142857143,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
certified_beds,255,20,0,2375,7.182099114267606,4.665001513775513,0.12379849873585513,104.77488789237668,102.73968253968253,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
avg_residents_per_day,255,20,0,2375,3.8427634501076158,3.6088940620072574,0.28707323135602425,76.65165919282512,73.9363492063492,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
health_inspection_rating,255,20,0,2349,0.0106722775475032,0.10529574466447382,0.9192771160793747,2.850315599639315,2.954032258064516,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
qm_rating,255,20,0,2348,-0.07027811234239992,0.10398222558279749,0.49919202479369984,3.830477908025248,3.864406779661017,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
rating_cycle_1_total_health_deficiencies,255,20,0,2361,0.06668388235047448,0.6624865772860942,0.919831342684077,8.120503597122303,7.711769415532426,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_rn_lt8_day_share,255,20,0,2367,-0.013220677474131127,0.009131443511665359,0.14780033451570462,0.04128297445129128,0.038282908704883226,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_zero_rn_day_share,255,20,0,2367,-0.0047067368696856356,0.0032627663103501677,0.14927692897140554,0.006782235000056782,0.0066259921268921555,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_p10_total_hprd,255,20,0,2367,0.012317806068453886,0.046644939425508895,0.7917444336058823,3.118984969539548,3.2468717504179097,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_avg_daily_census,255,20,0,2367,3.430339424663559,3.524304010702454,0.3304849088781032,74.93635852556429,72.56026249349515,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
ownership_for_profit,320,20,0,1485,0.005394174892237746,0.052514478547092555,0.9182008038011777,0.47941567065073043,0.36885245901639346,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
certified_beds,320,20,0,1485,7.110627321639953,5.648612497063374,0.20829112297849606,95.29216467463479,88.14617486338798,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
avg_residents_per_day,320,20,0,1485,4.0657148014029305,4.0901091671730905,0.3203678336669582,67.21686586985392,62.0535519125683,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
health_inspection_rating,320,20,0,1474,0.03677932531028028,0.13042054323251648,0.7779789018629333,3.318548387096774,3.4945205479452053,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
qm_rating,320,20,0,1473,-0.01618721610819683,0.11618829909024533,0.8892173198829729,3.9959623149394345,4.031506849315068,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
rating_cycle_1_total_health_deficiencies,320,20,0,1478,0.19210554442802572,0.5808084562428912,0.7408762465849237,6.021419009370817,5.217510259917921,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_rn_lt8_day_share,320,20,0,1473,-0.034236523332440635,0.012759232035984804,0.007372348720997124,0.03406200591187186,0.024679928049941808,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_zero_rn_day_share,320,20,0,1473,-0.0049923813220404,0.0032885778944969743,0.12920503409168305,0.005083495689918349,0.004555891383832296,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_p10_total_hprd,320,20,0,1473,0.16548206607517796,0.06747941673307181,0.01430893223935148,3.5581652137101676,3.8366914553016005,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_avg_daily_census,320,20,0,1473,5.7468212089645805,4.110381696496623,0.1622870362903841,67.28956496488405,63.065640326333465,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
