outcome,group,n,sample_definition,treated_n,control_n,diff,se,p,quarter,sample
dy,formula_induced_overall_star_loss,2619,quarterly event-study change relative to 2022Q2,1503,1116,0.1199731499229264,0.45089715210434655,0.7902012296542988,2021Q1,matched
dy,formula_induced_overall_star_loss,14118,quarterly event-study change relative to 2022Q2,1504,12614,1.6386215234016903,0.26933960214903296,1.2036323049358089e-09,2021Q2,raw
dy,formula_induced_overall_star_loss,2620,quarterly event-study change relative to 2022Q2,1504,1116,0.5860080969895656,0.38623326821103254,0.12932714145739022,2021Q2,matched
dy,formula_induced_overall_star_loss,14155,quarterly event-study change relative to 2022Q2,1502,12653,1.1636893959813608,0.2286520162388189,3.6390471724878637e-07,2021Q3,raw
dy,formula_induced_overall_star_loss,2613,quarterly event-study change relative to 2022Q2,1502,1111,0.48971486492336846,0.3534915078481295,0.16605913303595154,2021Q3,matched
dy,formula_induced_overall_star_loss,14041,quarterly event-study change relative to 2022Q2,1491,12550,0.34677377778930285,0.1996402244258193,0.08241024606408587,2021Q4,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1491,1121,0.5020389008782561,0.27648365862198027,0.06951582202141937,2021Q4,matched
dy,formula_induced_overall_star_loss,14228,quarterly event-study change relative to 2022Q2,1521,12707,-0.5279066421296187,0.13124448998174604,5.792672992810388e-05,2022Q1,raw
dy,formula_induced_overall_star_loss,2625,quarterly event-study change relative to 2022Q2,1521,1104,-0.19594174352503457,0.1882550013162182,0.2980496636079204,2022Q1,matched
dy,formula_induced_overall_star_loss,14439,quarterly event-study change relative to 2022Q2,1521,12918,0.0,0.0,,2022Q2,raw
dy,formula_induced_overall_star_loss,2650,quarterly event-study change relative to 2022Q2,1521,1129,0.0,0.0,,2022Q2,matched
dy,formula_induced_overall_star_loss,14211,quarterly event-study change relative to 2022Q2,1504,12707,-0.08030457104463418,0.13535014892612063,0.5529832787856828,2022Q3,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1504,1108,-0.20372787074182086,0.19167542208362967,0.2879349453425255,2022Q3,matched
dy,formula_induced_overall_star_loss,14193,quarterly event-study change relative to 2022Q2,1496,12697,0.030402252962730136,0.19868954233096495,0.8783895241900603,2022Q4,raw
dy,formula_induced_overall_star_loss,2610,quarterly event-study change relative to 2022Q2,1496,1114,-0.008728628284662143,0.27654407134571524,0.9748227701746288,2022Q4,matched
dy,formula_induced_overall_star_loss,14163,quarterly event-study change relative to 2022Q2,1493,12670,0.08437058063225145,0.23931926308612306,0.7244355408104046,2023Q1,raw
dy,formula_induced_overall_star_loss,2607,quarterly event-study change relative to 2022Q2,1493,1114,0.10157498983979485,0.3356805099067556,0.762223261090512,2023Q1,matched
dy,formula_induced_overall_star_loss,14036,quarterly event-study change relative to 2022Q2,1479,12557,0.2094513315767923,0.2691498441013209,0.4364665950620621,2023Q2,raw
dy,formula_induced_overall_star_loss,2582,quarterly event-study change relative to 2022Q2,1479,1103,0.4558623649541098,0.384477130046134,0.2358624849053068,2023Q2,matched
dy,formula_induced_overall_star_loss,14040,quarterly event-study change relative to 2022Q2,1473,12567,0.2603959273874725,0.290464857698757,0.37001184519520725,2023Q3,raw
dy,formula_induced_overall_star_loss,2576,quarterly event-study change relative to 2022Q2,1473,1103,0.2969084007140097,0.4227640047518513,0.4825537661875787,2023Q3,matched
dy,formula_induced_overall_star_loss,14024,quarterly event-study change relative to 2022Q2,1477,12547,0.33271332032889633,0.30420135192735365,0.27409338997868504,2023Q4,raw
dy,formula_induced_overall_star_loss,2578,quarterly event-study change relative to 2022Q2,1477,1101,0.39075270651530225,0.4382778532808775,0.3727100017206322,2023Q4,matched
dy,formula_induced_overall_star_loss,13947,quarterly event-study change relative to 2022Q2,1487,12460,0.01932986446391009,0.0033818270066002516,1.114205172569882e-08,2019Q1,raw
dy,formula_induced_overall_star_loss,2586,quarterly event-study change relative to 2022Q2,1487,1099,0.005555320465004821,0.005475532458157224,0.31040500559495476,2019Q1,matched
dy,formula_induced_overall_star_loss,13962,quarterly event-study change relative to 2022Q2,1481,12481,0.01924180454701472,0.00320265359505796,1.9240107285156682e-09,2019Q2,raw
dy,formula_induced_overall_star_loss,2570,quarterly event-study change relative to 2022Q2,1481,1089,0.005563608872184159,0.0052652677342962945,0.290765218690463,2019Q2,matched
dy,formula_induced_overall_star_loss,13984,quarterly event-study change relative to 2022Q2,1493,12491,0.01907311127889663,0.0030195670184303292,2.756421757510452e-10,2019Q3,raw
dy,formula_induced_overall_star_loss,2591,quarterly event-study change relative to 2022Q2,1493,1098,0.008126616940425643,0.005185801308777309,0.11721588291823015,2019Q3,matched
dy,formula_induced_overall_star_loss,14029,quarterly event-study change relative to 2022Q2,1494,12535,0.02215104472999235,0.0030056945390136993,1.8052226380405045e-13,2019Q4,raw
dy,formula_induced_overall_star_loss,2602,quarterly event-study change relative to 2022Q2,1494,1108,0.010026080439503083,0.00496758579734129,0.04366248640258874,2019Q4,matched
dy,formula_induced_overall_star_loss,11343,quarterly event-study change relative to 2022Q2,1240,10103,0.022867228096511635,0.003558947668646426,1.3690182321113298e-10,2020Q1,raw
dy,formula_induced_overall_star_loss,2123,quarterly event-study change relative to 2022Q2,1240,883,0.017027236271564623,0.005874891110798741,0.003790353259829571,2020Q1,matched
dy,formula_induced_overall_star_loss,13930,quarterly event-study change relative to 2022Q2,1483,12447,0.019093194368147087,0.0031085977464407233,8.367364578987235e-10,2020Q2,raw
dy,formula_induced_overall_star_loss,2581,quarterly event-study change relative to 2022Q2,1483,1098,0.011377579784000088,0.005212896639836143,0.029156448642723598,2020Q2,matched
dy,formula_induced_overall_star_loss,13985,quarterly event-study change relative to 2022Q2,1493,12492,0.01811407536177886,0.0030581262353684296,3.230333334158786e-09,2020Q3,raw
dy,formula_induced_overall_star_loss,2593,quarterly event-study change relative to 2022Q2,1493,1100,0.011448461116913895,0.005153933520172029,0.026416397826793725,2020Q3,matched
dy,formula_induced_overall_star_loss,13903,quarterly event-study change relative to 2022Q2,1486,12417,0.019482764458582897,0.00338834821356419,9.11570174899623e-09,2020Q4,raw
dy,formula_induced_overall_star_loss,2590,quarterly event-study change relative to 2022Q2,1486,1104,0.013259813630300495,0.005286459927461847,0.012193475088807526,2020Q4,matched
dy,formula_induced_overall_star_loss,14101,quarterly event-study change relative to 2022Q2,1503,12598,0.010546554990450182,0.0031841459867555863,0.0009279538202318083,2021Q1,raw
dy,formula_induced_overall_star_loss,2619,quarterly event-study change relative to 2022Q2,1503,1116,0.009599494146529108,0.005207955779121487,0.06540750216793745,2021Q1,matched
dy,formula_induced_overall_star_loss,14118,quarterly event-study change relative to 2022Q2,1504,12614,0.00849310750764809,0.0031525207106859075,0.007066907130408584,2021Q2,raw
dy,formula_induced_overall_star_loss,2620,quarterly event-study change relative to 2022Q2,1504,1116,0.004734548510286328,0.005065545920709979,0.3500512356434051,2021Q2,matched
dy,formula_induced_overall_star_loss,14155,quarterly event-study change relative to 2022Q2,1502,12653,0.003528026623290001,0.003091805656793281,0.25385203434196013,2021Q3,raw
dy,formula_induced_overall_star_loss,2613,quarterly event-study change relative to 2022Q2,1502,1111,0.0034097950407557414,0.00511472166129034,0.5050464017173879,2021Q3,matched
dy,formula_induced_overall_star_loss,14041,quarterly event-study change relative to 2022Q2,1491,12550,-0.004250614731395833,0.0030242164722981625,0.15988706715468792,2021Q4,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1491,1121,0.006998504211756969,0.0044112501164072625,0.11274419480629327,2021Q4,matched
dy,formula_induced_overall_star_loss,14228,quarterly event-study change relative to 2022Q2,1521,12707,-0.011079940053533792,0.0023258226389621687,1.9178054846413772e-06,2022Q1,raw
dy,formula_induced_overall_star_loss,2625,quarterly event-study change relative to 2022Q2,1521,1104,-0.007111902154672929,0.004059494588055564,0.0799047397721595,2022Q1,matched
dy,formula_induced_overall_star_loss,14439,quarterly event-study change relative to 2022Q2,1521,12918,0.0,0.0,,2022Q2,raw
dy,formula_induced_overall_star_loss,2650,quarterly event-study change relative to 2022Q2,1521,1129,0.0,0.0,,2022Q2,matched
dy,formula_induced_overall_star_loss,14211,quarterly event-study change relative to 2022Q2,1504,12707,0.0030151670335963124,0.0027477828778855666,0.2725249090676396,2022Q3,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1504,1108,0.0001916577546426225,0.004392302044080535,0.9651987527524721,2022Q3,matched
dy,formula_induced_overall_star_loss,14193,quarterly event-study change relative to 2022Q2,1496,12697,0.008772294669495953,0.0028157335621684645,0.0018402671588706454,2022Q4,raw
dy,formula_induced_overall_star_loss,2610,quarterly event-study change relative to 2022Q2,1496,1114,0.004855246235011787,0.004700989430570924,0.3017868595566693,2022Q4,matched
dy,formula_induced_overall_star_loss,14163,quarterly event-study change relative to 2022Q2,1493,12670,0.017684265141481692,0.0032280583109849893,4.3676600114395114e-08,2023Q1,raw
dy,formula_induced_overall_star_loss,2607,quarterly event-study change relative to 2022Q2,1493,1114,0.009150511622021396,0.004955437857270937,0.06492434480098486,2023Q1,matched
dy,formula_induced_overall_star_loss,14036,quarterly event-study change relative to 2022Q2,1479,12557,0.015199168413452455,0.0030661080670366676,7.236848498237691e-07,2023Q2,raw
dy,formula_induced_overall_star_loss,2582,quarterly event-study change relative to 2022Q2,1479,1103,0.0037523492410496137,0.004989262795746529,0.45206860569696294,2023Q2,matched
dy,formula_induced_overall_star_loss,14040,quarterly event-study change relative to 2022Q2,1473,12567,0.019781674947217782,0.0032104471485749687,7.395468681892226e-10,2023Q3,raw
dy,formula_induced_overall_star_loss,2576,quarterly event-study change relative to 2022Q2,1473,1103,0.004945495120103776,0.005269053122530136,0.3480279329666467,2023Q3,matched
dy,formula_induced_overall_star_loss,14024,quarterly event-study change relative to 2022Q2,1477,12547,0.022209746757485178,0.003226695853116679,6.104228233994036e-12,2023Q4,raw
dy,formula_induced_overall_star_loss,2578,quarterly event-study change relative to 2022Q2,1477,1101,0.008816621723457818,0.005268023925994368,0.09432852350347032,2023Q4,matched
dy,formula_induced_overall_star_loss,13947,quarterly event-study change relative to 2022Q2,1487,12460,0.009708802133076287,0.0016484361743689762,3.957947081190127e-09,2019Q1,raw
dy,formula_induced_overall_star_loss,2586,quarterly event-study change relative to 2022Q2,1487,1099,0.006102614330427962,0.0026584855454212103,0.021782921738565886,2019Q1,matched
dy,formula_induced_overall_star_loss,13962,quarterly event-study change relative to 2022Q2,1481,12481,0.008385002737309532,0.0016285978699394899,2.660022588862887e-07,2019Q2,raw
dy,formula_induced_overall_star_loss,2570,quarterly event-study change relative to 2022Q2,1481,1089,0.004436168391726675,0.002601430963475344,0.08826314103789312,2019Q2,matched
dy,formula_induced_overall_star_loss,13984,quarterly event-study change relative to 2022Q2,1493,12491,0.007981610662220568,0.0013812010984319298,7.686308256538155e-09,2019Q3,raw
dy,formula_induced_overall_star_loss,2591,quarterly event-study change relative to 2022Q2,1493,1098,0.005221373535384894,0.002467756170228892,0.03445377349805412,2019Q3,matched
dy,formula_induced_overall_star_loss,14029,quarterly event-study change relative to 2022Q2,1494,12535,0.008624249851317989,0.001362154140198057,2.5045521212518906e-10,2019Q4,raw
dy,formula_induced_overall_star_loss,2602,quarterly event-study change relative to 2022Q2,1494,1108,0.003189204671046337,0.0025736031263738682,0.21538391138712054,2019Q4,matched
dy,formula_induced_overall_star_loss,11343,quarterly event-study change relative to 2022Q2,1240,10103,0.008150335486355128,0.0019019487599313198,1.8403611848016865e-05,2020Q1,raw
dy,formula_induced_overall_star_loss,2123,quarterly event-study change relative to 2022Q2,1240,883,0.004404416319442075,0.0031846580177709955,0.16680713520827983,2020Q1,matched
dy,formula_induced_overall_star_loss,13930,quarterly event-study change relative to 2022Q2,1483,12447,0.007898437319072924,0.0014408900333696406,4.287371480060642e-08,2020Q2,raw
dy,formula_induced_overall_star_loss,2581,quarterly event-study change relative to 2022Q2,1483,1098,0.0052671039206971014,0.0024798837730832207,0.03377077307238929,2020Q2,matched
dy,formula_induced_overall_star_loss,13985,quarterly event-study change relative to 2022Q2,1493,12492,0.0071549292484355265,0.0015999645798627693,7.81274197936277e-06,2020Q3,raw
dy,formula_induced_overall_star_loss,2593,quarterly event-study change relative to 2022Q2,1493,1100,0.004987360116513557,0.0026415979553533623,0.05913641237778866,2020Q3,matched
dy,formula_induced_overall_star_loss,13903,quarterly event-study change relative to 2022Q2,1486,12417,0.009893246476231344,0.0016568150532977862,2.411928878842673e-09,2020Q4,raw
dy,formula_induced_overall_star_loss,2590,quarterly event-study change relative to 2022Q2,1486,1104,0.008104704575125098,0.0026375213998488397,0.002142343917155509,2020Q4,matched
dy,formula_induced_overall_star_loss,14101,quarterly event-study change relative to 2022Q2,1503,12598,0.00502096565218773,0.0013082941650489864,0.000124685508994693,2021Q1,raw
dy,formula_induced_overall_star_loss,2619,quarterly event-study change relative to 2022Q2,1503,1116,0.0039777174942328495,0.002567225520312158,0.12140105565277648,2021Q1,matched
dy,formula_induced_overall_star_loss,14118,quarterly event-study change relative to 2022Q2,1504,12614,0.005924699497190718,0.001413332511196228,2.781824252351406e-05,2021Q2,raw
dy,formula_induced_overall_star_loss,2620,quarterly event-study change relative to 2022Q2,1504,1116,0.004412616286329396,0.002486102091076174,0.07602833309419643,2021Q2,matched
dy,formula_induced_overall_star_loss,14155,quarterly event-study change relative to 2022Q2,1502,12653,0.002661394784410245,0.0017457182819684228,0.1273994427136318,2021Q3,raw
dy,formula_induced_overall_star_loss,2613,quarterly event-study change relative to 2022Q2,1502,1111,0.002340055547846222,0.003135976243920287,0.45561569656901524,2021Q3,matched
dy,formula_induced_overall_star_loss,14041,quarterly event-study change relative to 2022Q2,1491,12550,0.0010720784104876768,0.0017466890766890733,0.5393723288636363,2021Q4,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1491,1121,0.007416380355197245,0.0024999671377425583,0.0030385474153291625,2021Q4,matched
dy,formula_induced_overall_star_loss,14228,quarterly event-study change relative to 2022Q2,1521,12707,-0.0025686076978528025,0.0012382768938609201,0.03806565610907087,2022Q1,raw
dy,formula_induced_overall_star_loss,2625,quarterly event-study change relative to 2022Q2,1521,1104,-0.003689143605317175,0.002611620068721217,0.15789548649189222,2022Q1,matched
dy,formula_induced_overall_star_loss,14439,quarterly event-study change relative to 2022Q2,1521,12918,0.0,0.0,,2022Q2,raw
dy,formula_induced_overall_star_loss,2650,quarterly event-study change relative to 2022Q2,1521,1129,0.0,0.0,,2022Q2,matched
dy,formula_induced_overall_star_loss,14211,quarterly event-study change relative to 2022Q2,1504,12707,0.001779666152151322,0.001787708793494984,0.31950953963156614,2022Q3,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1504,1108,0.0014157670418628488,0.002817060122767794,0.6153097409334922,2022Q3,matched
dy,formula_induced_overall_star_loss,14193,quarterly event-study change relative to 2022Q2,1496,12697,0.0007783568834928817,0.0014622200579956772,0.5945184456796477,2022Q4,raw
dy,formula_induced_overall_star_loss,2610,quarterly event-study change relative to 2022Q2,1496,1114,0.00280457574310054,0.002641596639645406,0.2884714768024219,2022Q4,matched
dy,formula_induced_overall_star_loss,14163,quarterly event-study change relative to 2022Q2,1493,12670,0.007636908387297867,0.0018658652668797763,4.2826639599757854e-05,2023Q1,raw
dy,formula_induced_overall_star_loss,2607,quarterly event-study change relative to 2022Q2,1493,1114,0.00924774274241146,0.0026546778960970163,0.0005029425059976944,2023Q1,matched
dy,formula_induced_overall_star_loss,14036,quarterly event-study change relative to 2022Q2,1479,12557,0.0054767197584187416,0.0014958725210762005,0.0002519379055383464,2023Q2,raw
dy,formula_induced_overall_star_loss,2582,quarterly event-study change relative to 2022Q2,1479,1103,0.0032642745601502736,0.002664305323620929,0.22061628241490316,2023Q2,matched
dy,formula_induced_overall_star_loss,14040,quarterly event-study change relative to 2022Q2,1473,12567,0.006971876709602556,0.0018347300985042444,0.00014533824902396297,2023Q3,raw
dy,formula_induced_overall_star_loss,2576,quarterly event-study change relative to 2022Q2,1473,1103,0.0034239455284223513,0.003289472869784281,0.2980291411365896,2023Q3,matched
dy,formula_induced_overall_star_loss,14024,quarterly event-study change relative to 2022Q2,1477,12547,0.008195664063975592,0.0016568824828418296,7.646005977246517e-07,2023Q4,raw
dy,formula_induced_overall_star_loss,2578,quarterly event-study change relative to 2022Q2,1477,1101,0.004730041303310201,0.0030509920346144612,0.12118542027474644,2023Q4,matched
dy,formula_induced_overall_star_loss,13947,quarterly event-study change relative to 2022Q2,1487,12460,-0.11643952716641497,0.01833236970933878,2.1972468289277458e-10,2019Q1,raw
dy,formula_induced_overall_star_loss,2586,quarterly event-study change relative to 2022Q2,1487,1099,-0.10212244187733625,0.02779996324729509,0.00024413350355567687,2019Q1,matched
dy,formula_induced_overall_star_loss,13962,quarterly event-study change relative to 2022Q2,1481,12481,-0.09236222737467303,0.017211878295083163,8.170116738703825e-08,2019Q2,raw
dy,formula_induced_overall_star_loss,2570,quarterly event-study change relative to 2022Q2,1481,1089,-0.09375153320615962,0.026699030558058747,0.0004534011316483788,2019Q2,matched
dy,formula_induced_overall_star_loss,13984,quarterly event-study change relative to 2022Q2,1493,12491,-0.08221141186559291,0.017254948283710256,1.912140261017825e-06,2019Q3,raw
dy,formula_induced_overall_star_loss,2591,quarterly event-study change relative to 2022Q2,1493,1098,-0.06047905522126848,0.027526868294920466,0.02810220580124878,2019Q3,matched
dy,formula_induced_overall_star_loss,14029,quarterly event-study change relative to 2022Q2,1494,12535,-0.09126067771299712,0.017082440229019332,9.317343652170962e-08,2019Q4,raw
dy,formula_induced_overall_star_loss,2602,quarterly event-study change relative to 2022Q2,1494,1108,-0.05866474593392998,0.02663094409775816,0.02769071734633033,2019Q4,matched
dy,formula_induced_overall_star_loss,11343,quarterly event-study change relative to 2022Q2,1240,10103,-0.06866585709922904,0.0197142994460123,0.000497608207331135,2020Q1,raw
dy,formula_induced_overall_star_loss,2123,quarterly event-study change relative to 2022Q2,1240,883,-0.052195180164712834,0.03186166911324281,0.10153227177291724,2020Q1,matched
dy,formula_induced_overall_star_loss,13930,quarterly event-study change relative to 2022Q2,1483,12447,-0.059583083969069806,0.018109708472350272,0.0010039398585495185,2020Q2,raw
dy,formula_induced_overall_star_loss,2581,quarterly event-study change relative to 2022Q2,1483,1098,-0.07073890704307373,0.027355121257386823,0.009765525164539879,2020Q2,matched
dy,formula_induced_overall_star_loss,13985,quarterly event-study change relative to 2022Q2,1493,12492,-0.04978937079783749,0.017737058393468123,0.005006175786767653,2020Q3,raw
dy,formula_induced_overall_star_loss,2593,quarterly event-study change relative to 2022Q2,1493,1100,-0.0672996585534548,0.027803079096872105,0.015563977459384093,2020Q3,matched
dy,formula_induced_overall_star_loss,13903,quarterly event-study change relative to 2022Q2,1486,12417,-0.07190562785995366,0.018947835270682657,0.00014831425036709867,2020Q4,raw
dy,formula_induced_overall_star_loss,2590,quarterly event-study change relative to 2022Q2,1486,1104,-0.07857533589479407,0.027682169885521957,0.004568209686741209,2020Q4,matched
dy,formula_induced_overall_star_loss,14101,quarterly event-study change relative to 2022Q2,1503,12598,-0.023261702820460806,0.01582713491732013,0.1416557041894584,2021Q1,raw
dy,formula_induced_overall_star_loss,2619,quarterly event-study change relative to 2022Q2,1503,1116,-0.052903327878140394,0.025304868096981705,0.036656746513958005,2021Q1,matched
dy,formula_induced_overall_star_loss,14118,quarterly event-study change relative to 2022Q2,1504,12614,-0.02444413232915814,0.016092150370354375,0.12878245289336587,2021Q2,raw
dy,formula_induced_overall_star_loss,2620,quarterly event-study change relative to 2022Q2,1504,1116,-0.055842760144676054,0.024067267997146563,0.020402337033670337,2021Q2,matched
dy,formula_induced_overall_star_loss,14155,quarterly event-study change relative to 2022Q2,1502,12653,-0.015783501607646994,0.01623678392494009,0.3310258721149488,2021Q3,raw
dy,formula_induced_overall_star_loss,2613,quarterly event-study change relative to 2022Q2,1502,1111,-0.04760664178859685,0.02447404411529218,0.05185944196870684,2021Q3,matched
dy,formula_induced_overall_star_loss,14041,quarterly event-study change relative to 2022Q2,1491,12550,-0.004408893391669874,0.016221598608933904,0.7857863012102995,2021Q4,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1491,1121,-0.09046061249343265,0.022095947773663183,4.368932094389599e-05,2021Q4,matched
dy,formula_induced_overall_star_loss,14228,quarterly event-study change relative to 2022Q2,1521,12707,0.0783298327800666,0.012201937867098219,1.4109668988737667e-10,2022Q1,raw
dy,formula_induced_overall_star_loss,2625,quarterly event-study change relative to 2022Q2,1521,1104,0.04845713367011705,0.020225134904420065,0.016649881307336134,2022Q1,matched
dy,formula_induced_overall_star_loss,14439,quarterly event-study change relative to 2022Q2,1521,12918,0.0,0.0,,2022Q2,raw
dy,formula_induced_overall_star_loss,2650,quarterly event-study change relative to 2022Q2,1521,1129,0.0,0.0,,2022Q2,matched
dy,formula_induced_overall_star_loss,14211,quarterly event-study change relative to 2022Q2,1504,12707,-0.04339140087337964,0.013311166348758483,0.0011176312316729664,2022Q3,raw
dy,formula_induced_overall_star_loss,2612,quarterly event-study change relative to 2022Q2,1504,1108,-0.044160142392182286,0.020959228364762283,0.03521670534236865,2022Q3,matched
dy,formula_induced_overall_star_loss,14193,quarterly event-study change relative to 2022Q2,1496,12697,-0.07018665197491276,0.013905378236008018,4.5329752040856874e-07,2022Q4,raw
dy,formula_induced_overall_star_loss,2610,quarterly event-study change relative to 2022Q2,1496,1114,-0.06629828783567639,0.02217144213901991,0.0028135083973936936,2022Q4,matched
dy,formula_induced_overall_star_loss,14163,quarterly event-study change relative to 2022Q2,1493,12670,-0.10353350569456587,0.01596421121356305,9.146261525927457e-11,2023Q1,raw
dy,formula_induced_overall_star_loss,2607,quarterly event-study change relative to 2022Q2,1493,1114,-0.10863290797700839,0.022755265947281295,1.9062377554224241e-06,2023Q1,matched
dy,formula_induced_overall_star_loss,14036,quarterly event-study change relative to 2022Q2,1479,12557,-0.10329398428412678,0.01593936829476633,9.45135081309445e-11,2023Q2,raw
dy,formula_induced_overall_star_loss,2582,quarterly event-study change relative to 2022Q2,1479,1103,-0.08934646072260595,0.02421805331156632,0.000229564620929823,2023Q2,matched
dy,formula_induced_overall_star_loss,14040,quarterly event-study change relative to 2022Q2,1473,12567,-0.11939058940971937,0.016495252850275078,4.793943020331426e-13,2023Q3,raw
dy,formula_induced_overall_star_loss,2576,quarterly event-study change relative to 2022Q2,1473,1103,-0.08379370051571883,0.025678901386722536,0.0011162825032100532,2023Q3,matched
dy,formula_induced_overall_star_loss,14024,quarterly event-study change relative to 2022Q2,1477,12547,-0.13114617450974683,0.016949129186804895,1.0880185641326534e-14,2023Q4,raw
dy,formula_induced_overall_star_loss,2578,quarterly event-study change relative to 2022Q2,1477,1101,-0.10171812255099004,0.026127532403390802,0.00010146826290236,2023Q4,matched
