outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,diagnostic,sample_definition
pre_contract_share_total_hours,205,10,0,1497,-0.02923370722397149,0.012370294172332529,0.018244527158781887,0.06383829516847724,0.05127604378720006,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,205,10,0,1497,-7.852446826473974,6.94782840054336,0.25857281549337574,82.83103374727416,77.59143113128661,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,205,10,0,1497,-0.02394645803455304,0.02054162080710492,0.2439004840384642,0.7179516008999071,0.70553195938148,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,205,20,0,2740,-0.01677192329439579,0.00945702613905803,0.07625907865563497,0.04814756671899529,0.044067868325294066,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,205,20,0,2740,-0.4360700056542861,0.2458826796155043,0.07625907865563275,1.2518367346938775,1.1457645764576456,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,205,20,0,2740,-0.0021068024728280576,0.0028394704071763206,0.458169068246576,0.007856657851333982,0.00734346296550343,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,205,20,0,2740,-0.19310059906721241,0.2588876949435699,0.4558006123757363,0.7161904761904762,0.6691969196919693,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,205,20,0,2740,0.04521270607310042,0.04201642572356875,0.2819898612792202,2.8072534031475027,2.945263062266572,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,205,20,0,2740,0.045906853404913836,0.04255305465906292,0.2807655165601588,2.9613618461427005,3.104622025368586,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,205,20,0,2740,0.026380193786361365,0.04264592141923367,0.5362402528197743,2.580654960242892,2.7101229949010555,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,205,20,0,2740,0.03051623890980098,0.012740231398123133,0.01667517061983048,0.18691445702721793,0.2151950713626624,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,205,20,0,2740,-0.0011337459301363508,0.0011341623453635433,0.317576621832691,0.2475363592403946,0.2477938843343288,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,205,20,0,2740,-0.015821069546159323,0.008004785124355438,0.04820394541262374,0.06619420451673845,0.05579217484158037,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,205,20,0,2740,-3.5164314281953617,4.102801550802346,0.39147543126165774,84.0808672116933,76.50035348122591,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,205,20,0,2740,-0.007274384290351548,0.013215640212487013,0.5820642524873942,0.7191362173167197,0.7065660283976107,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,255,10,0,1237,-0.04508661975893851,0.016089417594158977,0.005154126579347107,0.04313407476058078,0.03788036501162347,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,255,10,0,1237,-1.1722521137324027,0.41832485744816245,0.0051541265793502156,1.1214859437751004,0.9848894903022101,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,255,10,0,1237,-0.014930747042416138,0.006891587938949598,0.03046271070973039,0.008075541535468198,0.005994797281494934,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,255,10,0,1237,-1.361111419405626,0.6294705205256678,0.03078597991536003,0.7362784471218206,0.5469102390617954,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,255,10,0,1237,0.11625845771184738,0.07409124423104516,0.11687528428700711,3.127144724495066,3.2083600671993735,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,255,10,0,1237,0.08697602133618486,0.07614671529396079,0.25358586740263256,3.2915566478413543,3.3667278679312087,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,255,10,0,1237,0.15800574470109435,0.078335466878019,0.04390776213931624,2.8828972149883447,2.962276805191465,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,255,10,0,1237,0.05093158775655045,0.0232494394486075,0.028663186043554,0.24213218306784887,0.2520538915670045,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,255,10,0,1237,-0.0018413381809407573,0.00180177531229046,0.30700137891993307,0.24924199174565834,0.24950269364127597,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,255,10,0,1237,-0.03378761460870158,0.012823131211206137,0.008521804333929017,0.05730849486774182,0.047070659762440285,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,255,10,0,1237,10.823293615677148,5.584764026283418,0.05285082275793296,73.78402737669371,74.5602164603062,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,255,10,0,1237,0.013601174360732927,0.022059250053596557,0.537629140571126,0.729432001389325,0.7122521674705985,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,255,20,0,2367,-0.013220677474131127,0.009131443511665359,0.14780033451570462,0.04128297445129128,0.038282908704883226,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,255,20,0,2367,-0.3437376143274117,0.23741753130330354,0.14780033451570884,1.0733573357335733,0.995355626326964,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,255,20,0,2367,-0.0047067368696856356,0.0032627663103501677,0.14927692897140554,0.006782235000056782,0.0066259921268921555,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,255,20,0,2367,-0.4291005104363189,0.29803681744840643,0.15006870107438974,0.6179117911791179,0.6042993630573248,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,255,20,0,2367,0.012317806068453886,0.046644939425508895,0.7917444336058823,3.118984969539548,3.2468717504179097,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,255,20,0,2367,-0.0002960889122107925,0.04770800627003895,0.9950486662463227,3.281371787110004,3.4113545625744273,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,255,20,0,2367,0.02077994279612922,0.048736034936976175,0.6698717200316708,2.8858136979751072,2.999353197665923,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,255,20,0,2367,-0.007061327662074845,0.014616306836928437,0.6290602696767182,0.23417190911106264,0.2636169145714496,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,255,20,0,2367,-0.0008728809023334142,0.0011315852120773267,0.4405595331064638,0.2489339055702162,0.24957249352083763,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,255,20,0,2367,-0.0124523585754094,0.007998204366974116,0.1196295018900313,0.054992813313318005,0.046383036404634294,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,255,20,0,2367,3.430339424663559,3.524304010702454,0.3304849088781032,74.93635852556429,72.56026249349515,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,255,20,0,2367,-0.010418158689300702,0.013360850861773611,0.4356145798970752,0.7235460545233438,0.7176097836490379,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,320,10,0,786,-0.05079706364719724,0.025871640465893447,0.049950626088122396,0.042032967032967036,0.020686309103740298,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,320,10,0,786,-1.320723654827131,0.6726626521132322,0.04995062608812284,1.0928571428571427,0.5378440366972477,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,320,10,0,786,-0.008154148319523772,0.0062502290059728875,0.19240746587369562,0.006124076981219839,0.003663446054750403,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,320,10,0,786,-0.7467609148714143,0.5706181945157943,0.1910246855158122,0.5580952380952381,0.3333333333333333,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,320,10,0,786,0.2505108566732698,0.09903827634388655,0.011620049837801849,3.580321623104413,3.784394151864631,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,320,10,0,786,0.19368262310421278,0.11013933909108663,0.07904958677506402,3.7764104303497845,3.9751567836506423,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,320,10,0,786,0.2814053049405717,0.09980833497654698,0.004932140076111313,3.3017759426377777,3.483726962149944,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,320,10,0,786,0.12671988289364655,0.04052801748185107,0.0018330928893803833,0.3418965523408654,0.4461358428105565,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,320,10,0,786,0.003462538419899683,0.002439916815582879,0.15626204975830071,0.24695817674858453,0.2489789651331616,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,320,10,0,786,0.001407435943585059,0.012270620519314709,0.9087126303616513,0.04378849698122946,0.03639205840709266,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,320,10,0,786,11.959292018637223,5.411951369662142,0.027408519104632267,64.14569636126468,63.57970253396311,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,320,10,0,786,0.01559421887415871,0.02762035757562553,0.5725135605743423,0.7174707980613104,0.7322566103448501,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,320,20,0,1473,-0.034236523332440635,0.012759232035984804,0.007372348720997124,0.03406200591187186,0.024679928049941808,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,320,20,0,1473,-0.8901496066434575,0.33174003293560045,0.007372348720996236,0.8856121537086684,0.6416781292984869,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,320,20,0,1473,-0.0049923813220404,0.0032885778944969743,0.12920503409168305,0.005083495689918349,0.004555891383832296,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,320,20,0,1473,-0.45631712899935417,0.29957869548918287,0.1279248587543338,0.46358355674709567,0.41448876662081613,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,320,20,0,1473,0.16548206607517796,0.06747941673307181,0.01430893223935148,3.5581652137101676,3.8366914553016005,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,320,20,0,1473,0.13780565301806136,0.07231870766812115,0.056905934415483195,3.745615919608951,4.033928977343389,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,320,20,0,1473,0.18175921963309066,0.06854929247846649,0.008099432424590436,3.291297103419286,3.5282299759450595,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,320,20,0,1473,0.1197296584187309,0.030754136462380746,0.00010339762556244025,0.35714414726532934,0.46503045591105924,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,320,20,0,1473,0.003264119629396888,0.0014152500640394789,0.021227422388145234,0.24751775480311092,0.24887114195163398,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,320,20,0,1473,-0.003206479124444634,0.00859434211213682,0.7091339009408846,0.04488942501567611,0.03815665519564084,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,320,20,0,1473,5.7468212089645805,4.110381696496623,0.1622870362903841,67.28956496488405,63.065640326333465,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,320,20,0,1473,0.022906331248909305,0.018766085132469575,0.22242435928984716,0.718258424825642,0.7345066714285919,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
