source_name,agency_or_owner,source_type,URL_or_access_path,access_date,years_covered,geography,unit,row_count,column_count,checksum_if_possible,license_or_access_note,status,caveats
Indiana CCBHC page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Indiana_CCBHC_page.html,2026-07-07,,US/state,policy source,,,3c731b54e865f0b92f325638f6440b81c0e165e4c4cf9c776aad67eeb8abe7c7,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
Iowa CCBHC page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Iowa_CCBHC_page.html,2026-07-07,,US/state,policy source,,,6b063b93a697cb446d550ec7973c40d4c5f9e6522889bbcaadae6c25a25084be,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
Maine CCBHC page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Maine_CCBHC_page.html,2026-07-07,,US/state,policy source,,,aefc7b190cba84d8c21c94b2a36504e8b2f90053f2845b7573028c813af70d53,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
New Hampshire CCBHC page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\New_Hampshire_CCBHC_page.html,2026-07-07,,US/state,policy source,,,,public web source,failed: 403 Client Error: Forbidden for url: https://www.dhhs.nh.gov/programs-services/health-care/behavioral-health/certified-community-behavioral-health-clinics,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
Rhode Island CCBHC page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Rhode_Island_CCBHC_page.html,2026-07-07,,US/state,policy source,,,f62b5b756e7d876dd2a900038665ec5e5c5c51f7d39e5f498067203d01f192f4,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
N-SUMHSS 2021 csv,SAMHSA,public-use file,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\raw_downloads\N-SUMHSS-2021-DS0001-bndl-data-csv_v2.zip,2026-07-07,2021,US states; county suppressed in PUF,facility,32371,835,360b8c9619783496416cf7892be4a4c393c0c53cd971dba4c1dfaad09d8245b6,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2021 codebook,SAMHSA,codebook,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\N-SUMHSS-2021-DS0001-info-codebook.pdf,2026-07-07,2021,US states; county suppressed in PUF,facility,,,7d87539a1fbe0c6279d580426ae59ff05136569a1bbb66eff6435d0041b5efab,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2022 csv,SAMHSA,public-use file,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\raw_downloads\N-SUMHSS-2022-DS0001-bndl-data-csv_v1.zip,2026-07-07,2022,US states; county suppressed in PUF,facility,31010,892,e1cb9d5bf21f0043359a270dc335e4fead7308688a4e53b1c1313a22c0aa80d9,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2022 codebook,SAMHSA,codebook,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\N-SUMHSS-2022-DS0001-info-codebook.pdf,2026-07-07,2022,US states; county suppressed in PUF,facility,,,041f2aaf5f0acbecb6440c3dd31838e8b57d12908409e0edf24ba5f157fcf650,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2023 csv,SAMHSA,public-use file,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\raw_downloads\N-SUMHSS-2023-DS0001-bndl-data-csv_v1.zip,2026-07-07,2023,US states; county suppressed in PUF,facility,29113,891,e9e5d8c1eb9bf12823585860fd7b726464e15f0aaf27eedde89a12f0e84458ad,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2023 codebook,SAMHSA,codebook,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\N-SUMHSS-2023-DS0001-info-codebook_v1.pdf,2026-07-07,2023,US states; county suppressed in PUF,facility,,,f1d8abf03fdbdec33f3acc90f0f513a63ae8b0dff04fed2c31f426e315d16ed0,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2024 csv,SAMHSA,public-use file,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\raw_downloads\N-SUMHSS-2024-DS0001-bndl-data-csv_v1.zip,2026-07-07,2024,US states; county suppressed in PUF,facility,27957,966,8a3a81a49367bfaca14fef0415dac715f77f9cfe765eea1758bed2b1579cabe2,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
N-SUMHSS 2024 codebook,SAMHSA,codebook,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\N-SUMHSS-2024-DS0001-info-codebook_v1.pdf,2026-07-07,2024,US states; county suppressed in PUF,facility,,,f3acb7fdae2d02da2b04f5f7a43cb7c664463aa494fc24e7b4e55b8de2831e66,SAMHSA public-use file,cached,PUF includes state but no county/FIPS/address; county designs cannot use this file directly.
Census county covariates/population 2019-2024,US Census Bureau,API extract with population-estimates fallback,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\raw_downloads\acs_county_covariates_2019_2024.csv,2026-07-07,2019-2024,US county,county-year,12576,13,10bbc3dbd1759f5f27f4346dfa0ffb0df95f05126518de8530c675195b709d11,public API; cite Census ACS,downloaded,"ACS API required a key in this environment; fallback uses county population estimates for 2021-2024, with poverty/unemployment flagged missing."
TEDS-A admissions public-use files,SAMHSA,access record,https://www.samhsa.gov/data/data-we-collect/teds-treatment-episode-data-set/datafiles,2026-07-07,2019-2023 available; no 2024/2025 public file found,state,admission episode,,,,,documented_not_downloaded,"Not used in main models because no post-2024 public admissions file is available and TEDS-A is admission episodes, not people."
CDC WONDER mortality,CDC/NCHS,access record,https://wonder.cdc.gov/,2026-07-07,through 2023/2024 depending on database,county/state,death,,,,,documented_not_downloaded,Mortality is downstream and too slow for 2024 early capacity evaluation; no 2025 post period.
HRSA AHRF,HRSA,access record,https://data.hrsa.gov/topics/health-workforce/ahrf,2026-07-07,current and historical,county/state,county,,,,,documented_not_downloaded,Large multi-domain covariate source; ACS was used for first-pass covariates.
HRSA mental-health HPSA,HRSA,access record,https://data.hrsa.gov/topics/health-workforce/shortage-areas,2026-07-07,daily current snapshot,county/designation area,HPSA designation,,,,,documented_not_downloaded,Current HPSA status is useful for moderation but not a historical annual panel in this first build.
