download_priority_order,queue_role,country,wave,idno,requirement,source_profile,actual_member_name,variable_name,variable_role,raw_variable_label,has_value_labels,row_count,nonmissing_count,missing_count,distinct_nonmissing_count,duplicate_if_key_count,numeric_min,numeric_max,top_values,possible_missing_codes,detected_recall_period,detected_unit_or_scale,possible_skip_pattern,raw_profile_status,documentation_match_status,documentation_file_name,documentation_code_match,documentation_label_term_hits,documentation_context,mechanical_raw_check_decision,final_verification_decision,remaining_blocker,next_action
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit2.dta,totcons,,Total consumption per capita,0,4579,4579,0,4579,,7774.37,2.75009e+06,189285:1; 479622:1; 243663:1; 209184:1; 239830:1; 397996:1; 230543:1; 347115:1; 107183:1; 155932:1,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,consumption; capita,PRISE AND INCOME GENERATING ACTIVITIES 37 10 A: MEALS AWAY FROM HOME 44 B: FOOD CONSUMPTION AND EXPENDITURE 45 C: AGGREGATE FOOD CONSUMPTION 51 11 NON-FOOD EXPENDITURE 52 12 FOOD SECURITY 55 13 OTHER HOUSEHOLD INCOME 56 14 SAFETY NETS 58 15 A. ECONOMIC SHOCKS 60 B. DEATHS 61 C...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit2.dta,nfdfoth,,Expenditures on frequent non-food not mentioned elsewhere,0,4579,4579,0,1561,,0,512167,0:1626; 243.333:44; 608.333:42; 1216.67:39; 304.167:38; 202.778:34; 405.556:34; 121.667:33; 1000:27; 500:24,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,expenditures; non-food; mentioned,"ons to church, mosque, other religious group 429 Repairs of footwear 432 Health expenditures (excluding insurance) 430 Tailoring charges 417 laundry and dry cleaning 418 Bowls, glassware, plates, silverware, etc. 419 Cooking utensils (cookpots, stirring spoons and wisks, etc.)...",mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit2.dta,fdfishpr,,Fish and seafood auto-consumption,0,4579,4579,0,439,,0,829071,0:4064; 3476.19:6; 2593.56:6; 10428.6:5; 2436.58:4; 16740.6:4; 6952.38:4; 2780.95:3; 13035.7:3; 15642.9:3,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,fish; seafood,"this household practice any agricultural activity such as crop, livestock or fish farming AG2. Does a member of this household own land that was not cultivated AG3. AGRICULTURE QUESTIONNAIRE REQUIRED? YES.....1 NO.....2 YES.....1 NO.....2 YES.....1 NO.....2 VERSION 1 [DAY / MO...",mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit2.dta,fdothpr,,Food items not mentioned above auto-consumption,0,4579,4579,0,1338,,0,212140,0:2814; 312.857:25; 625.714:11; 31.2857:10; 62.5714:10; 70.5558:9; 104.286:9; 52.1429:9; 196.518:9; 166.857:8,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,food; items; mentioned; above,on 2 EDUCATION Section 3 LABOUR Section 4/4B HEALTH/ CHILD DEVT Section 10A/B/C FOOD EXPENDITURE Section 11 NON-FOOD EXPENDITURE Section 12 FOOD SECURITY Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 1...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit2.dta,fdrestby,,Food consumed in restaurants & canteens purchased,0,4579,4579,0,2585,,0,799115,0:861; 2607.14:51; 5214.29:36; 10428.6:24; 1303.57:23; 1738.1:23; 3650:18; 7821.43:15; 18250:13; 6517.86:13,,,,,value_profile_available_needs_documentation_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,food; consumed; purchased,on 2 EDUCATION Section 3 LABOUR Section 4/4B HEALTH/ CHILD DEVT Section 10A/B/C FOOD EXPENDITURE Section 11 NON-FOOD EXPENDITURE Section 12 FOOD SECURITY Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 1...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,value_profile,cons_agg_wave3_visit2.dta,ea,,Enumeration area,1,4579,4579,0,402,,0,7586,0=0. Moved:329; 634:37; 284:29; 1354:29; 18:29; 100:28; 156:26; 516:26; 526:26; 296:24,96; 998,,,,value_profile_available_needs_semantics_review,weak_label_term_found_needs_manual_confirmation,,,area,,mechanical_geography_profile_available_needs_linkage_policy,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,Confirm geography quality and CHIRPS/ERA5 linkage route.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,value_profile,HHTrack.dta,hhid,,HOUSEHOLD IDENTIFICATION,0,5000,5000,0,5000,,10001,370040,10001:1; 10002:1; 10003:1; 10004:1; 10005:1; 10006:1; 10007:1; 10008:1; 10009:1; 10010:1,,,,,value_profile_available_needs_documentation_review,documented_by_variable_code,PH_W3_Household_Quest.pdf,hhid,,"HHID [ __ / __ / __ / __ / __ / __ ] CONFIDENTIAL Federal Republic of Nigeria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS I",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_combined,,Combined Wave 1 & Wave 2 household weight (hhs interviewed in both W1 & W2,0,5000,4671,329,472,,680.218,37188.3,7421.49:20; 5234.34:20; 5177.78:20; 3545.94:20; 3393.41:20; 2274.39:20; 3001.86:20; 4400.15:20; 3963.53:20; 6107.8:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; weight; interviewed; both,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_w1_w2_w3,,"Combined Wave 1, 2, & 3 household weight (hhs interviewed in W1, W2, & W3)",0,5000,4407,593,460,,680.218,37188.3,7421.49:20; 5177.78:20; 3545.94:20; 6416.29:20; 4400.15:20; 6107.8:20; 2274.39:20; 3053.9:20; 2714.58:20; 4502.94:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; weight; interviewed,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_w1_w3,,Combined Wave 1 & Wave 3 household weight (hhs interviewed in both W1 & W3),0,5000,4533,467,464,,612.196,37188.3,4230.03:30; 2274.39:20; 6107.8:20; 7421.49:20; 3545.94:20; 5177.78:20; 4400.15:20; 3053.9:20; 6027.42:20; 2714.58:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; weight; interviewed; both,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_w1v1,,Wave 1 Visit 1 (PP) household weight,0,5000,4997,3,462,,612.196,33469.5,5177.78:30; 3489.78:30; 3223.74:30; 3263.76:20; 15206.8:20; 4864.22:20; 2416.3:20; 4400.15:20; 5666.4:20; 4972.62:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; visit; weight,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_w1v2,,Wave 1 Visit 2 (PH) household weight,0,5000,4917,83,469,,612.196,33469.5,3489.78:30; 5177.78:30; 3223.74:30; 7421.49:20; 10301.4:20; 4972.62:20; 6377.03:20; 4099.45:20; 2851.77:20; 1611.87:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; visit; weight,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,HHTrack.dta,wt_w2_w3,,Combined Wave 2 & Wave 3 household weight (hhs interviewed in both W2 & W3),0,5000,4448,552,459,,680.218,37188.3,3053.9:20; 4502.94:20; 2274.39:20; 4370.96:20; 7421.49:20; 4400.15:20; 6416.29:20; 3545.94:20; 2714.58:20; 4145.51:20,,,survey_weight,conditional_missingness,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,wave; weight; interviewed; both,"ria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS INFORMATION IS STRICTLY CONFIDENTIAL AND IS TO BE USED FOR STATISTICAL PURPOSES ONLY. SECTION A-1: HOUSEHOLD IDENTIFICATION FEBRUARY...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,value_profile,NGA_HouseholdGeovars_Y3.dta,LAT_DD_MOD,,EA Latitude (offset),0,4613,4613,0,669,,4.31579,13.7142,9.03429:10; 12.1412:10; 12.4205:10; 11.8719:10; 11.386:10; 11.8434:10; 12.5058:10; 12.536:10; 12.285:10; 5.09037:10,,,,,value_profile_available_needs_documentation_review,weak_label_term_found_needs_manual_confirmation,,,latitude,,mechanical_geography_profile_available_needs_linkage_policy,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,Confirm geography quality and CHIRPS/ERA5 linkage route.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,value_profile,NGA_HouseholdGeovars_Y3.dta,LON_DD_MOD,,EA Longitude (offset),0,4613,4613,0,669,,2.87948,13.6307,7.57819:10; 4.98389:10; 6.22865:10; 6.03096:10; 6.353:10; 7.07153:10; 6.58623:10; 6.78546:10; 6.58708:10; 7.36621:10,,,,,value_profile_available_needs_documentation_review,weak_label_term_found_needs_manual_confirmation,,,longitude,,mechanical_geography_profile_available_needs_linkage_policy,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,Confirm geography quality and CHIRPS/ERA5 linkage route.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,value_profile,sect10b_harvestw3.dta,hhid,,HOUSEHOLD IDENTIFICATION,0,531280,531280,0,4580,,10001,370040,10001:116; 10002:116; 10003:116; 10004:116; 10005:116; 10008:116; 10009:116; 10010:116; 10011:116; 10012:116,,,,,value_profile_available_needs_documentation_review,documented_by_variable_code,PH_W3_Household_Quest.pdf,hhid,,"HHID [ __ / __ / __ / __ / __ / __ ] CONFIDENTIAL Federal Republic of Nigeria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS I",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,value_profile,sect11a1_plantingw3.dta,hhid,,HOUSEHOLD IDENTIFICATION,0,5824,5824,0,2869,,10009,370040,90036:10; 50080:9; 70117:8; 90095:8; 300226:7; 70111:7; 300221:7; 70116:7; 50131:7; 310099:7,,,,,value_profile_available_needs_documentation_review,documented_by_variable_code,PH_W3_Household_Quest.pdf,hhid,,"HHID [ __ / __ / __ / __ / __ / __ ] CONFIDENTIAL Federal Republic of Nigeria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS I",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,value_profile,sect11a_plantingw3.dta,hhid,,HOUSEHOLD IDENTIFICATION,0,4611,4611,0,4611,,10001,370040,10001:1; 10002:1; 10003:1; 10004:1; 10005:1; 10006:1; 10008:1; 10009:1; 10010:1; 10011:1,,,,,value_profile_available_needs_documentation_review,documented_by_variable_code,PH_W3_Household_Quest.pdf,hhid,,"HHID [ __ / __ / __ / __ / __ / __ ] CONFIDENTIAL Federal Republic of Nigeria National Bureau of Statistics Abuja, Nigeria GENERAL HOUSEHOLD SURVEY-PANEL Wave 3 (2015/16) Post-Harvest Visit Household Questionnaire THIS I",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
