download_priority_order,queue_role,country,wave,idno,requirement,expected_file_name,expected_file_key,actual_member_name,actual_member_key,variable_name,metadata_variable_label,raw_variable_label,candidate_strength,raw_variable_present,value_scan_status,value_scan_error,row_count,nonmissing_count,missing_count,distinct_nonmissing_count,numeric_min,numeric_max,schema_evidence_status
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_a.NSDstat,sec_a.nsdstat,sec_a.dta,sec_a.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,11280,11280,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_aa.NSDstat,sec_aa.nsdstat,sec_aa.dta,sec_aa.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,11280,11280,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_aa.NSDstat,sec_aa.nsdstat,sec_aa.dta,sec_aa.dta,aa01,"Description of household's food consumption, over past month","Description of household's food consumption, over past month",,1,value_stats_scanned,,11280,11274,6,3,1,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_aa.NSDstat,sec_aa.nsdstat,sec_aa.dta,sec_aa.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,11280,11280,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_b.NSDstat,sec_b.nsdstat,sec_b.dta,sec_b.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,52707,52707,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,sec_c.NSDstat,sec_c.nsdstat,sec_c.dta,sec_c.dta,c14,In which calendar year did you begin school for 1st time?,In which calendar year did you begin school for 1st time?,,1,value_stats_scanned,,52707,32605,20102,89,5,2005,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,sec_c.NSDstat,sec_c.nsdstat,sec_c.dta,sec_c.dta,c16,Did you attend school in the last completed academic year?,Did you attend school in the last completed academic year?,,1,value_stats_scanned,,52707,32750,19957,2,1,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d13,How much did you spend in the past 4 wks for medicine?,How much did you spend in the past 4 wks for medicine?,,1,value_stats_scanned,,51292,50844,448,83,0,3500,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d12,How much in total did you spend in the past 4 weeks for all,How much in total did you spend in the past 4 weeks for all,,1,value_stats_scanned,,51292,50854,438,220,0,12000,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d14,How much did you spend in the past 4 wks for nonprescription,How much did you spend in the past 4 wks for nonprescription,,1,value_stats_scanned,,51292,50572,720,171,0,14000,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d16,Total cost of your hospitalization or overnight stay,Total cost of your hospitalization or overnight stay,,1,value_stats_scanned,,51292,2036,49256,234,0,47000,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d19,What was the total cost of stay at the traditional healer?,What was the total cost of stay at the traditional healer?,,1,value_stats_scanned,,51292,418,50874,85,0,10000,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,add,Ag Development District,Ag Development District,,1,value_stats_scanned,,51292,51292,0,8,1,8,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,case_id,,,,1,value_stats_scanned,,51292,51292,0,11280,1.0101e+10,3.12021e+10,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d02,IS THE INFORMATION SELF REPORTED OR PROVIDED BY ANOTHER,IS THE INFORMATION SELF REPORTED OR PROVIDED BY ANOTHER,,1,value_stats_scanned,,51292,51103,189,3,1,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d03,Who is reporting the information for the individual,Who is reporting the information for the individual,,1,value_stats_scanned,,51292,20325,30967,17,0,18,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d04,During the past 2 weeks have you suffered an illness/injury,During the past 2 weeks have you suffered an illness/injury,,1,value_stats_scanned,,51292,50882,410,2,1,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05a,What was the illness or injury: Problem 1,What was the illness or injury: Problem 1,,1,value_stats_scanned,,51292,14129,37163,37,1,99,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05aoth,"D05A - Other response, illness or injury","D05A - Other response, illness or injury",,1,value_stats_scanned,,51292,51292,0,190,0,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05a,What was the illness or injury: Problem 1,What was the illness or injury: Problem 1,,1,value_stats_scanned,,51292,14129,37163,37,1,99,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05aoth,"D05A - Other response, illness or injury","D05A - Other response, illness or injury",,1,value_stats_scanned,,51292,51292,0,190,0,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05b,What was the illness or injury: Problem 2,What was the illness or injury: Problem 2,,1,value_stats_scanned,,51292,14295,36997,32,1,99,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d05both,"D05B - Other response, illness or injury","D05B - Other response, illness or injury",,1,value_stats_scanned,,51292,51292,0,42,,,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d27a,What illness do you suffer from: illness 1,What illness do you suffer from: illness 1,,1,value_stats_scanned,,51292,4854,46438,27,1,99,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d27b,What illness do you suffer from: illness 2,What illness do you suffer from: illness 2,,1,value_stats_scanned,,51292,5093,46199,20,1,99,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,sec_d.NSDstat,sec_d.nsdstat,sec_d.dta,sec_d.dta,d04,During the past 2 weeks have you suffered an illness/injury,During the past 2 weeks have you suffered an illness/injury,,1,value_stats_scanned,,51292,50882,410,2,1,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_f.NSDstat,sec_f.nsdstat,sec_f.dta,sec_f.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,52679,52679,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_f.NSDstat,sec_f.nsdstat,sec_f.dta,sec_f.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,52679,52679,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_f.NSDstat,sec_f.nsdstat,sec_f.dta,sec_f.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,52679,52679,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_g.NSDstat,sec_g.nsdstat,sec_g.dta,sec_g.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,11280,11280,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_g.NSDstat,sec_g.nsdstat,sec_g.dta,sec_g.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,11280,11280,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_g.NSDstat,sec_g.nsdstat,sec_g.dta,sec_g.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,11280,11280,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_h.NSDstat,sec_h.nsdstat,sec_h.dta,sec_h.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,67680,67680,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_h.NSDstat,sec_h.nsdstat,sec_h.dta,sec_h.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,67680,67680,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_h.NSDstat,sec_h.nsdstat,sec_h.dta,sec_h.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,67680,67680,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_i.NSDstat,sec_i.nsdstat,sec_i.dta,sec_i.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,1297199,1297199,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_i.NSDstat,sec_i.nsdstat,sec_i.dta,sec_i.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,1297199,1297199,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_i.NSDstat,sec_i.nsdstat,sec_i.dta,sec_i.dta,i03both,"I03B - Other response, UNIT of total consumption","I03B - Other response, UNIT of total consumption",,1,value_stats_scanned,,1297199,1297199,0,1007,0,812,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_i.NSDstat,sec_i.nsdstat,sec_i.dta,sec_i.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,1297199,1297199,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,67676,67676,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,67676,67676,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,add,Ag Development District,Ag Development District,,1,value_stats_scanned,,67676,67676,0,8,1,8,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,case_id,,,,1,value_stats_scanned,,67676,67676,0,11280,1.0101e+10,3.12021e+10,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,dist,DISTRICT,DISTRICT,,1,value_stats_scanned,,67676,67676,0,26,101,312,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,ea,Enumeration Area,Enumeration Area,,1,value_stats_scanned,,67676,67676,0,110,1,901,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,67676,67676,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,hhsize,"HH Size (based on hh members b08, see IHS2_individ.dta)","HH Size (based on hh members b08, see IHS2_individ.dta)",,1,value_stats_scanned,,67676,67676,0,19,1,27,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,hhwght,IHS2 HH weight,IHS2 HH weight,,1,value_stats_scanned,,67676,67676,0,30,90.5,358.7,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,j01a,Over the past one week did you purchase (item)?,Over the past one week did you purchase (item)?,,1,value_stats_scanned,,67676,67676,0,2,1,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,j02a,ITEM CODE,ITEM CODE,,1,value_stats_scanned,,67676,67676,0,6,101,106,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,j03a,How much did you pay in total ?,How much did you pay in total ?,,1,value_stats_scanned,,67676,23400,44276,245,0,12000,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_j1.NSDstat,sec_j1.nsdstat,sec_j1.dta,sec_j1.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,67676,67676,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_j2.NSDstat,sec_j2.nsdstat,sec_j2.dta,sec_j2.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,203040,203040,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_j2.NSDstat,sec_j2.nsdstat,sec_j2.dta,sec_j2.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,203040,203040,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_j2.NSDstat,sec_j2.nsdstat,sec_j2.dta,sec_j2.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,203040,203040,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_k.NSDstat,sec_k.nsdstat,sec_k.dta,sec_k.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,439920,439920,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_k.NSDstat,sec_k.nsdstat,sec_k.dta,sec_k.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,439920,439920,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_k.NSDstat,sec_k.nsdstat,sec_k.dta,sec_k.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,439920,439920,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_l.NSDstat,sec_l.nsdstat,sec_l.dta,sec_l.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,191760,191760,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_l.NSDstat,sec_l.nsdstat,sec_l.dta,sec_l.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,191760,191760,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_l.NSDstat,sec_l.nsdstat,sec_l.dta,sec_l.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,191760,191760,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_m1.NSDstat,sec_m1.nsdstat,sec_m1.dta,sec_m1.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,214319,214319,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_m1.NSDstat,sec_m1.nsdstat,sec_m1.dta,sec_m1.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,214319,214319,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_m1.NSDstat,sec_m1.nsdstat,sec_m1.dta,sec_m1.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,214319,214319,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_m2.NSDstat,sec_m2.nsdstat,sec_m2.dta,sec_m2.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,191760,191760,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_m2.NSDstat,sec_m2.nsdstat,sec_m2.dta,sec_m2.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,191760,191760,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,sec_m2.NSDstat,sec_m2.nsdstat,sec_m2.dta,sec_m2.dta,type,"EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted","EA Type: Major Urban,Boma/Large center, Small Urban,Rural,Gazetted",,1,value_stats_scanned,,191760,191760,0,5,1,5,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,sec_q1.NSDstat,sec_q1.nsdstat,sec_q1.dta,sec_q1.dta,q03,Which year did you join a tobacco club for the first time?,Which year did you join a tobacco club for the first time?,,1,value_stats_scanned,,11280,508,10772,23,1971,2004,raw_schema_variable_present_needs_unit_skip_review
