download_order,acquisition_batch_rank,batch_role,country,wave,idno,core_file_rank,metadata_file_name,metadata_file_description,candidate_categories,candidate_harmonized_variables,expected_local_name_patterns,current_receipt_status,file_acceptance_status,post_download_verification
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,11,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,sect8_3_ls_w5.dta;sect8_3_ls_w5.*;*sect8_3_ls_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,12,eth_householdgeovariables_y5.dta,Household geo-variables,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,eth_householdgeovariables_y5.dta;eth_householdgeovariables_y5.*;*eth_householdgeovariables_y5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,sect3_hh_w4.dta;sect3_hh_w4.*;*sect3_hh_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,2,sect5b2_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Value of financial assets owned privately or jointly.,demographics;geography;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,sect5b2_hh_w4.dta;sect5b2_hh_w4.*;*sect5b2_hh_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3,sect10c_hh_w4.dta,Land and dwelling assets - Individual disaggregated land ownership and right,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,sect10c_hh_w4.dta;sect10c_hh_w4.*;*sect10c_hh_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,4,sect8_2_ls_w4.dta,"Change in stock - Total number of livestock by type; stock changes over the year due to birth, purchase, gifts given or received, sale, loss, slaughter, etc.",consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,sect8_2_ls_w4.dta;sect8_2_ls_w4.*;*sect8_2_ls_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,5,sect8_3_ls_w4.dta,"Livestock Breeding, Health, Shelter, Water, and Feed - Livestock breeding methods and costs; livestock shelter type and feed type and sources; livestock treatments and treatment expenses.",geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,sect8_3_ls_w4.dta;sect8_3_ls_w4.*;*sect8_3_ls_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,6,sect8_4_ls_w4.dta,"Milk and Egg Production, Animal Power, and Dung - Quantity of milk and egg production; production, disposition and income from milk and egg production, income for other animal byproducts; Livestock use for transport, crop cultivation and harvesting; disposition of livestock dung.",geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,sect8_4_ls_w4.dta;sect8_4_ls_w4.*;*sect8_4_ls_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,7,sect9_ph_w4.dta,"Crop Harvest by Field - Harvest information for all crops: crop use, area harvested, amount harvested, and any damage to crops.",geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,sect9_ph_w4.dta;sect9_ph_w4.*;*sect9_ph_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,8,sect11_ph_w4.dta,Crop Disposition/ Sales - Information on crop disposition or sale.,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,sect11_ph_w4.dta;sect11_ph_w4.*;*sect11_ph_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,9,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each field.",geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;rural,sect3_pp_w4.dta;sect3_pp_w4.*;*sect3_pp_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,10,sect4_pp_w4.dta,Crop Roster - Crop planting and management information for each crop on each field.,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,sect4_pp_w4.dta;sect4_pp_w4.*;*sect4_pp_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,11,sect04_com_w4.dta,"Access to Basic Services - Transportation, markets, proximity to the nearest town and major urban centers, electrification, bank and microfinance institutions, piped water",demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,sect04_com_w4.dta;sect04_com_w4.*;*sect04_com_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,12,sect06_com_w4.dta,"Agriculture - Agricultural activities, including major crops, main planting and harvesting seasons, rain seasons, input use, agricultural extension, and irrigation",geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,sect06_com_w4.dta;sect06_com_w4.*;*sect06_com_w4*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,1,hh2_cmty,File contains data corresponding to R2 Community Questionnaire 2008,demographics;geography;health_need_access;shocks,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_sought;coping_borrowed;education;health_facility_distance;reason_not_sought_distance;rural;sex;shock_module_variable,hh2_cmty;hh2_cmty.*;hh2_cmty.dta;hh2_cmty.sav;hh2_cmty.por;hh2_cmty.sas7bdat;hh2_cmty.xpt;hh2_cmty.csv;*hh2_cmty*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,2,hh2p2_s10,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) R2, 2008 PART II (Section 10: Family and Social Capital)",demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;hhid;illness_or_injury_need;pid;psu_or_cluster_id;sex,hh2p2_s10;hh2p2_s10.*;hh2p2_s10.dta;hh2p2_s10.sav;hh2p2_s10.por;hh2p2_s10.sas7bdat;hh2p2_s10.xpt;hh2p2_s10.csv;*hh2p2_s10*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,3,hh2p2_s12,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) R2, 2008 PART II (Section 12: Marriage)",demographics;geography;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;sex,hh2p2_s12;hh2p2_s12.*;hh2p2_s12.dta;hh2p2_s12.sav;hh2p2_s12.por;hh2p2_s12.sas7bdat;hh2p2_s12.xpt;hh2p2_s12.csv;*hh2p2_s12*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,4,hh2p3_s15,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) R2, 2008 PART III (Section 15: Family Background)",demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,hh2p3_s15;hh2p3_s15.*;hh2p3_s15.dta;hh2p3_s15.sav;hh2p3_s15.por;hh2p3_s15.sas7bdat;hh2p3_s15.xpt;hh2p3_s15.csv;*hh2p3_s15*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,5,hh2p3_s17,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) R2, 2008 PART III (Section 17: Health and Fertility)",demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;shock_module_variable,hh2p3_s17;hh2p3_s17.*;hh2p3_s17.dta;hh2p3_s17.sav;hh2p3_s17.por;hh2p3_s17.sas7bdat;hh2p3_s17.xpt;hh2p3_s17.csv;*hh2p3_s17*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,6,hh3p3_s15,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) R3, 2009 PART III (Section 15: Family Background)",demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;coping_borrowed;education;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,hh3p3_s15;hh3p3_s15.*;hh3p3_s15.dta;hh3p3_s15.sav;hh3p3_s15.por;hh3p3_s15.sas7bdat;hh3p3_s15.xpt;hh3p3_s15.csv;*hh3p3_s15*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,7,p2_s9,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) 2008, PART II- Section 9: Education and Labor",demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,p2_s9;p2_s9.*;p2_s9.dta;p2_s9.sav;p2_s9.por;p2_s9.sas7bdat;p2_s9.xpt;p2_s9.csv;*p2_s9*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,8,p2_s10,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) 2008, PART II- Section 10: Family and Social Capital",demographics;health_expenditure;health_need_access;shocks;survey_design,age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;education;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance,p2_s10;p2_s10.*;p2_s10.dta;p2_s10.sav;p2_s10.por;p2_s10.sas7bdat;p2_s10.xpt;p2_s10.csv;*p2_s10*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,9,p2_s11,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) 2008, PART II- Section 11: Health and Fertility",demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;sex;shock_module_variable,p2_s11;p2_s11.*;p2_s11.dta;p2_s11.sav;p2_s11.por;p2_s11.sas7bdat;p2_s11.xpt;p2_s11.csv;*p2_s11*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,10,p2_s13,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM), 2007 PART II - Section 13: Marriage",demographics;geography;health_need_access;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;sex,p2_s13;p2_s13.*;p2_s13.dta;p2_s13.sav;p2_s13.por;p2_s13.sas7bdat;p2_s13.xpt;p2_s13.csv;*p2_s13*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,11,p2_s14a,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM) 2008, PART II- Section 14: Sexual Behavior",demographics;health_need_access;survey_design,age;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;sex,p2_s14a;p2_s14a.*;p2_s14a.dta;p2_s14a.sav;p2_s14a.por;p2_s14a.sas7bdat;p2_s14a.xpt;p2_s14a.csv;*p2_s14a*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,12,pi_s5a,"File contains data corresponding to MARRIAGE TRANSITIONS IN MALAWI (MTM), 2008 PARTNERSHIP INTERVIEWS (Section 5A)",demographics;health_need_access;survey_design,care_not_sought_reason;education;hhid;pid;reason_not_sought_cost;reason_not_sought_distance;sex,pi_s5a;pi_s5a.*;pi_s5a.dta;pi_s5a.sav;pi_s5a.por;pi_s5a.sas7bdat;pi_s5a.xpt;pi_s5a.csv;*pi_s5a*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,NGA_HouseholdGeovars_Y2,,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,NGA_HouseholdGeovars_Y2;NGA_HouseholdGeovars_Y2.*;NGA_HouseholdGeovars_Y2.dta;NGA_HouseholdGeovars_Y2.sav;NGA_HouseholdGeovars_Y2.por;NGA_HouseholdGeovars_Y2.sas7bdat;NGA_HouseholdGeovars_Y2.xpt;NGA_HouseholdGeovars_Y2.csv;*NGA_HouseholdGeovars_Y2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,2,sect6_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 6 (Non-Farm Enterprises and Income Generating Activities). The data also contains geographic area identification variables.",demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;sex;shock_module_variable,sect6_plantingw2;sect6_plantingw2.*;sect6_plantingw2.dta;sect6_plantingw2.sav;sect6_plantingw2.por;sect6_plantingw2.sas7bdat;sect6_plantingw2.xpt;sect6_plantingw2.csv;*sect6_plantingw2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,3,sect11b1_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11B1 (Land Inventory). The data also contains geographic area identification variables.",geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;pid;psu_or_cluster_id,sect11b1_plantingw2;sect11b1_plantingw2.*;sect11b1_plantingw2.dta;sect11b1_plantingw2.sav;sect11b1_plantingw2.por;sect11b1_plantingw2.sas7bdat;sect11b1_plantingw2.xpt;sect11b1_plantingw2.csv;*sect11b1_plantingw2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,4,sect11d_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11D (Fertilizer Acquisition). The data also contains geographic area identification variables.",geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,sect11d_plantingw2;sect11d_plantingw2.*;sect11d_plantingw2.dta;sect11d_plantingw2.sav;sect11d_plantingw2.por;sect11d_plantingw2.sas7bdat;sect11d_plantingw2.xpt;sect11d_plantingw2.csv;*sect11d_plantingw2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,5,sect11e_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11E (Seed Acquisition). The data also contains geographic area identification variables.",geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance,sect11e_plantingw2;sect11e_plantingw2.*;sect11e_plantingw2.dta;sect11e_plantingw2.sav;sect11e_plantingw2.por;sect11e_plantingw2.sas7bdat;sect11e_plantingw2.xpt;sect11e_plantingw2.csv;*sect11e_plantingw2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,6,sect11h_plantingw2,"Data collected using Post Planting Agriculture Questionnaire, Section 11H (Marketing). The data also contains geographic area identification variables.",geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,sect11h_plantingw2;sect11h_plantingw2.*;sect11h_plantingw2.dta;sect11h_plantingw2.sav;sect11h_plantingw2.por;sect11h_plantingw2.sas7bdat;sect11h_plantingw2.xpt;sect11h_plantingw2.csv;*sect11h_plantingw2*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
