acquisition_batch_rank,batch_role,country,survey_name,wave,idno,requirement_id,mapped_concepts,minimum_evidence,mapped_concept_gate_summary,raw_package_gate_status,climate_gate_status,current_requirement_gate,fill_evidence_file_or_module,fill_raw_variables_used,fill_value_label_pass,fill_unit_or_recall_pass,fill_merge_key_or_level_pass,fill_missing_skip_pattern_pass,fill_promote_requirement,review_notes
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,geography_climate_linkage,climate_geography,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,household_person_merge_keys,household_id;demographics,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_survey_design,survey_weight;psu_cluster;strata,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income_aggregate,total_consumption_or_income,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,oop_health_expenditure,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,illness_need_care_access,health_need;care_or_barrier;insurance,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified.",raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,survey_timing,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.,raw package absent,blocked_manual_raw_package_required,blocked_raw_timing_geography_not_verified_sources_ready,blocked_raw_package_required,,,,,,,,
