acquisition_batch_rank,batch_role,country,wave,idno,file_rank,file_name,local_target_folder,candidate_categories,candidate_harmonized_variables,download_priority_reason,expected_file_status,present_matching_files,current_file_gate_status,verification_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,11,sect11_com_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;education;psu_or_cluster_id;rural,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,12,eth_householdgeovariables_y5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,sect8_3_ls_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,2,sect10c_hh_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3,sect11_ph_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,4,sect04_com_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,5,sect06_com_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,6,sect3_pp_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;rural,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,7,sect5b2_hh_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,demographics;geography;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,8,sect4_pp_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,9,sect3_hh_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,10,sect8_2_ls_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,financial denominator; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,11,sect9_ph_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,12,sect8_4_ls_w4.dta,temp/raw_downloads/ETH_2018_ESS_v04_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,1,hh2_cmty,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;health_need_access;shocks,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_sought;coping_borrowed;education;health_facility_distance;reason_not_sought_distance;rural;sex;shock_module_variable,need/access; climate geography,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,2,pi_s5a,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;health_need_access;survey_design,care_not_sought_reason;education;hhid;pid;reason_not_sought_cost;reason_not_sought_distance;sex,need/access; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,3,p2_s14a,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;health_need_access;survey_design,age;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;sex,need/access; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,4,p2_s13,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;health_need_access;survey_design,admin1_or_admin2;age;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;reason_not_sought_cost;sex,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,5,p2_s10,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;health_expenditure;health_need_access;shocks;survey_design,age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;education;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance,OOP spending; need/access; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,6,p2_s11,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;sex;shock_module_variable,OOP spending; need/access; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,7,hh2p3_s17,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;health_expenditure;health_need_access;shocks;survey_design,age;asset_index_or_asset_variable;hhid;illness_or_injury_need;oop_health_expenditure;pid;shock_module_variable,OOP spending; need/access; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,8,hh3p3_s15,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;coping_borrowed;education;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,9,p2_s9,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,10,hh2p2_s10,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;hhid;illness_or_injury_need;pid;psu_or_cluster_id;sex,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,11,hh2p2_s12,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;pid;psu_or_cluster_id;sex,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,12,hh2p3_s15,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,secta1_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,2,sect11b1_plantingw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;pid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,3,sect11h_plantingw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,4,sect4a_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_sought;education;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;sex,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,5,secta3_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;hhid;psu_or_cluster_id,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,6,sect11d_plantingw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;pid;psu_or_cluster_id;reason_not_sought_distance,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,7,sect9_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;sex;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,8,sect11e_plantingw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,9,secta2_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,10,sect6_plantingw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;sex;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,11,NGA_HouseholdGeovars_Y2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,12,sect8_harvestw2,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,sect11b1_plantingw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2,secta3ii_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,3,secta1_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,4,secta11d_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;psu_or_cluster_id;reason_not_sought_distance,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,5,sect4a_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;care_sought;education;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,6,secta2_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,7,sect11f_plantingw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,8,secta3i_harvestw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;hhid;psu_or_cluster_id,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,9,sect11_plantingw3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;psu_or_cluster_id,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,10,NGA_HouseholdGeovars_Y3,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
