download_priority_order,queue_role,country,wave,idno,survey_name,requirement,requirement_role,candidate_variable_rows,candidate_file_rows,required_checks,raw_package_status,archive_preflight_status,current_receipt_status,current_verification_status,fill_package_file_or_archive,fill_archive_member_or_direct_file,fill_documentation_file,fill_checksum_verified,fill_ready_for_raw_value_review,fill_receipt_accepted,review_notes
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,weights_and_design,survey_design_gate,12,12,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,consumption_or_income,financial_denominator_gate,12,3,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,oop_health_expenditure,financial_outcome_gate,12,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,health_need_and_access,access_outcome_gate,12,2,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,survey_timing,climate_timing_gate,12,7,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,climate_geography,climate_geography_gate,12,12,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",household_person_keys,merge_key_gate,12,12,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",weights_and_design,survey_design_gate,12,4,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",consumption_or_income,financial_denominator_gate,12,4,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",oop_health_expenditure,financial_outcome_gate,6,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",health_need_and_access,access_outcome_gate,12,3,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",survey_timing,climate_timing_gate,12,1,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",climate_geography,climate_geography_gate,12,5,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",household_person_keys,merge_key_gate,12,12,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",weights_and_design,survey_design_gate,12,5,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",consumption_or_income,financial_denominator_gate,12,3,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",oop_health_expenditure,financial_outcome_gate,6,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",health_need_and_access,access_outcome_gate,12,2,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",survey_timing,climate_timing_gate,12,1,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",climate_geography,climate_geography_gate,12,6,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",household_person_keys,merge_key_gate,12,12,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",weights_and_design,survey_design_gate,12,8,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",consumption_or_income,financial_denominator_gate,12,2,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",oop_health_expenditure,financial_outcome_gate,5,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",health_need_and_access,access_outcome_gate,12,3,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",survey_timing,climate_timing_gate,12,2,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",climate_geography,climate_geography_gate,12,3,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",household_person_keys,merge_key_gate,12,11,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",weights_and_design,survey_design_gate,12,7,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",consumption_or_income,financial_denominator_gate,12,3,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",oop_health_expenditure,financial_outcome_gate,12,2,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",health_need_and_access,access_outcome_gate,12,2,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",survey_timing,climate_timing_gate,12,5,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",climate_geography,climate_geography_gate,12,9,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",household_person_keys,merge_key_gate,12,11,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",weights_and_design,survey_design_gate,12,11,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",consumption_or_income,financial_denominator_gate,12,3,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",oop_health_expenditure,financial_outcome_gate,8,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",health_need_and_access,access_outcome_gate,12,6,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",survey_timing,climate_timing_gate,12,6,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",climate_geography,climate_geography_gate,12,6,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",household_person_keys,merge_key_gate,12,11,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",weights_and_design,survey_design_gate,12,6,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",consumption_or_income,financial_denominator_gate,12,2,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",oop_health_expenditure,financial_outcome_gate,12,1,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",health_need_and_access,access_outcome_gate,12,6,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",survey_timing,climate_timing_gate,12,5,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",climate_geography,climate_geography_gate,12,5,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,blocked_no_original_package,,,,,,,
