acquisition_batch_rank,batch_role,campaign_phase,threshold_role,country,wave,idno,requirement_id,mapped_concepts,selected_concepts,selected_variable_rows,missing_concepts,current_requirement_gate,raw_receipt_status,first_pass_requirement_status,post_download_requirement_action
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,survey_timing,survey_timing,survey_timing,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,16,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_merge_keys,household_id;demographics,household_id;demographics,3,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,survey_timing,survey_timing,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,13,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_merge_keys,household_id;demographics,household_id;demographics,3,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,survey_timing,survey_timing,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,13,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_merge_keys,household_id;demographics,household_id;demographics,3,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,survey_timing,survey_timing,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,13,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,household_person_merge_keys,household_id;demographics,household_id;demographics,3,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,survey_timing,survey_timing,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,15,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_merge_keys,household_id;demographics,household_id;demographics,4,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,survey_timing,survey_timing,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,16,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
9,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_merge_keys,household_id;demographics,household_id;demographics,4,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
9,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
9,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
9,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
