threshold_sequence_rank,country,wave,idno,catalog_id,file_id,file_name,file_description,case_quantity,variable_quantity,priority_core_target,current_receipt_status,source_saved_path,post_download_review_action
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F34,sect02_com_w5.dta,Community - Roster of informants,2335,19,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F35,sect03_com_w5.dta,Community - Community basic information/ demographics,433,36,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,433,106,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F37,sect05_com_w5.dta,Community - Economic activities and employment,433,27,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F38,sect06_com_w5.dta,Community - Agriculture,433,69,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F39,sect07_com_w5.dta,Community - Changes and events,668,18,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F40,sect08_com_w5.dta,Community - Community needs,4763,34,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F41,sect09_com_w5.dta,Community - Productive safety net program,433,26,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F42,sect10a_com_w5.dta,Community - Market prices: market location,433,19,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F43,sect10b_com_w5.dta,Community - Prices in market,27155,16,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F44,sect11_com_w5.dta,Community - Agriculture mechanization,3464,43,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F45,sect12_com_w5.dta,Community - Virtual/video extension services,433,15,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,2110,29,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F47,sect1_pp_w5.dta,Post-planting - Household roster,12117,23,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,6594,54,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F49,sect3_pp_w5.dta,Post-planting - Field roster,14878,145,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,14239,62,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F51,sect5_pp_w5.dta,Post-planting - Seed acquisition,7733,36,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F52,sect7_pp_w5.dta,Post-planting - Holder questions,2110,88,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F53,sect9a_pp_w5.dta,Post-planting - Crop cut by field (for specified fields and crops only),14239,26,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,1596,28,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F55,sect1_ph_w5.dta,Post-harvest - Household roster,9058,21,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F56,sect9_ph_w5.dta,Post-harvest - Harvest by field,13772,48,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F57,sect10_ph_w5.dta,Post-harvest - Harvest labor,13608,59,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F58,sect11_ph_w5.dta,Post-harvest - Crop utilization,7534,75,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F59,sect_cover_ls_w5.dta,Livestock - Cover page,2110,29,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F60,sect8_1_ls_w5.dta,Livestock - Livestock inventory and ownership,31776,25,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F61,sect8_2_ls_w5.dta,Livestock - Livestock change,28400,36,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10650,81,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F63,sect8_4_ls_w5.dta,"Livestock - Milk and egg production, animal power, and dung",28400,42,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F64,eth_householdgeovariables_y5.dta,Household geo-variables,4890,52,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F65,eth_plotgeovariables_y5.dta,Plot geo-variables,4890,52,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,4959,22,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F67,crop_cf_wave5.dta,Crop unit of measurement conversion factor data,1175,12,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F68,food_cf_wave5.dta,Food item unit of measurement conversion factor data,1269,13,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F1,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",6770,20,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F2,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",29503,42,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F3,sect2_hh_w4.dta,"Education - Educational attainment, enrollment, attendance, school characteristics, and expenditures for the 2018‒19 academic year.",29503,39,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F4,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",29503,69,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F5,sect4_hh_w4.dta,"Labor and time use - Time use, labor market participation in the last 7 days and the last 12 months, unpaid apprenticeship, temporary absence, job search, casual or temporary work participation, participation in food for work/ public works programs, and contribution of free labor to community activities.",29503,82,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F6,sect5a_hh_w4.dta,"Banking and financial inclusion - Saving, financial literacy, insurance, and financial practices.",29503,84,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F7,sect5b1_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Ownership of financial asset accounts (exclusively and jointly).,74550,17,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F8,sect5b2_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Value of financial assets owned privately or jointly.,6433,37,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F9,sect6a_hh_w4.dta,"Food consumption, last 7 days - Household food consumption (quantity and value) in the last 7 days and source of foods consumed by the household from a subset list of food items.",494210,28,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F10,sect6b1_hh_w4.dta,"Food aggregate, last 7 days - Summary on consumption of food in the last 7 days. Dietary diversification.",108320,15,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F11,sect6b2_hh_w4.dta,"Meals shared with non-household members, last 7 days - Meal sharing with non-household members (number of persons and meals shared).",6770,13,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
