acquisition_batch_rank,batch_role,country,wave,idno,gate,status,evidence,required_action
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=90; ddi_matches=89; file_matches=89; no_matches=1,
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=104; core_files=12; target_folder=temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,manual_variable_verification,fail,variables_passed=0/90,Manually verify selected raw variables before harmonization recipe review.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=gps_or_cluster_if_raw_verified_else_admin_fallback,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=67; ddi_matches=66; file_matches=66; no_matches=1,
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=99; core_files=12; target_folder=temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,manual_variable_verification,fail,variables_passed=0/67,Manually verify selected raw variables before harmonization recipe review.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=cluster_or_household_point_if_coordinates_pass_quality_checks,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=105; ddi_matches=104; file_matches=104; no_matches=1,
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=61; core_files=12; target_folder=temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,manual_variable_verification,fail,variables_passed=0/105,Manually verify selected raw variables before harmonization recipe review.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=cluster_or_household_point_if_coordinates_pass_quality_checks,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=91; ddi_matches=90; file_matches=90; no_matches=1,
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=95; core_files=12; target_folder=temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,manual_variable_verification,fail,variables_passed=0/91,Manually verify selected raw variables before harmonization recipe review.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=gps_or_cluster_if_raw_verified_else_admin_fallback,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
