acquisition_batch_rank,batch_role,country,wave,idno,file_rank,expected_file_name,coverage_status,verification_action
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,4,sect4a_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,5,secta3_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,6,sect11d_plantingw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,7,sect9_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,8,sect11e_plantingw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,9,secta2_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,10,sect6_plantingw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,11,NGA_HouseholdGeovars_Y2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,12,sect8_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,sect11b1_plantingw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2,secta3ii_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,3,secta1_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,4,secta11d_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,5,sect4a_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,6,secta2_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,7,sect11f_plantingw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,8,secta3i_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,9,sect11_plantingw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,10,NGA_HouseholdGeovars_Y3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,11,sect11e_plantingw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,12,sect1_harvestw3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,secta1_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,2,sect11h_plantingw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,3,sect11c_plantingw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,4,sect11b_plantingw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,5,secta3_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,6,sect11e_plantingw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,7,sect4a_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,8,sect8_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,9,secta2_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,10,sect11d_plantingw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,11,NGA_HouseholdGeovariables_Y1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,12,sect1_harvestw1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,1,SEC_3A_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,2,SEC_3B_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,3,SEC_B_C_D_E1_F_G1_U_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,4,HH.Geovariables_Y1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,5,SEC_4A_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,6,SEC_A_T_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,7,SEC_H1_J_K2_O2_P1_Q1_S1_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,8,TZY1.HH.Consumption,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,9,SEC_S2_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,10,SECTCEFG,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,11,SEC_P2_English_Labels,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,12,SECTCH,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1,AG_SEC3A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,2,AG_SEC3B,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,3,HH.Geovariables_Y2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,4,TZY1.HH.Consumption,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,5,HH_SEC_D,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,6,TZY2.HH.Consumption,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,7,COMSEC_CD,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,8,COMSEC_CE,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,9,COMSEC_CI,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,10,HH_SEC_B,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,11,COMSEC_CJ,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,12,AG_SEC2A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,AG_SEC_3A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2,AG_SEC_3B,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,3,HouseholdGeovars_Y3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,4,AG_SEC_5A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,5,AG_SEC_5B,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,6,COM_SEC_CE,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,7,AG_SEC_4A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,8,AG_SEC_4B,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,9,COM_SEC_CF_ID,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,10,HH_SEC_A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,11,HH_SEC_C,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,12,AG_SEC_2A,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,1,int_welfare_hh,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,2,int_access_fin,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,3,sage_labourintermed,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,4,int_access_health,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,5,int_cohesion,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,6,int_access_educ18plus,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,7,int_demographics_mem,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,8,int_consexp,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,9,int_access_school,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,10,int_operational,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,11,int_community,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,12,int_migration,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,1,LABORF,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,2,REC003,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,3,ANNUAL,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,4,EDTOTALS,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,5,HHSIZE,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,6,NUTR97,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,7,REC001,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,8,HEADS,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,9,REC007,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,10,EXP97,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,11,REC006,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,12,REC025,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,1,KPRICE2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,2,KHHLD,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,3,KPRICE3,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,4,KADULT,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,5,KCOMM,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,6,KCHILD,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,7,KINDIVH,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,8,INCEXP,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,9,KYGPOV,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,10,CONADULT,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,11,KINDIV,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,12,CORE,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1,FINAL_PREF,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,2,S00,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,3,S08,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,4,S13A1,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,5,anthro,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
