download_priority_order,queue_role,country,wave,idno,file_id,expected_file_name,expected_file_key,file_description,priority_core_target,official_file_match_status,matched_local_locations,matched_source_types
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F11,sect6b3_hh_w5.dta,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F12,sect6b4_hh_w5.dta,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F13,sect6c_hh_w5.dta,sect6c_hh_w5.dta,Household Data - Dietary quality,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F14,sect7a_hh_w5.dta,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F15,sect7b_hh_w5.dta,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F16,sect8_hh_w5.dta,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F17,sect9_hh_w5.dta,sect9_hh_w5.dta,Household Data - Shocks,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F18,sect10a_hh_w5.dta,sect10a_hh_w5.dta,Household Data - Housing,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F19,sect11_hh_w5.dta,sect11_hh_w5.dta,Household Data - Assets,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F20,sect12a_hh_w5.dta,sect12a_hh_w5.dta,Household Data - Nonfarm enterprises participation filter question,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F21,sect12b1_hh_w5.dta,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F22,sect12b2_hh_w5.dta,sect12b2_hh_w5.dta,Household Data - Nonfarm enterprises start-up barriers,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F23,sect12c_hh_w5.dta,sect12c_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of the agriculture survey,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F24,sect12c_q1_hh_w5.dta,sect12c_q1_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of agriculture survey: filter question,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F25,sect12d_hh_w5.dta,sect12d_hh_w5.dta,Household Data - Livestock for All Urban EAs and rural EAs that are not part of the agriculture survey,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F26,sect12e_hh_w5.dta,sect12e_hh_w5.dta,Household Data - Perception of climate risk,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F27,sect12f_hh_w5.dta,sect12f_hh_w5.dta,Household Data - Perception of climate risk: source of information,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F28,sect13_hh_w5.dta,sect13_hh_w5.dta,Household Data - Other income,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F29,sect14_hh_w5.dta,sect14_hh_w5.dta,Household Data - Assistance,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F30,sect15a_hh_w5.dta,sect15a_hh_w5.dta,Credit access filter and constraints,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F31,sect15b_hh_w5.dta,sect15b_hh_w5.dta,Credit details data,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F32,sect01a_com_w5.dta,sect01a_com_w5.dta,Community - Cover/ identification,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F33,sect01b_com_w5.dta,sect01b_com_w5.dta,Community - Cover/ community overview/ observation,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F34,sect02_com_w5.dta,sect02_com_w5.dta,Community - Roster of informants,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F35,sect03_com_w5.dta,sect03_com_w5.dta,Community - Community basic information/ demographics,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F36,sect04_com_w5.dta,sect04_com_w5.dta,Community - Access to basic services and infrastructure,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F37,sect05_com_w5.dta,sect05_com_w5.dta,Community - Economic activities and employment,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F38,sect06_com_w5.dta,sect06_com_w5.dta,Community - Agriculture,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F39,sect07_com_w5.dta,sect07_com_w5.dta,Community - Changes and events,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F40,sect08_com_w5.dta,sect08_com_w5.dta,Community - Community needs,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F41,sect09_com_w5.dta,sect09_com_w5.dta,Community - Productive safety net program,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F42,sect10a_com_w5.dta,sect10a_com_w5.dta,Community - Market prices: market location,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F43,sect10b_com_w5.dta,sect10b_com_w5.dta,Community - Prices in market,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F44,sect11_com_w5.dta,sect11_com_w5.dta,Community - Agriculture mechanization,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F45,sect12_com_w5.dta,sect12_com_w5.dta,Community - Virtual/video extension services,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F46,sect_cover_pp_w5.dta,sect_cover_pp_w5.dta,Post-planting - Cover page,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F47,sect1_pp_w5.dta,sect1_pp_w5.dta,Post-planting - Household roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F48,sect2_pp_w5.dta,sect2_pp_w5.dta,Post-planting - Parcel roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F49,sect3_pp_w5.dta,sect3_pp_w5.dta,Post-planting - Field roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F50,sect4_pp_w5.dta,sect4_pp_w5.dta,Post-planting - Crop field roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F51,sect5_pp_w5.dta,sect5_pp_w5.dta,Post-planting - Seed acquisition,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F52,sect7_pp_w5.dta,sect7_pp_w5.dta,Post-planting - Holder questions,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F53,sect9a_pp_w5.dta,sect9a_pp_w5.dta,Post-planting - Crop cut by field (for specified fields and crops only),0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F54,sect_cover_ph_w5.dta,sect_cover_ph_w5.dta,Post-harvest - Cover page,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F55,sect1_ph_w5.dta,sect1_ph_w5.dta,Post-harvest - Household roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F56,sect9_ph_w5.dta,sect9_ph_w5.dta,Post-harvest - Harvest by field,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F57,sect10_ph_w5.dta,sect10_ph_w5.dta,Post-harvest - Harvest labor,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F58,sect11_ph_w5.dta,sect11_ph_w5.dta,Post-harvest - Crop utilization,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F59,sect_cover_ls_w5.dta,sect_cover_ls_w5.dta,Livestock - Cover page,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F60,sect8_1_ls_w5.dta,sect8_1_ls_w5.dta,Livestock - Livestock inventory and ownership,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F61,sect8_2_ls_w5.dta,sect8_2_ls_w5.dta,Livestock - Livestock change,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F62,sect8_3_ls_w5.dta,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F63,sect8_4_ls_w5.dta,sect8_4_ls_w5.dta,"Livestock - Milk and egg production, animal power, and dung",0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F64,eth_householdgeovariables_y5.dta,eth_householdgeovariables_y5.dta,Household geo-variables,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F65,eth_plotgeovariables_y5.dta,eth_plotgeovariables_y5.dta,Plot geo-variables,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F66,cons_agg_w5.dta,cons_agg_w5.dta,Household Data - Consumption aggregate,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F67,crop_cf_wave5.dta,crop_cf_wave5.dta,Crop unit of measurement conversion factor data,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F68,food_cf_wave5.dta,food_cf_wave5.dta,Food item unit of measurement conversion factor data,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F1,sect_cover_hh_w4.dta,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F2,sect1_hh_w4.dta,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F3,sect2_hh_w4.dta,sect2_hh_w4.dta,"Education - Educational attainment, enrollment, attendance, school characteristics, and expenditures for the 2018‒19 academic year.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F4,sect3_hh_w4.dta,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F5,sect4_hh_w4.dta,sect4_hh_w4.dta,"Labor and time use - Time use, labor market participation in the last 7 days and the last 12 months, unpaid apprenticeship, temporary absence, job search, casual or temporary work participation, participation in food for work/ public works programs, and contribution of free labor to community activities.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F6,sect5a_hh_w4.dta,sect5a_hh_w4.dta,"Banking and financial inclusion - Saving, financial literacy, insurance, and financial practices.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F7,sect5b1_hh_w4.dta,sect5b1_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Ownership of financial asset accounts (exclusively and jointly).,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F8,sect5b2_hh_w4.dta,sect5b2_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Value of financial assets owned privately or jointly.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F9,sect6a_hh_w4.dta,sect6a_hh_w4.dta,"Food consumption, last 7 days - Household food consumption (quantity and value) in the last 7 days and source of foods consumed by the household from a subset list of food items.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F10,sect6b1_hh_w4.dta,sect6b1_hh_w4.dta,"Food aggregate, last 7 days - Summary on consumption of food in the last 7 days. Dietary diversification.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F11,sect6b2_hh_w4.dta,sect6b2_hh_w4.dta,"Meals shared with non-household members, last 7 days - Meal sharing with non-household members (number of persons and meals shared).",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F12,sect6b3_hh_w4.dta,sect6b3_hh_w4.dta,"Food consumed away from home, last 7 days - Total number of days and total number of meals shared with people (grouped by age)",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F13,sect6b4_hh_w4.dta,sect6b4_hh_w4.dta,"Food consumed away from home, last 7 days - Type and value of meals consumed away from home om the last 7 days.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F14,sect7a_hh_w4.dta,sect7a_hh_w4.dta,Nonfood expenditure - Household monthly expenditures on nonfood items.,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F74,sect7b_hh_w4.dta,sect7b_hh_w4.dta,Nonfood expenditure - Household 12 months expenditures on nonfood items.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F17,sect8_hh_w4.dta,sect8_hh_w4.dta,"Food security - Food Insecurity Experience Scale (FIES) for the last 7 days and food shortage experience for the last 12 months, and in which months food shortage experience happened.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F18,sect9_hh_w4.dta,sect9_hh_w4.dta,"Shocks - Shocks during the last 12 months and their impact on income, assets, food production, shock and purchase. Strategies the household used to cope with the three worst shocks faced.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F19,sect10a_hh_w4.dta,sect10a_hh_w4.dta,"Housing - Dwelling ownership and property tax, characteristics of the dwelling and utilities, including WASH indicators, water and energy source, cooking facilities, sewerage and solid waste management.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F20,sect10b_hh_w4.dta,sect10b_hh_w4.dta,Land parcel roster - Individual disaggregated land roster,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F21,sect10c_hh_w4.dta,sect10c_hh_w4.dta,Land and dwelling assets - Individual disaggregated land ownership and right,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F22,sect10d1_hh_w4.dta,sect10d1_hh_w4.dta,Livestock roster - Individual disaggregated livestock roster: Household ownership of different livestock by type and number.,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F23,sect10d2_hh_w4.dta,sect10d2_hh_w4.dta,Livestock assets - Individual disaggregated livestock ownership and rights: Reported personal and economic ownership and user rights of all livestock owned by the household (exclusively or jointly).,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F24,sect11_hh_w4.dta,sect11_hh_w4.dta,Assets - Ownership and number of listed assets,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F25,sect11b1_hh_w4.dta,sect11b1_hh_w4.dta,Mobile phones - Individual disaggregated mobile phone ownership roster,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F26,sect11b2_hh_w4.dta,sect11b2_hh_w4.dta,Mobile phones - Individual-level and Mobile Phone disaggregated Ownership Right and operation,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F27,sect12a_hh_w4.dta,sect12a_hh_w4.dta,Nonfarm enterprises - Ownership,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F28,sect12b1_hh_w4.dta,sect12b1_hh_w4.dta,"Nonfarm enterprises - Characteristics of enterprises owned by the household: sector, employment, revenue, expenses and tax and fees related to the business.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F29,sect12b2_hh_w4.dta,sect12b2_hh_w4.dta,Nonfarm enterprises - Business operation and start-up challenges.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F65,sect13_hh_w4_v2.dta,sect13_hh_w4_v2.dta,"Other income sources - Other sources of household income in the last 12 months, and any taxes related to the income.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F31,sect14_hh_w4.dta,sect14_hh_w4.dta,Assistance - Assistance provided to the household by governmental and nongovernmental agencies.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F32,sect15a_hh_w4.dta,sect15a_hh_w4.dta,"Credit (questions 11 to 18) - Loans or credit received by the household: source, repayment, collateral and challenges in accessing credit.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F33,sect15b_hh_w4.dta,sect15b_hh_w4.dta,"Credit (questions 2 to 10) - Loans or credit received by the household: source, repayment, collateral and challenges in accessing credit.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F34,sect_cover_ls_w4.dta,sect_cover_ls_w4.dta,Holder educational level and holding type,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F35,sect8_1_ls_w4.dta,sect8_1_ls_w4.dta,Ownership - Characteristics of livestock owned and their purpose.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F36,sect8_2_ls_w4.dta,sect8_2_ls_w4.dta,"Change in stock - Total number of livestock by type; stock changes over the year due to birth, purchase, gifts given or received, sale, loss, slaughter, etc.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F37,sect8_3_ls_w4.dta,sect8_3_ls_w4.dta,"Livestock Breeding, Health, Shelter, Water, and Feed - Livestock breeding methods and costs; livestock shelter type and feed type and sources; livestock treatments and treatment expenses.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F38,sect8_4_ls_w4.dta,sect8_4_ls_w4.dta,"Milk and Egg Production, Animal Power, and Dung - Quantity of milk and egg production; production, disposition and income from milk and egg production, income for other animal byproducts; Livestock use for transport, crop cultivation and harvesting; disposition of livestock dung.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F39,sect_cover_ph_w4.dta,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F40,sect1_ph_w4.dta,sect1_ph_w4.dta,"Household Roster - Age, and gender of each household member and holding type: farming, livestock, or both.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F41,sect9_ph_w4.dta,sect9_ph_w4.dta,"Crop Harvest by Field - Harvest information for all crops: crop use, area harvested, amount harvested, and any damage to crops.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F42,sect10_ph_w4.dta,sect10_ph_w4.dta,"Harvest Labor - Hired and household member labor used in harvesting each crop on each field, excluding permanent tree, and root crops.",0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F43,sect11_ph_w4.dta,sect11_ph_w4.dta,Crop Disposition/ Sales - Information on crop disposition or sale.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F44,sect_cover_pp_w4.dta,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F45,sect1_pp_w4.dta,sect1_pp_w4.dta,"Household Roster - Age, and gender of each household member, and holding type: farming, livestock, or both",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F46,sect2_pp_w4.dta,sect2_pp_w4.dta,Parcel Roster - Information on all parcels owned or managed by the holder.,1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F47,sect3_pp_w4.dta,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each field.",1,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F48,sect4_pp_w4.dta,sect4_pp_w4.dta,Crop Roster - Crop planting and management information for each crop on each field.,0,missing_expected_official_file,,
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,F49,sect5_pp_w4.dta,sect5_pp_w4.dta,Seeds Roster - Seed related information for each crop planted on each field.,0,missing_expected_official_file,,
