acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,fid,metadata_file_name,metadata_file_description,cases,variable_count,unit_guess,module_guess,source_url,priority_core_target,current_receipt_status,download_review_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F27,sect12f_hh_w5.dta,Household Data - Perception of climate risk: source of information,4959,17,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F27?file_name=sect12f_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F28,sect13_hh_w5.dta,Household Data - Other income,69426,21,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F28?file_name=sect13_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F29,sect14_hh_w5.dta,Household Data - Assistance,14877,30,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F29?file_name=sect14_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F30,sect15a_hh_w5.dta,Credit access filter and constraints,4959,29,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F30?file_name=sect15a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F31,sect15b_hh_w5.dta,Credit details data,1033,30,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F31?file_name=sect15b_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F32,sect01a_com_w5.dta,Community - Cover/ identification,433,11,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F32?file_name=sect01a_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F33,sect01b_com_w5.dta,Community - Cover/ community overview/ observation,433,23,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F33?file_name=sect01b_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F34,sect02_com_w5.dta,Community - Roster of informants,2335,19,person,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F34?file_name=sect02_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F35,sect03_com_w5.dta,Community - Community basic information/ demographics,433,36,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F35?file_name=sect03_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,433,106,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F36?file_name=sect04_com_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F37,sect05_com_w5.dta,Community - Economic activities and employment,433,27,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F37?file_name=sect05_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F38,sect06_com_w5.dta,Community - Agriculture,433,69,community/geography,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F38?file_name=sect06_com_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F39,sect07_com_w5.dta,Community - Changes and events,668,18,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F39?file_name=sect07_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F40,sect08_com_w5.dta,Community - Community needs,4763,34,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F40?file_name=sect08_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F41,sect09_com_w5.dta,Community - Productive safety net program,433,26,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F41?file_name=sect09_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F42,sect10a_com_w5.dta,Community - Market prices: market location,433,19,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F42?file_name=sect10a_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F43,sect10b_com_w5.dta,Community - Prices in market,27155,16,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F43?file_name=sect10b_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F44,sect11_com_w5.dta,Community - Agriculture mechanization,3464,43,community/geography,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F44?file_name=sect11_com_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F45,sect12_com_w5.dta,Community - Virtual/video extension services,433,15,community/geography,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F45?file_name=sect12_com_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,2110,29,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F46?file_name=sect_cover_pp_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F47,sect1_pp_w5.dta,Post-planting - Household roster,12117,23,household,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F47?file_name=sect1_pp_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,6594,54,person,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F48?file_name=sect2_pp_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F49,sect3_pp_w5.dta,Post-planting - Field roster,14878,145,person,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F49?file_name=sect3_pp_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,14239,62,person,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F50?file_name=sect4_pp_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F51,sect5_pp_w5.dta,Post-planting - Seed acquisition,7733,36,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F51?file_name=sect5_pp_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F52,sect7_pp_w5.dta,Post-planting - Holder questions,2110,88,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F52?file_name=sect7_pp_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F53,sect9a_pp_w5.dta,Post-planting - Crop cut by field (for specified fields and crops only),14239,26,agriculture/plot,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F53?file_name=sect9a_pp_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,1596,28,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F54?file_name=sect_cover_ph_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F55,sect1_ph_w5.dta,Post-harvest - Household roster,9058,21,household,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F55?file_name=sect1_ph_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F56,sect9_ph_w5.dta,Post-harvest - Harvest by field,13772,48,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F56?file_name=sect9_ph_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F57,sect10_ph_w5.dta,Post-harvest - Harvest labor,13608,59,unknown,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F57?file_name=sect10_ph_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F58,sect11_ph_w5.dta,Post-harvest - Crop utilization,7534,75,agriculture/plot,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F58?file_name=sect11_ph_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F59,sect_cover_ls_w5.dta,Livestock - Cover page,2110,29,agriculture/plot,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F59?file_name=sect_cover_ls_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F60,sect8_1_ls_w5.dta,Livestock - Livestock inventory and ownership,31776,25,agriculture/plot,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F60?file_name=sect8_1_ls_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F61,sect8_2_ls_w5.dta,Livestock - Livestock change,28400,36,agriculture/plot,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F61?file_name=sect8_2_ls_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10650,81,community/geography,health,https://microdata.worldbank.org/catalog/6161/data-dictionary/F62?file_name=sect8_3_ls_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F63,sect8_4_ls_w5.dta,"Livestock - Milk and egg production, animal power, and dung",28400,42,agriculture/plot,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F63?file_name=sect8_4_ls_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F64,eth_householdgeovariables_y5.dta,Household geo-variables,4890,52,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F64?file_name=eth_householdgeovariables_y5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F65,eth_plotgeovariables_y5.dta,Plot geo-variables,4890,52,agriculture/plot,agriculture,https://microdata.worldbank.org/catalog/6161/data-dictionary/F65?file_name=eth_plotgeovariables_y5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,4959,22,household,consumption/welfare,https://microdata.worldbank.org/catalog/6161/data-dictionary/F66?file_name=cons_agg_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F67,crop_cf_wave5.dta,Crop unit of measurement conversion factor data,1175,12,community/geography,geography,https://microdata.worldbank.org/catalog/6161/data-dictionary/F67?file_name=crop_cf_wave5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F68,food_cf_wave5.dta,Food item unit of measurement conversion factor data,1269,13,community/geography,geography,https://microdata.worldbank.org/catalog/6161/data-dictionary/F68?file_name=food_cf_wave5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F1,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",6770,20,household,other,https://microdata.worldbank.org/catalog/3823/data-dictionary/F1?file_name=sect_cover_hh_w4.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F2,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",29503,42,household,demographics/roster,https://microdata.worldbank.org/catalog/3823/data-dictionary/F2?file_name=sect1_hh_w4.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F3,sect2_hh_w4.dta,"Education - Educational attainment, enrollment, attendance, school characteristics, and expenditures for the 2018-19 academic year.",29503,39,household,consumption/welfare,https://microdata.worldbank.org/catalog/3823/data-dictionary/F3?file_name=sect2_hh_w4.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,F4,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",29503,69,household,health,https://microdata.worldbank.org/catalog/3823/data-dictionary/F4?file_name=sect3_hh_w4.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
