threshold_sequence_rank,country,wave,idno,requirement,file_rank,file_id,expected_file_name,file_description,candidate_variable_rows,strong_candidate_variable_rows,top_variable_names,official_core_file_match_status,matched_local_locations
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,1,F2,sect1_hh_w5.dta,Household Data - Roster,2,2,individual_id;household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,2,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,3,F47,sect1_pp_w5.dta,Post-planting - Household roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,4,F55,sect1_ph_w5.dta,Post-harvest - Household roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,5,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,6,F49,sect3_pp_w5.dta,Post-planting - Field roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,7,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,1,1,household_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,8,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,1,1,individual_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,1,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10,10,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,2,F4,sect3_hh_w5.dta,Household Data - Health,2,2,s3q17;s3q18,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,1,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,1,1,InterviewDate,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,2,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,1,1,InterviewDate,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,3,F59,sect_cover_ls_w5.dta,Livestock - Cover page,1,1,InterviewDate,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,4,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,2,2,s12bq08a;s12bq08b,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,5,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",2,0,item_cd_12months;s7q04,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,6,F64,eth_householdgeovariables_y5.dta,Household geo-variables,1,1,wetQ_avgstart,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,7,F1,sect_cover_hh_w5.dta,Household Data - Cover page,1,1,saq19__Timestamp,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,8,F65,eth_plotgeovariables_y5.dta,Plot geo-variables,1,1,wetQ_avgstart,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,1,F1,sect_cover_hh_w5.dta,Household Data - Cover page,2,2,pw_w5;ea_id,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,2,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,3,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,4,F12,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,5,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,6,F14,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,7,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",1,1,pw_w5,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,8,F16,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,1,1,pw_w5,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,1,F39,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",3,3,saq19__Latitude;saq19__Longitude;ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,2,F44,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,3,F34,sect_cover_ls_w4.dta,Holder educational level and holding type,2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,4,F47,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each field.",2,2,s3q09__Latitude;s3q09__Longitude,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,5,F73,sect10a_com_w4.dta,Market Prices - Market prices in the first closest market center.,2,2,cs10q05__Latitude;cs10q05__Longitude,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,6,F1,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,1,F14,sect7a_hh_w4.dta,Nonfood expenditure - Household monthly expenditures on nonfood items.,9,9,ea_id;household_id;item_cd_30day;pw_w4;s7q01;s7q02;saq01;saq02;saq03,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,2,F63,cons_agg_w4.dta,,3,3,nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons_ann,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,1,F4,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",11,11,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q06_1;s3q06_2;s3q06_os;s3q09a;s3q09b,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,2,F56,sect04_com_w4.dta,"Access to Basic Services - Transportation, markets, proximity to the nearest town and major urban centers, electrification, bank and microfinance institutions, piped water",1,1,cs4q37,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,1,F2,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",2,2,individual_id;household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,2,F25,sect11b1_hh_w4.dta,Mobile phones - Individual disaggregated mobile phone ownership roster,2,2,individual_id;household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,3,F22,sect10d1_hh_w4.dta,Livestock roster - Individual disaggregated livestock roster: Household ownership of different livestock by type and number.,1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,4,F40,sect1_ph_w4.dta,"Household Roster - Age, and gender of each household member and holding type: farming, livestock, or both.",1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,5,F45,sect1_pp_w4.dta,"Household Roster - Age, and gender of each household member, and holding type: farming, livestock, or both",1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,6,F20,sect10b_hh_w4.dta,Land parcel roster - Individual disaggregated land roster,1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,7,F46,sect2_pp_w4.dta,Parcel Roster - Information on all parcels owned or managed by the holder.,1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,8,F47,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each field.",1,1,household_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,1,F37,sect8_3_ls_w4.dta,"Livestock Breeding, Health, Shelter, Water, and Feed - Livestock breeding methods and costs; livestock shelter type and feed type and sources; livestock treatments and treatment expenses.",10,10,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,2,F4,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",2,2,s3q17;s3q18,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,1,F39,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",2,2,InterviewDate;saq19__Timestamp,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,2,F44,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",2,2,InterviewDate;saq19__Timestamp,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,3,F34,sect_cover_ls_w4.dta,Holder educational level and holding type,2,1,InterviewDate;saq19__Timestamp,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,4,F28,sect12b1_hh_w4.dta,"Nonfarm enterprises - Characteristics of enterprises owned by the household: sector, employment, revenue, expenses and tax and fees related to the business.",2,2,s12bq08a;s12bq08b,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,5,F67,ETH_HouseholdGeovariables_Y4.dta,Household geo-variables,2,1,wetQ_avgstart;h2018_wetQstart,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,6,F1,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,1,InterviewStart,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,7,F33,sect15b_hh_w4.dta,"Credit (questions 2 to 10) - Loans or credit received by the household: source, repayment, collateral and challenges in accessing credit.",1,0,s15q06b,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,1,F1,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,2,F39,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,3,F44,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,4,F11,sect6b2_hh_w4.dta,"Meals shared with non-household members, last 7 days - Meal sharing with non-household members (number of persons and meals shared).",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,5,F14,sect7a_hh_w4.dta,Nonfood expenditure - Household monthly expenditures on nonfood items.,1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,6,F18,sect9_hh_w4.dta,"Shocks - Shocks during the last 12 months and their impact on income, assets, food production, shock and purchase. Strategies the household used to cope with the three worst shocks faced.",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,7,F2,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",1,1,ea_id,missing_expected_core_file,
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,8,F22,sect10d1_hh_w4.dta,Livestock roster - Individual disaggregated livestock roster: Household ownership of different livestock by type and number.,1,1,ea_id,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,1,F1,sec_a.NSDstat,"Household characteristics, income and expenditure questionnaire, Module A-1: household identification",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,2,F10,sec_f.NSDstat,"Household characteristics, income and expenditure questionnaire, Module F: Security & safety",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,3,F11,sec_g.NSDstat,"Household characteristics, income and expenditure questionnaire, Module G: Housing",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,4,F12,sec_h.NSDstat,"Household characteristics, income and expenditure questionnaire, Module H: Consumption of selected food over past three days",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,5,F13,sec_i.NSDstat,"Household characteristics, income and expenditure questionnaire, Module I: Consumption of food over past one week",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,6,F14,sec_j1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,7,F15,sec_j2.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,8,F16,sec_k.NSDstat,"Household characteristics, income and expenditure questionnaire, Module K: Non-food expenditures - Past three months",1,1,type,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,1,F14,sec_j1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",10,10,add;case_id;dist;ea;hhid;hhsize;hhwght;j01a;j02a;j03a,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,2,F13,sec_i.NSDstat,"Household characteristics, income and expenditure questionnaire, Module I: Consumption of food over past one week",1,1,i03both,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,3,F2,sec_aa.NSDstat,"Household characteristics, income and expenditure questionnaire, Module AA: Subjective assessment of well-being",1,1,aa01,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,1,F8,sec_d.NSDstat,"Household characteristics, income and expenditure questionnaire, Module D: Health",7,6,d05a;d05aoth;d05b;d05both;d27a;d27b;d04,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,2,F46,mod_d.NSDstat,"Community characteristics questionnaire, Module CD: Access to basic services",5,2,cd51b;cd_51a;cd47;cd57a;cd_50,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,1,F6,sec_b.NSDstat,"Household characteristics, income and expenditure questionnaire, Module B: household roster",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,2,F1,sec_a.NSDstat,"Household characteristics, income and expenditure questionnaire, Module A-1: household identification",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,3,F10,sec_f.NSDstat,"Household characteristics, income and expenditure questionnaire, Module F: Security & safety",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,4,F11,sec_g.NSDstat,"Household characteristics, income and expenditure questionnaire, Module G: Housing",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,5,F12,sec_h.NSDstat,"Household characteristics, income and expenditure questionnaire, Module H: Consumption of selected food over past three days",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,6,F13,sec_i.NSDstat,"Household characteristics, income and expenditure questionnaire, Module I: Consumption of food over past one week",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,7,F14,sec_j1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,8,F15,sec_j2.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,hhid,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,1,F8,sec_d.NSDstat,"Household characteristics, income and expenditure questionnaire, Module D: Health",12,5,d13;d12;d14;d16;d19;add;case_id;d02;d03;d04;d05a;d05aoth,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,1,F33,sec_z1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module Z: Credit",4,0,z08a;z08b;z10a;z10b,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,2,F40,ihs2_household.NSDstat,,1,1,idate,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,3,F7,sec_c.NSDstat,"Household characteristics, income and expenditure questionnaire, Module C: Education",2,1,c14;c16,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,4,F29,sec_v.NSDstat,"Household characteristics, income and expenditure questionnaire, Module V: Household enterprises",2,0,v09a;v09b,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,5,F41,ihs2_individ.NSDstat,"Household characteristics, income and expenditure questionnaire, Module B: household roster",1,1,age_months,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,6,F1,sec_a.NSDstat,"Household characteristics, income and expenditure questionnaire, Module A-1: household identification",1,1,a14b,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,7,F23,sec_q1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module Q: Agriculture - Tobacco",1,0,q03,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,1,F1,sec_a.NSDstat,"Household characteristics, income and expenditure questionnaire, Module A-1: household identification",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,2,F10,sec_f.NSDstat,"Household characteristics, income and expenditure questionnaire, Module F: Security & safety",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,3,F11,sec_g.NSDstat,"Household characteristics, income and expenditure questionnaire, Module G: Housing",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,4,F12,sec_h.NSDstat,"Household characteristics, income and expenditure questionnaire, Module H: Consumption of selected food over past three days",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,5,F13,sec_i.NSDstat,"Household characteristics, income and expenditure questionnaire, Module I: Consumption of food over past one week",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,6,F14,sec_j1.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,7,F15,sec_j2.NSDstat,"Household characteristics, income and expenditure questionnaire, Module J: Non-food expenditures - past one week & one month",1,1,psu,missing_expected_core_file,
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,8,F16,sec_k.NSDstat,"Household characteristics, income and expenditure questionnaire, Module K: Non-food expenditures - Past three months",1,1,psu,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,1,F121,HHTrack,"This data contains household interview status for wave 1 and wave 2, wave 1 and wave 2 population weights, and combined wave 1 and wave 2 population weights.",4,0,ea;lga;state;zone,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,2,F122,secta_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A (Household Identification). The data also contains geographic area identification variables.",4,0,ea;lga;state;zone,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,3,F18,NGA_HouseholdGeovars_Y2,,2,2,LAT_DD_MOD;LON_DD_MOD,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,4,F119,cons_agg_wave2_visit1,Consumption aggregate data (visit 1),1,1,ea,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,5,F120,cons_agg_wave2_visit2,Consumption aggregate data (visit 2),1,1,ea,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,1,F119,cons_agg_wave2_visit1,Consumption aggregate data (visit 1),5,5,totcons;nfdfoth;fdfishpr;fdothpr;fdrestby,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,2,F120,cons_agg_wave2_visit2,Consumption aggregate data (visit 2),5,5,totcons;nfdfoth;fdfishpr;fdothpr;fdrestby,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,3,F38,sect8e_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 8e (Non-Food Expenditure - 12 months recall, non-food items that may not have been purchased). The data also contains geographic area identification variables.",1,1,s8q10,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,4,F34,sect8a_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 8A (Non-Food Expenditure - 7 days). The data also contains geographic area identification variables.",1,1,ea,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,1,F73,sect4a_harvestw2,"Data collected using Post Harvest Household Questionnaire, Section 4A (Health). The data also contains geographic area identification variables.",9,9,s4aq15;s4aq16;s4aq17;s4aq1;s4aq3;s4aq20;s4aq6a;s4aq6b;s4aq6c,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,2,F103,secta7_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A7 (Animal Costs). The data also contains geographic area identification variables.",2,0,cost_cd;cost_desc,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,3,F74,sect4b_harvestw2,"Data collected using Post Harvest Household Questionnaire, Section 4B (Child Immunization). The data also contains geographic area identification variables.",1,0,s4bq3,missing_expected_core_file,
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,1,F20,sect1_plantingw2,"Data collected using Post Planting Household Questionnaire, Section 1 (Household Roster). The data also contains geographic area identification variables.",1,1,hhid,missing_expected_core_file,
