priority_rank,priority_score,source_name,dataset,idno,official_url,files_needed,status,priority_reason
19,17,World Bank Microdata Library,"Côte d'Ivoire - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; CIV_2021_EHCVM-2_v01_M)",CIV_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6273/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
20,17,World Bank Microdata Library,"Guinea-Bissau - Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares, 2021-2022 (2021-2022; GNB_2021_EHCVM-2_v01_M)",GNB_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6274/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
21,17,World Bank Microdata Library,Malawi - Second Integrated Household Survey 2004-2005 (2004-2005; MWI_2004_IHS-II_v01_M),MWI_2004_IHS-II_v01_M,https://microdata.worldbank.org/catalog/2307/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
22,17,World Bank Microdata Library,"Senegal - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-20122 (2021-2022; SEN_2021_EHCVM-2_v01_M)",SEN_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6278/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
23,17,World Bank Microdata Library,"Togo - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; TGO_2021_EHCVM-2_v01_M)",TGO_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6279/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
24,16,World Bank Microdata Library,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),ALB_2005_LSMS_v01_M,https://microdata.worldbank.org/catalog/64/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/docs saved where available,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
25,16,World Bank Microdata Library,Bulgaria - Integrated Household Survey 1995 (1995; BGR_1995_IHS_v01_M),BGR_1995_IHS_v01_M,https://microdata.worldbank.org/catalog/2271/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/docs saved where available,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
26,16,World Bank Microdata Library,Bulgaria - Integrated Household Survey 1997 (1997; BGR_1997_IHS_v01_M),BGR_1997_IHS_v01_M,https://microdata.worldbank.org/catalog/2272/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
27,16,World Bank Microdata Library,Jamaica - Survey of Living Conditions 1997 (1997; JAM_1997_SLC_v01_M),JAM_1997_SLC_v01_M,https://microdata.worldbank.org/catalog/2368/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
28,16,World Bank Microdata Library,Kyrgyz Republic - Multipurpose Poverty Survey 1993 (1993; KGZ_1993_KMPS_v01_M),KGZ_1993_KMPS_v01_M,https://microdata.worldbank.org/catalog/280/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
29,16,World Bank Microdata Library,"Nepal - Living Standards Survey 2010-2011, Third Round (2010-2011; NPL_2010_LSS-III_v01_M)",NPL_2010_LSS-III_v01_M,https://microdata.worldbank.org/catalog/1000/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
30,16,World Bank Microdata Library,Sierra Leone - Integrated Household Survey 2011 (2011; SLE_2011_SLIHS_v01_M),SLE_2011_SLIHS_v01_M,https://microdata.worldbank.org/catalog/2943/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
31,16,World Bank Microdata Library,Timor-Leste - Survey of Living Standards 2007 and Extension 2008 (2007-2008; TLS_2007_TLSLS_v01_M),TLS_2007_TLSLS_v01_M,https://microdata.worldbank.org/catalog/78/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
32,16,World Bank Microdata Library,Viet Nam - Household Living Standards Survey 2002 (2002; VNM_2002_VHLSS_v01_M),VNM_2002_VHLSS_v01_M,https://microdata.worldbank.org/catalog/2306/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
33,15,World Bank Microdata Library,Tanzania - National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data (2019-2020; TZA_2019_NPS-SDD_v06_M),TZA_2019_NPS-SDD_v06_M,https://microdata.worldbank.org/catalog/3885/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
34,12,World Bank Microdata Library,"Ethiopia - Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020 (2016-2020; ETH_2016-2020_FJW_v01_M)",ETH_2016-2020_FJW_v01_M,https://microdata.worldbank.org/catalog/6199/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,financial-protection design not yet supported by metadata hits for both total consumption/income and OOP health spending
35,12,World Bank Microdata Library,Nigeria - Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016 (2011-2016; NGA_2011-2016_YouWiNIE_v02_M),NGA_2011-2016_YouWiNIE_v02_M,https://microdata.worldbank.org/catalog/2329/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,financial-protection design not yet supported by metadata hits for both total consumption/income and OOP health spending
36,1,DHS Program,DHS/MIS/AIS country surveys with GPS or health-care access modules,,https://dhsprogram.com/data/,"household, individual, GPS cluster files where relevant",manual registration likely required,secondary source; useful for access/care-seeking but usually not full SDG 3.8.2 financial protection
37,1,UNICEF MICS,MICS country surveys with health-care access modules,,https://mics.unicef.org/surveys,household and individual microdata plus questionnaires/codebooks,manual registration likely required,secondary source; useful for access/care-seeking but usually not full SDG 3.8.2 financial protection
