acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,metadata_file_name,metadata_file_description,cases,variable_count,unit_guess,module_guess,priority_core_target,current_receipt_status,expected_local_name_patterns,download_review_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,7692,15,household,other,0,not_received_no_original_raw_package,sect6b3_hh_w5.dta;sect6b3_hh_w5.*;*sect6b3_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,39672,19,household,other,0,not_received_no_original_raw_package,sect6b4_hh_w5.dta;sect6b4_hh_w5.*;*sect6b4_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6c_hh_w5.dta,Household Data - Dietary quality,22688,47,household,other,0,not_received_no_original_raw_package,sect6c_hh_w5.dta;sect6c_hh_w5.*;*sect6c_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",59508,15,household,consumption/welfare,0,not_received_no_original_raw_package,sect7a_hh_w5.dta;sect7a_hh_w5.*;*sect7a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",64467,15,household,consumption/welfare,0,not_received_no_original_raw_package,sect7b_hh_w5.dta;sect7b_hh_w5.*;*sect7b_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,4959,24,household,other,0,not_received_no_original_raw_package,sect8_hh_w5.dta;sect8_hh_w5.*;*sect8_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect9_hh_w5.dta,Household Data - Shocks,94221,25,household,shocks,0,not_received_no_original_raw_package,sect9_hh_w5.dta;sect9_hh_w5.*;*sect9_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect10a_hh_w5.dta,Household Data - Housing,4959,69,household,other,0,not_received_no_original_raw_package,sect10a_hh_w5.dta;sect10a_hh_w5.*;*sect10a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect11_hh_w5.dta,Household Data - Assets,183483,17,household,other,0,not_received_no_original_raw_package,sect11_hh_w5.dta;sect11_hh_w5.*;*sect11_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12a_hh_w5.dta,Household Data - Nonfarm enterprises participation filter question,4959,20,household,other,0,not_received_no_original_raw_package,sect12a_hh_w5.dta;sect12a_hh_w5.*;*sect12a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1551,68,household,demographics/roster,0,not_received_no_original_raw_package,sect12b1_hh_w5.dta;sect12b1_hh_w5.*;*sect12b1_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12b2_hh_w5.dta,Household Data - Nonfarm enterprises start-up barriers,3518,16,household,other,0,not_received_no_original_raw_package,sect12b2_hh_w5.dta;sect12b2_hh_w5.*;*sect12b2_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12c_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of the agriculture survey,1096,32,household,geography,0,not_received_no_original_raw_package,sect12c_hh_w5.dta;sect12c_hh_w5.*;*sect12c_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12c_q1_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of agriculture survey: filter question,2875,13,household,geography,0,not_received_no_original_raw_package,sect12c_q1_hh_w5.dta;sect12c_q1_hh_w5.*;*sect12c_q1_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12d_hh_w5.dta,Household Data - Livestock for All Urban EAs and rural EAs that are not part of the agriculture survey,46000,21,household,geography,0,not_received_no_original_raw_package,sect12d_hh_w5.dta;sect12d_hh_w5.*;*sect12d_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12e_hh_w5.dta,Household Data - Perception of climate risk,49590,27,household,other,0,not_received_no_original_raw_package,sect12e_hh_w5.dta;sect12e_hh_w5.*;*sect12e_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12f_hh_w5.dta,Household Data - Perception of climate risk: source of information,4959,17,household,other,0,not_received_no_original_raw_package,sect12f_hh_w5.dta;sect12f_hh_w5.*;*sect12f_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect13_hh_w5.dta,Household Data - Other income,69426,21,household,other,0,not_received_no_original_raw_package,sect13_hh_w5.dta;sect13_hh_w5.*;*sect13_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect14_hh_w5.dta,Household Data - Assistance,14877,30,household,other,0,not_received_no_original_raw_package,sect14_hh_w5.dta;sect14_hh_w5.*;*sect14_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect15a_hh_w5.dta,Credit access filter and constraints,4959,29,household,other,0,not_received_no_original_raw_package,sect15a_hh_w5.dta;sect15a_hh_w5.*;*sect15a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect15b_hh_w5.dta,Credit details data,1033,30,household,other,0,not_received_no_original_raw_package,sect15b_hh_w5.dta;sect15b_hh_w5.*;*sect15b_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect01a_com_w5.dta,Community - Cover/ identification,433,11,community/geography,other,0,not_received_no_original_raw_package,sect01a_com_w5.dta;sect01a_com_w5.*;*sect01a_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect01b_com_w5.dta,Community - Cover/ community overview/ observation,433,23,community/geography,other,0,not_received_no_original_raw_package,sect01b_com_w5.dta;sect01b_com_w5.*;*sect01b_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect02_com_w5.dta,Community - Roster of informants,2335,19,person,demographics/roster,0,not_received_no_original_raw_package,sect02_com_w5.dta;sect02_com_w5.*;*sect02_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect03_com_w5.dta,Community - Community basic information/ demographics,433,36,community/geography,other,0,not_received_no_original_raw_package,sect03_com_w5.dta;sect03_com_w5.*;*sect03_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect04_com_w5.dta,Community - Access to basic services and infrastructure,433,106,community/geography,other,1,not_received_no_original_raw_package,sect04_com_w5.dta;sect04_com_w5.*;*sect04_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect05_com_w5.dta,Community - Economic activities and employment,433,27,community/geography,other,0,not_received_no_original_raw_package,sect05_com_w5.dta;sect05_com_w5.*;*sect05_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect06_com_w5.dta,Community - Agriculture,433,69,community/geography,agriculture,1,not_received_no_original_raw_package,sect06_com_w5.dta;sect06_com_w5.*;*sect06_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect07_com_w5.dta,Community - Changes and events,668,18,community/geography,other,0,not_received_no_original_raw_package,sect07_com_w5.dta;sect07_com_w5.*;*sect07_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect08_com_w5.dta,Community - Community needs,4763,34,community/geography,other,0,not_received_no_original_raw_package,sect08_com_w5.dta;sect08_com_w5.*;*sect08_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect09_com_w5.dta,Community - Productive safety net program,433,26,community/geography,other,0,not_received_no_original_raw_package,sect09_com_w5.dta;sect09_com_w5.*;*sect09_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect10a_com_w5.dta,Community - Market prices: market location,433,19,community/geography,other,0,not_received_no_original_raw_package,sect10a_com_w5.dta;sect10a_com_w5.*;*sect10a_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect10b_com_w5.dta,Community - Prices in market,27155,16,community/geography,other,0,not_received_no_original_raw_package,sect10b_com_w5.dta;sect10b_com_w5.*;*sect10b_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect11_com_w5.dta,Community - Agriculture mechanization,3464,43,community/geography,agriculture,1,not_received_no_original_raw_package,sect11_com_w5.dta;sect11_com_w5.*;*sect11_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12_com_w5.dta,Community - Virtual/video extension services,433,15,community/geography,other,0,not_received_no_original_raw_package,sect12_com_w5.dta;sect12_com_w5.*;*sect12_com_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_pp_w5.dta,Post-planting - Cover page,2110,29,unknown,other,0,not_received_no_original_raw_package,sect_cover_pp_w5.dta;sect_cover_pp_w5.*;*sect_cover_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_pp_w5.dta,Post-planting - Household roster,12117,23,household,demographics/roster,0,not_received_no_original_raw_package,sect1_pp_w5.dta;sect1_pp_w5.*;*sect1_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect2_pp_w5.dta,Post-planting - Parcel roster,6594,54,person,demographics/roster,0,not_received_no_original_raw_package,sect2_pp_w5.dta;sect2_pp_w5.*;*sect2_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect3_pp_w5.dta,Post-planting - Field roster,14878,145,person,demographics/roster,1,not_received_no_original_raw_package,sect3_pp_w5.dta;sect3_pp_w5.*;*sect3_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect4_pp_w5.dta,Post-planting - Crop field roster,14239,62,person,agriculture,1,not_received_no_original_raw_package,sect4_pp_w5.dta;sect4_pp_w5.*;*sect4_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect5_pp_w5.dta,Post-planting - Seed acquisition,7733,36,unknown,other,0,not_received_no_original_raw_package,sect5_pp_w5.dta;sect5_pp_w5.*;*sect5_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect7_pp_w5.dta,Post-planting - Holder questions,2110,88,unknown,other,1,not_received_no_original_raw_package,sect7_pp_w5.dta;sect7_pp_w5.*;*sect7_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect9a_pp_w5.dta,Post-planting - Crop cut by field (for specified fields and crops only),14239,26,agriculture/plot,agriculture,0,not_received_no_original_raw_package,sect9a_pp_w5.dta;sect9a_pp_w5.*;*sect9a_pp_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_ph_w5.dta,Post-harvest - Cover page,1596,28,unknown,other,0,not_received_no_original_raw_package,sect_cover_ph_w5.dta;sect_cover_ph_w5.*;*sect_cover_ph_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_ph_w5.dta,Post-harvest - Household roster,9058,21,household,demographics/roster,0,not_received_no_original_raw_package,sect1_ph_w5.dta;sect1_ph_w5.*;*sect1_ph_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect9_ph_w5.dta,Post-harvest - Harvest by field,13772,48,unknown,other,1,not_received_no_original_raw_package,sect9_ph_w5.dta;sect9_ph_w5.*;*sect9_ph_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect10_ph_w5.dta,Post-harvest - Harvest labor,13608,59,unknown,other,0,not_received_no_original_raw_package,sect10_ph_w5.dta;sect10_ph_w5.*;*sect10_ph_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect11_ph_w5.dta,Post-harvest - Crop utilization,7534,75,agriculture/plot,agriculture,1,not_received_no_original_raw_package,sect11_ph_w5.dta;sect11_ph_w5.*;*sect11_ph_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_ls_w5.dta,Livestock - Cover page,2110,29,agriculture/plot,other,0,not_received_no_original_raw_package,sect_cover_ls_w5.dta;sect_cover_ls_w5.*;*sect_cover_ls_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_1_ls_w5.dta,Livestock - Livestock inventory and ownership,31776,25,agriculture/plot,other,0,not_received_no_original_raw_package,sect8_1_ls_w5.dta;sect8_1_ls_w5.*;*sect8_1_ls_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_2_ls_w5.dta,Livestock - Livestock change,28400,36,agriculture/plot,other,1,not_received_no_original_raw_package,sect8_2_ls_w5.dta;sect8_2_ls_w5.*;*sect8_2_ls_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10650,81,community/geography,health,1,not_received_no_original_raw_package,sect8_3_ls_w5.dta;sect8_3_ls_w5.*;*sect8_3_ls_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_4_ls_w5.dta,"Livestock - Milk and egg production, animal power, and dung",28400,42,agriculture/plot,other,0,not_received_no_original_raw_package,sect8_4_ls_w5.dta;sect8_4_ls_w5.*;*sect8_4_ls_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,eth_householdgeovariables_y5.dta,Household geo-variables,4890,52,household,other,1,not_received_no_original_raw_package,eth_householdgeovariables_y5.dta;eth_householdgeovariables_y5.*;*eth_householdgeovariables_y5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,eth_plotgeovariables_y5.dta,Plot geo-variables,4890,52,agriculture/plot,agriculture,0,not_received_no_original_raw_package,eth_plotgeovariables_y5.dta;eth_plotgeovariables_y5.*;*eth_plotgeovariables_y5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,cons_agg_w5.dta,Household Data - Consumption aggregate,4959,22,household,consumption/welfare,0,not_received_no_original_raw_package,cons_agg_w5.dta;cons_agg_w5.*;*cons_agg_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,crop_cf_wave5.dta,Crop unit of measurement conversion factor data,1175,12,community/geography,geography,0,not_received_no_original_raw_package,crop_cf_wave5.dta;crop_cf_wave5.*;*crop_cf_wave5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,food_cf_wave5.dta,Food item unit of measurement conversion factor data,1269,13,community/geography,geography,0,not_received_no_original_raw_package,food_cf_wave5.dta;food_cf_wave5.*;*food_cf_wave5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",6770,20,household,other,0,not_received_no_original_raw_package,sect_cover_hh_w4.dta;sect_cover_hh_w4.*;*sect_cover_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect1_hh_w4.dta,"Roster - List of individuals living in the household and basic demographics; for members younger than 18, parental education and occupation.",29503,42,household,demographics/roster,0,not_received_no_original_raw_package,sect1_hh_w4.dta;sect1_hh_w4.*;*sect1_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect2_hh_w4.dta,"Education - Educational attainment, enrollment, attendance, school characteristics, and expenditures for the 2018-19 academic year.",29503,39,household,consumption/welfare,0,not_received_no_original_raw_package,sect2_hh_w4.dta;sect2_hh_w4.*;*sect2_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect3_hh_w4.dta,"Health - Health problems, types of injury/illness, medical assistance/consultation, health insurance, disabilities, vital registration (birth certificate), breast feeding, and anthropometrics (children and under).",29503,69,household,health,1,not_received_no_original_raw_package,sect3_hh_w4.dta;sect3_hh_w4.*;*sect3_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect4_hh_w4.dta,"Labor and time use - Time use, labor market participation in the last 7 days and the last 12 months, unpaid apprenticeship, temporary absence, job search, casual or temporary work participation, participation in food for work/ public works programs, and contribution of free labor to community activities.",29503,82,household,geography,0,not_received_no_original_raw_package,sect4_hh_w4.dta;sect4_hh_w4.*;*sect4_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect5a_hh_w4.dta,"Banking and financial inclusion - Saving, financial literacy, insurance, and financial practices.",29503,84,household,other,0,not_received_no_original_raw_package,sect5a_hh_w4.dta;sect5a_hh_w4.*;*sect5a_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect5b1_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Ownership of financial asset accounts (exclusively and jointly).,74550,17,household,demographics/roster,0,not_received_no_original_raw_package,sect5b1_hh_w4.dta;sect5b1_hh_w4.*;*sect5b1_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,sect5b2_hh_w4.dta,Financial assets - Individual disaggregated financial asset module: Value of financial assets owned privately or jointly.,6433,37,household,demographics/roster,1,not_received_no_original_raw_package,sect5b2_hh_w4.dta;sect5b2_hh_w4.*;*sect5b2_hh_w4*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
