source_name,dataset,official_url,files_needed,reason,status
World Bank Microdata Library,"Nepal - Living Standards Survey 2010-2011, Third Round (2010-2011; NPL_2010_LSS-III_v01_M)",https://microdata.worldbank.org/catalog/1000/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Niger - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; NER_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6276/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Nigeria - General Household Survey, Panel 2010-2011, Wave 1 (2010-2011; NGA_2010_GHSP-W1_v03_M)",https://microdata.worldbank.org/catalog/1002/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Nigeria - Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016 (2011-2016; NGA_2011-2016_YouWiNIE_v02_M),https://microdata.worldbank.org/catalog/2329/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Nigeria - General Household Survey, Panel  2012-2013, Wave 2 (2012-2013; NGA_2012_GHSP-W2_v02_M)",https://microdata.worldbank.org/catalog/1952/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Nigeria - General Household Survey, Panel  2015-2016, Wave 3 (2015-2016; NGA_2015_GHSP-W3_v02_M)",https://microdata.worldbank.org/catalog/2734/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Senegal - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-20122 (2021-2022; SEN_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6278/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Sierra Leone - Integrated Household Survey 2011 (2011; SLE_2011_SLIHS_v01_M),https://microdata.worldbank.org/catalog/2943/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Tanzania - National Panel Survey 2008-2009, Wave 1 (2008-2009; TZA_2008_NPS-R1_v03_M)",https://microdata.worldbank.org/catalog/76/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Tanzania - National Panel Survey 2010-2011, Wave 2 (2010-2011; TZA_2010_NPS-R2_v03_M)",https://microdata.worldbank.org/catalog/1050/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Tanzania - National Panel Survey 2012-2013, Wave 3 (2012-2013; TZA_2012_NPS-R3_v01_M)",https://microdata.worldbank.org/catalog/2252/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Tanzania - National Panel Survey 2014-2015 (2013-2016; TZA_2014_NPS-R4_v03_M_v03_A_EXT),https://microdata.worldbank.org/catalog/3455/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Tanzania - National Panel Survey 2014-2015, Wave 4 (2014-2015; TZA_2014_NPS-R4_v03_M)",https://microdata.worldbank.org/catalog/2862/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Tanzania - National Panel Survey 2019-2020 - Extended Panel with Sex Disaggregated Data (2019-2020; TZA_2019_NPS-SDD_v06_M),https://microdata.worldbank.org/catalog/3885/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Tanzania - National Panel Survey 2020-21, Wave 5 (2020-2022; TZA_2020_NPS-R5_v02_M)",https://microdata.worldbank.org/catalog/5639/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Timor-Leste - Survey of Living Standards 2007 and Extension 2008 (2007-2008; TLS_2007_TLSLS_v01_M),https://microdata.worldbank.org/catalog/78/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Togo - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; TGO_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6279/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey (2012; UGA_2012_SAGE-BL_v01_M)",https://microdata.worldbank.org/catalog/2652/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment Programme 2013, Evaluation Follow-Up Survey (2013; UGA_2013_SAGE-ML_v01_M)",https://microdata.worldbank.org/catalog/2653/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations (2014; UGA_2014_SAGE-EL_v01_M)",https://microdata.worldbank.org/catalog/2654/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Viet Nam - Household Living Standards Survey 2002 (2002; VNM_2002_VHLSS_v01_M),https://microdata.worldbank.org/catalog/2306/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
