country,survey_name,wave,idno,file,raw_variable,raw_label,harmonized_variable,unit,recall_period,construction_rule,quality_flag,notes
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q03,District Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q08,District Name,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q09,District Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q14,District Name,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q15,District Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q19,District living in 1990,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q20,District code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q23,District born,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q24,District Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6C_migrationc_cl.sav,m6c_q15,District Country,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6C_migrationc_cl.sav,m6c_q16,District / Country Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6C_migrationc_cl.sav,m6c_q46,District,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6C_migrationc_cl.sav,m6c_q47,District Code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\filters.sav,P11_Q5A,district_name,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\filters.sav,P11_Q5B,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_2D_education.sav,m2d_q17f,comments delivery: 6-meeting with district officers,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q02,district moved from,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q03,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q08,district name,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q09,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q14,district name,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q15,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q19,district living in 1990,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q20,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q23,district born,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6A_migration.sav,m6a_q24,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6C_migration_c.sav,m6c_q15,district country,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6C_migration_c.sav,m6c_q16,district / country code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6C_migration_c.sav,m6c_q46,district,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_6C_migration_c.sav,m6c_q47,district code,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_9C_health.sav,m9c_q19e,comments delivery: 5-meeting with district officers,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\poverty.sav,urbrur,urbanrur,rural,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=rural_urban; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_16A_Social_Participation.sav,M16A_Q08A,Statement A,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_16A_Social_Participation.sav,M16A_Q08B,Statement B,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_16A_Social_Participation.sav,M16A_Q09,Statement 9,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q02,District/State came from,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q04,Municipality/Commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q08,Where was living in 1990: District/State,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q10,Where was living in 1990: Municipality/Commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q12,Ku ka lindur : District/State,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6A_Internal_Migration_of_household_Members.sav,M6A_Q14,Ku ka lindur: Municipality/Commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6C_Sons_and_Doughter_living_away.sav,M6C_Q13,District,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_6C_Sons_and_Doughter_living_away.sav,M6C_Q15,Commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,region,Regions,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,urban,"Urban=1, rural=2",rural,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=rural_urban; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,"temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Quesionaires_English\LSMS_12  PART 1 Eng.xlsx::up p22,34,35,43,45 DIST CODES",DISTRICT AND COUNTRY CODES,,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=object; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,"temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Quesionaires_English\LSMS_12  PART 2 Eng.xlsx::COUNTRY, DISTRICT CODES",DISTRICT AND COUNTRY CODES,,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=object; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,cropland_b,land out of district is used for crop,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,distcode,District code,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,districtmarket_cropsold,crop was sold in a district market,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,districtmarket_treesold,tree production sold in district market,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,fallow_b,land out of district is left fallow,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,agriculture_hhlevel,hhplots_b,# of plots outside of district,admin1_or_admin2,household,unknown_from_metadata,"candidate only; inspect raw values, questionnaires, units, and recall period before use",metadata_only_requires_raw_verification,concept_hit=admin_geography; file_description=
