acquisition_batch_rank,batch_role,country,survey_name,wave,idno,concept,required_for,candidate_rank_within_concept,candidate_files,candidate_raw_variable,candidate_harmonized_variables,raw_label,metadata_confidence,confidence_reason,verification_checks,minimum_raw_evidence_needed,raw_file_status,raw_variable_status,verification_status,harmonization_decision,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_level_verified,fill_outlier_or_skip_pattern_notes,fill_promote_to_harmonization_recipe,review_notes
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,11,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q17,care_sought;agriculture_livelihood,17. How many nights did [NAME] spend in any health facility in last 12 months?;17.Is [FIELD] irrigated during the current agricultural season?,high,health-care access/barrier evidence;agriculture/livelihood evidence; moderator role requires raw data,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,12,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q18,oop_health_expenditure;care_sought;agriculture_livelihood,18. What were the total cost of [NAME]'s health consultations in last 12 months?;18.What is the arrangement of the irrigation you use in this agriculture season?,high,health payment/expenditure evidence;health-care access/barrier evidence;agriculture/livelihood evidence; moderator role requires raw data,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,13,sect8_3_ls_w5.dta,ls_s8_3q23,care_sought;agriculture_livelihood,"23.In past 12 months, did [LIVESTOCK TYPE] receive some curative treatment?",high,health-care access/barrier evidence;agriculture/livelihood evidence; moderator role requires raw data,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,14,sect8_3_ls_w5.dta,ls_s8_3q24,oop_health_expenditure;care_sought;agriculture_livelihood,24.Total amount spent on curative treatments for [LIVESTOCK TYPE],moderate,health context present without clear payment/expenditure wording;health context present; access/barrier role requires raw/codebook check;agriculture/livelihood evidence; moderator role requires raw data,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,1,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sect10a_hh_w5.dta;sect11_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12_com_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta,saq01,admin1_or_admin2,Region code,high,explicit administrative geography or cluster evidence;geography wording present but raw role requires verification,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,2,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,cropshare,admin1_or_admin2;agriculture_livelihood,2019 Percent cropland within anonymizing region,high,explicit administrative geography or cluster evidence;agriculture/livelihood evidence; moderator role requires raw data,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,3,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,dist_admhq,admin1_or_admin2,HH Distance in (KMs) to Capital of Region of Residence,high,explicit administrative geography or cluster evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,4,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,landcov,admin1_or_admin2,Majority land cover class within anonymizing region,high,explicit administrative geography or cluster evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,5,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,lat_dd_mod,latitude_or_longitude,Latitude Modified,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,6,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,lon_dd_mod,latitude_or_longitude,Longitude Modified,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,7,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_center,admin1_or_admin2;rural,Percent of anonymizing region classified as urban center in Degree of Urbanizati,high,explicit administrative geography or cluster evidence;explicit rural/urban residence evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,8,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_cluster,admin1_or_admin2;rural;psu_or_cluster_id,Percent of anonymizing region classified as urban cluster in Degree of Urbanizat,high,explicit administrative geography or cluster evidence;explicit rural/urban residence evidence;explicit PSU/cluster evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,9,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,ssa_aez09,admin1_or_admin2,Majority agro-ecological zones within anonymizing region,high,explicit administrative geography or cluster evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,10,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,suppress,latitude_or_longitude,Anonymized coordinates suppressed due to sparse local population density,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,11,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,twi_ne,admin1_or_admin2,Majority potential wetness index within anonymizing region,high,explicit administrative geography or cluster evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,12,sect10a_com_w5.dta,cs10q05__Accuracy,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: ACCURACY,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,13,sect10a_com_w5.dta,cs10q05__Altitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: ALTITUDE,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,14,sect10a_com_w5.dta,cs10q05__Latitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET:LATITUDE,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,15,sect10a_com_w5.dta,cs10q05__Longitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: LONGITUDE,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,16,sect10a_com_w5.dta,cs10q05__Timestamp,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: TIMESTAMP,high,explicit coordinate/GPS evidence,admin level or GPS availability; coordinate displacement/suppression; merge key; rural/admin consistency; climate linkage precision,"admin geography, cluster, or GPS quality sufficient for climate linkage",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,1,cons_agg_w5.dta,educ_cons_ann,education,annual expenditure on education (including assistance),high,explicit education evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,2,cons_agg_w5.dta,hh_size,household_size,Household Size,high,explicit household-size evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,3,cons_agg_w5.dta,nom_educcons_aeq,education,Nominal annual expenditure on education per adult equivalent,high,explicit education evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,4,sect02_com_w5.dta,cs2q03,sex,3. Sex,high,explicit sex/gender evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,5,sect02_com_w5.dta,cs2q07,education,7. What is the highest educational qualification [NAME] has attained?,high,explicit education evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,6,sect04_com_w5.dta,cs4q59a,sex,"59a. If yes, what is the total share of male beneficiaries?",high,explicit sex/gender evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,7,sect04_com_w5.dta,cs4q59b,sex,"59b. If yes, what is the total share of female beneficiaries?",high,explicit sex/gender evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,8,sect05_com_w5.dta,cs5q10,sex,10. Share of adult males in community participating in cooperative project,high,explicit sex/gender evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,9,sect05_com_w5.dta,cs5q11,sex,11. Share of adult females in community participating in cooperative project,high,explicit sex/gender evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,10,sect10a_hh_w5.dta,s10aq39,household_head_marker,39. Does any member of the household (including the household head) own another,high,explicit household-head evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,11,sect11_com_w5.dta,cs11q16_1,education,16. Is there a reduction in WORK LOAD in the community due to the [MACHINES]?,high,explicit education evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,12,sect11_com_w5.dta,cs11q16_2,education;agriculture_livelihood,16. Is there a reduction in HARVEST LOSS in the community due to the [MACHINES]?,high,explicit education evidence;agriculture/livelihood evidence; moderator role requires raw data,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,13,sect12e_hh_w5.dta,s12eq06a,education;agriculture_livelihood,6A. To what extent you control over reducing the losses on Crop if [events] will,high,explicit education evidence;agriculture/livelihood evidence; moderator role requires raw data,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,14,sect12e_hh_w5.dta,s12eq06b,education;agriculture_livelihood,6B. To what extent you control over reducing the losses on livestock/production,high,explicit education evidence;agriculture/livelihood evidence; moderator role requires raw data,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,15,sect12e_hh_w5.dta,s12eq06c,education,6C. To what extent you control over reducing the losses/damage on properties if,high,explicit education evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,16,sect1_hh_w5.dta,s1q01,household_head_marker,1. What  is the relationship of [NAME] to the head of household?,high,explicit household-head evidence,age/sex/education/household roster logic; household head definition; derived age-structure feasibility,age/sex/education/household structure/assets for adjustment and heterogeneity,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need,double_failure_sample,1,sect3_hh_w5.dta,s3q05,illness_or_injury_need,"5. During the last 4 weeks, did [NAME] suffer from any illness or injury?",high,explicit illness/injury/need evidence,need denominator definition; skip pattern; individual vs household level; recall period; missing and no-need coding,"illness, injury, symptom, or other health-need denominator",raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
