download_priority_order,queue_role,country,wave,idno,requirement,metadata_status,metadata_evidence_excerpt,current_raw_package_status,requirement_acceptance_status,required_evidence,raw_review_action
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,metadata_hit_raw_review_required,ls_s8_2q14: 14.What was the total income from [LIVESTOCK] sales? | ls_s8_2q18: 18.Total income from these sales of the slaughtered [LIVESTOCK] meat,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,cs5q09: 9. Is there a cooperative to create opportunities for work? | cs5q10: 10. Share of adult males in community participating in cooperative project | cs5q11: 11. Share of adult females in community participating ...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,metadata_hit_raw_review_required,"s3q05: 5. During the last 4 weeks, did [NAME] suffer from any illness or injury? | s3q06_1: 6. What type of illness/injury did [NAME] suffer most? (Illness 1) | s3q06_2: 6. What type of illness/injury did [NAME] suffe...",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,metadata_hit_raw_review_required,InterviewStart: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewStart: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. D...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,metadata_hit_raw_review_required,saq19__Latitude: GPS coordinates of the dwelling: Latitude | saq19__Longitude: GPS coordinates of the dwelling: Longitude | saq19__Accuracy: GPS coordinates of the dwelling: Accuracy | saq01: Region code | saq01: Regi...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,metadata_hit_raw_review_required,hhid: Household ID | hhid: Household ID | hhid: Household ID | hhmemid: Household Head Member ID,raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,metadata_hit_raw_review_required,hhwght: IHS2 HH weight | hhwght: IHS2 HH weight | hhwght: IHS2 HH weight | strata: Stratum: district&urb/rural (30 total) | strata: Stratum: district&urb/rural (30 total) | strata: Stratum: district&urb/rural (30 tota...,raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,metadata_hit_raw_review_required,"i03both: I03B - Other response, UNIT of total consumption",raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,"cf15: Are there any farmers' cooperatives, such as NASFAM or TAMA? | cf16: How many such cooperative groups? | cf17: How many farmers participate in these cooperatives groups?",raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,metadata_hit_raw_review_required,"ac08: Did [name] die of old age, an illness or of some other cause | ac09: What was the non-illness cause of [name's] death? | ac10a: What was the illness that caused [name's] death (1st) | cd_51a: What is the distanc...",raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,metadata_hit_raw_review_required,a14b: Month of interview | idate: Interview Date | a14b: Month of interview | idate: Interview Date | catalog years available,raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,metadata_hit_raw_review_required,region: Region | dist: DISTRICT | add: Ag Development District,raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",raw_payload_present_documentation_missing,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,metadata_hit_raw_review_required,hhid: HOUSEHOLD IDENTIFICATION | hhid: HOUSEHOLD IDENTIFICATION | hhid: HOUSEHOLD IDENTIFICATION | indiv: INDIVIDUAL ID | indiv: INDIVIDUAL ID | indiv: INDIVIDUAL ID,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_design,metadata_hit_raw_review_required,wt_wave2: Wave 2 household weight (hhs interviwed in both PP & PH) | wt_combined: Combined Wave 1 & Wave 2 household weight (hhs interviewed in both W1 & W2 | wt_wave2: Wave 2 household weight (hhs interviwed in both ...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,metadata_hit_raw_review_required,totcons: Total consumption per capita | totcons: Total consumption per capita,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,s4aq8: IN THE LAST 6 MONHTS HAVE YOU USED A COOPERATIVE? | s4aq22c: CAN YOU DO ACTIVITIES SUCH AS BENDING OVER OR STOOPING?,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,metadata_hit_raw_review_required,s4aq3: DURING THE PAST 4 WEEKS HAVE YOU SUFFERED FROM AN ILLNESS OR INJURY? | s4aq6a: WHOM DID YOU CONSULT FOR THIS ILLNESS/INJURY IN THE LAST 4 WEEKS?(1ST) | s4aq6b: WHOM DID YOU CONSULT FOR THIS ILLNESS/INJURY IN TH...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,metadata_hit_raw_review_required,c0q3: date of interview | c0q3: date of interview | catalog years available,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,metadata_hit_raw_review_required,s11aq4c: GPS MEASURE IN METER SQ | sa1q9c: WHAT IS THE AREA OF THE PLOT? (GPS MEASURE IN SQUARE METERS) | plot_qa_type: Coordinate description | state: STATE CODE | lga: LGA CODE | state: STATE CODE,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,metadata_hit_raw_review_required,hhid: HOUSEHOLD IDENTIFICATION | hhid: HOUSEHOLD IDENTIFICATION | hhid: HOUSEHOLD IDENTIFICATION | indiv: INDIVIDUAL ID | indiv: INDIVIDUAL ID | indiv: INDIVIDUAL ID,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,metadata_hit_raw_review_required,"wt_wave3: Wave 3 household weight (hhs interviwed in both PP & PH) | wt_w1_w2_w3: Combined Wave 1, 2, & 3 household weight (hhs interviewed in W1, W2, & W3) | wt_wave3: Wave 3 household weight (hhs interviwed in both ...",original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,metadata_hit_raw_review_required,totcons: Total consumption per capita | totcons: Total consumption per capita,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,s4aq8: IN THE LAST 6 MONHTS HAVE YOU USED A COOPERATIVE? | s4aq22c: CAN [NAME] DO ACTIVITIES SUCH AS BENDING OVER OR STOOPING?,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,metadata_hit_raw_review_required,s4aq3: DURING THE PAST 4 WEEKS HAS [NAME] SUFFERED FROM AN ILLNESS/INJURY? | s4aq3b: WHAT TYPE OF ILLNESS/INJURY DID [NAME] SUFFER FROM? | s4aq3b_os: WHAT TYPE OF ILLNESS/INJURY DID [NAME] SUFFER FROM?(OTHER SPECIFY) ...,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,metadata_hit_raw_review_required,c0q3: Date of interview | c0q3: Date of interview | c0q3: Date of interview | c0q3: Date of interview | catalog years available,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,metadata_hit_raw_review_required,s11aq4c: WHAT IS THE AREA OF [PLOT]?(GPS MEASURED IN SQ METER) | s11aq4a1: WAS [PLOT] MEASURED BY GPS? | sa1q1a: WAS PLOT MEASURED USING GPS IN THE PREVIOUS VISIT? | state: STATE CODE | lga: LGA CODE | lga: LGA CODE,original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",original_package_candidate_present,ready_for_raw_requirement_review,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_keys,metadata_hit_raw_review_required,hhid: Unique HH Identifier | hhid: Unique HH Identifier | hhid: household identification | Agcropid: Crop code | cropid: crop id | pid: respondent id,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_design,metadata_hit_raw_review_required,s4aq52: weight | s4bq6: what was the child's birth weight in kilogram? | wt_wave1: Population weight (for use of wave 1 only) | ea: ea code | lat_dd_mod: EA Latitude Modified | lon_dd_mod: EA Longitude Modified,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income,metadata_hit_raw_review_required,totcons: Total consumption per capita | totcons: Total consumption per capita,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,"s4aq22c: can you do activities such as bending over or stooping? | s4q4: Have you used a cooperative, savings assoc or micro-finance inst to save money?",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,health_need_and_access,metadata_hit_raw_review_required,s4aq3: During the past 4 wks have you suffered from any illness or injury? | s4aq6a: Whom did you consult for this illness/injury in last 4 wks?(1st most important) | s4aq6b: Whom did you consult for this illness/inju...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,metadata_hit_raw_review_required,interview_date: date of interview | interview_date: date of interview | catalog years available,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,metadata_hit_raw_review_required,lat_dd_mod: EA Latitude Modified | lon_dd_mod: EA Longitude Modified | sa1q9d: (9d). gps measure in square metres | state: state code | lga: lga code | dist_admctr: HH Distance in (KMs) to Capital of State of Residence,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,household_person_keys,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_design,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,health_need_and_access,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,metadata_hit_raw_review_required,catalog years available,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,not_found_in_public_metadata_raw_review_required,No public metadata hit; verify directly in original package and questionnaires.,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
