download_rank,country,wave,idno,requirement,file_rank,file_name,file_description,candidate_variable_rows,strong_candidate_variable_rows,top_variable_names,official_metadata_status,raw_value_verification_status,minimum_batch_review_role,local_target_folder,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,3,sect_cover_pp_w5.dta,Post-planting - Cover page,2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,4,sect_cover_ph_w5.dta,Post-harvest - Cover page,2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,5,sect_cover_ls_w5.dta,Livestock - Cover page,2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,6,sect3_pp_w5.dta,Post-planting - Field roster,2,2,s3q09__Latitude;s3q09__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,1,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",2,2,InterviewDate;saq19__Timestamp,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,2,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",2,2,InterviewDate;saq19__Timestamp,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,3,sect_cover_ls_w4.dta,Holder educational level and holding type,2,1,InterviewDate;saq19__Timestamp,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,4,sect12b1_hh_w4.dta,"Nonfarm enterprises - Characteristics of enterprises owned by the household: sector, employment, revenue, expenses and tax and fees related to the business.",2,2,s12bq08a;s12bq08b,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,5,ETH_HouseholdGeovariables_Y4.dta,Household geo-variables,2,1,wetQ_avgstart;h2018_wetQstart,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,6,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,1,InterviewStart,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,7,sect15b_hh_w4.dta,"Credit (questions 2 to 10) - Loans or credit received by the household: source, repayment, collateral and challenges in accessing credit.",1,0,s15q06b,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,1,sect_cover_ph_w4.dta,"Holder location identification; household size, agriculture holding type: farming, livestock, or both, field staff identification.",3,3,saq19__Latitude;saq19__Longitude;ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,2,sect_cover_pp_w4.dta,"Holder location identification; name of household head, name of holder, household size, type of agriculture holding type: farming, livestock, or both; field staff identification.",2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,3,sect_cover_ls_w4.dta,Holder educational level and holding type,2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,4,sect3_pp_w4.dta,"Field Roster - Information on all fields (sub-parcels) owned and managed, including holder self-reported area, GPS and compass measured area, labor inputs, and other details about each fi...",2,2,s3q09__Latitude;s3q09__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,5,sect10a_com_w4.dta,Market Prices - Market prices in the first closest market center.,2,2,cs10q05__Latitude;cs10q05__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,6,sect_cover_hh_w4.dta,"Household identification; location; household size, and field staff identification",1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,1,secta_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A (Household Identification). The data also contains geographic area identification variables.",12,12,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;saq22bm,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,1,HHTrack,"This data contains household interview status for wave 1 and wave 2, wave 1 and wave 2 population weights, and combined wave 1 and wave 2 population weights.",4,0,ea;lga;state;zone,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,2,secta_harvestw2,"Data collected using Post Harvest Agriculture Questionnaire, Section A (Household Identification). The data also contains geographic area identification variables.",4,0,ea;lga;state;zone,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,3,NGA_HouseholdGeovars_Y2,,2,2,LAT_DD_MOD;LON_DD_MOD,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,4,cons_agg_wave2_visit1,Consumption aggregate data (visit 1),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,5,cons_agg_wave2_visit2,Consumption aggregate data (visit 2),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,1,secta_harvestw3,"Data on household identifier variables, enumerator, supervisor, and data entry clerk identifiers, date and time of interview and data entry, and observation notes by enumerator regarding ...",12,12,saq14ah;saq14am;saq14bh;saq14bm;saq17ah;saq17am;saq17bh;saq17bm;saq20ah;saq20am;saq20bh;saq20bm,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,1,sect1_harvestw3,"Individual level data on relationship to the household, gender, year of birth, age, marital status, polygamous marriages, spouse identification, parental status, place of birth, date join...",4,4,s1q31a;s1q31b;s1q31c;s1q31d,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,2,NGA_HouseholdGeovars_Y3,Household level geospatial data,2,2,LAT_DD_MOD;LON_DD_MOD,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,3,sectc1_harvestw3,"Community data on respondent characteristics - collected through Post Harvest Community Questionnaire, Section C1 (Respondent Characteristics)",2,2,ea;lga,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,4,sectc2_harvestw3,"Data on community infrastructure and transportation - collected through Post Harvest Community Questionnaire, Section C2 (Community Infrastructure and Transportation)",2,2,ea;lga,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,5,cons_agg_wave3_visit1,Consumption aggregate data (visit 1),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,6,cons_agg_wave3_visit2,Consumption aggregate data (visit 2),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,1,secta_harvestw1,,11,11,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,2,sectc_plantingw1,,1,1,interview_date,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,1,NGA_HouseholdGeovariables_Y1,,10,10,lat_dd_mod;lon_dd_mod;ea;eviarea_avg;grn_avg;h2010_eviarea;h2010_grn;h2010_sen;lga;sen_avg,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,2,cons_agg_wave1_visit1,Consumption aggregate data (visit 1),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,3,cons_agg_wave1_visit2,Consumption aggregate data (visit 2),1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,1,SEC_A_T_Swahili_Labels,SECTION A-1: Household Identification SECTION T-1: Household Recontact Information SECTION T-2: Filter Questions for Ag Module This file contains data with Swahili labels,4,0,endmin;sa2q17endhr;sa2q17starthr;sa2q17startmins,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,2,SEC_A_T_English_Labels,SECTION A-1: Household Identification SECTION T-1: Household Recontact Information SECTION T-2: Filter Questions for Ag Module This file contains data with English labels,3,0,endmin;sa2q17endhr;sa2q17starthr,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,3,SECTA1A2_English_Labels,Community Questionnaire Section CA: Identification This file contains data with English labels,2,2,ca07m;ca07y,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,4,SEC_R_Swahili_Labels,SECTION R: Recent Shocks to Household Welfare This file contains data with Swahili labels,2,0,srq5month;srq5year,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,5,TZY1.HH.Consumption,Aggregated consumption expenditure data.,1,1,intmonth,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,1,HH.Geovariables_Y1,,3,3,ea_id;lat_modified;lon_modified,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,2,SEC_A_T_English_Labels,SECTION A-1: Household Identification SECTION T-1: Household Recontact Information SECTION T-2: Filter Questions for Ag Module This file contains data with English labels,2,2,clusterid;ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,3,SEC_A_T_Swahili_Labels,SECTION A-1: Household Identification SECTION T-1: Household Recontact Information SECTION T-2: Filter Questions for Ag Module This file contains data with Swahili labels,1,1,ea,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,4,SECTA1A2_Swahili_Labels,Community Questionnaire Section CA: Identification This file contains data with Swahili labels,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,5,SECTCB_Swahili_Labels,Community Questionnaire Section CB: Access to Basic Services This file contains data with Swahili labels,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,6,SECTCEFG,Community Questionnaire Section CE: Agriculture Section CF: Demography and Family Issues Section CG: Governance,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,7,SECTCH,Community Questionnaire Section CH: Roster of Community Leaders,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,8,SECTCI,Community Questionnaire Section CI: Crime and Policing,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,1,HH_SEC_C,"This file contains data from section C of the Household questionnaire - educational attainment, school characteristics, and expenditures.",3,0,hh_c08;hh_c10;hh_c30,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,2,HH_SEC_E1,"This file contains data related to section E of the Household questionnaire - labor market participation during the last seven days, wage work, non-farm enterprise activity, and domestic ...",3,0,hh_e44;hh_e67;hh_e68,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,3,HH_SEC_A,"This file contains data related to section A of the Household questionnaire - household identifier variables, weights, cluster identification strata identification, 2008/09 household id, ...",2,2,hh_a18_month;hh_a18_year,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,4,HH_SEC_D,This file contains data related to section D of the Household questionnaire - general health status and utilization of health services.,2,0,hh_d05_1;hh_d05_2,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,5,TZY1.HH.Consumption,Household consumption aggregate from year 1 (2008-2009).,1,1,intmonth,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,6,TZY2.HH.Consumption,Household consumption aggregate from year 2.,1,1,intmonth,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,1,HH_SEC_A,"This file contains data related to section A of the Household questionnaire - household identifier variables, weights, cluster identification strata identification, 2008/09 household id, ...",6,6,clusterid;district;ea;hh_a18_year;region;ward,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,2,TZY2.EA.Offsets,This file contains the GPS coordinates for the Enumeration Area Center.,2,2,clusterid;rum,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,3,Plot.Geovariables_Y2,,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,4,TZY1.HH.Consumption,Household consumption aggregate from year 1 (2008-2009).,1,1,urban,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,5,TZY2.HH.Consumption,Household consumption aggregate from year 2.,1,1,urban,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,6,HH.Geovariables_Y2,,1,1,ea_id,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,1,HH_SEC_A.NSDstat,"SECTION A: HOUSEHOLD IDENTIFICATION / SURVEY STAFF DETAILS Household location variables, unique within panel round household identification variables, date and time of interview, analytic...",4,4,hh_a18;hh_a18_1;hh_a18_2;hh_a18_3,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,2,COM_SEC_A1A2.NSDstat,"Community identification information including region, district, ward, regional capital identifier, location of market price information, and enumeration area, as well as survey staff inf...",4,4,cm_a07;cm_a07_1;cm_a07_2;cm_a07_3,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,3,AG_SEC_A.NSDstat,"Household location variables, unique within panel round household identification variables, date and time of interview, analytic weights, cluster identification, sampling strata identific...",2,2,ag_a13;ag_a12_1,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,4,LF_SEC_A.NSDstat,"SECTION A: HOUSEHOLD IDENTIFICATION / SURVEY STAFF DETAILS Household location variables, unique within panel round household identification variables, date and time of interview, analytic...",1,1,lf_a13,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,5,AG_SEC_12A.NSDstat,"Any extension services or advice that the household received for agricultural or livestock activities in the past 12 months through government extension, NGOs, Cooperative/Farmer’s Associ...",1,1,ag12a_07,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_data_write,blocked
