priority_rank,priority_score,idno,dataset,official_url,file_name,module_guess,unit_guess,candidate_categories,candidate_harmonized_variables,candidate_raw_variables_examples,candidate_variable_count,download_status,post_download_action,notes
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect11_com_w5.dta,agriculture,community/geography,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;education;psu_or_cluster_id;rural,saq01;saq14;ea_id;saq07;cs11q16_1;cs11q16_2;cs11q01;cs11q02a;cs11q02e;cs11q03;cs11q04a;cs11q04e,26,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,eth_householdgeovariables_y5.dta,other,household,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,dist_admhq;dist_border;dist_market;dist_popcenter;dist_road;cropshare;dist_admhq;landcov;lat_dd_mod;lon_dd_mod;pct_urban_center;pct_urban_center,25,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,eth_plotgeovariables_y5.dta,agriculture,agriculture/plot,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,dist_admhq;dist_border;dist_market;dist_popcenter;dist_road;cropshare;dist_admhq;landcov;lat_dd_mod;lon_dd_mod;pct_urban_center;pct_urban_center,25,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect8_4_ls_w5.dta,other,agriculture/plot,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;ls_code;ls_s8_4_q02;ls_s8_4aq20;ls_s8_4aq21_1;ls_s8_4aq21_2;ls_s8_4aq22,25,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect9_hh_w5.dta,shocks,household,demographics;geography;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable;strata,saq01;saq14;ea_id;pw_w5;s9q04_1;s9q04_2;s9q04_3;saq07;saq08;s9q03b;s9q01;s9q02,23,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect15b_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;coping_borrowed;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;loan_id;s15q02b;s15q03_1;s15q03_2;s15q04;s15q05,21,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect_cover_ls_w5.dta,other,agriculture/plot,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;household_head_marker;household_size;household_weight_or_person_weight;interview_date_or_survey_month;latitude_or_longitude;psu_or_cluster_id;rural,saq01;saq14;saq19__Accuracy;saq19__Altitude;saq19__Latitude;saq19__Longitude;saq19__Timestamp;InterviewDate;ea_id;pw_w5;saq07;saq08,21,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect_cover_pp_w5.dta,other,unknown,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;household_head_marker;household_size;household_weight_or_person_weight;interview_date_or_survey_month;latitude_or_longitude;psu_or_cluster_id;rural,saq01;saq14;saq19__Accuracy;saq19__Altitude;saq19__Latitude;saq19__Longitude;saq19__Timestamp;InterviewDate;ea_id;pw_w5;saq07;saq08,21,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12e_hh_w5.dta,other,household,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,saq01;saq14;ea_id;pw_w5;saq07;saq08;s12eq03_3;s12eq05_3;s12eq06a;s12eq06b;s12eq06c;risk_type,20,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect_cover_ph_w5.dta,other,unknown,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;education;hhid;household_head_marker;household_weight_or_person_weight;interview_date_or_survey_month;latitude_or_longitude;psu_or_cluster_id;rural,saq01;saq14;saq19__Accuracy;saq19__Altitude;saq19__Latitude;saq19__Longitude;saq19__Timestamp;InterviewDate;ea_id;pw_w5;saq07;saq08,20,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect1_hh_w5.dta,demographics/roster,household,demographics;geography;health_need_access;survey_design,admin1_or_admin2;education;hhid;household_head_marker;household_weight_or_person_weight;pid;psu_or_cluster_id;reason_not_sought_distance;rural;sex,s1q36;s1q37;s1q12;s1q26;s1q27;s1q28;saq01;saq14;ea_id;individual_id;pw_w5;s1q14,19,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect10a_hh_w5.dta,other,household,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;hhid;household_head_marker;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;s10aq01a;s10aq01b;s10aq02;s10aq03;s10aq07;s10aq08,18,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect9a_pp_w5.dta,agriculture,agriculture/plot,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;sccq03;sccq04;crop_id;s4q01a;s4q01b;saq15,18,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect_cover_hh_w5.dta,other,household,demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;hhid;household_head_marker;household_size;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;rural,saq01;saq14;saq19__Accuracy;saq19__Altitude;saq19__Latitude;saq19__Longitude;saq19__Timestamp;ea_id;pw_w5;saq07;saq08;saq09,18,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect15a_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;coping_borrowed;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;s15q01;s15q11;s15q13;s15q14;s15q15_1;s15q15_2,16,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect8_1_ls_w5.dta,other,agriculture/plot,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;ls_code;ls_s8_1q01;ls_s8_1q02;ls_s8_1q03;ls_s8_1q04_1;ls_s8_1q04_2,16,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect10_ph_w5.dta,other,unknown,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;crop_id;s10q02;s10q04;s10q05;s10q05b;s10q06,15,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect4_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural,saq01;saq14;ea_id;individual_id;pw_w5;saq07;saq08;s4q05;s4q06;s4q07;s4q18_os;s4q21,14,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,cons_agg_w5.dta,consumption/welfare,household,consumption;demographics;geography;survey_design,admin1_or_admin2;education;food_consumption;household_size;household_weight_or_person_weight;nonfood_consumption;psu_or_cluster_id;rural,food_cons2;food_cons_ann;nom_nonfoodcons_aeq;nonfood_cons2;nonfood_cons2;nonfood_cons_ann;saq01;saq14;ea_id;pw_w5;educ_cons_ann;hh_size,13,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect2_hh_w5.dta,other,household,demographics;geography;health_need_access;survey_design,admin1_or_admin2;age;education;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;reason_not_sought_distance;reason_not_sought_supply;rural,s2q12b;s2q12c;s2q12d;s2q13_os;saq01;saq14;ea_id;individual_id;pw_w5;saq07;saq08;s2q00,13,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect5b_hh_w5.dta,other,household,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural,s5bq14;saq01;saq14;ea_id;individual_id;pw_w5;saq07;saq08;s5bq12a;s5bq12b;s5bq12c;s5bq12d,13,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect5_pp_w5.dta,other,unknown,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,s5q05;s5q06;s5q15;saq01;saq14;ea_id;pw_w5;saq07;saq08;s5q04;saq15,11,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12b1_hh_w5.dta,demographics/roster,household,geography;health_need_access;shocks;survey_design,admin1_or_admin2;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,s12bq17d;saq01;saq14;ea_id;pw_w5;saq07;saq08;s12bq25_1;s12bq25_2;s12bq25_3,10,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12b2_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,saq01;saq14;ea_id;pw_w5;saq07;saq08;s12bq26;s12bq27_1;s12bq27_2;s12bq27_3,10,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12d_hh_w5.dta,geography,household,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;Livestock_code;s12dq04;s12dq05;s12dq07,10,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect1_ph_w5.dta,demographics/roster,household,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,saq01;saq14;ea_id;pw_w5;s1q00;saq07;saq08;s1q03;s1q04;saq15,10,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect1_pp_w5.dta,demographics/roster,household,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural;sex,saq01;saq14;ea_id;pw_w5;s1q00;saq07;saq08;s1q03;s1q04;saq15,10,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect10a_com_w5.dta,other,community/geography,geography;survey_design,admin1_or_admin2;latitude_or_longitude;psu_or_cluster_id;rural,cs10q05__Accuracy;cs10q05__Altitude;cs10q05__Latitude;cs10q05__Longitude;cs10q05__Timestamp;saq01;saq14;ea_id;saq07,9,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12a_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural,saq01;saq14;ea_id;pw_w5;saq07;saq08;s12aq01_1;s12aq01_2;s12aq01_8,9,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect12f_hh_w5.dta,other,household,geography;shocks;survey_design,admin1_or_admin2;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,saq01;saq14;ea_id;pw_w5;saq07;saq08;s12fq07;s12fq08;s12fq09,9,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect5a_hh_w5.dta,other,household,demographics;geography;shocks;survey_design,admin1_or_admin2;age;coping_borrowed;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id;rural,saq01;saq14;ea_id;individual_id;pw_w5;saq07;saq08;s5aq15;s5aq04_3,9,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
