download_rank,country,wave,idno,catalog_id,official_get_microdata_url,local_target_folder,file_id,expected_file_name,file_description,case_quantity,variable_quantity,priority_core_target,core_requirements,core_top_variable_names,current_official_file_match_status,matched_local_locations,acceptance_gate_status,post_download_acceptance_action,fill_received_file_or_archive_member,fill_sha256_verified,fill_units_recall_skip_reviewed,fill_ready_for_raw_value_review,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F19,sect11_hh_w5.dta,Household Data - Assets,183483,17,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F2,sect1_hh_w5.dta,Household Data - Roster,25374,63,1,household_person_keys,individual_id;household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F20,sect12a_hh_w5.dta,Household Data - Nonfarm enterprises participation filter question,4959,20,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1551,68,1,household_person_keys;survey_timing,household_id;s12bq08a;s12bq08b,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F22,sect12b2_hh_w5.dta,Household Data - Nonfarm enterprises start-up barriers,3518,16,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F23,sect12c_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of the agriculture survey,1096,32,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F24,sect12c_q1_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of agriculture survey: filter question,2875,13,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F25,sect12d_hh_w5.dta,Household Data - Livestock for All Urban EAs and rural EAs that are not part of the agriculture survey,46000,21,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F26,sect12e_hh_w5.dta,Household Data - Perception of climate risk,49590,27,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F27,sect12f_hh_w5.dta,Household Data - Perception of climate risk: source of information,4959,17,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F28,sect13_hh_w5.dta,Household Data - Other income,69426,21,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F29,sect14_hh_w5.dta,Household Data - Assistance,14877,30,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F3,sect2_hh_w5.dta,Household Data - Education,22688,43,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F30,sect15a_hh_w5.dta,Credit access filter and constraints,4959,29,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F31,sect15b_hh_w5.dta,Credit details data,1033,30,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F32,sect01a_com_w5.dta,Community - Cover/ identification,433,11,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F33,sect01b_com_w5.dta,Community - Cover/ community overview/ observation,433,23,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F34,sect02_com_w5.dta,Community - Roster of informants,2335,19,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F35,sect03_com_w5.dta,Community - Community basic information/ demographics,433,36,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,433,106,1,health_need_and_access,cs4q37;cs4q34;cs4q35;cs4q28,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F37,sect05_com_w5.dta,Community - Economic activities and employment,433,27,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F38,sect06_com_w5.dta,Community - Agriculture,433,69,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F39,sect07_com_w5.dta,Community - Changes and events,668,18,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F4,sect3_hh_w5.dta,Household Data - Health,22688,69,1,health_need_and_access;oop_health_expenditure,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q17;s3q18,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F40,sect08_com_w5.dta,Community - Community needs,4763,34,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F41,sect09_com_w5.dta,Community - Productive safety net program,433,26,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F42,sect10a_com_w5.dta,Community - Market prices: market location,433,19,1,climate_geography,cs10q05__Latitude;cs10q05__Longitude,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F43,sect10b_com_w5.dta,Community - Prices in market,27155,16,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F44,sect11_com_w5.dta,Community - Agriculture mechanization,3464,43,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F45,sect12_com_w5.dta,Community - Virtual/video extension services,433,15,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,2110,29,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F47,sect1_pp_w5.dta,Post-planting - Household roster,12117,23,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,6594,54,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F49,sect3_pp_w5.dta,Post-planting - Field roster,14878,145,1,climate_geography;health_need_and_access;household_person_keys,s3q09__Latitude;s3q09__Longitude;s3q15_1;s3q15_2;household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F5,sect3b_hh_w5.dta,Household Data - COVID-19,22688,23,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,14239,62,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F51,sect5_pp_w5.dta,Post-planting - Seed acquisition,7733,36,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F52,sect7_pp_w5.dta,Post-planting - Holder questions,2110,88,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F53,sect9a_pp_w5.dta,Post-planting - Crop cut by field (for specified fields and crops only),14239,26,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,1596,28,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F55,sect1_ph_w5.dta,Post-harvest - Household roster,9058,21,1,household_person_keys,household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F56,sect9_ph_w5.dta,Post-harvest - Harvest by field,13772,48,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F57,sect10_ph_w5.dta,Post-harvest - Harvest labor,13608,59,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F58,sect11_ph_w5.dta,Post-harvest - Crop utilization,7534,75,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F59,sect_cover_ls_w5.dta,Livestock - Cover page,2110,29,1,climate_geography;survey_timing,saq19__Latitude;saq19__Longitude;InterviewDate,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F6,sect4_hh_w5.dta,Household Data - Labor and time use,22688,82,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F60,sect8_1_ls_w5.dta,Livestock - Livestock inventory and ownership,31776,25,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F61,sect8_2_ls_w5.dta,Livestock - Livestock change,28400,36,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10650,81,1,oop_health_expenditure,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F63,sect8_4_ls_w5.dta,"Livestock - Milk and egg production, animal power, and dung",28400,42,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F64,eth_householdgeovariables_y5.dta,Household geo-variables,4890,52,1,survey_timing,wetQ_avgstart,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F65,eth_plotgeovariables_y5.dta,Plot geo-variables,4890,52,1,survey_timing,wetQ_avgstart,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,4959,22,1,consumption_or_income,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F67,crop_cf_wave5.dta,Crop unit of measurement conversion factor data,1175,12,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
