variable_name,status,dtype_2024,dtype_2025,dtype_changed,label_2024,label_2025,label_changed
ACOMMTYPE,common,integer,integer,False,"Status Flag for RJB1_COMMTYP, RJB2_COMMTYP, RJB3_COMMTYP, RJB4_COMMTYP, RJB5_COMMTYP, RJB6_COMMTYP, RJB7_COMMTYP,","Status Flag for RJB1_COMMTYP, RJB2_COMMTYP, RJB3_COMMTYP, RJB4_COMMTYP, RJB5_COMMTYP, RJB6_COMMTYP, RJB7_COMMTYP,",False
ACONDBRIDGE1,common,integer,integer,False,Status Flag for RCONDBRIDGE1,Status Flag for RCONDBRIDGE1,False
ACONDBRIDGE2,common,integer,integer,False,Status Flag for RCONDBRIDGE2,Status Flag for RCONDBRIDGE2,False
ACONDBRIDGE3,common,integer,integer,False,Status Flag for RCONDBRIDGE3,Status Flag for RCONDBRIDGE3,False
ACONDSUBTYP1,common,integer,integer,False,Status Flag for RCONDSUBTYP1,Status Flag for RCONDSUBTYP1,False
ACONDSUBTYP2,common,integer,integer,False,Status Flag for RCONDSUBTYP2,Status Flag for RCONDSUBTYP2,False
ACONDSUBTYP3,common,integer,integer,False,Status Flag for RCONDSUBTYP3,Status Flag for RCONDSUBTYP3,False
ACONDTYP1,common,integer,integer,False,Status Flag for RCONDTYP1,Status Flag for RCONDTYP1,False
ACONDTYP2,common,integer,integer,False,Status Flag for RCONDTYP2,Status Flag for RCONDTYP2,False
ACONDTYP3,common,integer,integer,False,Status Flag for RCONDTYP3,Status Flag for RCONDTYP3,False
ACRMTH,common,integer,integer,False,Status Flag for ECRMTH,Status Flag for ECRMTH,False
ACSAGREE,common,integer,integer,False,Status Flag for ECSAGREE,Status Flag for ECSAGREE,False
ACSAMT,common,integer,integer,False,Status Flag for TCSAMT,Status Flag for TCSAMT,False
ACSANY,common,integer,integer,False,Status Flag for ECSANY,Status Flag for ECSANY,False
ACSMNYN,common,integer,integer,False,Status Flag for ECSMNYN,Status Flag for ECSMNYN,False
ACS_CFLG,common,integer,integer,False,Status Flag for RCS_CFLG,Status Flag for RCS_CFLG,False
ADALYDRG,common,integer,integer,False,Status Flag for EDALYDRG,Status Flag for EDALYDRG,False
ADAYCARE,common,integer,integer,False,Status Flag for EDAYCARE,Status Flag for EDAYCARE,False
ADAYHS,common,integer,integer,False,Status Flag for EDAYHS,Status Flag for EDAYHS,False
ADAYSICK,common,integer,integer,False,Status Flag for TDAYSICK,Status Flag for TDAYSICK,False
ADCPRTCPTN,common,integer,integer,False,Status Flag for EDCPRTCPTN,Status Flag for EDCPRTCPTN,False
ADDELAY,common,integer,integer,False,Status Flag for EDDELAY,Status Flag for EDDELAY,False
ADEBT_AST,common,integer,integer,False,Status Flag for TDEBT_AST,Status Flag for TDEBT_AST,False
ADEBT_BUS,common,integer,integer,False,Status Flag for TDEBT_BUS,Status Flag for TDEBT_BUS,False
ADEBT_CC,common,integer,integer,False,Status Flag for EDEBT_CC,Status Flag for EDEBT_CC,False
ADEBT_ED,common,integer,integer,False,Status Flag for EDEBT_ED,Status Flag for EDEBT_ED,False
ADEBT_HOME,common,integer,integer,False,Status Flag for TDEBT_HOME,Status Flag for TDEBT_HOME,False
ADEBT_MED,common,integer,integer,False,Status Flag for EDEBT_MED,Status Flag for EDEBT_MED,False
ADEBT_OT,common,integer,integer,False,Status Flag for EDEBT_OT,Status Flag for EDEBT_OT,False
ADEBT_RE,common,integer,integer,False,Status Flag for TDEBT_RE,Status Flag for TDEBT_RE,False
ADEBT_RENT,common,integer,integer,False,Status Flag for TDEBT_RENT,Status Flag for TDEBT_RENT,False
ADEBT_SEC,common,integer,integer,False,Status Flag for TDEBT_SEC,Status Flag for TDEBT_SEC,False
ADEBT_USEC,common,integer,integer,False,Status Flag for TDEBT_USEC,Status Flag for TDEBT_USEC,False
ADEBT_VEH,common,integer,integer,False,Status Flag for TDEBT_VEH,Status Flag for TDEBT_VEH,False
ADEPCLM,common,integer,integer,False,Status Flag for EDEPCLM,Status Flag for EDEPCLM,False
ADIF10,common,integer,integer,False,Status Flag for EDIF10,Status Flag for EDIF10,False
ADINROP,common,integer,integer,False,Status Flag for EDINROP,Status Flag for EDINROP,False
ADINRPAR,common,integer,integer,False,Status Flag for EDINRPAR,Status Flag for EDINRPAR,False
ADIRECTANN,common,integer,integer,False,Status Flag for RDIRECTANN,Status Flag for RDIRECTANN,False
ADIS,common,integer,integer,False,Status Flag for RDIS,Status Flag for RDIS,False
ADIS10AMT,common,integer,integer,False,Status Flag for TDIS10AMT,Status Flag for TDIS10AMT,False
ADIS10MNYN,common,integer,integer,False,Status Flag for EDIS10MNYN,Status Flag for EDIS10MNYN,False
ADIS10_CFLG,common,integer,integer,False,Status Flag for TDIS10_CFLG,Status Flag for TDIS10_CFLG,False
ADIS1AMT,common,integer,integer,False,Status Flag for TDIS1AMT,Status Flag for TDIS1AMT,False
ADIS1MNYN,common,integer,integer,False,Status Flag for EDIS1MNYN,Status Flag for EDIS1MNYN,False
ADIS1_CFLG,common,integer,integer,False,Status Flag for TDIS1_CFLG,Status Flag for TDIS1_CFLG,False
ADIS2AMT,common,integer,integer,False,Status Flag for TDIS2AMT,Status Flag for TDIS2AMT,False
ADIS2MNYN,common,integer,integer,False,Status Flag for EDIS2MNYN,Status Flag for EDIS2MNYN,False
ADIS2_CFLG,common,integer,integer,False,Status Flag for TDIS2_CFLG,Status Flag for TDIS2_CFLG,False
ADIS3AMT,common,integer,integer,False,Suppressed,Status Flag for TDIS3AMT,True
ADIS3MNYN,common,integer,integer,False,Status Flag for EDIS3MNYN,Status Flag for EDIS3MNYN,False
ADIS3_CFLG,common,integer,integer,False,Status Flag for TDIS3_CFLG,Status Flag for TDIS3_CFLG,False
ADIS4AMT,common,integer,integer,False,Status Flag for TDIS4AMT,Status Flag for TDIS4AMT,False
ADIS4MNYN,common,integer,integer,False,Status Flag for EDIS4MNYN,Status Flag for EDIS4MNYN,False
ADIS4_CFLG,common,integer,integer,False,Status Flag for TDIS4_CFLG,Status Flag for TDIS4_CFLG,False
ADIS5AMT,common,integer,integer,False,Status Flag for TDIS5AMT,Status Flag for TDIS5AMT,False
ADIS5MNYN,common,integer,integer,False,Status Flag for EDIS5MNYN,Status Flag for EDIS5MNYN,False
ADIS5_CFLG,common,integer,integer,False,Status Flag for TDIS5_CFLG,Status Flag for TDIS5_CFLG,False
ADIS6AMT,common,integer,integer,False,Suppressed,Suppressed,False
ADIS6MNYN,common,integer,integer,False,Status Flag for EDIS6MNYN,Status Flag for EDIS6MNYN,False
ADIS6_CFLG,common,integer,integer,False,Status Flag for TDIS6_CFLG,Status Flag for TDIS6_CFLG,False
ADIS7AMT,common,integer,integer,False,Status Flag for TDIS7AMT,Status Flag for TDIS7AMT,False
ADIS7MNYN,common,integer,integer,False,Status Flag for EDIS7MNYN,Status Flag for EDIS7MNYN,False
ADIS7_CFLG,common,integer,integer,False,Status Flag for TDIS7_CFLG,Status Flag for TDIS7_CFLG,False
ADIS8AMT,common,integer,integer,False,Status Flag for TDIS8AMT,Suppressed,True
ADIS8MNYN,common,integer,integer,False,Status Flag for EDIS8MNYN,Suppressed,True
ADIS8_CFLG,common,integer,integer,False,Status Flag for TDIS8_CFLG,Suppressed,True
ADIS9AMT,common,integer,integer,False,Suppressed,Suppressed,False
ADIS9MNYN,common,integer,integer,False,Suppressed,Suppressed,False
ADIS9_CFLG,common,integer,integer,False,Suppressed,Suppressed,False
ADISABL,common,integer,integer,False,Status Flag for EDISABL,Status Flag for EDISABL,False
ADISANY,common,integer,integer,False,Status Flag for EDISANY,Status Flag for EDISANY,False
ADISTYPTWO,common,integer,integer,False,Status Flag for EDISTYPTWO,Status Flag for EDISTYPTWO,False
ADISTYPYN,common,integer,integer,False,"Status Flag for EDISTYP10YN, EDISTYP1YN, EDISTYP2YN, EDISTYP3YN, EDISTYP4YN, EDISTYP5YN, EDISTYP6YN, EDISTYP7YN, EDISTYP8YN, EDISTYP9YN,","Status Flag for EDISTYP10YN, EDISTYP1YN, EDISTYP2YN, EDISTYP3YN, EDISTYP4YN, EDISTYP5YN, EDISTYP6YN, EDISTYP7YN, EDISTYP8YN, EDISTYP9YN,",False
ADIS_ALT,common,integer,integer,False,Status Flag for RDIS_ALT,Status Flag for RDIS_ALT,False
ADOB_BMONTH,common,integer,integer,False,Status Flag for EDOB_BMONTH,Status Flag for EDOB_BMONTH,False
ADOB_BYEAR,common,integer,integer,False,Status Flag for TDOB_BYEAR,Status Flag for TDOB_BYEAR,False
ADOCNUM,common,integer,integer,False,Status Flag for TDOCNUM,Status Flag for TDOCNUM,False
ADPCAREAMT,common,integer,integer,False,Status Flag for TDPCAREAMT,Status Flag for TDPCAREAMT,False
AECNTAMT,common,integer,integer,False,Status Flag for TECNTAMT,Status Flag for TECNTAMT,False
AECNTAMT1,common,integer,integer,False,Status Flag for TECNTAMT1,Status Flag for TECNTAMT1,False
AECNTAMT2,common,integer,integer,False,Status Flag for TECNTAMT2,Status Flag for TECNTAMT2,False
AECNTAMT_401,common,integer,integer,False,Status Flag for TECNTAMT_401,Status Flag for TECNTAMT_401,False
AECNTAMT_IRA,common,integer,integer,False,Status Flag for TECNTAMT_IRA,Status Flag for TECNTAMT_IRA,False
AECNTYN_401,common,integer,integer,False,Status Flag for EECNTYN_401,Status Flag for EECNTYN_401,False
AECNTYN_IRA,common,integer,integer,False,Status Flag for EECNTYN_IRA,Status Flag for EECNTYN_IRA,False
AEDCRED,common,integer,integer,False,Status Flag for EEDCRED,Status Flag for EEDCRED,False
AEDFTPT,common,integer,integer,False,Status Flag for EEDFTPT,Status Flag for EEDFTPT,False
AEDGRADE,common,integer,integer,False,Status Flag for EEDGRADE,Status Flag for EEDGRADE,False
AEDGREP,common,integer,integer,False,Status Flag for EEDGREP,Status Flag for EEDGREP,False
AEDHEADST,common,integer,integer,False,Status Flag for EEDHEADST,Status Flag for EEDHEADST,False
AEDMONTH,common,integer,integer,False,"Status Flag for EEDBMONTH, EEDEMONTH, EEDPRDNUM,","Status Flag for EEDBMONTH, EEDEMONTH, EEDPRDNUM,",False
AEDTYPE,common,integer,integer,False,Status Flag for EEDTYPE,Status Flag for EEDTYPE,False
AEDUC,common,integer,integer,False,Status Flag for EEDUC,Status Flag for EEDUC,False
AED_CFLG,common,integer,integer,False,Status Flag for RED_CFLG,Status Flag for RED_CFLG,False
AED_SCRNR,common,integer,integer,False,Status Flag for EED_SCRNR,Status Flag for EED_SCRNR,False
AEHC_METRO,common,integer,integer,False,Status Flag for TEHC_METRO,Status Flag for TEHC_METRO,False
AEHC_MVMO,common,integer,integer,False,Status Flag for EEHC_MVMO,Status Flag for EEHC_MVMO,False
AEHC_MVYR,common,integer,integer,False,Status Flag for TEHC_MVYR,Status Flag for TEHC_MVYR,False
AEHC_PVTEN,common,integer,integer,False,Status Flag for EEHC_PVTEN,Status Flag for EEHC_PVTEN,False
AEHC_REGION,common,integer,integer,False,Status Flag for TEHC_REGION,Status Flag for TEHC_REGION,False
AEHC_RENTSUB,common,integer,integer,False,Status Flag for EEHC_RENTSUB,Status Flag for EEHC_RENTSUB,False
AEHC_ST,common,integer,integer,False,Status Flag for TEHC_ST,Status Flag for TEHC_ST,False
AEHC_TEN,common,integer,integer,False,Status Flag for EEHC_TEN,Status Flag for EEHC_TEN,False
AEHC_VOUCHER,common,integer,integer,False,Status Flag for EEHC_VOUCHER,Status Flag for EEHC_VOUCHER,False
AEHC_WHY,common,integer,integer,False,Status Flag for EEHC_WHY,Status Flag for EEHC_WHY,False
AEITC,common,integer,integer,False,Status Flag for EEITC,Status Flag for EEITC,False
AEMPLOYANN,common,integer,integer,False,Status Flag for REMPLOYANN,Status Flag for REMPLOYANN,False
AEND1_YR,common,integer,integer,False,Status Flag for TEND1_YR,Status Flag for TEND1_YR,False
AEND2_YR,common,integer,integer,False,Status Flag for TEND2_YR,Status Flag for TEND2_YR,False
AEND3_YR,common,integer,integer,False,Status Flag for TEND3_YR,Status Flag for TEND3_YR,False
AENERGY_ASST,common,integer,integer,False,Status Flag for EENERGY_ASST,Status Flag for EENERGY_ASST,False
AENERGY_PMT,common,integer,integer,False,"Status Flag for EENERGY_PMT1, EENERGY_PMT2, EENERGY_PMT3,","Status Flag for EENERGY_PMT1, EENERGY_PMT2, EENERGY_PMT3,",False
AENROLL,common,integer,integer,False,Status Flag for RENROLL,Status Flag for RENROLL,False
AEPREVPEN,common,integer,integer,False,Status Flag for EEPREVPEN,Status Flag for EEPREVPEN,False
AEQ_BUS,common,integer,integer,False,Status Flag for TEQ_BUS,Status Flag for TEQ_BUS,False
AEQ_HOME,common,integer,integer,False,Status Flag for TEQ_HOME,Status Flag for TEQ_HOME,False
AEQ_RE,common,integer,integer,False,Status Flag for TEQ_RE,Status Flag for TEQ_RE,False
AEQ_RENT,common,integer,integer,False,Status Flag for TEQ_RENT,Status Flag for TEQ_RENT,False
AEQ_VEH,common,integer,integer,False,Status Flag for TEQ_VEH,Status Flag for TEQ_VEH,False
AERRANDS,common,integer,integer,False,Status Flag for EERRANDS,Status Flag for EERRANDS,False
AESAV1BENEF,common,integer,integer,False,Status Flag for EESAV1BENEF,Status Flag for EESAV1BENEF,False
AESAV1OWNER,common,integer,integer,False,Status Flag for EESAV1OWNER,Status Flag for EESAV1OWNER,False
AESAV1VAL,common,integer,integer,False,Status Flag for TESAV1VAL,Status Flag for TESAV1VAL,False
AESAV2BENEF,common,integer,integer,False,Status Flag for EESAV2BENEF,Status Flag for EESAV2BENEF,False
AESAV2OWNER,common,integer,integer,False,Status Flag for EESAV2OWNER,Status Flag for EESAV2OWNER,False
AESAV2VAL,common,integer,integer,False,Status Flag for TESAV2VAL,Status Flag for TESAV2VAL,False
AESAV3BENEF,common,integer,integer,False,Status Flag for EESAV3BENEF,Status Flag for EESAV3BENEF,False
AESAV3OWNER,common,integer,integer,False,Status Flag for EESAV3OWNER,Status Flag for EESAV3OWNER,False
AESAV3VAL,common,integer,integer,False,Status Flag for TESAV3VAL,Status Flag for TESAV3VAL,False
AESAV_NUM,common,integer,integer,False,Status Flag for TESAV_NUM,Status Flag for TESAV_NUM,False
AEVERDIV,common,integer,integer,False,Status Flag for EVERDIV,Status Flag for EVERDIV,False
AEVERET,common,integer,integer,False,Status Flag for EEVERET,Status Flag for EEVERET,False
AEVERWID,common,integer,integer,False,Status Flag for EVERWID,Status Flag for EVERWID,False
AEXPSCH,common,integer,integer,False,Status Flag for EEXPSCH,Status Flag for EEXPSCH,False
AEXTOTAMT,common,integer,integer,False,Status Flag for TEXTOTAMT,Status Flag for TEXTOTAMT,False
AFAM,common,integer,integer,False,Status Flag for EFAM,Status Flag for EFAM,False
AFAMKIND,common,integer,integer,False,Status Flag for RFAMKIND,Status Flag for RFAMKIND,False
AFAMKINDWT2,common,integer,integer,False,Status Flag for RFAMKINDWT2,Status Flag for RFAMKINDWT2,False
AFAMNUM,common,integer,integer,False,Status Flag for RFAMNUM,Status Flag for RFAMNUM,False
AFAMNUMWT2,common,integer,integer,False,Status Flag for RFAMNUMWT2,Status Flag for RFAMNUMWT2,False
AFCCAMT,common,integer,integer,False,Status Flag for TFCCAMT,Status Flag for TFCCAMT,False
AFCCANY,common,integer,integer,False,Status Flag for EFCCANY,Status Flag for EFCCANY,False
