product_id,file_year,reference_end_year,product_type,horizon_years,reference_start_year,official_filename,official_url,listed_in_official_directory,canonical_format,local_relative_path,downloaded,bytes,sha256,zip_structure_valid,zip_entries,zip_uncompressed_bytes
sipp_2021_longitudinal_replicate_weights_3y,2021,2020,longitudinal_replicate_weights,3,2018,lgtrw2021yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr3_csv.zip,True,22727708,014a43f1e4d3f1c560807ef9c1a6dfb48e0dfc3d0743cb818a3dbad00385a72d,True,lgtrw2021yr3.csv,47864526
sipp_2021_longitudinal_weights_4y,2021,2020,longitudinal_weights,4,2017,lgtwgt2021yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr4_csv.zip,True,152057,66c055220e351f816dcc442a6886973d2f3f0db984cbd6e59ec035851ba379b2,True,lgtwgt2021yr4.csv,555999
sipp_2021_longitudinal_replicate_weights_4y,2021,2020,longitudinal_replicate_weights,4,2017,lgtrw2021yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr4_csv.zip,True,21871942,d428d6f3f9d169adee57786a46db3f30f6f053e6362af8287e2c5b1a121c6187,True,lgtrw2021yr4.csv,46403392
sipp_2022_primary,2022,2021,primary,,2021,pu2022_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/pu2022_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\primary\pu2022_csv.zip,True,116681072,0b165cdbc5fd0d6df307488c82b6b7435fd6ef08b46eb4e5cc22e7cb5a981213,True,pu2022.csv,3870367119
sipp_2022_replicate_weights,2022,2021,replicate_weights,,2021,rw2022_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/rw2022_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\replicate_weights\rw2022_csv.zip,True,680412222,c03cd7a4fe5e45af67fef3f74924a61d19fecddc4ccbc80a712e657a736bedb0,True,rw2022.csv,1439568033
sipp_2022_longitudinal_weights_2y,2022,2021,longitudinal_weights,2,2020,lgtwgt2022yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtwgt2022yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr2_csv.zip,True,152655,c75ff8ad31d187fe989346bf9c395517184c07e4cd1ac2187e4a016e7f87d088,True,lgtwgt2022yr2.csv,526719
sipp_2022_longitudinal_replicate_weights_2y,2022,2021,longitudinal_replicate_weights,2,2020,lgtrw2022yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtrw2022yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr2_csv.zip,True,20859806,0476a91ba44a184e92b75ac33c5f1a4f5431a3fc11a638c5c23e8e70a44bfe68,True,lgtrw2022yr2.csv,44061199
sipp_2022_longitudinal_weights_3y,2022,2021,longitudinal_weights,3,2019,lgtwgt2022yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtwgt2022yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr3_csv.zip,True,70969,ee02944796f6cc54c91888817f70a6ed8c041fd2b0e13546899b8574f0a4b903,True,lgtwgt2022yr3.csv,249743
sipp_2022_longitudinal_replicate_weights_3y,2022,2021,longitudinal_replicate_weights,3,2019,lgtrw2022yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtrw2022yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr3_csv.zip,True,9993290,9728ff85eb6952bed9360f639d77aed29aa5e759af12c91f392bc55b8d00bcb2,True,lgtrw2022yr3.csv,21241203
sipp_2023_primary,2023,2022,primary,,2022,pu2023_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/pu2023_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\primary\pu2023_csv.zip,True,109036604,9c5363d56aca2041db20d46d17b81e9be931eb5b18bd5f5238b367d2dd7fb74b,True,pu2023.csv,3726010471
sipp_2023_replicate_weights,2023,2022,replicate_weights,,2022,rw2023_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/rw2023_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\replicate_weights\rw2023_csv.zip,True,665305538,c83cdd8f3237f63c4b00ae1adfd87fcd828759ef2c375313dabcdf21d4ee01a5,True,rw2023.csv,1406529489
sipp_2023_longitudinal_weights_2y,2023,2022,longitudinal_weights,2,2021,lgtwgt2023yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr2_csv.zip,True,254505,c55817fe68b3d526f50c789f39447189c68a8ad11c61c377c11e19dd84393e20,True,lgtwgt2023yr2.csv,880863
sipp_2023_longitudinal_replicate_weights_2y,2023,2022,longitudinal_replicate_weights,2,2021,lgtrw2023yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr2_csv.zip,True,34254170,59592e0189d13a8bf38385c6968f6cd65c52fc28e42b4add4b1fc63bafb9994f,True,lgtrw2023yr2.csv,72456991
sipp_2023_longitudinal_weights_3y,2023,2022,longitudinal_weights,3,2020,lgtwgt2023yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr3_csv.zip,True,106859,47ed61972bcb1475ea62e5830ecbef15bdf47c806ada5f672af3ca0d8c230e09,True,lgtwgt2023yr3.csv,364888
sipp_2023_longitudinal_replicate_weights_3y,2023,2022,longitudinal_replicate_weights,3,2020,lgtrw2023yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr3_csv.zip,True,14550979,e416ab13e721c6dc04e6c5259a7374eba2b66099bb10dd707577f1347d325484,True,lgtrw2023yr3.csv,30752335
sipp_2023_longitudinal_weights_4y,2023,2022,longitudinal_weights,4,2019,lgtwgt2023yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr4_csv.zip,True,52349,5d9ae84760612fdacc87ad8201b35e513f7ae360413a34de0d400b7411b4bbaf,True,lgtwgt2023yr4.csv,184322
sipp_2023_longitudinal_replicate_weights_4y,2023,2022,longitudinal_replicate_weights,4,2019,lgtrw2023yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr4_csv.zip,True,7360439,e3c8e1efb8c669c55cd1bf18fa291112250cb58c61e55afddb52c04296d68f44,True,lgtrw2023yr4.csv,15707956
sipp_2024_primary,2024,2023,primary,,2023,pu2024_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/pu2024_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\primary\pu2024_csv.zip,True,102122301,3a78b26988c76c02b9e206f72507390fb6ec9dac7974ec31aa90abc9d9809764,True,pu2024.csv,3433662421
sipp_2024_replicate_weights,2024,2023,replicate_weights,,2023,rw2024_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/rw2024_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\replicate_weights\rw2024_csv.zip,True,612924807,5c76806c1a1f374c75ddc325e2383134d4d8b99194699cbe6d6f03a3d666b9cf,True,rw2024.csv,1293576852
sipp_2024_longitudinal_weights_2y,2024,2023,longitudinal_weights,2,2022,lgtwgt2024yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr2_csv.zip,True,218657,4339b0375d4759ff27089e57d5bee9fa0e13f6d2e3f13b00f146e2b86b3e64ac,True,lgtwgt2024yr2.csv,747531
sipp_2024_longitudinal_replicate_weights_2y,2024,2023,longitudinal_replicate_weights,2,2022,lgtrw2024yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr2_csv.zip,True,29229496,f921d6b2bbe27f3ed56184ac2b01246560619f731eeb6a72182658561cadefe0,True,lgtrw2024yr2.csv,61774741
sipp_2024_longitudinal_weights_3y,2024,2023,longitudinal_weights,3,2021,lgtwgt2024yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr3_csv.zip,True,129296,51d59c8e53fa0e069cae03ef543a90c9f3814278c843dbb99ec49ddfc8051a89,True,lgtwgt2024yr3.csv,448961
sipp_2024_longitudinal_replicate_weights_3y,2024,2023,longitudinal_replicate_weights,3,2021,lgtrw2024yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr3_csv.zip,True,17825906,37590e748cdc312488ccf14a3df55073293d395fa40c562fbfe701e70ad1444a,True,lgtrw2024yr3.csv,37733221
sipp_2024_longitudinal_weights_4y,2024,2023,longitudinal_weights,4,2020,lgtwgt2024yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr4_csv.zip,True,38270,5bc73e98ecdba89c16c47df8e7c5726876ff112f7edab01a8a8056e9619b7137,True,lgtwgt2024yr4.csv,131161
sipp_2024_longitudinal_replicate_weights_4y,2024,2023,longitudinal_replicate_weights,4,2020,lgtrw2024yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr4_csv.zip,True,5258774,4ae52a2a7445d3f4a7c2b7b686498bfc96e71ae80522adfedd6e0bde1c531f45,True,lgtrw2024yr4.csv,11214573
sipp_2025_primary,2025,2024,primary,,2024,pu2025_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/pu2025_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\primary\pu2025_csv.zip,True,88088487,570798a6f512c8f82af311ee01a1668d178063c9076c18a05bc3a5a0039b67ed,True,pu2025.csv,2962995844
sipp_2025_replicate_weights,2025,2024,replicate_weights,,2024,rw2025_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/rw2025_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\replicate_weights\rw2025_csv.zip,True,535845832,3bf35c17723de10697d581d1122fda4d7cdecb34c6f9e9dfcb18ddc561c7c6b6,True,rw2025.csv,1128818501
sipp_2025_longitudinal_weights_2y,2025,2024,longitudinal_weights,2,2023,lgtwgt2025yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr2_csv.zip,True,196964,1d7c7f658aeecdb821c31509673c79a837f044c2d4228aac15eabb5996c373c2,True,lgtwgt2025yr2.csv,671620
sipp_2025_longitudinal_replicate_weights_2y,2025,2024,longitudinal_replicate_weights,2,2023,lgtrw2025yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr2_csv.zip,True,26303318,8c5359a48b32e9b78ba2a4bf85c6dae2ca2461063ce7a1100e7f68e42ef8b785,True,lgtrw2025yr2.csv,55662389
sipp_2025_longitudinal_weights_3y,2025,2024,longitudinal_weights,3,2022,lgtwgt2025yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr3_csv.zip,True,115675,9e3940a5679e1b06e1225dfeda0cd3313db6da2be74d991ef23b630c471d9dc7,True,lgtwgt2025yr3.csv,395353
sipp_2025_longitudinal_replicate_weights_3y,2025,2024,longitudinal_replicate_weights,3,2022,lgtrw2025yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr3_csv.zip,True,15711442,e727180bbbf8e1d13d1adcbe1909943082a00543f468db02f9a649e9f3e83d22,True,lgtrw2025yr3.csv,33244571
sipp_2025_longitudinal_weights_4y,2025,2024,longitudinal_weights,4,2021,lgtwgt2025yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr4_csv.zip,True,63788,b0ccfccff85b7600ef3d1ce51f071053c61806206cbcf2543b6b99fa8b06f0f7,True,lgtwgt2025yr4.csv,225834
sipp_2025_longitudinal_replicate_weights_4y,2025,2024,longitudinal_replicate_weights,4,2021,lgtrw2025yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr4_csv.zip,True,9007006,d251ad270f8574d546c41e23f21807c2e67b8329770680f5905c9de96e114936,True,lgtrw2025yr4.csv,19232203
