filename,official_url,listed_last_modified,listed_size,year,fetched_at_utc,directory_http_date,directory_last_modified,directory_cache_age_seconds,snapshot_relative_path
SIPP_Variable_Name_Change_Summary_2014_2022.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2022/SIPP_Variable_Name_Change_Summary_2014_2022.xlsx,2023-06-26 13:08,24K,2022,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2022\official_technical_directory_reaudit_20260716.html
2023_SIPP_PU_Instrument_Specifications.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2023/2023_SIPP_PU_Instrument_Specifications.pdf,2024-07-10 13:47,3.0M,2023,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2023\official_technical_directory_reaudit_20260716.html
2023_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2023/2023_SIPP_Release_Notes.pdf,2024-07-10 13:35,104K,2023,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2023\official_technical_directory_reaudit_20260716.html
2023_SIPP_Variable_Name_Change_Summary_2014_2023.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2023/2023_SIPP_Variable_Name_Change_Summary_2014_2023.xlsx,2024-07-10 15:50,24K,2023,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2023\official_technical_directory_reaudit_20260716.html
2024_SIPP_PU_Instrument_Specifications.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2024/2024_SIPP_PU_Instrument_Specifications.pdf,2025-07-23 08:16,3.0M,2024,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2024\official_technical_directory_reaudit_20260716.html
2024_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2024/2024_SIPP_Release_Notes.pdf,2025-08-20 16:30,127K,2024,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2024\official_technical_directory_reaudit_20260716.html
SIPP_Variable_Name_Change_Summary_2014_2024.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2024/SIPP_Variable_Name_Change_Summary_2014_2024.xlsx,2025-07-23 08:16,25K,2024,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2024\official_technical_directory_reaudit_20260716.html
2025_SIPP_PU_Instrument_Specifications.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/2025_SIPP_PU_Instrument_Specifications.pdf,2026-07-14 12:01,3.0M,2025,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2025\official_technical_directory_reaudit_20260716.html
2025_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/2025_SIPP_Release_Notes.pdf,2026-07-14 12:01,225K,2025,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2025\official_technical_directory_reaudit_20260716.html
SIPP_Variable_Name_Change_Summary_2014_2025.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/SIPP_Variable_Name_Change_Summary_2014_2025.xlsx,2026-07-14 12:01,24K,2025,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2025\official_technical_directory_reaudit_20260716.html
