product_id,file_year,reference_end_year,product_type,horizon_years,reference_start_year,official_filename,official_url,listed_in_official_directory,canonical_format,local_relative_path,downloaded
sipp_2020_longitudinal_weights_3y,2020,2019,longitudinal_weights,3,2017,lgtwgt2020yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtwgt2020yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr3_csv.zip,True
sipp_2020_longitudinal_replicate_weights_3y,2020,2019,longitudinal_replicate_weights,3,2017,lgtrw2020yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtrw2020yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr3_csv.zip,True
sipp_2021_primary,2021,2020,primary,,2020,pu2021_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/pu2021_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\primary\pu2021_csv.zip,True
sipp_2021_replicate_weights,2021,2020,replicate_weights,,2020,rw2021_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/rw2021_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\replicate_weights\rw2021_csv.zip,True
sipp_2021_longitudinal_weights_2y,2021,2020,longitudinal_weights,2,2019,lgtwgt2021yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr2_csv.zip,True
sipp_2021_longitudinal_replicate_weights_2y,2021,2020,longitudinal_replicate_weights,2,2019,lgtrw2021yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr2_csv.zip,True
sipp_2021_longitudinal_weights_3y,2021,2020,longitudinal_weights,3,2018,lgtwgt2021yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr3_csv.zip,True
sipp_2021_longitudinal_replicate_weights_3y,2021,2020,longitudinal_replicate_weights,3,2018,lgtrw2021yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr3_csv.zip,True
sipp_2021_longitudinal_weights_4y,2021,2020,longitudinal_weights,4,2017,lgtwgt2021yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr4_csv.zip,True
sipp_2021_longitudinal_replicate_weights_4y,2021,2020,longitudinal_replicate_weights,4,2017,lgtrw2021yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr4_csv.zip,True
sipp_2022_primary,2022,2021,primary,,2021,pu2022_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/pu2022_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\primary\pu2022_csv.zip,True
sipp_2022_replicate_weights,2022,2021,replicate_weights,,2021,rw2022_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/rw2022_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\replicate_weights\rw2022_csv.zip,True
sipp_2022_longitudinal_weights_2y,2022,2021,longitudinal_weights,2,2020,lgtwgt2022yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtwgt2022yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr2_csv.zip,True
sipp_2022_longitudinal_replicate_weights_2y,2022,2021,longitudinal_replicate_weights,2,2020,lgtrw2022yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtrw2022yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr2_csv.zip,True
sipp_2022_longitudinal_weights_3y,2022,2021,longitudinal_weights,3,2019,lgtwgt2022yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtwgt2022yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr3_csv.zip,True
sipp_2022_longitudinal_replicate_weights_3y,2022,2021,longitudinal_replicate_weights,3,2019,lgtrw2022yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2022/lgtrw2022yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr3_csv.zip,True
sipp_2023_primary,2023,2022,primary,,2022,pu2023_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/pu2023_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\primary\pu2023_csv.zip,True
sipp_2023_replicate_weights,2023,2022,replicate_weights,,2022,rw2023_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/rw2023_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\replicate_weights\rw2023_csv.zip,True
sipp_2023_longitudinal_weights_2y,2023,2022,longitudinal_weights,2,2021,lgtwgt2023yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr2_csv.zip,True
sipp_2023_longitudinal_replicate_weights_2y,2023,2022,longitudinal_replicate_weights,2,2021,lgtrw2023yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr2_csv.zip,True
sipp_2023_longitudinal_weights_3y,2023,2022,longitudinal_weights,3,2020,lgtwgt2023yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr3_csv.zip,True
sipp_2023_longitudinal_replicate_weights_3y,2023,2022,longitudinal_replicate_weights,3,2020,lgtrw2023yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr3_csv.zip,True
sipp_2023_longitudinal_weights_4y,2023,2022,longitudinal_weights,4,2019,lgtwgt2023yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtwgt2023yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr4_csv.zip,True
sipp_2023_longitudinal_replicate_weights_4y,2023,2022,longitudinal_replicate_weights,4,2019,lgtrw2023yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2023/lgtrw2023yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr4_csv.zip,True
sipp_2024_primary,2024,2023,primary,,2023,pu2024_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/pu2024_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\primary\pu2024_csv.zip,True
sipp_2024_replicate_weights,2024,2023,replicate_weights,,2023,rw2024_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/rw2024_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\replicate_weights\rw2024_csv.zip,True
sipp_2024_longitudinal_weights_2y,2024,2023,longitudinal_weights,2,2022,lgtwgt2024yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr2_csv.zip,True
sipp_2024_longitudinal_replicate_weights_2y,2024,2023,longitudinal_replicate_weights,2,2022,lgtrw2024yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr2_csv.zip,True
sipp_2024_longitudinal_weights_3y,2024,2023,longitudinal_weights,3,2021,lgtwgt2024yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr3_csv.zip,True
sipp_2024_longitudinal_replicate_weights_3y,2024,2023,longitudinal_replicate_weights,3,2021,lgtrw2024yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr3_csv.zip,True
sipp_2024_longitudinal_weights_4y,2024,2023,longitudinal_weights,4,2020,lgtwgt2024yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtwgt2024yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr4_csv.zip,True
sipp_2024_longitudinal_replicate_weights_4y,2024,2023,longitudinal_replicate_weights,4,2020,lgtrw2024yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2024/lgtrw2024yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr4_csv.zip,True
sipp_2025_primary,2025,2024,primary,,2024,pu2025_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/pu2025_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\primary\pu2025_csv.zip,True
sipp_2025_replicate_weights,2025,2024,replicate_weights,,2024,rw2025_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/rw2025_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\replicate_weights\rw2025_csv.zip,True
sipp_2025_longitudinal_weights_2y,2025,2024,longitudinal_weights,2,2023,lgtwgt2025yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr2_csv.zip,True
sipp_2025_longitudinal_replicate_weights_2y,2025,2024,longitudinal_replicate_weights,2,2023,lgtrw2025yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr2_csv.zip,True
sipp_2025_longitudinal_weights_3y,2025,2024,longitudinal_weights,3,2022,lgtwgt2025yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr3_csv.zip,True
sipp_2025_longitudinal_replicate_weights_3y,2025,2024,longitudinal_replicate_weights,3,2022,lgtrw2025yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr3_csv.zip,True
sipp_2025_longitudinal_weights_4y,2025,2024,longitudinal_weights,4,2021,lgtwgt2025yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr4_csv.zip,True
sipp_2025_longitudinal_replicate_weights_4y,2025,2024,longitudinal_replicate_weights,4,2021,lgtrw2025yr4_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr4_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr4_csv.zip,True
