variable_name,years_present,n_years_present,label_description,universe_restrictions,record_level_inferred,code_list_or_range,recommended_construction_use,harmonization_safe_initial,recoding_needed_initial,missingness_visible_in_metadata
ABDAD,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABDADDODLT19,2021;2022;2023;2024,4,,,unknown,,,False,False,
ABDADDODRAGE,2021;2022;2023;2024,4,,,unknown,,,False,False,
ABIODADNAT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABIODADUS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABIOMOMNAT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABIOMOMUS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABIRTHRSN1,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN10,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN2,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN3,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN4,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN5,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN6,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN7,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN8,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHRSN9,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABIRTHWORK,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ABMOM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABMOMDODLT19,2021;2022;2023;2024,4,,,unknown,,,False,False,
ABMOMDODRAGE,2021;2022;2023;2024,4,,,unknown,,,False,False,
ABOATDEBT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABOATDEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABOATOWNER1,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABOATOWNER2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABOATOWNER3,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABOATVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABORNUS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABREAK_CHLD,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI1DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI1PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI1VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI2DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI2PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI2VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI3DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI3PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSI3VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ1DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ1PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ1VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ2DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ2PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ2VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ3DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ3PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ3VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ4DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ4PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ4VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ5DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ5PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ5VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ6DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ6PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ6VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ7DEBTVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ7PEROWN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABSJ7VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ABUS_INV_NUM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACARES,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACASH_BAL,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACBYR_1,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_10,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_11,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_12,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_13,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_14,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_15,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_16,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_17,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_18,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_19,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_20,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_3,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_4,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_5,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_6,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_7,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_8,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACBYR_9,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACB_UNION,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACEB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACERT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACHLD_ANY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACHLD_MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,monthly,,,True,False,
ACITIZEN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACLTH_SRYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACLTH_TYPE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACLUB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACNTAMT,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACOGNIT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACOMMTYPE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACONDBRIDGE1,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDBRIDGE2,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDBRIDGE3,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDSUBTYP1,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDSUBTYP2,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDSUBTYP3,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDTYP1,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDTYP2,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACONDTYP3,2021;2022;2023;2024,4,,,unknown,,,False,False,
ACREPAYANYON,2018;2019;2020,3,,,unknown,,,False,False,
ACRMTH,2018;2019;2020;2021;2022;2023;2024,7,,,monthly,,,True,False,
ACSAGREE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACSAMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACSANY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACSMNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACS_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ACTC_AMT,2022,1,,,unknown,,,False,False,
ACTC_ANY,2022,1,,,unknown,,,False,False,
ACTC_MNYN,2022,1,,,monthly,,,False,False,
ACVDMNYN,2021;2022,2,,,unknown,,,False,False,
ACVD_AMT,2021;2022,2,,,unknown,,,False,False,
ACVD_EIP,2021;2022,2,,,unknown,,,False,False,
ACVD_MEAL,2021;2022,2,,,unknown,,,False,False,
ACVD_RETIRE,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND1,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND2,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND3,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND4,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND5,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND6,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND7,2021;2022,2,,,unknown,,,False,False,
ACVD_SPND9,2021;2022,2,,,unknown,,,False,False,
ACVD_USE,2021;2022,2,,,unknown,,,False,False,
ADALYDRG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADAYCARE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADAYHS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADAYSICK,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADCPRTCPTN,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ADDELAY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_AST,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_BUS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_CC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_ED,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_HOME,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_MED,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_OT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_RE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_RENT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_SEC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_USEC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEBT_VEH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEFERAMT,2018;2019;2020;2021;2022;2023,6,,,unknown,,,False,False,
ADEPCLM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADEPNDNTEXP,2018;2019;2020,3,,,unknown,,,False,False,
ADIF10,2021;2022;2023;2024,4,,,unknown,,,False,False,
ADINROP,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADINRPAR,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIRECTANN,2022;2023;2024,3,,,annual_or_reference_period,,,False,False,
ADIS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS10AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS10MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS10_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS1AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS1MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS1_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS2AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS2MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS2_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS3AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS3MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS3_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS4AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS4MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS4_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS5AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS5MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS5_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS6AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS6MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS6_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS7AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS7MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS7_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS8AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS8MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS8_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS9AMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS9MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS9_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADISABL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADISANY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADISTYPTWO,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADISTYPYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADIS_ALT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADOB_BMONTH,2018;2019;2020;2021;2022;2023;2024,7,,,monthly,,,True,False,
ADOB_BYEAR,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADOCNUM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
ADPCAREAMT,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
ADRAW_AMT,2019;2020,2,,,unknown,,,False,False,
AECNTAMT,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTAMT1,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTAMT2,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTAMT_401,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTAMT_IRA,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTYN_401,2021;2022;2023;2024,4,,,unknown,,,False,False,
AECNTYN_IRA,2021;2022;2023;2024,4,,,unknown,,,False,False,
AEDCRED,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDFTPT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDGRADE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDGREP,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDHEADST,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDMONTH,2018;2019;2020;2021;2022;2023;2024,7,,,monthly,,,True,False,
AEDTYPE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEDUC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AED_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AED_SCRNR,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_METRO,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_MVMO,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_MVYR,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_PVTEN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_REGION,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_RENTSUB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_ST,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_TEN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_VOUCHER,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEHC_WHY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEITC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEMPLOYANN,2022;2023;2024,3,,,annual_or_reference_period,,,False,False,
AEND1_YR,2021;2022;2023;2024,4,,,unknown,,,False,False,
AEND2_YR,2021;2022;2023;2024,4,,,unknown,,,False,False,
AEND3_YR,2021;2022;2023;2024,4,,,unknown,,,False,False,
AENERGY_ASST,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AENERGY_PMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AENROLL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEPREVPEN,2021;2022;2023;2024,4,,,unknown,,,False,False,
AEQ_BUS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEQ_HOME,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEQ_RE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEQ_RENT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEQ_VEH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AERRANDS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV1BENEF,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV1OWNER,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV1VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV2BENEF,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV2OWNER,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV2VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV3BENEF,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV3OWNER,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV3VAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AESAV_NUM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEVERDIV,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEVERET,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEVERWID,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEXPSCH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AEXTOTAMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFAM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFAMKIND,2019;2020;2021;2022;2023;2024,6,,,unknown,,,False,False,
AFAMKINDWT2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFAMNUM,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFAMNUMWT2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCCAMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCCANY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCCMNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCC_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCYINCPOV,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFCYINCPOVT2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFILING,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFINCPOV,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFINCPOVT2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFINDJOB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFLEXSPND,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD1,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD3,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD4,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD5,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD6,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOODR,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOODS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD_MNYN,2018;2019;2020;2021;2022;2023;2024,7,,,monthly,,,True,False,
AFOOD_OTH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD_SRYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD_TYPE1,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD_TYPE2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFOOD_TYPE3,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AFPERSONS,2018;2019;2020;2021;2022;2023;2024,7,,,person_or_person_month,,,True,False,
AFPERSONSWT2,2018;2019;2020;2021;2022;2023;2024,7,,,person_or_person_month,,,True,False,
AFPOV,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
