outcome,term,estimate,std_error,p_value,n,events,status,horizon_months,model_family
exit_to_direct_purchase_exchange_it_h1,temporary_cross_up_1m_x_unwinding,-9.845836074895485e-06,0.00033986453802866063,0.9768886099882748,78244,14.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h1,temporary_cross_up_1m,0.013179600466117722,0.00999328649466583,0.18722078469808623,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h1,temporary_cross_up_1m_x_phe,-0.013853369806735644,0.01002774186664173,0.16712391681778405,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h1,temporary_cross_up_1m_x_unwinding,-0.014368213504915526,0.009975305918481994,0.14976041876848423,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h1,temporary_cross_up_1m,0.01323471928475851,0.009998716859469903,0.1856220457423845,78244,53.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h1,temporary_cross_up_1m_x_phe,-0.013897063311194075,0.010032933628352952,0.1660082726800134,78244,53.0,estimated,1,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h1,temporary_cross_up_1m_x_unwinding,-0.014438991876132245,0.009980651977957883,0.14798145129083573,78244,53.0,estimated,1,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h2,temporary_cross_up_1m,-0.0020368202992205034,0.0006383078903504107,0.001417967945160692,69225,107.0,estimated,2,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h2,temporary_cross_up_1m_x_phe,0.0008451014898723541,0.0008656945634839219,0.3289593784989462,69225,107.0,estimated,2,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h2,temporary_cross_up_1m_x_unwinding,0.0007296074736697676,0.0009811516145599632,0.45710423520701027,69225,107.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h2,temporary_cross_up_1m,-0.0010929607097271393,0.00033553813830989763,0.0011246292597097973,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h2,temporary_cross_up_1m_x_phe,0.0008911679553175016,0.00040211175294654927,0.02667646497811149,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h2,temporary_cross_up_1m_x_unwinding,-0.00011160217122703812,0.0007353890856400471,0.8793767429843753,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h2,temporary_cross_up_1m,-0.00012732204796227795,0.00010793228473943362,0.238140449572398,69225,12.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h2,temporary_cross_up_1m_x_phe,3.5988938384182555e-05,0.00015344885980481593,0.8145706255934564,69225,12.0,estimated,2,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h2,temporary_cross_up_1m_x_unwinding,-1.9668464867313943e-05,0.0002709392875409712,0.9421295003497678,69225,12.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h2,temporary_cross_up_1m,-0.0010929607097271393,0.00033553813830989763,0.0011246292597097973,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h2,temporary_cross_up_1m_x_phe,0.0008911679553175016,0.00040211175294654927,0.02667646497811149,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h2,temporary_cross_up_1m_x_unwinding,-0.00011160217122703812,0.0007353890856400471,0.8793767429843753,69225,50.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h2,temporary_cross_up_1m,-0.0010395286623131592,0.00032747364987539503,0.001501524505459484,69225,48.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h2,temporary_cross_up_1m_x_phe,0.000831574520825765,0.00039311482887083077,0.03440032992205233,69225,48.0,estimated,2,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h2,temporary_cross_up_1m_x_unwinding,-0.00014731717721087867,0.0007374060872737329,0.8416545644030902,69225,48.0,estimated,2,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h3,temporary_cross_up_1m,-0.001401629704318223,0.000488705259156659,0.0041301403540083825,61132,94.0,estimated,3,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h3,temporary_cross_up_1m_x_phe,0.019204486980302478,0.01901700175938898,0.3125629339175442,61132,94.0,estimated,3,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h3,temporary_cross_up_1m_x_unwinding,0.0002921551417682934,0.0010661150738322388,0.7840560685798446,61132,94.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h3,temporary_cross_up_1m,-0.0008307969892162534,0.0002867960897818652,0.0037696454826761094,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h3,temporary_cross_up_1m_x_phe,0.020027281343838774,0.01931873321091428,0.29988653623382655,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h3,temporary_cross_up_1m_x_unwinding,-0.00020386485353954958,0.0008670281186538266,0.8141073584680125,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h3,temporary_cross_up_1m,-2.424341750920953e-05,9.255095187539652e-05,0.7933625258406072,61132,11.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h3,temporary_cross_up_1m_x_phe,-0.0001272052680447819,0.0001898467950658663,0.5028312121177363,61132,11.0,estimated,3,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h3,temporary_cross_up_1m_x_unwinding,-0.00023454155149839708,0.00029004149697764886,0.4187174977576238,61132,11.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h3,temporary_cross_up_1m,-0.0008307969892162534,0.0002867960897818652,0.0037696454826761094,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h3,temporary_cross_up_1m_x_phe,0.020027281343838774,0.01931873321091428,0.29988653623382655,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m_h3,temporary_cross_up_1m_x_unwinding,-0.00020386485353954958,0.0008670281186538266,0.8141073584680125,61132,43.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h3,temporary_cross_up_1m,-0.0007761926425037721,0.00028135664870513764,0.005802291241175039,61132,41.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h3,temporary_cross_up_1m_x_phe,0.019979522291573768,0.019328535868311264,0.3012857536698881,61132,41.0,estimated,3,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m_h3,temporary_cross_up_1m_x_unwinding,-0.0002831279159291819,0.0008653105227622804,0.7435180954602516,61132,41.0,estimated,3,weighted_lpm_discrete_time_hazard
